	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2011-07-01 00:00:00	15.4	58.2	0	1309478400	41179	17.11	0	7	4
2011-07-01 01:00:00	14.7	58.2	3600	1309482000	40002	16.11	1	7	4
2011-07-01 02:00:00	14.9	58.2	7200	1309485600	40247	17.11	2	7	4
2011-07-01 03:00:00	14.2	58.2	10800	1309489200	39080	16.11	3	7	4
2011-07-01 04:00:00	13.9	58.2	14400	1309492800	38441	16.11	4	7	4
2011-07-01 05:00:00	15.6	58.2	18000	1309496400	41545	17.11	5	7	4
2011-07-01 06:00:00	16.6	58.2	21600	1309500000	43209	18.11	6	7	4
2011-07-01 07:00:00	16.9	58.2	25200	1309503600	43684	19.11	7	7	4
2011-07-01 08:00:00	17.0	58.2	28800	1309507200	43743	19.11	8	7	4
2011-07-01 09:00:00	17.6	58.2	32400	1309510800	44771	19.11	9	7	4
2011-07-01 10:00:00	18.0	58.2	36000	1309514400	45307	20.11	10	7	4
2011-07-01 11:00:00	17.3	58.2	39600	1309518000	44126	19.11	11	7	4
2011-07-01 12:00:00	17.5	58.2	43200	1309521600	44586	19.11	12	7	4
2011-07-01 13:00:00	17.8	58.2	46800	1309525200	45191	19.11	13	7	4
2011-07-01 14:00:00	18.0	58.2	50400	1309528800	45307	20.11	14	7	4
2011-07-01 15:00:00	17.6	58.2	54000	1309532400	44771	19.11	15	7	4
2011-07-01 16:00:00	18.0	58.2	57600	1309536000	45307	20.11	16	7	4
2011-07-01 17:00:00	16.8	58.2	61200	1309539600	43638	18.11	17	7	4
2011-07-01 18:00:00	17.2	58.2	64800	1309543200	43947	19.11	18	7	4
2011-07-01 19:00:00	17.1	58.2	68400	1309546800	43827	19.11	19	7	4
2011-07-01 20:00:00	17.0	58.2	72000	1309550400	43743	19.11	20	7	4
2011-07-01 21:00:00	16.3	58.2	75600	1309554000	42648	18.11	21	7	4
2011-07-01 22:00:00	15.8	58.2	79200	1309557600	41948	18.11	22	7	4
2011-07-01 23:00:00	16.4	58.2	82800	1309561200	42848	18.11	23	7	4
2011-07-02 00:00:00	15.7	58.2	0	1309564800	41754	17.11	0	7	5
2011-07-02 01:00:00	15.5	58.2	3600	1309568400	41354	17.11	1	7	5
2011-07-02 02:00:00	15.5	58.2	7200	1309572000	41354	17.11	2	7	5
2011-07-02 03:00:00	14.8	58.2	10800	1309575600	40160	17.11	3	7	5
2011-07-02 04:00:00	15.0	58.2	14400	1309579200	40374	17.11	4	7	5
2011-07-02 05:00:00	15.9	58.2	18000	1309582800	42007	18.11	5	7	5
2011-07-02 06:00:00	17.8	58.2	21600	1309586400	45191	19.11	6	7	5
2011-07-02 07:00:00	18.6	58.2	25200	1309590000	46230	20.11	7	7	5
2011-07-02 08:00:00	19.2	58.2	28800	1309593600	46886	21.11	8	7	5
2011-07-02 09:00:00	18.5	58.2	32400	1309597200	46034	20.11	9	7	5
2011-07-02 10:00:00	19.1	58.2	36000	1309600800	46819	21.11	10	7	5
2011-07-02 11:00:00	18.5	58.2	39600	1309604400	46034	20.11	11	7	5
2011-07-02 12:00:00	18.0	58.2	43200	1309608000	45307	20.11	12	7	5
2011-07-02 13:00:00	18.1	58.2	46800	1309611600	45369	20.11	13	7	5
2011-07-02 14:00:00	18.6	58.2	50400	1309615200	46230	20.11	14	7	5
2011-07-02 15:00:00	20.4	58.2	54000	1309618800	48405	22.11	15	7	5
2011-07-02 16:00:00	20.3	58.2	57600	1309622400	48296	22.11	16	7	5
2011-07-02 17:00:00	19.8	58.2	61200	1309626000	48001	21.11	17	7	5
2011-07-02 18:00:00	19.8	58.2	64800	1309629600	48001	21.11	18	7	5
2011-07-02 19:00:00	20.1	58.2	68400	1309633200	48165	22.11	19	7	5
2011-07-02 20:00:00	19.9	58.2	72000	1309636800	48091	22.11	20	7	5
2011-07-02 21:00:00	19.6	58.2	75600	1309640400	47585	21.11	21	7	5
2011-07-02 22:00:00	19.4	58.2	79200	1309644000	47120	21.11	22	7	5
2011-07-02 23:00:00	19.5	58.2	82800	1309647600	47326	21.11	23	7	5
2011-07-03 00:00:00	19.8	58.2	0	1309651200	48001	21.11	0	7	6
2011-07-03 01:00:00	20.0	58.2	3600	1309654800	48123	22.11	1	7	6
2011-07-03 02:00:00	19.7	58.2	7200	1309658400	47785	21.11	2	7	6
2011-07-03 03:00:00	20.2	58.2	10800	1309662000	48220	22.11	3	7	6
2011-07-03 04:00:00	20.3	58.2	14400	1309665600	48296	22.11	4	7	6
2011-07-03 05:00:00	20.3	58.2	18000	1309669200	48296	22.11	5	7	6
2011-07-03 06:00:00	21.1	58.2	21600	1309672800	49402	23.11	6	7	6
2011-07-03 07:00:00	21.8	58.2	25200	1309676400	50410	23.11	7	7	6
2011-07-03 08:00:00	22.3	58.2	28800	1309680000	50628	24.11	8	7	6
2011-07-03 09:00:00	23.4	58.2	32400	1309683600	51703	25.11	9	7	6
2011-07-03 10:00:00	23.9	58.2	36000	1309687200	52388	26.11	10	7	6
2011-07-03 11:00:00	24.3	58.2	39600	1309690800	52528	26.11	11	7	6
2011-07-03 12:00:00	24.0	58.2	43200	1309694400	52412	26.11	12	7	6
2011-07-03 13:00:00	24.0	446.2	46800	1309698000	230571	26.11	13	7	6
2011-07-03 14:00:00	23.3	455.9	50400	1309701600	232994	26.11	14	7	6
2011-07-03 15:00:00	23.9	514.1	54000	1309705200	262995	26.11	15	7	6
