	Twet	Load	Hour(s)	TimeStamp(s)
2012-01-01 00:00:00	3.5	58.2	0	1325376000
2012-01-01 01:00:00	3.5	611.1	3600	1325379600
2012-01-01 02:00:00	2.7	601.4	7200	1325383200
2012-01-01 03:00:00	1.3	688.7	10800	1325386800
2012-01-01 04:00:00	1.2	727.5	14400	1325390400
2012-01-01 05:00:00	-0.2	766.3000000000002	18000	1325394000
2012-01-01 06:00:00	0.3	756.6	21600	1325397600
2012-01-01 07:00:00	0.3	717.8000000000002	25200	1325401200
2012-01-01 08:00:00	4.3	708.0999999999998	28800	1325404800
2012-01-01 09:00:00	6.3	698.4000000000002	32400	1325408400
2012-01-01 10:00:00	7.2	669.3000000000002	36000	1325412000
2012-01-01 11:00:00	8.3	58.2	39600	1325415600
2012-01-01 12:00:00	8.5	630.5	43200	1325419200
2012-01-01 13:00:00	9.0	58.2	46800	1325422800
2012-01-01 14:00:00	8.9	58.2	50400	1325426400
2012-01-01 15:00:00	9.2	58.2	54000	1325430000
2012-01-01 16:00:00	8.6	58.2	57600	1325433600
2012-01-01 17:00:00	8.6	58.2	61200	1325437200
2012-01-01 18:00:00	8.6	58.2	64800	1325440800
2012-01-01 19:00:00	9.1	58.2	68400	1325444400
2012-01-01 20:00:00	9.9	58.2	72000	1325448000
2012-01-01 21:00:00	7.9	582.0000000000001	75600	1325451600
2012-01-01 22:00:00	5.7	533.5	79200	1325455200
2012-01-01 23:00:00	3.4	679.0000000000001	82800	1325458800
2012-01-02 00:00:00	2.9	58.2	0	1325462400
2012-01-02 01:00:00	2.5	58.2	3600	1325466000
2012-01-02 02:00:00	1.8	58.2	7200	1325469600
2012-01-02 03:00:00	0.4	58.2	10800	1325473200
2012-01-02 04:00:00	-1.4	58.2	14400	1325476800
2012-01-02 05:00:00	-1.8	58.2	18000	1325480400
2012-01-02 06:00:00	-2.4	58.2	21600	1325484000
2012-01-02 07:00:00	-2.5	58.2	25200	1325487600
2012-01-02 08:00:00	-1.2	58.2	28800	1325491200
2012-01-02 09:00:00	-0.3	58.2	32400	1325494800
2012-01-02 10:00:00	-0.2	58.2	36000	1325498400
2012-01-02 11:00:00	-0.2	58.2	39600	1325502000
2012-01-02 12:00:00	-0.4	58.2	43200	1325505600
2012-01-02 13:00:00	-0.4	58.2	46800	1325509200
2012-01-02 14:00:00	-0.4	58.2	50400	1325512800
2012-01-02 15:00:00	-0.5	58.2	54000	1325516400
2012-01-02 16:00:00	-0.7	58.2	57600	1325520000
2012-01-02 17:00:00	-2.0	58.2	61200	1325523600
2012-01-02 18:00:00	-2.3	58.2	64800	1325527200
2012-01-02 19:00:00	-2.0	58.2	68400	1325530800
2012-01-02 20:00:00	-2.0	58.2	72000	1325534400
2012-01-02 21:00:00	-2.2	58.2	75600	1325538000
2012-01-02 22:00:00	-3.0	58.2	79200	1325541600
2012-01-02 23:00:00	-3.2	58.2	82800	1325545200
2012-01-03 00:00:00	-3.2	58.2	0	1325548800
2012-01-03 01:00:00	-3.9	58.2	3600	1325552400
2012-01-03 02:00:00	-3.9	58.2	7200	1325556000
2012-01-03 03:00:00	-4.3	58.2	10800	1325559600
2012-01-03 04:00:00	-4.3	58.2	14400	1325563200
2012-01-03 05:00:00	-4.6	58.2	18000	1325566800
2012-01-03 06:00:00	-4.6	58.2	21600	1325570400
2012-01-03 07:00:00	-4.3	58.2	25200	1325574000
2012-01-03 08:00:00	-3.7	58.2	28800	1325577600
