	Power	Date	PowerL	TsetL
2012-01-01 00:00:00	0.0	1/1/2012 0:00	29712	15.11
2012-01-01 01:00:00	1.0	1/1/2012 1:00	30263	15.11
2012-01-01 02:00:00	2.0	1/1/2012 2:00	29712	15.11
2012-01-01 03:00:00	3.0	1/1/2012 3:00	29712	15.11
2012-01-01 04:00:00	4.0	1/1/2012 4:00	29162	15.11
2012-01-01 05:00:00	5.0	1/1/2012 5:00	29712	15.11
2012-01-01 06:00:00	6.0	1/1/2012 6:00	29162	15.11
2012-01-01 07:00:00	7.0	1/1/2012 7:00	29712	15.11
2012-01-01 08:00:00	8.0	1/1/2012 8:00	30263	15.11
2012-01-01 09:00:00	9.0	1/1/2012 9:00	30263	15.11
2012-01-01 10:00:00	10.0	1/1/2012 10:00	29712	15.11
2012-01-01 11:00:00	11.0	1/1/2012 11:00	123188	15.11
2012-01-01 12:00:00	12.0	1/1/2012 12:00	122715	15.11
2012-01-01 13:00:00	13.0	1/1/2012 13:00	125948	15.11
2012-01-01 14:00:00	14.0	1/1/2012 14:00	134285	15.11
2012-01-01 15:00:00	15.0	1/1/2012 15:00	133959	15.11
2012-01-01 16:00:00	16.0	1/1/2012 16:00	135391	15.11
2012-01-01 17:00:00	17.0	1/1/2012 17:00	131291	15.11
2012-01-01 18:00:00	18.0	1/1/2012 18:00	132603	15.11
2012-01-01 19:00:00	19.0	1/1/2012 19:00	135675	15.11
2012-01-01 20:00:00	20.0	1/1/2012 20:00	223414	15.11
2012-01-01 21:00:00	21.0	1/1/2012 21:00	129135	15.11
2012-01-01 22:00:00	22.0	1/1/2012 22:00	132243	15.11
2012-01-01 23:00:00	23.0	1/1/2012 23:00	120224	15.11
2012-01-02 00:00:00	744.0	2/1/2012 0:00	133247	15.11
2012-01-02 01:00:00	745.0	2/1/2012 1:00	132247	15.11
2012-01-02 02:00:00	746.0	2/1/2012 2:00	148259	15.11
2012-01-02 03:00:00	747.0	2/1/2012 3:00	167606	15.11
2012-01-02 04:00:00	748.0	2/1/2012 4:00	176512	15.11
2012-01-02 05:00:00	749.0	2/1/2012 5:00	177258	15.11
2012-01-02 06:00:00	750.0	2/1/2012 6:00	175206	15.11
2012-01-02 07:00:00	751.0	2/1/2012 7:00	178238	15.11
2012-01-02 08:00:00	752.0	2/1/2012 8:00	183982	15.11
2012-01-02 09:00:00	753.0	2/1/2012 9:00	200318	15.11
2012-01-02 10:00:00	754.0	2/1/2012 10:00	283595	15.11
2012-01-02 11:00:00	755.0	2/1/2012 11:00	129231	15.11
2012-01-02 12:00:00	756.0	2/1/2012 12:00	238070	15.11
2012-01-02 13:00:00	757.0	2/1/2012 13:00	279631	15.11
2012-01-02 14:00:00	758.0	2/1/2012 14:00	309090	17.11
2012-01-02 15:00:00	759.0	2/1/2012 15:00	284366	15.11
2012-01-02 16:00:00	760.0	2/1/2012 16:00	279000	16.11
2012-01-02 17:00:00	761.0	2/1/2012 17:00	256454	16.11
2012-01-02 18:00:00	762.0	2/1/2012 18:00	150159	15.11
2012-01-02 19:00:00	763.0	2/1/2012 19:00	136425	15.11
2012-01-02 20:00:00	764.0	2/1/2012 20:00	138300	15.11
2012-01-02 21:00:00	765.0	2/1/2012 21:00	134423	15.11
2012-01-02 22:00:00	766.0	2/1/2012 22:00	132066	15.11
2012-01-02 23:00:00	767.0	2/1/2012 23:00	199112	15.11
2012-01-03 00:00:00	1440.0	3/1/2012 0:00	151913	16.11
2012-01-03 01:00:00	1441.0	3/1/2012 1:00	151091	15.11
2012-01-03 02:00:00	1442.0	3/1/2012 2:00	224988	17.11
2012-01-03 03:00:00	1443.0	3/1/2012 3:00	256828	17.11
2012-01-03 04:00:00	1444.0	3/1/2012 4:00	212565	15.11
2012-01-03 05:00:00	1445.0	3/1/2012 5:00	307853	15.11
2012-01-03 06:00:00	1446.0	3/1/2012 6:00	278652	15.11
2012-01-03 07:00:00	1447.0	3/1/2012 7:00	296492	15.11
2012-01-03 08:00:00	1448.0	3/1/2012 8:00	204725	15.11
2012-01-03 09:00:00	1449.0	3/1/2012 9:00	242687	15.11
2012-01-03 10:00:00	1450.0	3/1/2012 10:00	265679	15.11
2012-01-03 11:00:00	1451.0	3/1/2012 11:00	132877	15.11
2012-01-03 12:00:00	1452.0	3/1/2012 12:00	291741	15.11
2012-01-03 13:00:00	1453.0	3/1/2012 13:00	280767	15.11
2012-01-03 14:00:00	1454.0	3/1/2012 14:00	279449	15.11
2012-01-03 15:00:00	1455.0	3/1/2012 15:00	285303	15.11
2012-01-03 16:00:00	1456.0	3/1/2012 16:00	225371	15.11
2012-01-03 17:00:00	1457.0	3/1/2012 17:00	213076	15.11
2012-01-03 18:00:00	1458.0	3/1/2012 18:00	142125	15.11
2012-01-03 19:00:00	1459.0	3/1/2012 19:00	127430	15.11
2012-01-03 20:00:00	1460.0	3/1/2012 20:00	126858	15.11
2012-01-03 21:00:00	1461.0	3/1/2012 21:00	129829	15.11
2012-01-03 22:00:00	1462.0	3/1/2012 22:00	129082	15.11
2012-01-03 23:00:00	1463.0	3/1/2012 23:00	267988	15.11
2012-01-04 00:00:00	2184.0	4/1/2012 0:00	131742	15.11
2012-01-04 01:00:00	2185.0	4/1/2012 1:00	133636	15.11
2012-01-04 02:00:00	2186.0	4/1/2012 2:00	131205	15.11
2012-01-04 03:00:00	2187.0	4/1/2012 3:00	131928	15.11
2012-01-04 04:00:00	2188.0	4/1/2012 4:00	130066	15.11
2012-01-04 05:00:00	2189.0	4/1/2012 5:00	130267	15.11
2012-01-04 06:00:00	2190.0	4/1/2012 6:00	129829	15.11
2012-01-04 07:00:00	2191.0	4/1/2012 7:00	132343	15.11
2012-01-04 08:00:00	2192.0	4/1/2012 8:00	133660	15.11
2012-01-04 09:00:00	2193.0	4/1/2012 9:00	129718	15.11
2012-01-04 10:00:00	2194.0	4/1/2012 10:00	130952	15.11
2012-01-04 11:00:00	2195.0	4/1/2012 11:00	134328	15.11
2012-01-04 12:00:00	2196.0	4/1/2012 12:00	135172	15.11
2012-01-04 13:00:00	2197.0	4/1/2012 13:00	136215	15.11
2012-01-04 14:00:00	2198.0	4/1/2012 14:00	136313	15.11
2012-01-04 15:00:00	2199.0	4/1/2012 15:00	138814	15.11
2012-01-04 16:00:00	2200.0	4/1/2012 16:00	137725	15.11
2012-01-04 17:00:00	2201.0	4/1/2012 17:00	138814	15.11
2012-01-04 18:00:00	2202.0	4/1/2012 18:00	141787	15.11
2012-01-04 19:00:00	2203.0	4/1/2012 19:00	139841	15.11
2012-01-04 20:00:00	2204.0	4/1/2012 20:00	139139	15.11
2012-01-04 21:00:00	2205.0	4/1/2012 21:00	137203	15.11
2012-01-04 22:00:00	2206.0	4/1/2012 22:00	132140	15.11
2012-01-04 23:00:00	2207.0	4/1/2012 23:00	135454	15.11
