Power Tset
151913.0 16.11
151091.0 15.11
224988.0 17.11
256828.0 17.11
212565.0 15.11
307853.0 15.11
278652.0 15.11
296492.0 15.11
204725.0 15.11
242687.0 15.11
265679.0 15.11
132877.0 15.11
291741.0 15.11
280767.0 15.11
279449.0 15.11
285303.0 15.11
225371.0 15.11
213076.0 15.11
142125.0 15.11
127430.0 15.11
126858.0 15.11
129829.0 15.11
129082.0 15.11
267988.0 15.11
132138.0 15.11
30263.0 15.11
29712.0 15.11
30263.0 15.11
30813.0 15.11
29712.0 15.11
29712.0 15.11
30263.0 15.11
29712.0 15.11
129150.0 15.11
158313.0 15.11
129305.0 15.11
198817.0 15.11
192864.0 15.11
187425.0 15.11
159201.0 15.11
178300.0 15.11
171306.0 15.11
136929.0 15.11
129073.0 15.11
30813.0 15.11
30263.0 15.11
30263.0 15.11
160461.0 15.11
30263.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
30263.0 15.11
29712.0 15.11
29712.0 15.11
30263.0 15.11
29712.0 15.11
30263.0 15.11
128204.0 15.11
30263.0 15.11
127069.0 15.11
126123.0 15.11
129938.0 15.11
134211.0 15.11
132269.0 15.11
131565.0 15.11
131105.0 15.11
131966.0 15.11
132411.0 15.11
129997.0 15.11
130713.0 15.11
131178.0 15.11
132848.0 15.11
133836.0 15.11
132842.0 15.11
29712.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
29712.0 15.11
30263.0 15.11
29712.0 15.11
30263.0 15.11
132832.0 15.11
30263.0 15.11
30263.0 15.11
29712.0 15.11
30813.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
29712.0 15.11
30263.0 15.11
30263.0 15.11
29712.0 15.11
29712.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
30263.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
30263.0 15.11
29712.0 15.11
30263.0 15.11
30263.0 15.11
30813.0 15.11
29712.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
29712.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
30263.0 15.11
29712.0 15.11
119600.0 15.11
30263.0 15.11
232203.0 15.11
242667.0 15.11
263632.0 15.11
278363.0 16.11
266633.0 15.11
237227.0 15.11
145429.0 15.11
133832.0 15.11
135527.0 15.11
134150.0 15.11
134150.0 15.11
157505.0 15.11
138227.0 15.11
137455.0 15.11
164278.0 15.11
192164.0 15.11
188896.0 15.11
195565.0 15.11
168822.0 15.11
197294.0 15.11
219171.0 16.11
271326.0 17.11
310091.0 18.11
159009.0 17.11
341874.0 17.11
339295.0 17.11
317759.0 16.11
325670.0 17.11
301709.0 16.11
303723.0 17.11
180497.0 16.11
161539.0 16.11
153932.0 16.11
156127.0 16.11
161953.0 17.11
302123.0 16.11
166897.0 16.11
146368.0 15.11
169592.0 15.11
185608.0 15.11
166869.0 15.11
179006.0 15.11
29712.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
140144.0 15.11
29712.0 15.11
260142.0 15.11
186385.0 15.11
206267.0 15.11
194456.0 15.11
168787.0 15.11
140948.0 15.11
129011.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
28612.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
29162.0 15.11
135355.0 15.11
136191.0 15.11
130802.0 15.11
135697.0 15.11
134191.0 15.11
134487.0 15.11
134267.0 15.11
133447.0 15.11
132156.0 15.11
130304.0 15.11
130234.0 15.11
29162.0 15.11
132263.0 15.11
130843.0 15.11
162240.0 15.11
177669.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29162.0 15.11
30263.0 15.11
29162.0 15.11
339265.0 15.11
131730.0 15.11
233260.0 15.11
278157.0 15.11
281540.0 15.11
297622.0 16.11
306475.0 16.11
298951.0 17.11
180296.0 16.11
161745.0 16.11
157833.0 16.11
164393.0 17.11
163526.0 16.11
210379.0 17.11
158794.0 15.11
161077.0 16.11
263747.0 17.11
230226.0 16.11
221253.0 16.11
226421.0 15.11
219669.0 15.11
233619.0 15.11
263031.0 17.11
293132.0 18.11
325015.0 17.11
176766.0 18.11
370349.0 19.11
374590.0 19.11
454004.0 19.11
377885.0 19.11
372699.0 19.11
367153.0 19.11
205512.0 19.11
170299.0 17.11
169749.0 17.11
166826.0 17.11
164393.0 17.11
331351.0 16.11
163002.0 16.11
158398.0 15.11
256005.0 16.11
224285.0 15.11
224408.0 15.11
219679.0 15.11
227902.0 15.11
246473.0 15.11
288333.0 17.11
305362.0 17.11
323340.0 17.11
156283.0 16.11
332787.0 16.11
337165.0 16.11
342031.0 17.11
349611.0 17.11
350627.0 17.11
356159.0 18.11
191674.0 17.11
165787.0 16.11
162907.0 16.11
151113.0 15.11
147602.0 15.11
299640.0 15.11
154665.0 15.11
150490.0 15.11
235012.0 15.11
197479.0 15.11
214117.0 15.11
197738.0 15.11
201183.0 15.11
215914.0 15.11
250496.0 16.11
302411.0 17.11
337073.0 17.11
173609.0 18.11
364924.0 18.11
371032.0 19.11
465011.0 19.11
279435.0 20.11
381907.0 19.11
371810.0 19.11
229554.0 19.11
190985.0 18.11
173792.0 17.11
159648.0 16.11
147880.0 15.11
302342.0 15.11
137397.0 15.11
139526.0 15.11
188955.0 15.11
275927.0 15.11
263993.0 15.11
170374.0 15.11
184267.0 15.11
276185.0 15.11
176699.0 15.11
160239.0 15.11
191378.0 15.11
138057.0 15.11
218093.0 15.11
29162.0 15.11
29162.0 15.11
29490.0 15.11
31414.0 15.11
31315.0 15.11
30419.0 16.11
30229.0 15.11
29986.0 15.11
29986.0 15.11
29986.0 15.11
293787.0 15.11
30342.0 15.11
29162.0 15.11
30263.0 15.11
29712.0 15.11
29712.0 15.11
21972.0 18.11
11019.0 18.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
152640.0 15.11
10454.0 15.11
142270.0 15.11
154099.0 16.11
170778.0 16.11
185878.0 18.11
179439.0 18.11
187413.0 18.11
180930.0 18.11
170720.0 17.11
160845.0 16.11
153752.0 16.11
152372.0 16.11
159163.0 16.11
161745.0 16.11
157476.0 16.11
239510.0 16.11
231970.0 16.11
218950.0 15.11
219579.0 16.11
214626.0 16.11
218746.0 16.11
209723.0 16.11
272015.0 17.11
335264.0 18.11
176013.0 19.11
383951.0 20.11
459387.0 20.11
455327.0 20.11
456499.0 20.11
370517.0 19.11
369547.0 20.11
212852.0 20.11
183474.0 19.11
194020.0 19.11
189685.0 19.11
180543.0 19.11
369423.0 19.11
194011.0 19.11
188870.0 19.11
345801.0 16.11
404967.0 19.11
323035.0 19.11
298763.0 19.11
305626.0 19.11
314027.0 19.11
333147.0 19.11
343886.0 19.11
378704.0 20.11
188953.0 20.11
458976.0 21.11
506218.0 20.11
466924.0 21.11
466620.0 21.11
459101.0 20.11
438129.0 20.11
221295.0 20.11
186119.0 19.11
180543.0 19.11
177096.0 18.11
172671.0 18.11
364924.0 18.11
180738.0 18.11
173971.0 18.11
279908.0 18.11
350967.0 17.11
259598.0 18.11
244749.0 18.11
244401.0 17.11
247154.0 17.11
276402.0 18.11
283624.0 18.11
319151.0 18.11
172091.0 18.11
363575.0 18.11
370729.0 19.11
366517.0 19.11
437975.0 19.11
446486.0 20.11
449937.0 20.11
254538.0 16.11
198712.0 19.11
188807.0 19.11
177757.0 18.11
180196.0 18.11
351222.0 18.11
184875.0 18.11
178997.0 18.11
301760.0 18.11
317319.0 18.11
295949.0 18.11
279852.0 18.11
295035.0 18.11
312442.0 17.11
328925.0 18.11
344592.0 18.11
368737.0 19.11
182353.0 19.11
468654.0 20.11
476484.0 20.11
501446.0 21.11
507119.0 21.11
519238.0 22.11
502717.0 22.11
271333.0 22.11
221182.0 21.11
200123.0 20.11
197830.0 20.11
195247.0 19.11
377542.0 19.11
205912.0 19.11
197512.0 19.11
324179.0 18.11
390655.0 18.11
309622.0 15.11
290024.0 18.11
298845.0 18.11
313608.0 15.11
342176.0 18.11
384814.0 20.11
399156.0 21.11
210008.0 22.11
518489.0 21.11
399156.0 21.11
399156.0 21.11
537513.0 21.11
382833.0 20.11
387986.0 20.11
237042.0 20.11
188802.0 19.11
188807.0 19.11
198142.0 19.11
197830.0 20.11
374906.0 19.11
187458.0 19.11
180736.0 18.11
193090.0 18.11
187136.0 18.11
186446.0 18.11
183040.0 18.11
181255.0 18.11
181868.0 18.11
181538.0 18.11
185759.0 18.11
184872.0 18.11
181538.0 18.11
194481.0 19.11
187136.0 18.11
187830.0 18.11
185547.0 18.11
179441.0 17.11
165526.0 17.11
156451.0 16.11
158280.0 16.11
149353.0 15.11
148416.0 15.11
143525.0 15.11
164789.0 15.11
139956.0 15.11
139956.0 15.11
137750.0 15.11
148007.0 15.11
132247.0 15.11
134422.0 15.11
135172.0 15.11
132941.0 15.11
136433.0 15.11
138517.0 15.11
133185.0 15.11
135927.0 15.11
135113.0 15.11
135989.0 15.11
138516.0 15.11
142396.0 15.11
145698.0 15.11
160114.0 16.11
152181.0 15.11
143647.0 15.11
146280.0 15.11
149207.0 15.11
149273.0 16.11
145722.0 16.11
156739.0 16.11
151178.0 15.11
219497.0 15.11
206926.0 15.11
191083.0 15.11
189317.0 15.11
189292.0 15.11
194168.0 15.11
199476.0 15.11
204554.0 15.11
215568.0 15.11
137736.0 15.11
215688.0 15.11
212147.0 15.11
212194.0 15.11
212739.0 15.11
200986.0 15.11
184750.0 15.11
143384.0 15.11
132832.0 15.11
133057.0 15.11
133510.0 15.11
29712.0 15.11
208759.0 15.11
29712.0 15.11
29162.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
28612.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
253662.0 15.11
28612.0 15.11
270680.0 15.11
259741.0 15.11
176865.0 15.11
261603.0 15.11
136796.0 15.11
129726.0 15.11
130212.0 15.11
130212.0 15.11
129961.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29162.0 15.11
29712.0 15.11
30263.0 15.11
29162.0 15.11
256497.0 15.11
178392.0 15.11
192905.0 15.11
29162.0 15.11
261628.0 15.11
294945.0 16.11
308592.0 16.11
313145.0 17.11
325384.0 18.11
342176.0 18.11
210266.0 18.11
177101.0 18.11
171235.0 18.11
166563.0 17.11
162171.0 17.11
259440.0 17.11
172516.0 17.11
145127.0 15.11
208750.0 15.11
199112.0 15.11
210235.0 15.11
195230.0 15.11
193339.0 15.11
190037.0 15.11
202528.0 15.11
208299.0 15.11
210261.0 15.11
140404.0 15.11
231511.0 15.11
233497.0 15.11
243854.0 15.11
238977.0 15.11
222317.0 15.11
220414.0 15.11
155643.0 15.11
137886.0 15.11
138542.0 15.11
136850.0 15.11
136381.0 15.11
209343.0 15.11
135212.0 15.11
136434.0 15.11
154618.0 15.11
164564.0 15.11
29712.0 15.11
29712.0 15.11
29162.0 15.11
30263.0 15.11
29712.0 15.11
29712.0 15.11
129610.0 15.11
137252.0 15.11
172741.0 15.11
183474.0 15.11
269054.0 15.11
157770.0 15.11
288295.0 15.11
157088.0 15.11
139740.0 15.11
130628.0 15.11
133224.0 15.11
130323.0 15.11
130505.0 15.11
166701.0 15.11
131294.0 15.11
131388.0 15.11
133585.0 15.11
138517.0 15.11
133246.0 15.11
135607.0 15.11
133357.0 15.11
133605.0 15.11
133391.0 15.11
134485.0 15.11
132122.0 15.11
133624.0 15.11
154947.0 16.11
148069.0 15.11
151717.0 15.11
148672.0 15.11
141728.0 15.11
134834.0 15.11
134485.0 15.11
133741.0 15.11
133274.0 15.11
131159.0 15.11
130366.0 15.11
135006.0 15.11
131742.0 15.11
131742.0 15.11
133636.0 15.11
131205.0 15.11
131928.0 15.11
130066.0 15.11
130267.0 15.11
129829.0 15.11
132343.0 15.11
133660.0 15.11
129718.0 15.11
130952.0 15.11
134328.0 15.11
135172.0 15.11
136215.0 15.11
136313.0 15.11
138814.0 15.11
137725.0 15.11
138814.0 15.11
141787.0 15.11
139841.0 15.11
139139.0 15.11
137203.0 15.11
132140.0 15.11
135454.0 15.11
139047.0 15.11
205391.0 15.11
286084.0 15.11
149694.0 15.11
158334.0 15.11
156239.0 15.11
157096.0 15.11
162388.0 15.11
159483.0 15.11
179372.0 15.11
131671.0 15.11
185385.0 15.11
201922.0 15.11
200835.0 15.11
205559.0 15.11
207834.0 15.11
198955.0 15.11
145786.0 15.11
136128.0 15.11
134558.0 15.11
134094.0 15.11
133080.0 15.11
189399.0 15.11
134179.0 15.11
132692.0 15.11
154729.0 15.11
159409.0 15.11
148313.0 15.11
30263.0 15.11
29162.0 15.11
29712.0 15.11
