Date	Power	Tset
1/1/2012 0:00	29712	15.11
1/1/2012 1:00	30263	15.11
1/1/2012 2:00	29712	15.11
1/1/2012 3:00	29712	15.11
1/1/2012 4:00	29162	15.11
1/1/2012 5:00	29712	15.11
1/1/2012 6:00	29162	15.11
1/1/2012 7:00	29712	15.11
1/1/2012 8:00	30263	15.11
1/1/2012 9:00	30263	15.11
1/1/2012 10:00	29712	15.11
1/1/2012 11:00	123188	15.11
1/1/2012 12:00	122715	15.11
1/1/2012 13:00	125948	15.11
1/1/2012 14:00	134285	15.11
1/1/2012 15:00	133959	15.11
1/1/2012 16:00	135391	15.11
1/1/2012 17:00	131291	15.11
1/1/2012 18:00	132603	15.11
1/1/2012 19:00	135675	15.11
1/1/2012 20:00	223414	15.11
1/1/2012 21:00	129135	15.11
1/1/2012 22:00	132243	15.11
1/1/2012 23:00	120224	15.11
1/2/2012 0:00	29162	15.11
1/2/2012 1:00	30263	15.11
1/2/2012 2:00	29712	15.11
1/2/2012 3:00	30263	15.11
1/2/2012 4:00	29712	15.11
1/2/2012 5:00	29712	15.11
1/2/2012 6:00	29162	15.11
1/2/2012 7:00	29712	15.11
1/2/2012 8:00	29712	15.11
1/2/2012 9:00	29712	15.11
1/2/2012 10:00	29712	15.11
1/2/2012 11:00	128243	15.11
1/2/2012 12:00	29162	15.11
1/2/2012 13:00	29712	15.11
1/2/2012 14:00	29712	15.11
1/2/2012 15:00	29712	15.11
1/2/2012 16:00	30263	15.11
1/2/2012 17:00	30263	15.11
1/2/2012 18:00	29712	15.11
1/2/2012 19:00	29712	15.11
1/2/2012 20:00	30263	15.11
1/2/2012 21:00	29162	15.11
1/2/2012 22:00	30263	15.11
1/2/2012 23:00	30263	15.11
1/3/2012 0:00	29712	15.11
1/3/2012 1:00	29712	15.11
1/3/2012 2:00	29712	15.11
1/3/2012 3:00	29162	15.11
1/3/2012 4:00	29712	15.11
1/3/2012 5:00	29712	15.11
1/3/2012 6:00	29712	15.11
1/3/2012 7:00	29712	15.11
1/3/2012 8:00	30263	15.11
1/3/2012 9:00	29712	15.11
1/3/2012 10:00	29712	15.11
1/3/2012 11:00	29712	15.11
1/3/2012 12:00	29712	15.11
1/3/2012 13:00	29712	15.11
1/3/2012 14:00	30263	15.11
1/3/2012 15:00	29712	15.11
1/3/2012 16:00	29712	15.11
1/3/2012 17:00	29712	15.11
1/3/2012 18:00	29162	15.11
1/3/2012 19:00	29162	15.11
1/3/2012 20:00	29712	15.11
1/3/2012 21:00	29712	15.11
1/3/2012 22:00	29162	15.11
1/3/2012 23:00	30263	15.11
1/4/2012 0:00	29712	15.11
1/4/2012 1:00	29162	15.11
1/4/2012 2:00	29712	15.11
1/4/2012 3:00	29712	15.11
1/4/2012 4:00	29162	15.11
1/4/2012 5:00	29712	15.11
1/4/2012 6:00	29162	15.11
1/4/2012 7:00	29162	15.11
1/4/2012 8:00	28612	15.11
1/4/2012 9:00	29162	15.11
1/4/2012 10:00	29162	15.11
1/4/2012 11:00	29712	15.11
1/4/2012 12:00	29712	15.11
1/4/2012 13:00	29712	15.11
1/4/2012 14:00	29712	15.11
1/4/2012 15:00	29712	15.11
1/4/2012 16:00	30263	15.11
1/4/2012 17:00	29712	15.11
1/4/2012 18:00	29712	15.11
1/4/2012 19:00	29712	15.11
1/4/2012 20:00	30263	15.11
1/4/2012 21:00	29162	15.11
1/4/2012 22:00	29712	15.11
1/4/2012 23:00	29162	15.11
1/5/2012 0:00	29712	15.11
1/5/2012 1:00	29712	15.11
1/5/2012 2:00	29162	15.11
1/5/2012 3:00	29712	15.11
1/5/2012 4:00	29162	15.11
1/5/2012 5:00	29712	15.11
1/5/2012 6:00	30263	15.11
1/5/2012 7:00	29712	15.11
1/5/2012 8:00	29712	15.11
1/5/2012 9:00	29162	15.11
1/5/2012 10:00	29162	15.11
1/5/2012 11:00	29162	15.11
1/5/2012 12:00	30263	15.11
1/5/2012 13:00	29712	15.11
1/5/2012 14:00	29712	15.11
1/5/2012 15:00	30263	15.11
1/5/2012 16:00	29162	15.11
1/5/2012 17:00	29712	15.11
1/5/2012 18:00	29712	15.11
1/5/2012 19:00	30263	15.11
1/5/2012 20:00	29712	15.11
1/5/2012 21:00	29712	15.11
1/5/2012 22:00	29712	15.11
1/5/2012 23:00	30263	15.11
1/6/2012 0:00	29712	15.11
1/6/2012 1:00	29712	15.11
1/6/2012 2:00	29162	15.11
1/6/2012 3:00	29162	15.11
