Date	Ind	Twet
1/1/2011	53	-5.9
1/1/2011	153	-6.1
1/1/2011	253	-6.9
1/1/2011	353	-6.9
1/1/2011	453	-6.3
1/1/2011	553	-6.8
1/1/2011	653	-6
1/1/2011	753	-6.4
1/1/2011	853	-5.5
1/1/2011	953	-3.6
1/1/2011	1053	-2
1/1/2011	1153	-0.8
1/1/2011	1253	-0.2
1/1/2011	1353	-0.5
1/1/2011	1453	-0.5
1/1/2011	1553	-2
1/1/2011	1653	-2.9
1/1/2011	1753	-3.2
1/1/2011	1853	-3.2
1/1/2011	1953	-3.6
1/1/2011	2053	-3.6
1/1/2011	2153	-3.9
1/1/2011	2253	-4.3
1/1/2011	2353	-5
1/2/2011	53	-4.7
1/2/2011	153	-5.2
1/2/2011	253	-6.1
1/2/2011	353	-6.1
1/2/2011	453	-5.7
1/2/2011	553	-5.6
1/2/2011	653	-5.6
1/2/2011	753	-5.6
1/2/2011	853	-4.7
1/2/2011	953	-2.7
1/2/2011	1053	-1.3
1/2/2011	1153	-0.7
1/2/2011	1253	0
1/2/2011	1353	0.4
1/2/2011	1453	0.4
1/2/2011	1553	-0.3
1/2/2011	1653	-2.8
1/2/2011	1753	-2.8
1/2/2011	1853	-3.1
1/2/2011	1953	-3.3
1/2/2011	2053	-2.9
1/2/2011	2153	-4.5
1/2/2011	2253	-4.5
1/2/2011	2353	-4.5
1/3/2011	53	-4.5
1/3/2011	153	-4.2
1/3/2011	253	-4.5
1/3/2011	353	-4.5
1/3/2011	453	-4.4
1/3/2011	553	-5.3
1/3/2011	653	-5.8
1/3/2011	753	-5.1
1/3/2011	853	-5.1
1/3/2011	953	-2.4
1/3/2011	1053	-0.7
1/3/2011	1153	0.3
1/3/2011	1253	1.1
1/3/2011	1353	1.4
1/3/2011	1453	1.2
1/3/2011	1553	-0.3
1/3/2011	1653	-2.2
1/3/2011	1753	-2.8
1/3/2011	1853	-2.2
1/3/2011	1953	-2.4
1/3/2011	2053	-2.4
1/3/2011	2153	-2.6
1/3/2011	2253	-3.5
1/3/2011	2353	-2.4
1/4/2011	53	-1.9
1/4/2011	153	-3.5
1/4/2011	253	-2.9
1/4/2011	353	-4
1/4/2011	453	-4
1/4/2011	553	-3.8
1/4/2011	653	-2.2
1/4/2011	753	-2.2
1/4/2011	853	-1.9
1/4/2011	953	-1.1
1/4/2011	1053	-0.2
1/4/2011	1153	1.2
1/4/2011	1253	1.8
1/4/2011	1353	0.9
1/4/2011	1453	1.2
1/4/2011	1553	0.7
1/4/2011	1653	0.3
1/4/2011	1753	0.3
1/4/2011	1853	0.7
1/4/2011	1953	0.7
1/4/2011	2053	0.3
1/4/2011	2153	0.3
1/4/2011	2253	0.3
1/4/2011	2351	0.2
1/4/2011	2353	0.2
1/5/2011	19	0.2
1/5/2011	37	0.2
1/5/2011	53	0.2
1/5/2011	153	0.4
1/5/2011	253	0.7
1/5/2011	353	1
1/5/2011	453	1
1/5/2011	553	1
1/5/2011	653	1.2
1/5/2011	753	3.2
1/5/2011	800	3.1
1/5/2011	831	3.8
1/5/2011	853	3.5
1/5/2011	953	4.1
1/5/2011	1053	4.9
1/5/2011	1153	5.4
1/5/2011	1253	5.4
1/5/2011	1353	5.7
1/5/2011	1453	6.2
1/5/2011	1512	6
1/5/2011	1519	6
1/5/2011	1553	6.5
1/5/2011	1653	6.8
1/5/2011	1753	6.7
1/5/2011	1853	7
1/5/2011	1953	7
1/5/2011	2053	7
1/5/2011	2122	6.9
1/5/2011	2153	7
1/5/2011	2251	6.9
1/5/2011	2253	6.7
1/5/2011	2308	6.9
1/5/2011	2353	6.9
1/6/2011	53	6.9
1/6/2011	151	6.9
1/6/2011	153	6.9
1/6/2011	253	6.7
1/6/2011	353	6.9
1/6/2011	434	6.9
1/6/2011	453	6.4
1/6/2011	502	6.7
1/6/2011	522	6.9
1/6/2011	553	6.9
1/6/2011	606	6.9
1/6/2011	627	6.9
1/6/2011	644	6.6
1/6/2011	653	6.6
1/6/2011	753	6.6
1/6/2011	811	6.6
1/6/2011	819	6.1
1/6/2011	832	5.6
1/6/2011	853	5.6
1/6/2011	949	5.1
1/6/2011	951	5.1
1/6/2011	953	5.3
1/6/2011	1014	5.1
1/6/2011	1053	5.3
1/6/2011	1102	5.1
1/6/2011	1153	5.6
1/6/2011	1156	5.1
1/6/2011	1253	5
1/6/2011	1306	5.1
1/6/2011	1353	5
1/6/2011	1420	5.1
1/6/2011	1453	7.5
1/6/2011	1550	5.1
1/6/2011	1553	4.8
1/6/2011	1653	4.7
1/6/2011	1751	5.1
1/6/2011	1753	4.8
1/6/2011	1810	5.1
1/6/2011	1853	7.5
1/6/2011	1953	6.1
1/6/2011	2027	5.6
1/6/2011	2053	8
1/6/2011	2153	8
1/6/2011	2253	5.6
1/6/2011	2346	8
1/6/2011	2351	7.5
1/6/2011	2353	7.7
1/7/2011	53	7.5
1/7/2011	153	7.5
1/7/2011	253	7.5
1/7/2011	353	8.3
1/7/2011	453	8.3
1/7/2011	553	8.3
1/7/2011	653	8.3
1/7/2011	753	8.1
1/7/2011	853	7.8
1/7/2011	953	7.8
1/7/2011	1051	7.5
1/7/2011	1053	7.5
1/7/2011	1130	7.5
1/7/2011	1153	7.5
1/7/2011	1201	6.9
1/7/2011	1248	6.9
1/7/2011	1253	7
1/7/2011	1353	7.3
1/7/2011	1453	5.9
1/7/2011	1553	5.4
1/7/2011	1653	4.7
1/7/2011	1753	3.8
1/7/2011	1851	4
1/7/2011	1853	4
1/7/2011	1928	3.8
1/7/2011	1953	3.5
1/7/2011	2053	2
1/7/2011	2151	3.8
1/7/2011	2153	3.5
1/7/2011	2221	3.1
1/7/2011	2253	2
1/7/2011	2353	2
1/8/2011	53	2
1/8/2011	153	2
1/8/2011	253	0.4
1/8/2011	353	1.3
1/8/2011	453	1
1/8/2011	553	1.3
1/8/2011	653	0.4
1/8/2011	753	0.4
1/8/2011	853	1
1/8/2011	953	2.1
1/8/2011	1053	3.2
1/8/2011	1153	3.5
1/8/2011	1253	3.5
1/8/2011	1353	3.4
1/8/2011	1453	3.3
1/8/2011	1553	3.2
1/8/2011	1653	2.9
1/8/2011	1753	1
1/8/2011	1853	1.2
1/8/2011	1953	1.2
1/8/2011	2007	1.7
1/8/2011	2039	1.7
1/8/2011	2053	1
1/8/2011	2151	0.6
1/8/2011	2153	0.6
1/8/2011	2212	0.6
1/8/2011	2223	0.2
1/8/2011	2231	0.6
1/8/2011	2253	0.6
1/8/2011	2325	0.2
1/8/2011	2336	0.2
1/8/2011	2353	0.4
1/9/2011	27	0.2
1/9/2011	34	0.2
1/9/2011	38	0.2
1/9/2011	50	0.2
1/9/2011	53	0.4
1/9/2011	59	0.2
1/9/2011	112	0.2
1/9/2011	130	0.2
1/9/2011	151	0.2
1/9/2011	153	0.4
1/9/2011	211	0.2
1/9/2011	253	-0.1
1/9/2011	322	-0.1
1/9/2011	339	0.2
1/9/2011	351	0.2
1/9/2011	353	0.4
1/9/2011	412	0.2
1/9/2011	421	M
1/9/2011	425	M
1/9/2011	437	-0.3
1/9/2011	444	-0.3
1/9/2011	453	-0.6
1/9/2011	526	-0.7
1/9/2011	536	-1
1/9/2011	553	-1.4
1/9/2011	608	-0.7
1/9/2011	638	-0.7
1/9/2011	653	-1.5
1/9/2011	751	-1.4
1/9/2011	753	-1.9
1/9/2011	841	-2.4
1/9/2011	853	-2.4
1/9/2011	953	-2.2
1/9/2011	1053	-2.2
1/9/2011	1153	-2
1/9/2011	1253	-2
1/9/2011	1353	-1.6
1/9/2011	1453	-2
1/9/2011	1553	-2.5
1/9/2011	1653	-3.2
1/9/2011	1753	-3.4
1/9/2011	1853	-3.4
1/9/2011	1953	-3.8
1/9/2011	2053	-3.8
1/9/2011	2153	-3.9
1/9/2011	2253	-3.4
1/9/2011	2353	-3.4
1/10/2011	53	-3.4
1/10/2011	153	-3.4
1/10/2011	253	-3.4
1/10/2011	353	-3.8
1/10/2011	453	-3.8
1/10/2011	553	-3.9
1/10/2011	653	-3.9
1/10/2011	753	-3.9
1/10/2011	853	-3.9
1/10/2011	953	-3.6
1/10/2011	1053	-3.1
1/10/2011	1153	-1.9
1/10/2011	1253	-2.2
1/10/2011	1353	-2.6
1/10/2011	1453	-2.9
1/10/2011	1553	-2.9
1/10/2011	1653	-2.9
1/10/2011	1753	-2.8
1/10/2011	1853	-3
1/10/2011	1953	-3
1/10/2011	2053	-3
1/10/2011	2153	-3
1/10/2011	2253	-3.4
1/10/2011	2353	-3.4
1/11/2011	53	-3.4
1/11/2011	153	-3.7
1/11/2011	253	-3.6
1/11/2011	353	-3.8
1/11/2011	453	-3.6
1/11/2011	553	-3.2
1/11/2011	653	-3.4
1/11/2011	753	-3.7
1/11/2011	853	-3
1/11/2011	953	-2.3
1/11/2011	1053	-2.1
1/11/2011	1153	-1.6
1/11/2011	1253	-1.4
1/11/2011	1353	-1.4
1/11/2011	1453	-1.6
1/11/2011	1553	-1.6
1/11/2011	1634	-1.4
1/11/2011	1653	-1
1/11/2011	1736	-0.7
1/11/2011	1753	-0.8
1/11/2011	1853	-1.3
1/11/2011	1953	-1.2
1/11/2011	2017	-0.7
1/11/2011	2026	-0.7
1/11/2011	2033	-0.3
1/11/2011	2038	-1
1/11/2011	2051	-1.5
1/11/2011	2053	-1.1
1/11/2011	2121	-1.5
1/11/2011	2130	-1.5
1/11/2011	2153	-1.5
1/11/2011	2244	-1.5
1/11/2011	2251	-1.5
1/11/2011	2253	-1.5
1/11/2011	2305	-1.5
1/11/2011	2320	-1.5
1/11/2011	2339	-1.5
1/11/2011	2353	-1.1
1/12/2011	51	-0.8
1/12/2011	53	-0.6
1/12/2011	116	-0.8
1/12/2011	122	-0.8
1/12/2011	148	-0.8
1/12/2011	153	-0.4
1/12/2011	218	0.2
1/12/2011	251	0.2
1/12/2011	253	0
1/12/2011	353	1.5
1/12/2011	417	3.3
1/12/2011	451	4.4
1/12/2011	453	3.8
1/12/2011	507	4.4
1/12/2011	532	4.6
1/12/2011	553	4.3
1/12/2011	606	4.6
1/12/2011	630	4.6
1/12/2011	653	4.8
1/12/2011	753	4.8
1/12/2011	853	5.3
1/12/2011	923	5.7
1/12/2011	953	5.9
1/12/2011	1031	6.1
1/12/2011	1053	6.1
1/12/2011	1153	6.7
1/12/2011	1253	7.2
1/12/2011	1309	6.9
1/12/2011	1353	6.7
1/12/2011	1438	6.4
1/12/2011	1453	6.4
1/12/2011	1553	6
1/12/2011	1653	5.8
1/12/2011	1753	5.1
1/12/2011	1853	5.1
1/12/2011	1951	5.1
1/12/2011	1953	5.1
1/12/2011	2038	5.1
1/12/2011	2053	4.8
1/12/2011	2144	5.1
1/12/2011	2153	5.3
1/12/2011	2201	5.6
1/12/2011	2221	5.6
1/12/2011	2230	5.6
1/12/2011	2253	6.1
1/12/2011	2312	6.1
1/12/2011	2328	5.1
1/12/2011	2338	5.1
1/12/2011	2351	5.1
1/12/2011	2353	5
1/13/2011	4	5.1
1/13/2011	19	4.5
1/13/2011	36	5.1
1/13/2011	53	4.5
1/13/2011	153	3.9
1/13/2011	253	4.1
1/13/2011	338	3.8
1/13/2011	353	4.1
1/13/2011	453	4.1
1/13/2011	548	3.8
1/13/2011	553	4.4
1/13/2011	613	3.8
1/13/2011	653	5
1/13/2011	751	5
1/13/2011	753	5
1/13/2011	823	9.4
1/13/2011	853	9.7
1/13/2011	953	9.4
1/13/2011	1053	9.4
1/13/2011	1153	9.9
1/13/2011	1253	8.8
1/13/2011	1353	9.7
1/13/2011	1453	9.1
1/13/2011	1539	9.9
1/13/2011	1553	9.7
1/13/2011	1653	9.4
1/13/2011	1720	9.4
1/13/2011	1753	9.7
1/13/2011	1853	9.7
1/13/2011	1953	9.9
1/13/2011	2024	9.9
1/13/2011	2053	9.1
1/13/2011	2153	9.1
1/13/2011	2211	8.8
1/13/2011	2219	8.8
1/13/2011	2253	8.8
1/13/2011	2353	8.8
1/14/2011	27	8
1/14/2011	53	8.6
1/14/2011	134	8.3
1/14/2011	153	8.3
1/14/2011	205	8
1/14/2011	249	8
1/14/2011	253	8
1/14/2011	300	8
1/14/2011	353	8.3
1/14/2011	451	8
1/14/2011	453	8.3
1/14/2011	553	8.3
1/14/2011	653	8.6
1/14/2011	719	8.6
1/14/2011	753	9.1
1/14/2011	853	9.4
1/14/2011	953	9.7
1/14/2011	1053	9.9
1/14/2011	1123	9.9
1/14/2011	1153	10.2
1/14/2011	1245	10.5
1/14/2011	1253	10.5
1/14/2011	1353	10.2
1/14/2011	1453	10.7
1/14/2011	1500	10.2
1/14/2011	1507	10.2
1/14/2011	1553	10.7
1/14/2011	1618	10.5
1/14/2011	1653	10.2
1/14/2011	1700	10.5
1/14/2011	1751	10.5
1/14/2011	1753	10.2
1/14/2011	1853	9.2
1/14/2011	1953	9.7
1/14/2011	2053	9.1
1/14/2011	2106	9.1
1/14/2011	2120	9.7
1/14/2011	2153	9.1
1/14/2011	2237	9.7
1/14/2011	2249	9.7
1/14/2011	2253	9.1
1/14/2011	2353	9.1
1/15/2011	53	8.6
1/15/2011	153	8.6
1/15/2011	253	8.9
1/15/2011	353	8.6
1/15/2011	453	8.9
1/15/2011	553	8.6
1/15/2011	653	8.4
1/15/2011	753	8.6
1/15/2011	853	8.9
1/15/2011	953	8.9
1/15/2011	1053	8.9
1/15/2011	1153	8.9
1/15/2011	1253	9.7
1/15/2011	1353	9.4
1/15/2011	1453	9.4
1/15/2011	1553	9.1
1/15/2011	1653	8.8
1/15/2011	1753	8.8
1/15/2011	1853	8
1/15/2011	1916	7.5
1/15/2011	1939	7.5
1/15/2011	1951	7.5
1/15/2011	1953	7.7
1/15/2011	2053	7.7
1/15/2011	2100	7.5
1/15/2011	2124	7.5
1/15/2011	2153	7.7
1/15/2011	2156	8
1/15/2011	2221	8
1/15/2011	2228	8.8
1/15/2011	2246	8.8
