Date	Twet	Load	Hour(s)	TimeStamp(s)
2011-02-09 10:00:00	-5.3	397.7	36000	1297245600
2011-02-09 11:00:00	-4.6	58.2	39600	1297249200
2011-02-09 12:00:00	-4.2	58.2	43200	1297252800
2011-02-09 13:00:00	-3.5	388.0	46800	1297256400
2011-02-09 14:00:00	-3.8	397.7	50400	1297260000
2011-02-09 15:00:00	-3.9	407.4	54000	1297263600
2011-02-09 16:00:00	-3.8	446.2	57600	1297267200
2011-02-09 17:00:00	-4.0	446.2	61200	1297270800
2011-02-09 18:00:00	-3.4	446.2	64800	1297274400
2011-02-09 19:00:00	-3.5	436.5	68400	1297278000
2011-02-09 20:00:00	-3.5	436.5	72000	1297281600
2011-02-09 21:00:00	-2.9	58.2	75600	1297285200
2011-02-09 22:00:00	-2.6	446.2	79200	1297288800
2011-02-09 23:00:00	-3.3	727.5	82800	1297292400
2011-02-10 00:00:00	-3.8	426.8	0	1297296000
2011-02-10 01:00:00	-4.0	436.5	3600	1297299600
2011-02-10 02:00:00	-4.4	58.2	7200	1297303200
2011-02-10 03:00:00	-5.2	58.2	10800	1297306800
2011-02-10 04:00:00	-5.4	58.2	14400	1297310400
2011-02-10 05:00:00	-6.0	58.2	18000	1297314000
2011-02-10 06:00:00	-7.0	58.2	21600	1297317600
2011-02-10 07:00:00	-7.4	58.2	25200	1297321200
2011-02-10 08:00:00	-6.1	58.2	28800	1297324800
2011-02-10 09:00:00	-6.1	58.2	32400	1297328400
2011-02-10 10:00:00	-5.5	58.2	36000	1297332000
2011-02-10 11:00:00	-4.9	58.2	39600	1297335600
2011-02-10 12:00:00	-5.4	58.2	43200	1297339200
2011-02-10 13:00:00	-4.8	58.2	46800	1297342800
2011-02-10 14:00:00	-4.9	58.2	50400	1297346400
2011-02-10 15:00:00	-4.6	58.2	54000	1297350000
2011-02-10 16:00:00	-5.4	979.7	57600	1297353600
2011-02-10 17:00:00	-6.2	58.2	61200	1297357200
2011-02-10 18:00:00	-6.2	358.9000000000001	64800	1297360800
2011-02-10 19:00:00	-8.2	58.2	68400	1297364400
2011-02-10 20:00:00	-8.5	533.5	72000	1297368000
2011-02-10 21:00:00	-8.6	58.2	75600	1297371600
2011-02-10 22:00:00	-9.2	58.2	79200	1297375200
2011-02-10 23:00:00	-9.8	58.2	82800	1297378800
2011-02-11 00:00:00	-10.0	58.2	0	1297382400
2011-02-11 01:00:00	-9.9	58.2	3600	1297386000
2011-02-11 02:00:00	-10.5	58.2	7200	1297389600
2011-02-11 03:00:00	-10.3	58.2	10800	1297393200
2011-02-11 04:00:00	-10.6	58.2	14400	1297396800
2011-02-11 05:00:00	-11.0	58.2	18000	1297400400
2011-02-11 06:00:00	-10.6	58.2	21600	1297404000
2011-02-11 07:00:00	-8.8	58.2	25200	1297407600
2011-02-11 08:00:00	-5.1	58.2	28800	1297411200
2011-02-11 09:00:00	-3.2	58.2	32400	1297414800
2011-02-11 10:00:00	-1.8	58.2	36000	1297418400
2011-02-11 11:00:00	-1.0	58.2	39600	1297422000
2011-02-11 12:00:00	-0.7	58.2	43200	1297425600
2011-02-11 13:00:00	-0.3	58.2	46800	1297429200
2011-02-11 14:00:00	0.2	58.2	50400	1297432800
2011-02-11 15:00:00	0.6	1154.3	54000	1297436400
2011-02-11 16:00:00	0.4	504.4	57600	1297440000
2011-02-11 17:00:00	-1.4	630.5	61200	1297443600
2011-02-11 18:00:00	-3.3	601.4	64800	1297447200
2011-02-11 19:00:00	-3.4	601.4	68400	1297450800
2011-02-11 20:00:00	-4.5	58.2	72000	1297454400
2011-02-11 21:00:00	-4.5	58.2	75600	1297458000
2011-02-11 22:00:00	-5.1	58.2	79200	1297461600
2011-02-11 23:00:00	-5.4	58.2	82800	1297465200
2011-02-12 00:00:00	-6.0	58.2	0	1297468800
2011-02-12 01:00:00	-6.3	58.2	3600	1297472400
2011-02-12 02:00:00	-7.1	58.2	7200	1297476000
2011-02-12 03:00:00	-7.1	58.2	10800	1297479600
2011-02-12 04:00:00	-7.7	58.2	14400	1297483200
2011-02-12 05:00:00	-7.1	58.2	18000	1297486800
2011-02-12 06:00:00	-4.4	58.2	21600	1297490400
2011-02-12 07:00:00	-4.9	58.2	25200	1297494000
2011-02-12 08:00:00	-2.8	58.2	28800	1297497600
2011-02-12 09:00:00	-1.6	58.2	32400	1297501200
2011-02-12 10:00:00	0.3	407.4	36000	1297504800
2011-02-12 11:00:00	1.0	426.8	39600	1297508400
2011-02-12 12:00:00	0.9	475.3	43200	1297512000
2011-02-12 13:00:00	1.4	543.2	46800	1297515600
2011-02-12 14:00:00	0.9	485.0	50400	1297519200
2011-02-12 15:00:00	1.1	523.8000000000002	54000	1297522800
2011-02-12 16:00:00	0.6	533.5	57600	1297526400
2011-02-12 17:00:00	-0.6	533.5	61200	1297530000
2011-02-12 18:00:00	-0.8	494.7000000000001	64800	1297533600
2011-02-12 19:00:00	-2.3	504.4	68400	1297537200
2011-02-12 20:00:00	-1.8	523.8000000000002	72000	1297540800
2011-02-12 21:00:00	-2.2	436.5	75600	1297544400
2011-02-12 22:00:00	-2.2	58.2	79200	1297548000
2011-02-12 23:00:00	-2.5	397.7	82800	1297551600
2011-02-13 00:00:00	-3.8	465.6	0	1297555200
2011-02-13 01:00:00	-3.5	58.2	3600	1297558800
2011-02-13 02:00:00	-3.5	358.9000000000001	7200	1297562400
2011-02-13 03:00:00	-3.1	591.7	10800	1297566000
2011-02-13 04:00:00	-1.9	446.2	14400	1297569600
2011-02-13 05:00:00	-1.9	436.5	18000	1297573200
2011-02-13 06:00:00	-2.2	611.1	21600	1297576800
2011-02-13 07:00:00	-1.7	58.2	25200	1297580400
