Twet	Load	Tset
4.9	54	15.11
4.8	55	15.11
3.8	54	15.11
3.8	54	15.11
3.7	53	15.11
3.7	54	15.11
3.1	53	15.11
3.4	54	15.11
4.5	55	15.11
6	55	15.11
7.4	54	15.11
7.9	373	15.11
8.5	370	15.11
9.2	383	15.11
8.7	419	15.11
9.5	416	15.11
9.8	421	15.11
8.6	407	15.11
9.7	410	15.11
10.2	421	15.11
10.7	680	15.11
8	399	15.11
5.4	414	15.11
4.4	361	15.11
3.2	53	15.11
2.8	55	15.11
2.5	54	15.11
1	55	15.11
0.1	54	15.11
-1.4	54	15.11
-1.3	53	15.11
-1.5	54	15.11
-0.7	54	15.11
-0.4	54	15.11
0	54	15.11
0.7	398	15.11
0.6	53	15.11
0.3	54	15.11
-0.4	54	15.11
-0.4	54	15.11
-0.8	55	15.11
-1	55	15.11
-1.2	54	15.11
-1.2	54	15.11
-1.6	55	15.11
-1.8	53	15.11
-2	55	15.11
-2.7	55	15.11
-3	54	15.11
-3.2	54	15.11
-3.7	54	15.11
-4.2	53	15.11
-4	54	15.11
-4	54	15.11
-3.7	54	15.11
-3.8	54	15.11
-4.1	55	15.11
-4.2	54	15.11
-3.8	54	15.11
-3.9	54	15.11
-3.9	54	15.11
-4.7	54	15.11
-5	55	15.11
-5.9	54	15.11
-6.2	54	15.11
-6.6	54	15.11
-6.7	53	15.11
-7	53	15.11
-6.5	54	15.11
-6.9	54	15.11
-7.6	53	15.11
-8.6	55	15.11
-9.3	54	15.11
-10.3	53	15.11
-10.8	54	15.11
-10.6	54	15.11
-10.5	53	15.11
-10.4	54	15.11
-9.9	53	15.11
-9.3	53	15.11
-8.4	52	15.11
-7.6	53	15.11
-6.9	53	15.11
-5.3	54	15.11
-4.5	54	15.11
-3.9	54	15.11
-3.5	54	15.11
-3	54	15.11
-3.1	55	15.11
-2.5	54	15.11
-2.5	54	15.11
-2.4	54	15.11
-2.3	55	15.11
-2.4	53	15.11
-1.5	54	15.11
-2	53	15.11
-2	54	15.11
-1.7	54	15.11
-1.9	53	15.11
-1.5	54	15.11
-0.5	53	15.11
-0.8	54	15.11
-0.5	55	15.11
0	54	15.11
0.1	54	15.11
1.9	53	15.11
2	53	15.11
2.9	53	15.11
3.1	55	15.11
3.1	54	15.11
3.1	54	15.11
3.5	55	15.11
2.8	53	15.11
2.3	54	15.11
2	54	15.11
1.3	55	15.11
1.1	54	15.11
0.8	54	15.11
0.5	54	15.11
0.7	55	15.11
0.1	54	15.11
0.1	54	15.11
0	53	15.11
-0.1	53	15.11
0.5	54	15.11
0.6	54	15.11
1	54	15.11
1	53	15.11
1.6	54	15.11
2.9	55	15.11
4.6	54	15.11
6	54	15.11
7.6	540	15.11
8.3	673	15.11
8.6	732	15.11
7.6	708	15.11
7.8	684	15.11
7.3	636	15.11
6.1	450	15.11
5.7	409	15.11
5.1	398	15.11
4.6	406	15.11
4.6	407	15.11
5.2	862	15.11
4.8	55	15.11
3.9	54	15.11
3.6	54	15.11
2.4	54	15.11
2.2	55	15.11
1.3	55	15.11
1.4	55	15.11
0.9	54	15.11
3.1	54	15.11
4.4	54	15.11
5.5	55	15.11
7.5	404	15.11
9.4	411	15.11
12.2	425	15.11
11.5	414	15.11
11.7	413	15.11
11.5	415	15.11
10.3	399	15.11
9.2	400	15.11
7.5	398	15.11
7.1	400	15.11
5.7	390	15.11
4.5	384	15.11
3.3	653	15.11
3.7	385	15.11
3	55	15.11
3	54	15.11
2.7	54	15.11
2.7	55	15.11
2.5	54	15.11
2.2	55	15.11
3	53	15.11
3.8	55	15.11
4.3	54	15.11
4.9	54	15.11
5	384	15.11
5.2	367	15.11
5	54	15.11
4.8	403	15.11
4.5	370	15.11
3.8	365	15.11
3	369	15.11
2.1	54	15.11
1.9	54	15.11
1.4	54	15.11
1.2	54	15.11
0.4	55	15.11
0.1	510	15.11
0	54	15.11
-0.2	54	15.11
-0.2	54	15.11
-1	54	15.11
-0.7	54	15.11
-0.7	55	15.11
-0.8	53	15.11
-0.5	55	15.11
0.3	54	15.11
0.9	54	15.11
0.9	54	15.11
1.2	55	15.11
1.1	54	15.11
0.7	54	15.11
1.3	54	15.11
0.6	54	15.11
0.1	55	15.11
0.6	53	15.11
0.4	54	15.11
0.6	54	15.11
0.6	54	15.11
1	54	15.11
1	54	15.11
1.2	55	15.11
1	54	15.11
1	54	15.11
0.4	54	15.11
0.3	54	15.11
-0.2	53	15.11
-0.2	56	15.11
-0.2	54	15.11
-0.4	54	15.11
0.4	54	15.11
2.1	54	15.11
3.5	54	15.11
5.2	53	15.11
5.9	54	15.11
5.9	1089	15.11
6	478	15.11
5.7	589	15.11
5.3	564	15.11
5.2	561	15.11
4.5	56	15.11
4.3	55	15.11
3.4	54	15.11
3	55	15.11
2.5	55	15.11
2	54	15.11
0.2	55	15.11
1.1	54	15.11
0.5	54	15.11
0	54	15.11
0.2	55	15.11
-0.2	55	15.11
0	56	15.11
0.2	54	15.11
1.5	54	15.11
2.9	53	15.11
4	54	15.11
5.1	56	15.11
5.4	54	15.11
6.7	54	15.11
6.9	54	15.11
6.7	54	15.11
6.7	54	15.11
6.4	55	15.11
6.4	55	15.11
6.7	54	15.11
6.9	54	15.11
6.9	54	15.11
7.7	55	15.11
8.8	56	15.11
8.8	54	15.11
8.8	56	15.11
8.3	54	15.11
8.3	54	15.11
8.3	56	15.11
6.9	55	15.11
6.1	54	15.11
5.8	54	15.11
6.4	56	15.11
6.7	54	15.11
7.5	54	15.11
8	55	15.11
9.6	422	15.11
10.2	518	15.11
10.7	646	15.11
10.4	660	15.11
9.9	652	15.11
9.1	660	15.11
9.6	442	15.11
10.2	408	15.11
8.1	358	15.11
9.1	398	15.11
8.3	402	15.11
8.1	556	15.11
8.6	415	15.11
8	410	15.11
5.6	55	15.11
3.4	55	15.11
2.2	54	15.11
1.6	54	15.11
0	54	15.11
-1.3	54	15.11
-1	54	15.11
-1.4	54	15.11
-1	54	15.11
-0.8	409	15.11
-0.6	54	15.11
-0.5	55	15.11
-0.2	54	15.11
0	55	15.11
-0.2	54	15.11
-0.6	54	15.11
-0.9	54	15.11
-1.1	54	15.11
-2.6	54	15.11
-3.1	54	15.11
-3.6	55	15.11
-3.9	55	15.11
-3.9	55	15.11
-4.2	54	15.11
-4.5	54	15.11
-4.3	55	15.11
-4.4	54	15.11
-4.8	54	15.11
-5.2	54	15.11
-4.8	54	15.11
-3.6	53	15.11
-2.9	54	15.11
-2	53	15.11
-1.6	54	15.11
-0.9	55	15.11
-1.4	56	15.11
-1.4	54	15.11
-1.2	54	15.11
-1.7	54	15.11
-2.3	55	15.11
-2.4	55	15.11
-3.2	54	15.11
-3.7	54	15.11
-3.7	54	15.11
-3.6	54	15.11
-3.6	54	15.11
-3.9	53	15.11
-3.9	54	15.11
-3.9	54	15.11
-3.9	53	15.11
-4.8	54	15.11
-5.2	54	15.11
-5.2	54	15.11
-5	54	15.11
-4.1	54	15.11
-3.6	53	15.11
-3.4	54	15.11
-3.4	55	15.11
-3.3	53	15.11
-3	54	15.11
-2.5	54	15.11
-3.1	54	15.11
-4.3	55	15.11
-4.7	54	15.11
-4.2	53	15.11
-4.1	54	15.11
-3.8	53	15.11
-4.3	54	15.11
-4.9	54	15.11
-5.1	53	15.11
-5	53	15.11
-5.3	54	15.11
-5.2	53	15.11
-5.5	53	15.11
-6	54	15.11
-6	53	15.11
-5.8	54	15.11
-5.8	52	15.11
-3.9	54	15.11
-2.8	53	15.11
-1.6	54	15.11
-1	53	15.11
-0.4	53	15.11
0	55	15.11
0.1	54	15.11
0.6	54	15.11
0.9	55	15.11
0.9	54	15.11
1.4	54	15.11
1.6	54	15.11
1.9	55	15.11
2.1	54	15.11
2.4	55	15.11
2.7	54	15.11
3.1	54	15.11
3.3	55	15.11
3.6	55	15.11
4.3	54	15.11
4.4	56	15.11
4.5	56	15.11
4.8	55	15.11
5.4	55	15.11
4.8	55	15.11
5.9	54	15.11
6.1	54	15.11
7.8	55	15.11
8.9	55	15.11
9.9	863	15.11
10.2	511	15.11
10.4	631	15.11
10.4	638	15.11
10.4	607	15.11
10.7	444	15.11
11.2	372	15.11
11.5	407	15.11
11.2	386	15.11
12	372	15.11
12	54	15.11
12	426	15.11
8.2	393	15.11
4.9	490	15.11
3.6	56	15.11
2.5	55	15.11
2.2	54	15.11
2	55	15.11
1.5	55	15.11
1.2	53	15.11
1.4	54	15.11
1.2	54	15.11
1.2	399	15.11
0.5	53	15.11
0.3	55	15.11
-0.1	54	15.11
-0.5	56	15.11
-1.7	54	15.11
-1.8	54	15.11
-2.3	55	15.11
-2.5	54	15.11
-3.1	54	15.11
-3.6	53	15.11
-4.3	53	15.11
-4.7	53	15.11
-4.7	54	15.11
-4.3	53	15.11
-5	54	15.11
-5	54	15.11
-5.2	54	15.11
-5.5	54	15.11
-5.4	54	15.11
-5	54	15.11
-4	53	15.11
-3.2	54	15.11
-2	54	15.11
-1.3	54	15.11
-0.8	54	15.11
0	55	15.11
-0.3	54	15.11
0	54	15.11
0.2	55	15.11
0.2	55	15.11
0.9	55	15.11
0	55	15.11
0.4	55	15.11
0.5	54	15.11
0.7	54	15.11
0.6	54	15.11
0.4	55	15.11
-0.2	54	15.11
0	54	15.11
-0.3	53	15.11
0.6	54	15.11
0.1	54	15.11
-0.2	53	15.11
-1.5	54	15.11
-1.9	54	15.11
-3.2	54	15.11
-3.1	53	15.11
-2.7	54	15.11
-2.1	53	15.11
-2.5	54	15.11
-2.9	54	15.11
-2.7	53	15.11
-3.1	54	15.11
-2.9	54	15.11
-3	54	15.11
-2.9	54	15.11
-3.1	54	15.11
-2.9	55	15.11
-2.7	54	15.11
-2.8	55	15.11
-2.8	54	15.11
-2.2	54	15.11
-1.7	54	15.11
-1.7	54	15.11
-0.9	53	15.11
-1.1	54	15.11
-1.1	54	15.11
-1.1	54	15.11
-1.1	54	15.11
-0.8	53	15.11
-0.6	53	15.11
-0.2	53	15.11
-0.2	54	15.11
-0.2	54	15.11
-0.2	55	15.11
-0.1	54	15.11
-0.6	53	15.11
-1	54	15.11
-1.2	54	15.11
-1.3	53	15.11
-1.3	53	15.11
-1.3	53	15.11
-1.9	54	15.11
-1.3	53	15.11
-1.5	54	15.11
-1.7	53	15.11
-2	54	15.11
-2	54	15.11
-2	54	15.11
-2.4	54	15.11
-2.4	54	15.11
-2.4	54	15.11
-2.4	53	15.11
-1.9	53	15.11
-2.2	54	15.11
-2.2	54	15.11
-2.2	53	15.11
