	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	month
2012-06-01 00:00:00	14.6	611.1	0	1338508800	256353	18.11	6
2012-06-01 01:00:00	14.9	582.0	3600	1338512400	243371	18.11	6
2012-06-01 02:00:00	14.7	611.1	7200	1338516000	256874	18.11	6
2012-06-01 03:00:00	15.5	1358.0	10800	1338519600	622625	15.11	6
2012-06-01 04:00:00	17.8	1319.2	14400	1338523200	644307	17.11	6
2012-06-01 05:00:00	18.5	1231.9	18000	1338526800	577350	21.11	6
2012-06-01 06:00:00	18.8	1270.7	21600	1338530400	605734	22.11	6
2012-06-01 07:00:00	18.3	1319.2	25200	1338534000	624669	21.11	6
2012-06-01 08:00:00	18.5	1367.7	28800	1338537600	658056	21.11	6
2012-06-01 09:00:00	19.8	1445.3	32400	1338541200	755407	19.11	6
2012-06-01 10:00:00	20.1	446.2	36000	1338544800	216057	22.11	6
2012-06-01 11:00:00	21.0	873.0	39600	1338548400	431654	23.11	6
2012-06-01 12:00:00	21.0	931.2	43200	1338552000	456632	23.11	6
2012-06-01 13:00:00	21.8	989.4	46800	1338555600	489824	24.11	6
2012-06-01 14:00:00	21.8	931.2	50400	1338559200	463003	24.11	6
2012-06-01 15:00:00	20.8	931.2	54000	1338562800	454192	23.11	6
2012-06-01 16:00:00	21.4	785.7	57600	1338566400	422126	24.11	6
2012-06-01 17:00:00	20.7	1367.7	61200	1338570000	691095	23.11	6
2012-06-01 18:00:00	20.5	950.6	64800	1338573600	460155	23.11	6
2012-06-01 19:00:00	20.3	795.4	68400	1338577200	420024	23.11	6
2012-06-01 20:00:00	20.3	805.1	72000	1338580800	400318	23.11	6
2012-06-01 21:00:00	15.4	465.6	75600	1338584400	194501	18.11	6
2012-06-01 22:00:00	15.6	698.4	79200	1338588000	323229	15.11	6
2012-06-01 23:00:00	16.0	669.3	82800	1338591600	299455	19.11	6
2012-06-02 00:00:00	16.0	649.9	0	1338595200	288335	19.11	6
2012-06-02 01:00:00	15.7	611.1	3600	1338598800	277509	15.11	6
2012-06-02 02:00:00	14.8	446.2	7200	1338602400	182908	17.11	6
2012-06-02 03:00:00	13.5	1028.2	10800	1338606000	400893	16.11	6
2012-06-02 04:00:00	13.2	611.1	14400	1338609600	243381	16.11	6
2012-06-02 05:00:00	13.4	620.8	18000	1338613200	250909	16.11	6
2012-06-02 06:00:00	13.6	640.2	21600	1338616800	262420	17.11	6
2012-06-02 07:00:00	14.2	601.4	25200	1338620400	247034	17.11	6
2012-06-02 08:00:00	14.2	679.0	28800	1338624000	289353	17.11	6
2012-06-02 09:00:00	14.3	766.3	32400	1338627600	344347	17.11	6
2012-06-02 10:00:00	13.6	572.3	36000	1338631200	228437	17.11	6
2012-06-02 11:00:00	13.8	1270.7	39600	1338634800	522508	17.11	6
2012-06-02 12:00:00	14.5	1319.2	43200	1338638400	563329	18.11	6
2012-06-02 13:00:00	14.5	1367.7	46800	1338642000	590699	18.11	6
2012-06-02 14:00:00	14.5	1319.2	50400	1338645600	563329	18.11	6
2012-06-02 15:00:00	14.7	1425.9	54000	1338649200	627791	18.11	6
2012-06-02 16:00:00	14.9	1319.2	57600	1338652800	568655	18.11	6
2012-06-02 17:00:00	14.0	1328.9	61200	1338656400	557787	17.11	6
2012-06-02 18:00:00	13.8	1309.5	64800	1338660000	543444	17.11	6
2012-06-02 19:00:00	13.7	1290.1	68400	1338663600	531383	17.11	6
2012-06-02 20:00:00	13.3	649.9	72000	1338667200	265228	16.11	6
2012-06-02 21:00:00	12.8	591.7	75600	1338670800	229942	16.11	6
2012-06-02 22:00:00	12.3	572.3	79200	1338674400	216609	15.11	6
