Twet Load Tset
6.7 419.0 15.11
6.7 409.0 15.11
6.7 412.0 15.11
7.0 404.0 15.11
6.8 405.0 15.11
7.0 403.0 15.11
7.5 413.0 15.11
7.8 418.0 15.11
8.3 401.0 15.11
8.9 405.0 15.11
9.7 417.0 15.11
10.5 418.0 15.11
11.0 420.0 15.11
11.4 418.0 15.11
11.9 423.0 15.11
11.7 421.0 15.11
11.9 423.0 15.11
11.9 434.0 15.11
11.7 429.0 15.11
12.2 420.0 15.11
11.7 419.0 15.11
11.3 402.0 15.11
11.0 417.0 15.11
11.8 425.0 15.11
12.4 608.0 15.11
11.0 892.0 15.11
8.6 477.0 15.11
6.8 509.0 15.11
5.6 503.0 15.11
5.4 506.0 15.11
6.0 523.0 15.11
6.6 513.0 15.11
7.1 574.0 15.11
7.7 410.0 15.11
7.4 591.0 15.11
6.7 637.0 15.11
7.7 633.0 15.11
8.6 644.0 15.11
7.9 651.0 15.11
7.7 628.0 15.11
7.3 465.0 15.11
6.7 429.0 15.11
6.3 423.0 15.11
6.5 421.0 15.11
6.3 417.0 15.11
5.7 604.0 15.11
5.2 422.0 15.11
5.0 416.0 15.11
5.4 498.0 15.11
4.8 514.0 15.11
4.5 476.0 15.11
3.3 55.0 15.11
4.0 53.0 15.11
4.4 54.0 15.11
5.9 54.0 15.11
6.1 485.0 15.11
6.4 627.0 15.11
7.9 415.0 15.11
8.5 714.0 15.11
8.9 746.0 15.11
9.9 784.0 15.11
10.6 796.0 15.11
10.3 862.0 15.11
11.1 759.0 15.11
9.8 513.0 15.11
9.4 450.0 15.11
11.5 452.0 15.11
11.0 442.0 15.11
11.7 441.0 15.11
9.8 630.0 15.11
9.7 434.0 15.11
9.2 446.0 15.11
8.9 540.0 15.11
8.7 566.0 15.11
8.9 580.0 15.11
8.4 588.0 15.11
9.4 595.0 15.11
10.7 605.0 15.11
10.5 626.0 15.11
11.7 726.0 15.11
12.9 747.0 16.11
14.6 415.0 17.11
14.6 810.0 17.11
15.3 833.0 18.11
15.5 918.0 18.11
15.5 920.0 18.11
15.9 883.0 18.11
15.9 886.0 18.11
15.8 521.0 18.11
12.7 452.0 15.11
10.5 461.0 15.11
9.3 458.0 15.11
8.0 448.0 15.11
7.5 831.0 15.11
6.9 460.0 15.11
7.0 444.0 15.11
6.3 560.0 15.11
5.8 882.0 15.11
5.0 500.0 15.11
4.5 525.0 15.11
4.1 517.0 15.11
4.5 531.0 15.11
5.2 507.0 15.11
5.5 589.0 15.11
6.0 457.0 15.11
6.4 442.0 15.11
6.8 642.0 15.11
6.8 651.0 15.11
8.0 677.0 15.11
8.2 706.0 15.11
8.0 689.0 15.11
8.0 660.0 15.11
7.4 479.0 15.11
7.3 428.0 15.11
6.9 429.0 15.11
6.2 428.0 15.11
6.4 467.0 15.11
5.7 584.0 15.11
5.9 436.0 15.11
5.1 434.0 15.11
4.3 513.0 15.11
3.8 521.0 15.11
3.0 54.0 15.11
2.2 53.0 15.11
1.9 53.0 15.11
2.2 352.0 15.11
3.1 53.0 15.11
4.0 53.0 15.11
5.1 718.0 15.11
5.7 420.0 15.11
6.2 617.0 15.11
7.1 661.0 15.11
7.3 659.0 15.11
7.0 658.0 15.11
7.6 651.0 15.11
7.0 609.0 15.11
6.3 479.0 15.11
5.9 427.0 15.11
5.2 436.0 15.11
4.9 434.0 15.11
5.2 422.0 15.11
4.4 737.0 15.11
3.9 412.0 15.11
3.0 414.0 15.11
2.8 424.0 15.11
2.0 431.0 15.11
1.4 425.0 15.11
1.6 56.0 15.11
1.7 55.0 15.11
2.6 53.0 15.11
4.0 53.0 15.11
4.9 389.0 15.11
5.2 450.0 15.11
5.8 413.0 15.11
6.9 427.0 15.11
6.9 438.0 15.11
7.4 460.0 15.11
7.8 455.0 15.11
8.0 461.0 15.11
7.7 437.0 15.11
7.3 434.0 15.11
6.6 432.0 15.11
6.6 428.0 15.11
5.9 432.0 15.11
5.8 424.0 15.11
5.3 414.0 15.11
5.0 416.0 15.11
5.2 416.0 15.11
4.6 409.0 15.11
5.6 415.0 15.11
5.2 413.0 15.11
3.7 408.0 15.11
3.3 405.0 15.11
4.0 399.0 15.11
5.5 398.0 15.11
7.0 405.0 15.11
7.3 410.0 15.11
8.4 422.0 15.11
9.7 451.0 15.11
9.6 453.0 15.11
10.1 461.0 15.11
11.0 461.0 15.11
10.8 452.0 15.11
11.3 453.0 15.11
10.5 450.0 15.11
9.9 442.0 15.11
9.3 440.0 15.11
8.8 437.0 15.11
9.0 437.0 15.11
8.5 437.0 15.11
7.8 451.0 15.11
6.5 452.0 15.11
6.0 886.0 15.11
5.3 582.0 15.11
5.0 595.0 15.11
4.7 570.0 15.11
4.7 577.0 15.11
5.6 569.0 15.11
6.7 842.0 15.11
7.5 572.0 15.11
8.6 668.0 15.11
9.5 435.0 15.11
9.2 734.0 15.11
10.2 790.0 15.11
10.6 785.0 15.11
10.3 773.0 15.11
9.8 718.0 15.11
10.2 668.0 15.11
9.3 493.0 15.11
8.8 449.0 15.11
8.7 438.0 15.11
7.9 430.0 15.11
7.7 426.0 15.11
7.6 701.0 15.11
7.5 433.0 15.11
7.2 421.0 15.11
6.8 519.0 15.11
6.3 543.0 15.11
6.0 509.0 15.11
6.0 489.0 15.11
5.7 495.0 15.11
6.9 842.0 15.11
8.6 761.0 15.11
8.8 807.0 15.11
9.0 607.0 15.11
8.2 444.0 15.11
7.7 662.0 15.11
8.4 708.0 15.11
9.0 722.0 15.11
9.4 755.0 15.11
8.6 731.0 15.11
8.1 667.0 15.11
7.2 460.0 15.11
6.4 420.0 15.11
5.8 417.0 15.11
4.8 411.0 15.11
4.0 412.0 15.11
2.9 675.0 15.11
2.8 413.0 15.11
2.3 54.0 15.11
2.2 54.0 15.11
2.0 55.0 15.11
1.7 53.0 15.11
1.9 54.0 15.11
1.5 54.0 15.11
2.2 52.0 15.11
2.7 54.0 15.11
3.9 53.0 15.11
5.0 52.0 15.11
4.5 411.0 15.11
5.2 665.0 15.11
5.2 53.0 15.11
5.4 53.0 15.11
6.4 53.0 15.11
5.8 53.0 15.11
5.5 52.0 15.11
5.3 54.0 15.11
4.7 54.0 15.11
4.7 54.0 15.11
4.4 53.0 15.11
4.4 54.0 15.11
4.3 53.0 15.11
4.0 55.0 15.11
3.8 54.0 15.11
3.8 54.0 15.11
3.6 53.0 15.11
3.3 54.0 15.11
3.5 53.0 15.11
3.5 53.0 15.11
4.3 54.0 15.11
5.5 52.0 15.11
6.6 53.0 15.11
7.2 801.0 15.11
7.8 53.0 15.11
8.1 568.0 15.11
8.0 581.0 15.11
7.4 612.0 15.11
7.6 626.0 15.11
7.0 597.0 15.11
7.8 587.0 15.11
6.8 455.0 15.11
6.2 409.0 15.11
5.8 413.0 15.11
5.8 408.0 15.11
5.8 398.0 15.11
5.3 716.0 15.11
4.7 411.0 15.11
4.1 405.0 15.11
4.9 456.0 15.11
4.3 535.0 15.11
4.3 501.0 15.11
3.7 480.0 15.11
4.6 475.0 15.11
5.4 492.0 15.11
6.3 544.0 15.11
6.9 817.0 15.11
7.5 863.0 15.11
8.0 410.0 15.11
8.7 670.0 15.11
8.7 701.0 15.11
9.4 714.0 15.11
9.6 706.0 15.11
9.4 713.0 15.11
9.0 631.0 15.11
8.4 464.0 15.11
7.7 417.0 15.11
8.6 421.0 15.11
9.4 416.0 15.11
8.4 416.0 15.11
7.5 637.0 15.11
6.9 409.0 15.11
7.3 408.0 15.11
6.6 427.0 15.11
6.5 415.0 15.11
6.3 415.0 15.11
6.3 413.0 15.11
6.5 412.0 15.11
7.1 415.0 15.11
8.0 441.0 15.11
9.3 429.0 15.11
11.0 424.0 15.11
12.0 419.0 15.11
13.2 454.0 16.11
12.6 454.0 15.11
12.8 478.0 15.11
12.8 456.0 15.11
13.2 456.0 16.11
13.4 430.0 16.11
13.4 434.0 16.11
12.7 423.0 15.11
12.2 428.0 15.11
12.9 422.0 15.11
13.0 421.0 15.11
13.2 445.0 16.11
13.2 422.0 16.11
13.2 419.0 16.11
13.0 421.0 15.11
12.4 420.0 15.11
12.8 417.0 15.11
12.5 418.0 15.11
12.5 422.0 15.11
13.0 420.0 15.11
13.5 425.0 16.11
14.4 428.0 17.11
15.1 435.0 17.11
15.5 427.0 18.11
16.4 453.0 19.11
17.1 469.0 19.11
17.3 467.0 20.11
18.0 479.0 20.11
17.5 493.0 20.11
17.8 477.0 20.11
17.5 496.0 20.11
16.8 495.0 19.11
16.6 468.0 19.11
17.1 465.0 19.11
17.5 468.0 20.11
17.1 446.0 19.11
17.2 524.0 20.11
16.9 494.0 19.11
16.7 1290.0 19.11
16.4 1227.0 19.11
16.0 1140.0 19.11
15.6 1102.0 18.11
15.6 1098.0 18.11
16.8 1173.0 19.11
17.9 1263.0 21.11
18.2 1255.0 21.11
18.8 1348.0 21.11
19.4 462.0 22.11
19.9 1421.0 23.11
20.7 1457.0 23.11
20.0 1400.0 23.11
19.7 1394.0 22.11
19.5 1342.0 22.11
19.3 1300.0 22.11
18.9 622.0 21.11
18.5 515.0 21.11
18.5 501.0 21.11
18.2 494.0 21.11
18.1 493.0 20.11
17.8 1414.0 21.11
17.4 521.0 20.11
17.1 505.0 20.11
17.1 1260.0 20.11
16.4 1099.0 19.11
15.1 819.0 17.11
14.3 748.0 17.11
13.9 726.0 17.11
14.1 763.0 17.11
12.9 788.0 16.11
12.9 818.0 15.11
12.7 836.0 15.11
12.3 488.0 15.11
12.6 880.0 15.11
12.8 883.0 15.11
12.9 946.0 15.11
13.1 936.0 16.11
12.6 890.0 15.11
12.4 830.0 15.11
11.3 530.0 15.11
10.5 453.0 15.11
9.8 450.0 15.11
9.7 445.0 15.11
9.6 447.0 15.11
9.8 805.0 15.11
9.3 461.0 15.11
9.4 454.0 15.11
9.6 958.0 15.11
9.4 629.0 15.11
9.4 619.0 15.11
9.0 591.0 15.11
9.0 595.0 15.11
9.4 613.0 15.11
9.1 606.0 15.11
9.6 618.0 15.11
8.6 596.0 15.11
9.3 440.0 15.11
9.7 607.0 15.11
10.2 591.0 15.11
10.2 584.0 15.11
10.2 584.0 15.11
10.2 561.0 15.11
10.2 565.0 15.11
9.9 454.0 15.11
9.7 423.0 15.11
9.9 418.0 15.11
9.9 416.0 15.11
9.9 422.0 15.11
9.9 598.0 15.11
9.9 438.0 15.11
9.7 417.0 15.11
9.7 511.0 15.11
9.4 812.0 15.11
9.7 526.0 15.11
8.9 540.0 15.11
9.4 538.0 15.11
10.7 515.0 15.11
11.2 671.0 15.11
11.5 609.0 15.11
11.2 691.0 15.11
12.2 416.0 15.11
12.9 770.0 16.11
13.2 797.0 16.11
13.8 825.0 16.11
14.5 856.0 17.11
13.8 858.0 16.11
13.8 796.0 17.11
13.6 519.0 16.11
13.2 451.0 16.11
12.2 441.0 15.11
12.5 440.0 15.11
12.0 439.0 15.11
12.0 738.0 15.11
12.3 459.0 15.11
11.8 452.0 15.11
11.8 651.0 15.11
11.3 581.0 15.11
11.3 587.0 15.11
10.7 570.0 15.11
11.3 586.0 15.11
12.4 586.0 15.11
12.9 660.0 16.11
13.6 716.0 17.11
14.5 806.0 18.11
14.4 439.0 17.11
14.8 826.0 17.11
15.5 907.0 18.11
15.5 894.0 18.11
16.2 933.0 19.11
16.2 906.0 19.11
15.6 731.0 19.11
15.4 521.0 18.11
14.9 452.0 17.11
15.3 447.0 18.11
14.8 440.0 17.11
14.4 440.0 17.11
14.4 859.0 17.11
14.7 438.0 17.11
14.7 438.0 17.11
14.5 465.0 17.11
14.5 458.0 17.11
14.2 455.0 17.11
14.2 452.0 17.11
14.5 452.0 17.11
15.2 462.0 18.11
16.0 497.0 18.11
16.9 496.0 19.11
17.0 493.0 19.11
17.9 437.0 20.11
18.3 508.0 21.11
18.3 522.0 21.11
17.9 542.0 20.11
17.7 523.0 20.11
17.1 502.0 20.11
17.9 482.0 20.11
16.9 477.0 19.11
15.3 455.0 18.11
13.9 436.0 16.11
13.4 444.0 16.11
12.6 433.0 15.11
12.0 494.0 15.11
12.0 437.0 15.11
11.5 421.0 15.11
11.2 411.0 15.11
11.2 414.0 15.11
11.2 416.0 15.11
10.4 411.0 15.11
9.7 410.0 15.11
9.7 395.0 15.11
9.4 403.0 15.11
8.9 400.0 15.11
