Tset	Date	Twet	Load	Hour(s)	 TimeStamp(s)
15.11	4/1/2011 0:00	3.6	58.2	0	1301616000
15.11	4/1/2011 1:00	3	58.2	3600	1301619600
15.11	4/1/2011 2:00	2.8	58.2	7200	1301623200
15.11	4/1/2011 3:00	2.5	58.2	10800	1301626800
15.11	4/1/2011 4:00	2.3	58.2	14400	1301630400
15.11	4/1/2011 5:00	1.7	58.2	18000	1301634000
15.11	4/1/2011 6:00	2.3	58.2	21600	1301637600
15.11	4/1/2011 7:00	3.1	58.2	25200	1301641200
15.11	4/1/2011 8:00	4	58.2	28800	1301644800
15.11	4/1/2011 9:00	4.4	58.2	32400	1301648400
15.11	4/1/2011 10:00	4.7	58.2	36000	1301652000
15.11	4/1/2011 11:00	4.3	58.2	39600	1301655600
15.11	4/1/2011 12:00	4.1	58.2	43200	1301659200
15.11	4/1/2011 13:00	4.7	58.2	46800	1301662800
15.11	4/1/2011 14:00	4.5	58.2	50400	1301666400
15.11	4/1/2011 15:00	3.9	58.2	54000	1301670000
15.11	4/1/2011 16:00	4.5	58.2	57600	1301673600
15.11	4/1/2011 17:00	4	58.2	61200	1301677200
15.11	4/1/2011 18:00	3.7	58.2	64800	1301680800
15.11	4/1/2011 19:00	3.4	58.2	68400	1301684400
15.11	4/1/2011 20:00	3.1	58.2	72000	1301688000
15.11	4/1/2011 21:00	2.8	58.2	75600	1301691600
15.11	4/1/2011 22:00	2.5	58.2	79200	1301695200
15.11	4/1/2011 23:00	2.5	58.2	82800	1301698800
15.11	4/2/2011 0:00	1.8	58.2	0	1301702400
15.11	4/2/2011 1:00	1.5	58.2	3600	1301706000
15.11	4/2/2011 2:00	0.9	58.2	7200	1301709600
15.11	4/2/2011 3:00	-0.2	58.2	10800	1301713200
15.11	4/2/2011 4:00	-0.2	58.2	14400	1301716800
15.11	4/2/2011 5:00	0.1	58.2	18000	1301720400
15.11	4/2/2011 6:00	1.7	58.2	21600	1301724000
15.11	4/2/2011 7:00	3	58.2	25200	1301727600
15.11	4/2/2011 8:00	4.1	58.2	28800	1301731200
15.11	4/2/2011 9:00	5.3	58.2	32400	1301734800
15.11	4/2/2011 10:00	5.8	58.2	36000	1301738400
15.11	4/2/2011 11:00	5.5	58.2	39600	1301742000
15.11	4/2/2011 12:00	6.4	58.2	43200	1301745600
15.11	4/2/2011 13:00	4	58.2	46800	1301749200
15.11	4/2/2011 14:00	7.3	58.2	50400	1301752800
15.11	4/2/2011 15:00	6.5	58.2	54000	1301756400
15.11	4/2/2011 16:00	5.5	58.2	57600	1301760000
15.11	4/2/2011 17:00	5	58.2	61200	1301763600
15.11	4/2/2011 18:00	3.9	58.2	64800	1301767200
15.11	4/2/2011 19:00	4	58.2	68400	1301770800
15.11	4/2/2011 20:00	3.6	58.2	72000	1301774400
15.11	4/2/2011 21:00	3.5	58.2	75600	1301778000
15.11	4/2/2011 22:00	3.2	58.2	79200	1301781600
15.11	4/2/2011 23:00	2.9	58.2	82800	1301785200
15.11	4/3/2011 0:00	2.9	58.2	0	1301788800
15.11	4/3/2011 1:00	2.2	58.2	3600	1301792400
15.11	4/3/2011 2:00	2.2	58.2	7200	1301796000
15.11	4/3/2011 3:00	2.2	58.2	10800	1301799600
15.11	4/3/2011 4:00	2	58.2	14400	1301803200
15.11	4/3/2011 5:00	1.7	58.2	18000	1301806800
15.11	4/3/2011 6:00	2.9	58.2	21600	1301810400
15.11	4/3/2011 7:00	4.4	58.2	25200	1301814000
15.11	4/3/2011 8:00	5.4	58.2	28800	1301817600
15.11	4/3/2011 9:00	5.8	58.2	32400	1301821200
15.11	4/3/2011 10:00	5.9	58.2	36000	1301824800
15.11	4/3/2011 11:00	6.5	58.2	39600	1301828400
15.11	4/3/2011 12:00	6.8	58.2	43200	1301832000
15.11	4/3/2011 13:00	7.4	58.2	46800	1301835600
15.11	4/3/2011 14:00	6.6	58.2	50400	1301839200
15.11	4/3/2011 15:00	6.5	58.2	54000	1301842800
15.11	4/3/2011 16:00	6.4	485	57600	1301846400
15.11	4/3/2011 17:00	6.5	58.2	61200	1301850000
15.11	4/3/2011 18:00	6.2	58.2	64800	1301853600
15.11	4/3/2011 19:00	6	58.2	68400	1301857200
15.11	4/3/2011 20:00	6.5	58.2	72000	1301860800
15.11	4/3/2011 21:00	6.6	58.2	75600	1301864400
15.11	4/3/2011 22:00	6.7	58.2	79200	1301868000
15.11	4/3/2011 23:00	6.6	58.2	82800	1301871600
15.11	4/4/2011 0:00	6.8	58.2	0	1301875200
15.11	4/4/2011 1:00	6.8	58.2	3600	1301878800
15.11	4/4/2011 2:00	7	58.2	7200	1301882400
15.11	4/4/2011 3:00	6.1	58.2	10800	1301886000
15.11	4/4/2011 4:00	5.8	58.2	14400	1301889600
15.11	4/4/2011 5:00	6.1	58.2	18000	1301893200
15.11	4/4/2011 6:00	6.6	58.2	21600	1301896800
15.11	4/4/2011 7:00	8.6	58.2	25200	1301900400
15.11	4/4/2011 8:00	10.2	58.2	28800	1301904000
15.11	4/4/2011 9:00	12.2	58.2	32400	1301907600
15.11	4/4/2011 10:00	12.4	58.2	36000	1301911200
16.11	4/4/2011 11:00	13.8	58.2	39600	1301914800
17.11	4/4/2011 12:00	15.1	58.2	43200	1301918400
18.11	4/4/2011 13:00	15.5	921.5	46800	1301922000
18.11	4/4/2011 14:00	15.7	572.3	50400	1301925600
15.11	4/4/2011 15:00	15.9	717.8	54000	1301929200
15.11	4/4/2011 16:00	15.5	776	57600	1301932800
18.11	4/4/2011 17:00	14.9	756.6	61200	1301936400
18.11	4/4/2011 18:00	14.7	727.5	64800	1301940000
17.11	4/4/2011 19:00	14.4	679	68400	1301943600
17.11	4/4/2011 20:00	14.6	475.3	72000	1301947200
18.11	4/4/2011 21:00	16	58.2	75600	1301950800
18.11	4/4/2011 22:00	15.5	436.5	79200	1301954400
18.11	4/4/2011 23:00	15.5	426.8	82800	1301958000
18.11	4/5/2011 0:00	15.5	436.5	0	1301961600
18.11	4/5/2011 1:00	16.2	436.5	3600	1301965200
18.11	4/5/2011 2:00	16.3	58.2	7200	1301968800
19.11	4/5/2011 3:00	16.8	58.2	10800	1301972400
16.11	4/5/2011 4:00	14.3	58.2	14400	1301976000
16.11	4/5/2011 5:00	14.3	58.2	18000	1301979600
16.11	4/5/2011 6:00	14.2	58.2	21600	1301983200
15.11	4/5/2011 7:00	10.2	58.2	25200	1301986800
15.11	4/5/2011 8:00	8	58.2	28800	1301990400
15.11	4/5/2011 9:00	7.5	58.2	32400	1301994000
15.11	4/5/2011 10:00	5.6	58.2	36000	1301997600
15.11	4/5/2011 11:00	4.9	58.2	39600	1302001200
15.11	4/5/2011 12:00	5.5	58.2	43200	1302004800
15.11	4/5/2011 13:00	6	591.7	46800	1302008400
15.11	4/5/2011 14:00	5.6	58.2	50400	1302012000
15.11	4/5/2011 15:00	5.8	58.2	54000	1302015600
15.11	4/5/2011 16:00	5.1	58.2	57600	1302019200
15.11	4/5/2011 17:00	5	436.5	61200	1302022800
15.11	4/5/2011 18:00	3.1	58.2	64800	1302026400
15.11	4/5/2011 19:00	2.6	407.4	68400	1302030000
15.11	4/5/2011 20:00	2	58.2	72000	1302033600
15.11	4/5/2011 21:00	1.8	58.2	75600	1302037200
15.11	4/5/2011 22:00	1.5	388	79200	1302040800
15.11	4/5/2011 23:00	1.4	475.3	82800	1302044400
15.11	4/6/2011 0:00	0.7	58.2	0	1302048000
15.11	4/6/2011 1:00	0.7	58.2	3600	1302051600
15.11	4/6/2011 2:00	0.7	58.2	7200	1302055200
15.11	4/6/2011 3:00	0.7	58.2	10800	1302058800
15.11	4/6/2011 4:00	0.4	58.2	14400	1302062400
15.11	4/6/2011 5:00	-0.3	58.2	18000	1302066000
15.11	4/6/2011 6:00	1.3	58.2	21600	1302069600
15.11	4/6/2011 7:00	3.5	58.2	25200	1302073200
15.11	4/6/2011 8:00	4.4	58.2	28800	1302076800
15.11	4/6/2011 9:00	5.7	58.2	32400	1302080400
15.11	4/6/2011 10:00	5.8	426.8	36000	1302084000
15.11	4/6/2011 11:00	6.7	58.2	39600	1302087600
15.11	4/6/2011 12:00	6.7	58.2	43200	1302091200
15.11	4/6/2011 13:00	7.6	698.4	46800	1302094800
15.11	4/6/2011 14:00	8.3	436.5	50400	1302098400
15.11	4/6/2011 15:00	8.6	455.9	54000	1302102000
15.11	4/6/2011 16:00	8.9	436.5	57600	1302105600
15.11	4/6/2011 17:00	8.6	436.5	61200	1302109200
15.11	4/6/2011 18:00	8.1	446.2	64800	1302112800
15.11	4/6/2011 19:00	7.5	426.8	68400	1302116400
15.11	4/6/2011 20:00	7.3	426.8	72000	1302120000
15.11	4/6/2011 21:00	7.2	58.2	75600	1302123600
15.11	4/6/2011 22:00	6.3	426.8	79200	1302127200
15.11	4/6/2011 23:00	7.6	426.8	82800	1302130800
15.11	4/7/2011 0:00	7	417.1	0	1302134400
15.11	4/7/2011 1:00	6.2	407.4	3600	1302138000
15.11	4/7/2011 2:00	6	58.2	7200	1302141600
15.11	4/7/2011 3:00	5.7	58.2	10800	1302145200
15.11	4/7/2011 4:00	5.7	58.2	14400	1302148800
15.11	4/7/2011 5:00	5.4	58.2	18000	1302152400
15.11	4/7/2011 6:00	5.7	58.2	21600	1302156000
15.11	4/7/2011 7:00	6.2	58.2	25200	1302159600
15.11	4/7/2011 8:00	7.3	58.2	28800	1302163200
15.11	4/7/2011 9:00	7.9	58.2	32400	1302166800
15.11	4/7/2011 10:00	8.9	485	36000	1302170400
15.11	4/7/2011 11:00	10	58.2	39600	1302174000
15.11	4/7/2011 12:00	10.5	58.2	43200	1302177600
15.11	4/7/2011 13:00	11	446.2	46800	1302181200
15.11	4/7/2011 14:00	11	58.2	50400	1302184800
15.11	4/7/2011 15:00	10.5	465.6	54000	1302188400
15.11	4/7/2011 16:00	10	436.5	57600	1302192000
15.11	4/7/2011 17:00	9.7	582	61200	1302195600
15.11	4/7/2011 18:00	9.7	58.2	64800	1302199200
15.11	4/7/2011 19:00	9.7	58.2	68400	1302202800
15.11	4/7/2011 20:00	8.6	58.2	72000	1302206400
15.11	4/7/2011 21:00	7.3	58.2	75600	1302210000
15.11	4/7/2011 22:00	6.2	58.2	79200	1302213600
15.11	4/7/2011 23:00	6.2	58.2	82800	1302217200
15.11	4/8/2011 0:00	6.2	58.2	0	1302220800
15.11	4/8/2011 1:00	5.9	58.2	3600	1302224400
15.11	4/8/2011 2:00	6.2	388	7200	1302228000
15.11	4/8/2011 3:00	6.4	475.3	10800	1302231600
