	Twet	Load	Tset
0	6.7	419.0	15.11
1	6.7	409.0	15.11
2	6.7	412.0	15.11
3	7.0	404.0	15.11
4	6.8	405.0	15.11
5	7.0	403.0	15.11
6	7.5	413.0	15.11
7	7.8	418.0	15.11
8	8.3	401.0	15.11
9	8.9	405.0	15.11
10	9.7	417.0	15.11
11	10.5	418.0	15.11
12	11.0	420.0	15.11
13	11.4	418.0	15.11
14	11.9	423.0	15.11
15	11.7	421.0	15.11
16	11.9	423.0	15.11
17	11.9	434.0	15.11
18	11.7	429.0	15.11
19	12.2	420.0	15.11
20	11.7	419.0	15.11
21	11.3	402.0	15.11
22	11.0	417.0	15.11
23	11.8	425.0	15.11
24	12.4	608.0	15.11
25	11.0	892.0	15.11
26	8.6	477.0	15.11
27	6.8	509.0	15.11
28	5.6	503.0	15.11
29	5.4	506.0	15.11
30	6.0	523.0	15.11
31	6.6	513.0	15.11
32	7.1	574.0	15.11
33	7.7	410.0	15.11
34	7.4	591.0	15.11
35	6.7	637.0	15.11
36	7.7	633.0	15.11
37	8.6	644.0	15.11
38	7.9	651.0	15.11
39	7.7	628.0	15.11
40	7.3	465.0	15.11
41	6.7	429.0	15.11
42	6.3	423.0	15.11
43	6.5	421.0	15.11
44	6.3	417.0	15.11
45	5.7	604.0	15.11
46	5.2	422.0	15.11
47	5.0	416.0	15.11
48	5.4	498.0	15.11
49	4.8	514.0	15.11
50	4.5	476.0	15.11
51	3.3	55.0	15.11
52	4.0	53.0	15.11
53	4.4	54.0	15.11
54	5.9	54.0	15.11
55	6.1	485.0	15.11
56	6.4	627.0	15.11
57	7.9	415.0	15.11
58	8.5	714.0	15.11
59	8.9	746.0	15.11
60	9.9	784.0	15.11
61	10.6	796.0	15.11
62	10.3	862.0	15.11
63	11.1	759.0	15.11
64	9.8	513.0	15.11
65	9.4	450.0	15.11
66	11.5	452.0	15.11
67	11.0	442.0	15.11
68	11.7	441.0	15.11
69	9.8	630.0	15.11
70	9.7	434.0	15.11
71	9.2	446.0	15.11
72	8.9	540.0	15.11
73	8.7	566.0	15.11
74	8.9	580.0	15.11
75	8.4	588.0	15.11
76	9.4	595.0	15.11
77	10.7	605.0	15.11
78	10.5	626.0	15.11
79	11.7	726.0	15.11
80	12.9	747.0	16.11
81	14.6	415.0	17.11
