Twet Load Tset
21.1 947.0 23.11
21.1 946.0 23.11
20.8 940.0 23.11
20.6 946.0 23.11
20.8 946.0 23.11
21.1 1262.0 24.11
21.3 1169.0 24.11
21.7 1208.0 24.11
22.2 1277.0 25.11
22.4 1205.0 25.11
22.7 1282.0 25.11
23.3 1470.0 26.11
23.3 1487.0 26.11
23.5 1512.0 26.11
23.8 1544.0 26.11
23.2 1493.0 26.11
24.0 1391.0 26.11
23.4 1257.0 26.11
22.9 1208.0 25.11
22.7 1208.0 25.11
22.9 1191.0 25.11
22.7 1400.0 25.11
22.5 1179.0 25.11
22.3 1173.0 25.11
21.8 1146.0 24.11
22.2 1143.0 25.11
22.2 1150.0 25.11
22.5 1151.0 25.11
22.2 946.0 24.11
22.9 1362.0 25.11
23.4 1321.0 26.11
24.0 1421.0 26.11
24.2 1505.0 26.11
24.3 1364.0 26.11
23.8 1384.0 26.11
24.3 1590.0 26.11
23.6 1620.0 26.11
24.5 1574.0 26.11
23.5 1510.0 26.11
24.1 1462.0 26.11
24.5 1429.0 26.11
25.0 1386.0 26.11
24.4 1283.0 26.11
23.7 1239.0 26.11
22.7 1564.0 25.11
22.5 1189.0 25.11
22.7 1176.0 25.11
22.4 1143.0 25.11
22.4 1146.0 25.11
22.2 1149.0 25.11
21.6 1144.0 24.11
21.8 1172.0 24.11
22.2 1504.0 25.11
22.9 903.0 25.11
23.2 1582.0 26.11
23.4 1471.0 26.11
24.6 1356.0 26.11
24.6 1698.0 26.11
24.4 1724.0 26.11
24.6 1668.0 26.11
24.1 1540.0 26.11
24.9 1311.0 26.11
24.4 1290.0 26.11
24.6 1283.0 26.11
25.0 1329.0 26.11
24.8 1302.0 26.11
24.8 1290.0 26.11
24.3 1274.0 26.11
24.3 1235.0 26.11
24.1 1217.0 26.11
24.1 1252.0 26.11
24.4 1255.0 26.11
24.9 1284.0 26.11
25.0 1348.0 26.11
24.9 1398.0 26.11
23.8 1374.0 26.11
24.6 1313.0 26.11
24.3 1327.0 26.11
24.6 1352.0 26.11
24.4 1361.0 26.11
23.7 1338.0 26.11
23.7 1299.0 26.11
24.2 1270.0 26.11
24.3 1254.0 26.11
24.4 946.0 26.11
24.1 1252.0 26.11
24.2 1415.0 26.11
23.7 1227.0 26.11
24.1 1222.0 26.11
23.9 1219.0 26.11
23.8 1214.0 26.11
23.6 1218.0 26.11
23.6 1208.0 26.11
23.9 1212.0 26.11
24.3 1214.0 26.11
24.4 1232.0 26.11
24.9 1275.0 26.11
24.5 1332.0 26.11
24.8 1308.0 26.11
24.4 1388.0 26.11
23.8 1338.0 26.11
23.7 1279.0 26.11
22.2 1533.0 25.11
23.8 1217.0 26.11
23.8 1226.0 26.11
23.9 1226.0 26.11
24.3 1241.0 26.11
24.3 1379.0 26.11
24.3 1239.0 26.11
23.9 1225.0 26.11
23.9 946.0 26.11
23.9 1221.0 26.11
23.6 1224.0 26.11
23.4 1241.0 26.11
23.4 1265.0 26.11
22.9 1300.0 25.11
23.1 1321.0 26.11
22.9 1313.0 25.11
23.6 1333.0 26.11
24.0 1590.0 26.11
23.2 764.0 26.11
23.2 1462.0 26.11
23.5 1470.0 26.11
23.3 1641.0 26.11
22.7 946.0 25.11
22.3 946.0 25.11
22.3 940.0 25.11
23.9 947.0 26.11
23.9 946.0 26.11
23.7 939.0 26.11
23.6 937.0 26.11
23.7 1389.0 26.11
23.8 944.0 26.11
23.8 937.0 26.11
23.6 940.0 26.11
23.6 945.0 26.11
23.1 939.0 25.11
23.2 947.0 26.11
23.2 946.0 26.11
22.2 946.0 24.11
21.8 946.0 24.11
22.4 947.0 25.11
23.7 946.0 26.11
24.4 939.0 26.11
23.8 938.0 26.11
23.5 1764.0 26.11
23.5 1646.0 26.11
23.5 1584.0 26.11
24.4 1549.0 26.11
24.2 1466.0 26.11
23.4 1370.0 26.11
23.9 1269.0 26.11
23.9 1242.0 26.11
23.7 1229.0 26.11
23.6 1197.0 26.11
23.9 946.0 26.11
23.8 1228.0 26.11
23.9 1197.0 26.11
23.6 1191.0 26.11
23.6 1190.0 26.11
24.0 1196.0 26.11
23.4 1194.0 26.11
23.6 1228.0 26.11
24.1 1357.0 26.11
24.4 1405.0 26.11
24.2 1431.0 26.11
23.5 1603.0 26.11
23.5 645.0 26.11
23.4 1332.0 26.11
23.4 1441.0 26.11
23.5 1467.0 26.11
23.7 1486.0 26.11
23.2 1432.0 26.11
23.7 1363.0 26.11
23.2 1326.0 26.11
24.0 1264.0 26.11
23.4 1250.0 26.11
23.4 1239.0 26.11
23.4 1218.0 26.11
22.5 1533.0 25.11
23.6 1195.0 26.11
23.2 1208.0 26.11
23.6 1200.0 26.11
23.1 1229.0 26.11
23.3 1209.0 26.11
23.6 1252.0 26.11
22.2 1281.0 25.11
23.6 1317.0 26.11
23.7 1362.0 26.11
24.0 1448.0 26.11
23.8 1519.0 26.11
23.3 1381.0 26.11
23.5 1400.0 26.11
23.6 1567.0 26.11
23.6 1567.0 26.11
22.3 1534.0 25.11
23.2 1504.0 26.11
22.7 1531.0 25.11
23.8 1435.0 26.11
23.3 1252.0 26.11
20.6 1169.0 23.11
20.1 1079.0 22.11
20.1 1069.0 22.11
21.0 1539.0 24.11
21.5 946.0 24.11
21.5 1322.0 24.11
22.3 1145.0 25.11
23.9 1229.0 26.11
23.9 1232.0 26.11
23.8 1265.0 26.11
21.3 1181.0 24.11
21.3 1190.0 24.11
21.1 1212.0 24.11
21.5 1228.0 24.11
22.5 1294.0 25.11
22.3 1565.0 25.11
23.2 732.0 26.11
22.9 1385.0 25.11
23.0 1392.0 25.11
23.3 1379.0 26.11
23.2 1374.0 26.11
23.5 1355.0 26.11
23.7 1289.0 26.11
23.5 1234.0 26.11
23.0 1216.0 25.11
23.2 1221.0 26.11
23.4 1193.0 26.11
23.0 1344.0 25.11
22.0 1152.0 24.11
21.1 946.0 23.11
20.8 946.0 23.11
20.4 947.0 23.11
20.2 946.0 22.11
20.5 946.0 23.11
20.7 946.0 23.11
20.9 946.0 23.11
21.6 946.0 24.11
22.4 773.0 25.11
21.8 1320.0 24.11
22.9 1196.0 25.11
22.9 1195.0 25.11
23.0 1218.0 25.11
22.9 1496.0 25.11
22.5 1145.0 25.11
22.1 1525.0 25.11
22.9 646.0 25.11
22.2 1520.0 25.11
22.4 604.0 25.11
22.9 685.0 25.11
22.9 945.0 25.11
22.9 1151.0 25.11
22.9 946.0 25.11
20.1 1060.0 22.11
19.4 897.0 22.11
18.9 873.0 21.11
18.7 864.0 21.11
18.9 824.0 21.11
18.0 822.0 20.11
18.6 814.0 21.11
18.3 805.0 21.11
18.3 832.0 20.11
18.7 893.0 21.11
19.2 939.0 21.11
19.6 946.0 22.11
19.4 947.0 22.11
20.5 946.0 23.11
19.8 946.0 22.11
19.8 946.0 22.11
20.0 946.0 22.11
20.0 947.0 22.11
19.6 946.0 22.11
19.1 936.0 21.11
19.0 930.0 21.11
20.1 946.0 22.11
19.9 946.0 22.11
19.7 947.0 22.11
19.8 914.0 22.11
19.5 925.0 22.11
19.4 912.0 22.11
19.2 884.0 21.11
18.9 888.0 21.11
19.4 881.0 22.11
19.1 935.0 21.11
19.6 946.0 22.11
20.0 946.0 22.11
19.7 638.0 22.11
19.5 1210.0 22.11
19.8 1510.0 23.11
20.5 673.0 23.11
20.5 1285.0 23.11
20.0 1295.0 23.11
20.6 1293.0 23.11
20.1 1269.0 23.11
20.5 1232.0 23.11
21.9 1212.0 24.11
22.4 1186.0 25.11
22.5 1180.0 25.11
22.2 1161.0 25.11
21.9 932.0 24.11
21.8 1255.0 24.11
22.2 947.0 24.11
22.4 1126.0 25.11
22.7 1125.0 25.11
23.1 946.0 25.11
23.1 1198.0 26.11
23.4 1213.0 26.11
21.5 1163.0 24.11
20.9 1165.0 23.11
22.4 1782.0 25.11
22.2 1269.0 25.11
22.9 1327.0 25.11
22.7 927.0 25.11
22.2 1438.0 25.11
22.1 1478.0 25.11
22.1 1383.0 25.11
23.3 1445.0 26.11
22.4 1420.0 25.11
24.0 1379.0 26.11
23.7 1280.0 26.11
23.9 1246.0 26.11
24.4 1251.0 26.11
22.7 1212.0 25.11
22.4 1157.0 25.11
22.4 1389.0 25.11
21.0 1108.0 23.11
20.5 1055.0 23.11
20.7 1055.0 23.11
20.9 1082.0 23.11
21.1 1091.0 23.11
20.8 1114.0 23.11
20.4 1083.0 23.11
20.5 1131.0 23.11
21.2 1182.0 24.11
21.5 1259.0 24.11
21.7 1255.0 24.11
22.2 1141.0 25.11
21.7 1358.0 24.11
22.2 728.0 25.11
21.6 1346.0 24.11
21.7 1327.0 24.11
21.3 1312.0 24.11
21.4 1255.0 24.11
20.9 1189.0 23.11
21.1 1118.0 24.11
20.7 1110.0 23.11
20.5 929.0 23.11
20.5 930.0 23.11
20.3 1304.0 23.11
20.3 924.0 23.11
19.8 910.0 22.11
19.2 871.0 21.11
18.9 889.0 21.11
18.5 863.0 21.11
18.1 856.0 20.11
18.7 871.0 21.11
18.9 921.0 21.11
19.7 929.0 22.11
20.3 625.0 23.11
20.2 1207.0 23.11
19.4 1516.0 22.11
19.5 649.0 22.11
19.5 1258.0 22.11
19.9 1269.0 22.11
20.3 1279.0 23.11
20.2 1271.0 23.11
20.4 1240.0 23.11
20.2 1180.0 23.11
19.8 929.0 22.11
19.5 923.0 22.11
20.0 919.0 22.11
19.8 921.0 22.11
19.6 1216.0 22.11
19.4 918.0 22.11
19.5 919.0 22.11
19.0 918.0 21.11
18.8 880.0 21.11
19.8 891.0 22.11
19.6 875.0 22.11
19.4 917.0 22.11
20.1 929.0 22.11
20.3 722.0 23.11
20.4 1308.0 23.11
21.2 1239.0 24.11
21.7 1524.0 24.11
22.1 684.0 25.11
21.8 1310.0 24.11
22.2 1345.0 25.11
21.3 1306.0 24.11
20.7 1372.0 23.11
21.1 646.0 24.11
21.2 1203.0 24.11
21.4 1134.0 24.11
21.4 1120.0 24.11
21.3 1135.0 24.11
21.8 883.0 24.11
21.1 1317.0 24.11
20.9 929.0 23.11
20.9 923.0 23.11
20.5 1131.0 23.11
20.7 1063.0 23.11
18.5 870.0 21.11
18.6 798.0 21.11
19.0 812.0 21.11
19.0 840.0 21.11
19.4 840.0 22.11
19.5 876.0 22.11
19.6 924.0 22.11
20.0 929.0 22.11
19.3 929.0 22.11
18.6 929.0 21.11
19.4 929.0 22.11
19.2 928.0 21.11
19.0 929.0 21.11
19.0 929.0 21.11
18.1 918.0 20.11
18.0 904.0 20.11
17.8 854.0 20.11
19.2 865.0 21.11
19.2 872.0 21.11
18.8 929.0 21.11
18.4 818.0 21.11
18.6 802.0 21.11
18.4 797.0 21.11
17.3 796.0 20.11
17.6 783.0 20.11
17.7 787.0 21.11
17.9 792.0 21.11
18.4 792.0 21.11
19.2 792.0 22.11
21.0 806.0 24.11
21.3 891.0 24.11
21.0 853.0 23.11
19.8 919.0 22.11
20.9 920.0 23.11
20.1 867.0 22.11
18.8 857.0 21.11
19.3 840.0 21.11
20.4 909.0 23.11
20.2 877.0 22.11
19.9 867.0 22.11
19.6 842.0 22.11
19.5 850.0 22.11
19.5 816.0 22.11
18.5 910.0 21.11
