Tset	Date	Twet	Load	Hour(s)	TimeStamp(s)
24.11	8/1/2011 0:00	22.5	58.2	0	1312156800
24.11	8/1/2011 1:00	22	620.8	3600	1312160400
24.11	8/1/2011 2:00	21.6	611.1	7200	1312164000
24.11	8/1/2011 3:00	21.6	640.2	10800	1312167600
24.11	8/1/2011 4:00	21.1	649.9	14400	1312171200
24.11	8/1/2011 5:00	21.3	669.3	18000	1312174800
25.11	8/1/2011 6:00	22.4	756.6	21600	1312178400
25.11	8/1/2011 7:00	22.1	756.6	25200	1312182000
25.11	8/1/2011 8:00	22.2	688.7	28800	1312185600
25.11	8/1/2011 9:00	22.3	543.2	32400	1312189200
25.11	8/1/2011 10:00	22.9	58.2	36000	1312192800
25.11	8/1/2011 11:00	23.1	436.5	39600	1312196400
24.11	8/1/2011 12:00	22.6	58.2	43200	1312200000
24.11	8/1/2011 13:00	22.5	58.2	46800	1312203600
25.11	8/1/2011 14:00	22.2	494.7	50400	1312207200
23.11	8/1/2011 15:00	21.8	58.2	54000	1312210800
24.11	8/1/2011 16:00	21.4	455.9	57600	1312214400
23.11	8/1/2011 17:00	21.6	58.2	61200	1312218000
23.11	8/1/2011 18:00	21.1	58.2	64800	1312221600
23.11	8/1/2011 19:00	20.9	455.9	68400	1312225200
23.11	8/1/2011 20:00	21.2	58.2	72000	1312228800
22.11	8/1/2011 21:00	20.6	58.2	75600	1312232400
22.11	8/1/2011 22:00	20.5	58.2	79200	1312236000
23.11	8/1/2011 23:00	20.3	446.2	82800	1312239600
22.11	8/2/2011 0:00	20.3	58.2	0	1312243200
22.11	8/2/2011 1:00	20.4	58.2	3600	1312246800
22.11	8/2/2011 2:00	20.2	58.2	7200	1312250400
21.11	8/2/2011 3:00	19.5	58.2	10800	1312254000
21.11	8/2/2011 4:00	19.3	58.2	14400	1312257600
21.11	8/2/2011 5:00	19.7	58.2	18000	1312261200
22.11	8/2/2011 6:00	20.8	58.2	21600	1312264800
23.11	8/2/2011 7:00	21.5	58.2	25200	1312268400
23.11	8/2/2011 8:00	21.6	58.2	28800	1312272000
23.11	8/2/2011 9:00	21.2	58.2	32400	1312275600
23.11	8/2/2011 10:00	21.2	58.2	36000	1312279200
22.11	8/2/2011 11:00	20.7	58.2	39600	1312282800
22.11	8/2/2011 12:00	20.1	58.2	43200	1312286400
23.11	8/2/2011 13:00	20.1	766.3	46800	1312290000
23.11	8/2/2011 14:00	20.2	572.3	50400	1312293600
23.11	8/2/2011 15:00	20.9	494.7	54000	1312297200
23.11	8/2/2011 16:00	20.7	582	57600	1312300800
23.11	8/2/2011 17:00	20.9	601.4	61200	1312304400
24.11	8/2/2011 18:00	21.8	591.7	64800	1312308000
24.11	8/2/2011 19:00	21.1	601.4	68400	1312311600
23.11	8/2/2011 20:00	20.9	58.2	72000	1312315200
23.11	8/2/2011 21:00	21.5	58.2	75600	1312318800
23.11	8/2/2011 22:00	21.7	58.2	79200	1312322400
23.11	8/2/2011 23:00	21.7	58.2	82800	1312326000
23.11	8/3/2011 0:00	21.2	58.2	0	1312329600
23.11	8/3/2011 1:00	21.2	58.2	3600	1312333200
23.11	8/3/2011 2:00	21.2	58.2	7200	1312336800
23.11	8/3/2011 3:00	21	58.2	10800	1312340400
23.11	8/3/2011 4:00	21.1	58.2	14400	1312344000
23.11	8/3/2011 5:00	21.5	58.2	18000	1312347600
23.11	8/3/2011 6:00	21.8	58.2	21600	1312351200
25.11	8/3/2011 7:00	22.9	58.2	25200	1312354800
26.11	8/3/2011 8:00	23.8	58.2	28800	1312358400
25.11	8/3/2011 9:00	23.4	58.2	32400	1312362000
24.11	8/3/2011 10:00	22.3	58.2	36000	1312365600
25.11	8/3/2011 11:00	22.7	776	39600	1312369200
24.11	8/3/2011 12:00	22.7	58.2	43200	1312372800
24.11	8/3/2011 13:00	22	426.8	46800	1312376400
25.11	8/3/2011 14:00	22.7	446.2	50400	1312380000
25.11	8/3/2011 15:00	22.3	446.2	54000	1312383600
24.11	8/3/2011 16:00	21.8	455.9	57600	1312387200
24.11	8/3/2011 17:00	22	426.8	61200	1312390800
24.11	8/3/2011 18:00	22	572.3	64800	1312394400
24.11	8/3/2011 19:00	22.2	58.2	68400	1312398000
25.11	8/3/2011 20:00	22.9	426.8	72000	1312401600
25.11	8/3/2011 21:00	22.9	417.1	75600	1312405200
25.11	8/3/2011 22:00	23.1	58.2	79200	1312408800
25.11	8/3/2011 23:00	23.1	58.2	82800	1312412400
25.11	8/4/2011 0:00	23.1	58.2	0	1312416000
25.11	8/4/2011 1:00	23.1	58.2	3600	1312419600
25.11	8/4/2011 2:00	23.1	417.1	7200	1312423200
26.11	8/4/2011 3:00	23.5	446.2	10800	1312426800
25.11	8/4/2011 4:00	23.5	58.2	14400	1312430400
25.11	8/4/2011 5:00	23.1	58.2	18000	1312434000
24.11	8/4/2011 6:00	22.7	58.2	21600	1312437600
24.11	8/4/2011 7:00	22	58.2	25200	1312441200
23.11	8/4/2011 8:00	21.8	58.2	28800	1312444800
24.11	8/4/2011 9:00	22.3	58.2	32400	1312448400
24.11	8/4/2011 10:00	22	58.2	36000	1312452000
24.11	8/4/2011 11:00	22.2	58.2	39600	1312455600
25.11	8/4/2011 12:00	22.3	514.1	43200	1312459200
25.11	8/4/2011 13:00	22.3	620.8	46800	1312462800
25.11	8/4/2011 14:00	22.7	640.2	50400	1312466400
25.11	8/4/2011 15:00	22.9	659.6	54000	1312470000
25.11	8/4/2011 16:00	22	669.3	57600	1312473600
25.11	8/4/2011 17:00	22	659.6	61200	1312477200
24.11	8/4/2011 18:00	21.6	640.2	64800	1312480800
24.11	8/4/2011 19:00	21.3	630.5	68400	1312484400
22.11	8/4/2011 20:00	20.8	58.2	72000	1312488000
23.11	8/4/2011 21:00	20.3	630.5	75600	1312491600
22.11	8/4/2011 22:00	19.9	630.5	79200	1312495200
21.11	8/4/2011 23:00	19.3	58.2	82800	1312498800
21.11	8/5/2011 0:00	19.5	58.2	0	1312502400
21.11	8/5/2011 1:00	19.1	58.2	3600	1312506000
20.11	8/5/2011 2:00	18.7	58.2	7200	1312509600
20.11	8/5/2011 3:00	18.4	58.2	10800	1312513200
20.11	8/5/2011 4:00	17.9	58.2	14400	1312516800
21.11	8/5/2011 5:00	19.5	58.2	18000	1312520400
22.11	8/5/2011 6:00	20	58.2	21600	1312524000
22.11	8/5/2011 7:00	20.6	58.2	25200	1312527600
22.11	8/5/2011 8:00	20.8	58.2	28800	1312531200
23.11	8/5/2011 9:00	21.1	58.2	32400	1312534800
22.11	8/5/2011 10:00	20.4	58.2	36000	1312538400
23.11	8/5/2011 11:00	21.6	58.2	39600	1312542000
24.11	8/5/2011 12:00	21.4	417.1	43200	1312545600
23.11	8/5/2011 13:00	21.1	494.7	46800	1312549200
24.11	8/5/2011 14:00	21.8	426.8	50400	1312552800
24.11	8/5/2011 15:00	21.9	455.9	54000	1312556400
24.11	8/5/2011 16:00	21.7	446.2	57600	1312560000
24.11	8/5/2011 17:00	21.9	485	61200	1312563600
23.11	8/5/2011 18:00	21.5	58.2	64800	1312567200
23.11	8/5/2011 19:00	21.2	465.6	68400	1312570800
23.11	8/5/2011 20:00	21	58.2	72000	1312574400
22.11	8/5/2011 21:00	20.8	58.2	75600	1312578000
22.11	8/5/2011 22:00	20.6	58.2	79200	1312581600
23.11	8/5/2011 23:00	20.6	388	82800	1312585200
22.11	8/6/2011 0:00	20.6	58.2	0	1312588800
22.11	8/6/2011 1:00	20.6	58.2	3600	1312592400
22.11	8/6/2011 2:00	20.4	58.2	7200	1312596000
22.11	8/6/2011 3:00	20.2	58.2	10800	1312599600
21.11	8/6/2011 4:00	19.7	58.2	14400	1312603200
22.11	8/6/2011 5:00	20.3	58.2	18000	1312606800
23.11	8/6/2011 6:00	21.3	58.2	21600	1312610400
24.11	8/6/2011 7:00	22.4	58.2	25200	1312614000
25.11	8/6/2011 8:00	23.2	58.2	28800	1312617600
25.11	8/6/2011 9:00	23.2	58.2	32400	1312621200
25.11	8/6/2011 10:00	23.7	58.2	36000	1312624800
26.11	8/6/2011 11:00	23.7	1028.2	39600	1312628400
26.11	8/6/2011 12:00	24.2	717.8	43200	1312632000
26.11	8/6/2011 13:00	24.8	814.8	46800	1312635600
26.11	8/6/2011 14:00	24.7	873	50400	1312639200
26.11	8/6/2011 15:00	24.5	853.6	54000	1312642800
26.11	8/6/2011 16:00	23.9	882.7	57600	1312646400
26.11	8/6/2011 17:00	23.8	776	61200	1312650000
26.11	8/6/2011 18:00	24	756.6	64800	1312653600
26.11	8/6/2011 19:00	23.6	698.4	68400	1312657200
25.11	8/6/2011 20:00	23.6	58.2	72000	1312660800
26.11	8/6/2011 21:00	23.6	620.8	75600	1312664400
26.11	8/6/2011 22:00	23.6	611.1	79200	1312668000
26.11	8/6/2011 23:00	23.6	611.1	82800	1312671600
25.11	8/7/2011 0:00	23.6	58.2	0	1312675200
25.11	8/7/2011 1:00	23.6	58.2	3600	1312678800
25.11	8/7/2011 2:00	23.6	58.2	7200	1312682400
25.11	8/7/2011 3:00	23.6	58.2	10800	1312686000
25.11	8/7/2011 4:00	23.5	58.2	14400	1312689600
25.11	8/7/2011 5:00	23.5	58.2	18000	1312693200
26.11	8/7/2011 6:00	24.2	58.2	21600	1312696800
26.11	8/7/2011 7:00	24.3	58.2	25200	1312700400
26.11	8/7/2011 8:00	25	58.2	28800	1312704000
26.11	8/7/2011 9:00	25.3	58.2	32400	1312707600
26.11	8/7/2011 10:00	25.9	58.2	36000	1312711200
26.11	8/7/2011 11:00	25.7	58.2	39600	1312714800
26.11	8/7/2011 12:00	25.6	58.2	43200	1312718400
26.11	8/7/2011 13:00	25.3	436.5	46800	1312722000
26.11	8/7/2011 14:00	25.5	58.2	50400	1312725600
26.11	8/7/2011 15:00	24.5	58.2	54000	1312729200
25.11	8/7/2011 16:00	25.5	475.3	57600	1312732800
26.11	8/7/2011 17:00	25.4	58.2	61200	1312736400
26.11	8/7/2011 18:00	25.7	58.2	64800	1312740000
26.11	8/7/2011 19:00	25	58.2	68400	1312743600
26.11	8/7/2011 20:00	24.9	58.2	72000	1312747200
26.11	8/7/2011 21:00	23.8	58.2	75600	1312750800
26.11	8/7/2011 22:00	23.8	58.2	79200	1312754400
26.11	8/7/2011 23:00	23.8	58.2	82800	1312758000
25.11	8/8/2011 0:00	23.3	58.2	0	1312761600
25.11	8/8/2011 1:00	23.3	58.2	3600	1312765200
24.11	8/8/2011 2:00	22.7	58.2	7200	1312768800
24.11	8/8/2011 3:00	22.7	58.2	10800	1312772400
24.11	8/8/2011 4:00	22.3	58.2	14400	1312776000
24.11	8/8/2011 5:00	22.5	58.2	18000	1312779600
24.11	8/8/2011 6:00	22.7	58.2	21600	1312783200
24.11	8/8/2011 7:00	22.7	58.2	25200	1312786800
25.11	8/8/2011 8:00	22.8	58.2	28800	1312790400
25.11	8/8/2011 9:00	23.3	58.2	32400	1312794000
26.11	8/8/2011 10:00	23.7	776	36000	1312797600
26.11	8/8/2011 11:00	23.8	960.3	39600	1312801200
26.11	8/8/2011 12:00	23.6	805.1	43200	1312804800
26.11	8/8/2011 13:00	24.1	902.1	46800	1312808400
26.11	8/8/2011 14:00	23.6	979.7	50400	1312812000
26.11	8/8/2011 15:00	23.6	970	54000	1312815600
26.11	8/8/2011 16:00	23.2	921.5	57600	1312819200
25.11	8/8/2011 17:00	23	853.6	61200	1312822800
25.11	8/8/2011 18:00	22.7	795.4	64800	1312826400
25.11	8/8/2011 19:00	22.8	688.7	68400	1312830000
24.11	8/8/2011 20:00	22.3	58.2	72000	1312833600
25.11	8/8/2011 21:00	22.3	640.2	75600	1312837200
25.11	8/8/2011 22:00	22.3	630.5	79200	1312840800
24.11	8/8/2011 23:00	22	620.8	82800	1312844400
24.11	8/9/2011 0:00	21.6	601.4	0	1312848000
23.11	8/9/2011 1:00	21.5	58.2	3600	1312851600
23.11	8/9/2011 2:00	21.3	58.2	7200	1312855200
23.11	8/9/2011 3:00	21.1	58.2	10800	1312858800
23.11	8/9/2011 4:00	21.1	58.2	14400	1312862400
23.11	8/9/2011 5:00	21.6	58.2	18000	1312866000
24.11	8/9/2011 6:00	22.2	58.2	21600	1312869600
25.11	8/9/2011 7:00	22.9	58.2	25200	1312873200
25.11	8/9/2011 8:00	23.7	58.2	28800	1312876800
26.11	8/9/2011 9:00	23.9	58.2	32400	1312880400
26.11	8/9/2011 10:00	23.9	446.2	36000	1312884000
26.11	8/9/2011 11:00	23.4	436.5	39600	1312887600
26.11	8/9/2011 12:00	24.3	485	43200	1312891200
26.11	8/9/2011 13:00	24.1	485	46800	1312894800
26.11	8/9/2011 14:00	23.8	902.1	50400	1312898400
25.11	8/9/2011 15:00	22.3	465.6	54000	1312902000
26.11	8/9/2011 16:00	24.4	504.4	57600	1312905600
26.11	8/9/2011 17:00	24	407.4	61200	1312909200
26.11	8/9/2011 18:00	24.2	455.9	64800	1312912800
25.11	8/9/2011 19:00	23.2	58.2	68400	1312916400
24.11	8/9/2011 20:00	22.2	58.2	72000	1312920000
23.11	8/9/2011 21:00	21.6	58.2	75600	1312923600
23.11	8/9/2011 22:00	21.3	58.2	79200	1312927200
22.11	8/9/2011 23:00	20.4	58.2	82800	1312930800
22.11	8/10/2011 0:00	20.1	58.2	0	1312934400
21.11	8/10/2011 1:00	19	58.2	3600	1312938000
22.11	8/10/2011 2:00	19.6	611.1	7200	1312941600
21.11	8/10/2011 3:00	19.2	58.2	10800	1312945200
21.11	8/10/2011 4:00	19.2	58.2	14400	1312948800
