	Twet	Load	Tset
0	21.1	947.0	23.11
1	21.1	946.0	23.11
2	20.8	940.0	23.11
3	20.6	946.0	23.11
4	20.8	946.0	23.11
5	21.1	1262.0	24.11
6	21.3	1169.0	24.11
7	21.7	1208.0	24.11
8	22.2	1277.0	25.11
9	22.4	1205.0	25.11
10	22.7	1282.0	25.11
11	23.3	1470.0	26.11
12	23.3	1487.0	26.11
13	23.5	1512.0	26.11
14	23.8	1544.0	26.11
15	23.2	1493.0	26.11
16	24.0	1391.0	26.11
17	23.4	1257.0	26.11
18	22.9	1208.0	25.11
19	22.7	1208.0	25.11
20	22.9	1191.0	25.11
21	22.7	1400.0	25.11
22	22.5	1179.0	25.11
23	22.3	1173.0	25.11
24	21.8	1146.0	24.11
25	22.2	1143.0	25.11
26	22.2	1150.0	25.11
27	22.5	1151.0	25.11
28	22.2	946.0	24.11
29	22.9	1362.0	25.11
30	23.4	1321.0	26.11
31	24.0	1421.0	26.11
32	24.2	1505.0	26.11
33	24.3	1364.0	26.11
34	23.8	1384.0	26.11
35	24.3	1590.0	26.11
36	23.6	1620.0	26.11
37	24.5	1574.0	26.11
38	23.5	1510.0	26.11
39	24.1	1462.0	26.11
40	24.5	1429.0	26.11
41	25.0	1386.0	26.11
42	24.4	1283.0	26.11
43	23.7	1239.0	26.11
44	22.7	1564.0	25.11
45	22.5	1189.0	25.11
46	22.7	1176.0	25.11
47	22.4	1143.0	25.11
48	22.4	1146.0	25.11
49	22.2	1149.0	25.11
50	21.6	1144.0	24.11
51	21.8	1172.0	24.11
52	22.2	1504.0	25.11
53	22.9	903.0	25.11
54	23.2	1582.0	26.11
55	23.4	1471.0	26.11
56	24.6	1356.0	26.11
57	24.6	1698.0	26.11
58	24.4	1724.0	26.11
59	24.6	1668.0	26.11
60	24.1	1540.0	26.11
61	24.9	1311.0	26.11
62	24.4	1290.0	26.11
63	24.6	1283.0	26.11
64	25.0	1329.0	26.11
65	24.8	1302.0	26.11
66	24.8	1290.0	26.11
67	24.3	1274.0	26.11
68	24.3	1235.0	26.11
69	24.1	1217.0	26.11
70	24.1	1252.0	26.11
71	24.4	1255.0	26.11
72	24.9	1284.0	26.11
73	25.0	1348.0	26.11
74	24.9	1398.0	26.11
75	23.8	1374.0	26.11
76	24.6	1313.0	26.11
77	24.3	1327.0	26.11
78	24.6	1352.0	26.11
79	24.4	1361.0	26.11
80	23.7	1338.0	26.11
81	23.7	1299.0	26.11
82	24.2	1270.0	26.11
83	24.3	1254.0	26.11
84	24.4	946.0	26.11
85	24.1	1252.0	26.11
86	24.2	1415.0	26.11
87	23.7	1227.0	26.11
88	24.1	1222.0	26.11
89	23.9	1219.0	26.11
90	23.8	1214.0	26.11
91	23.6	1218.0	26.11
92	23.6	1208.0	26.11
93	23.9	1212.0	26.11
94	24.3	1214.0	26.11
95	24.4	1232.0	26.11
96	24.9	1275.0	26.11
97	24.5	1332.0	26.11
98	24.8	1308.0	26.11
99	24.4	1388.0	26.11
100	23.8	1338.0	26.11
101	23.7	1279.0	26.11
102	22.2	1533.0	25.11
103	23.8	1217.0	26.11
104	23.8	1226.0	26.11
105	23.9	1226.0	26.11
106	24.3	1241.0	26.11
107	24.3	1379.0	26.11
108	24.3	1239.0	26.11
109	23.9	1225.0	26.11
110	23.9	946.0	26.11
111	23.9	1221.0	26.11
112	23.6	1224.0	26.11
113	23.4	1241.0	26.11
114	23.4	1265.0	26.11
115	22.9	1300.0	25.11
116	23.1	1321.0	26.11
117	22.9	1313.0	25.11
118	23.6	1333.0	26.11
119	24.0	1590.0	26.11
120	23.2	764.0	26.11
121	23.2	1462.0	26.11
122	23.5	1470.0	26.11
123	23.3	1641.0	26.11
124	22.7	946.0	25.11
125	22.3	946.0	25.11
126	22.3	940.0	25.11
127	23.9	947.0	26.11
128	23.9	946.0	26.11
129	23.7	939.0	26.11
130	23.6	937.0	26.11
131	23.7	1389.0	26.11
132	23.8	944.0	26.11
