Twet Load Tset
2.8 54.0 15.11
3.0 55.0 15.11
2.7 55.0 15.11
2.2 54.0 15.11
2.2 55.0 15.11
1.8 55.0 15.11
1.8 54.0 15.11
3.4 54.0 15.11
4.2 54.0 15.11
4.8 54.0 15.11
5.7 54.0 15.11
6.3 55.0 15.11
7.1 55.0 15.11
7.6 55.0 15.11
7.4 55.0 15.11
6.2 55.0 15.11
6.2 56.0 15.11
5.9 55.0 15.11
5.4 54.0 15.11
5.1 55.0 15.11
5.0 55.0 15.11
5.6 55.0 15.11
5.1 55.0 15.11
5.0 55.0 15.11
5.0 55.0 15.11
4.2 55.0 15.11
3.4 55.0 15.11
3.4 55.0 15.11
3.1 53.0 15.11
2.8 54.0 15.11
2.8 53.0 15.11
3.9 55.0 15.11
5.0 54.0 15.11
5.6 54.0 15.11
6.7 53.0 15.11
8.1 54.0 15.11
9.4 54.0 15.11
9.9 53.0 15.11
9.9 53.0 15.11
8.9 54.0 15.11
10.5 55.0 15.11
9.7 54.0 15.11
10.2 53.0 15.11
10.7 55.0 15.11
10.7 54.0 15.11
10.5 54.0 15.11
10.5 54.0 15.11
9.7 54.0 15.11
10.2 53.0 15.11
8.8 776.0 15.11
8.6 54.0 15.11
7.2 55.0 15.11
8.6 661.0 15.11
7.5 53.0 15.11
8.3 55.0 15.11
9.9 54.0 15.11
11.0 54.0 15.11
12.6 876.0 15.11
13.5 54.0 15.11
14.9 866.0 17.11
15.1 787.0 18.11
15.7 797.0 19.11
14.9 765.0 18.11
13.0 724.0 16.11
12.5 686.0 16.11
12.8 54.0 15.11
11.8 55.0 17.11
11.5 55.0 21.11
10.7 54.0 15.11
10.5 54.0 15.11
11.0 795.0 15.11
10.7 54.0 15.11
11.0 55.0 15.11
10.2 54.0 15.11
10.2 589.0 15.11
11.6 637.0 15.11
8.8 678.0 15.11
10.8 655.0 15.11
12.1 53.0 23.11
12.3 54.0 15.11
12.6 54.0 15.11
12.8 1350.0 16.11
13.8 55.0 16.11
14.3 37.0 16.11
14.7 852.0 17.11
14.4 898.0 17.11
14.1 887.0 17.11
12.5 55.0 15.11
12.2 1468.0 15.11
12.0 55.0 24.11
12.2 54.0 15.11
12.0 54.0 15.11
12.0 55.0 24.11
11.7 55.0 23.11
12.0 218.0 15.11
12.2 55.0 15.11
11.0 54.0 15.11
11.7 55.0 23.11
11.5 656.0 15.11
11.7 54.0 20.11
10.2 54.0 15.11
9.7 54.0 15.11
9.2 55.0 15.11
8.3 55.0 15.11
7.9 55.0 15.11
7.5 580.0 15.11
7.3 54.0 15.11
8.0 54.0 15.11
7.9 54.0 15.11
7.8 1648.0 15.11
7.3 644.0 15.11
6.3 54.0 15.11
5.6 54.0 15.11
4.9 54.0 15.11
3.6 54.0 15.11
3.3 54.0 15.11
2.3 53.0 15.11
1.7 54.0 15.11
0.7 54.0 15.11
0.2 54.0 15.11
-0.2 54.0 15.11
-0.5 54.0 15.11
-0.5 53.0 15.11
-0.7 53.0 15.11
-1.0 53.0 15.11
-1.2 53.0 15.11
-0.8 52.0 15.11
-0.5 53.0 15.11
0.0 55.0 15.11
0.6 54.0 15.11
0.8 55.0 15.11
1.1 53.0 15.11
1.5 526.0 15.11
1.9 55.0 15.11
2.2 55.0 15.11
1.5 54.0 15.11
1.1 55.0 15.11
1.1 55.0 15.11
0.6 55.0 15.11
0.3 54.0 15.11
0.4 55.0 15.11
0.4 55.0 15.11
0.6 532.0 15.11
1.3 56.0 15.11
2.1 55.0 15.11
2.8 54.0 15.11
2.3 54.0 15.11
2.8 54.0 15.11
3.3 54.0 15.11
3.8 56.0 15.11
4.1 54.0 15.11
4.5 55.0 15.11
4.8 55.0 15.11
5.1 55.0 15.11
5.7 54.0 15.11
6.1 54.0 15.11
6.6 56.0 15.11
7.1 54.0 15.11
7.3 802.0 15.11
7.3 55.0 15.11
7.6 55.0 15.11
7.8 55.0 15.11
8.1 56.0 15.11
8.6 55.0 15.11
8.6 55.0 15.11
8.8 54.0 15.11
8.8 963.0 15.11
8.6 56.0 15.11
8.8 55.0 15.11
8.8 56.0 15.11
8.8 55.0 15.11
8.6 54.0 15.11
8.8 55.0 15.11
9.1 56.0 15.11
9.4 55.0 15.11
9.4 55.0 15.11
9.7 55.0 15.11
9.9 54.0 15.11
9.7 56.0 15.11
9.7 55.0 15.11
10.2 55.0 15.11
10.5 55.0 15.11
10.7 55.0 15.11
9.1 54.0 15.11
10.2 55.0 15.11
9.7 56.0 15.11
9.7 54.0 15.11
8.6 55.0 15.11
9.4 56.0 15.11
10.2 56.0 15.11
9.4 55.0 15.11
9.9 55.0 15.11
9.9 56.0 15.11
9.9 56.0 15.11
9.7 54.0 15.11
9.9 56.0 15.11
10.2 56.0 15.11
9.9 56.0 15.11
9.9 55.0 15.11
10.2 55.0 15.11
9.9 56.0 15.11
9.9 55.0 15.11
9.4 54.0 15.11
8.9 55.0 15.11
8.8 55.0 15.11
9.1 56.0 15.11
8.8 54.0 15.11
8.8 55.0 15.11
8.8 56.0 15.11
9.1 55.0 15.11
9.1 55.0 15.11
9.1 54.0 15.11
9.1 54.0 15.11
9.1 55.0 15.11
9.1 55.0 15.11
9.1 55.0 15.11
9.1 57.0 15.11
9.7 55.0 15.11
9.7 54.0 15.11
9.7 54.0 15.11
9.7 55.0 15.11
9.7 55.0 15.11
11.3 54.0 21.11
12.4 55.0 15.11
11.9 55.0 16.11
13.2 55.0 15.11
14.1 55.0 16.11
13.5 946.0 16.11
15.4 910.0 18.11
14.8 921.0 17.11
15.1 54.0 17.11
14.0 55.0 16.11
13.2 941.0 16.11
14.9 56.0 17.11
12.9 55.0 15.11
13.5 55.0 15.11
14.5 55.0 16.11
12.9 55.0 15.11
13.7 55.0 16.11
9.1 55.0 15.11
8.1 55.0 15.11
7.0 54.0 15.11
6.2 55.0 15.11
5.7 55.0 15.11
5.5 56.0 15.11
5.0 55.0 15.11
4.8 55.0 15.11
5.1 627.0 15.11
5.4 390.0 15.11
5.0 420.0 15.11
5.3 427.0 15.11
5.6 55.0 15.11
5.4 462.0 15.11
5.5 466.0 15.11
5.3 466.0 15.11
4.3 452.0 15.11
4.0 417.0 15.11
3.8 417.0 15.11
3.2 55.0 15.11
3.0 387.0 15.11
2.7 55.0 15.11
2.5 480.0 15.11
2.2 466.0 15.11
2.1 54.0 15.11
1.9 422.0 15.11
1.4 404.0 15.11
1.3 700.0 15.11
1.6 55.0 15.11
1.6 440.0 15.11
1.6 378.0 15.11
1.8 410.0 15.11
2.1 54.0 15.11
2.7 440.0 15.11
3.2 54.0 15.11
3.5 398.0 15.11
3.0 380.0 15.11
3.6 415.0 15.11
3.8 55.0 15.11
3.5 55.0 15.11
3.4 436.0 15.11
2.9 589.0 15.11
2.7 55.0 15.11
2.6 55.0 15.11
2.2 56.0 15.11
2.2 55.0 15.11
1.7 55.0 15.11
1.6 54.0 15.11
1.6 55.0 15.11
1.2 55.0 15.11
1.2 55.0 15.11
0.9 55.0 15.11
1.1 54.0 15.11
0.7 54.0 15.11
0.4 56.0 15.11
0.4 54.0 16.11
1.6 54.0 15.11
2.5 54.0 15.11
3.1 56.0 15.11
3.6 570.0 15.11
3.6 55.0 15.11
3.6 56.0 15.11
3.4 453.0 15.11
3.1 441.0 15.11
2.5 433.0 15.11
2.2 499.0 15.11
1.6 55.0 15.11
1.5 454.0 15.11
1.2 55.0 15.11
1.1 55.0 15.11
1.1 54.0 15.11
0.0 428.0 15.11
0.0 55.0 15.11
-0.1 54.0 15.11
-1.0 55.0 15.11
-0.8 54.0 15.11
-1.2 54.0 15.11
-1.7 53.0 15.11
-1.0 55.0 15.11
-0.7 55.0 15.11
1.4 53.0 15.11
2.5 54.0 15.11
4.0 54.0 15.11
4.6 54.0 15.11
5.1 55.0 15.11
5.7 450.0 15.11
5.9 462.0 15.11
6.0 448.0 15.11
4.7 461.0 15.11
4.6 442.0 15.11
4.5 430.0 15.11
4.1 381.0 15.11
3.8 54.0 15.11
3.3 55.0 15.11
3.1 54.0 15.11
3.4 524.0 15.11
2.8 55.0 15.11
3.0 56.0 15.11
1.9 57.0 15.11
2.2 55.0 15.11
2.6 55.0 15.11
1.7 53.0 15.11
1.4 54.0 15.11
2.6 54.0 15.11
2.6 54.0 15.11
4.1 55.0 15.11
4.9 55.0 15.11
5.6 54.0 15.11
6.0 55.0 15.11
6.3 55.0 15.11
6.7 55.0 15.11
6.4 396.0 15.11
6.3 493.0 15.11
6.2 494.0 15.11
6.2 55.0 15.11
5.7 508.0 15.11
5.6 55.0 15.11
5.9 54.0 15.11
5.6 415.0 15.11
5.9 55.0 15.11
6.3 373.0 15.11
6.7 55.0 15.11
6.9 477.0 15.11
6.9 54.0 15.11
6.9 55.0 15.11
6.9 55.0 15.11
7.2 549.0 15.11
7.2 395.0 15.11
7.8 56.0 15.11
7.8 55.0 15.11
8.0 451.0 15.11
8.3 424.0 15.11
8.1 55.0 15.11
8.1 426.0 15.11
8.3 54.0 15.11
8.3 445.0 15.11
8.3 443.0 15.11
8.6 55.0 15.11
8.6 402.0 15.11
8.6 383.0 15.11
8.6 414.0 15.11
8.6 55.0 15.11
9.1 55.0 15.11
9.1 377.0 15.11
9.1 616.0 15.11
9.4 422.0 15.11
8.8 463.0 15.11
9.1 450.0 15.11
9.1 437.0 15.11
8.8 430.0 15.11
8.8 435.0 15.11
9.1 435.0 15.11
9.7 475.0 15.11
9.1 440.0 15.11
9.7 445.0 15.11
9.9 465.0 15.11
9.7 467.0 15.11
10.2 485.0 15.11
10.7 494.0 15.11
10.5 509.0 15.11
10.5 505.0 15.11
10.2 493.0 15.11
10.7 500.0 15.11
11.3 464.0 15.11
11.3 55.0 26.11
11.3 415.0 15.11
11.6 410.0 15.11
11.0 476.0 15.11
12.1 418.0 15.11
11.8 415.0 15.11
11.8 447.0 15.11
10.5 484.0 15.11
9.1 440.0 15.11
8.8 429.0 15.11
8.3 415.0 15.11
9.4 419.0 15.11
9.9 845.0 15.11
11.2 532.0 15.11
11.2 600.0 15.11
10.5 55.0 15.11
9.6 1114.0 15.11
9.0 537.0 15.11
8.1 509.0 15.11
7.0 584.0 15.11
6.2 416.0 15.11
5.4 421.0 15.11
5.4 516.0 15.11
4.8 55.0 15.11
4.6 55.0 15.11
3.8 401.0 15.11
3.8 54.0 15.11
3.1 491.0 15.11
3.2 55.0 15.11
2.7 54.0 15.11
2.6 56.0 15.11
1.2 55.0 15.11
2.2 55.0 15.11
1.7 55.0 15.11
2.3 54.0 15.11
2.4 55.0 15.11
3.3 54.0 15.11
4.7 55.0 15.11
6.8 464.0 15.11
6.8 390.0 15.11
7.1 455.0 15.11
7.6 465.0 15.11
7.6 461.0 15.11
7.3 460.0 15.11
6.4 462.0 15.11
5.6 448.0 15.11
5.6 538.0 15.11
5.5 367.0 15.11
5.1 56.0 15.11
4.8 55.0 15.11
4.0 447.0 15.11
3.8 437.0 15.11
4.0 55.0 15.11
4.0 463.0 15.11
3.9 55.0 15.11
3.9 437.0 15.11
3.7 55.0 15.11
3.5 55.0 15.11
3.7 55.0 15.11
3.6 55.0 15.11
3.7 55.0 15.11
4.3 372.0 15.11
4.4 466.0 15.11
5.0 55.0 15.11
5.2 409.0 15.11
5.0 425.0 15.11
4.7 415.0 15.11
4.2 461.0 15.11
5.0 55.0 15.11
5.8 437.0 15.11
5.5 497.0 15.11
6.0 55.0 15.11
6.7 393.0 15.11
7.5 591.0 15.11
9.4 55.0 15.11
10.7 55.0 15.11
12.1 421.0 15.11
13.2 432.0 16.11
13.5 564.0 16.11
10.2 520.0 15.11
6.2 54.0 15.11
4.4 388.0 15.11
3.9 438.0 15.11
3.4 55.0 15.11
2.5 55.0 15.11
2.1 55.0 15.11
2.1 56.0 15.11
1.9 461.0 15.11
1.9 55.0 15.11
1.9 55.0 15.11
1.5 54.0 15.11
1.3 55.0 15.11
1.0 54.0 15.11
0.9 54.0 15.11
0.8 55.0 15.11
0.5 55.0 15.11
0.1 55.0 15.11
0.2 55.0 15.11
0.4 54.0 16.11
0.4 54.0 16.11
0.4 54.0 16.11
0.4 55.0 15.11
0.5 55.0 15.11
0.7 54.0 15.11
0.5 55.0 15.11
0.4 54.0 16.11
0.2 55.0 15.11
0.4 55.0 15.11
0.5 55.0 15.11
0.5 54.0 15.11
0.7 55.0 15.11
1.1 55.0 15.11
1.8 55.0 15.11
1.8 786.0 15.11
1.4 54.0 15.11
1.2 54.0 15.11
0.6 54.0 15.11
0.2 55.0 15.11
-0.3 55.0 15.11
-0.7 55.0 15.11
-1.0 55.0 15.11
-1.0 54.0 15.11
-1.3 55.0 15.11
-1.5 54.0 15.11
-1.5 54.0 15.11
-1.8 54.0 15.11
-2.0 54.0 15.11
-2.1 56.0 15.11
-2.3 54.0 15.11
-1.9 55.0 15.11
-2.6 54.0 15.11
-3.3 54.0 15.11
-1.7 54.0 15.11
0.0 54.0 15.11
0.1 54.0 15.11
1.2 54.0 15.11
2.0 54.0 15.11
2.3 390.0 15.11
2.5 54.0 15.11
2.6 55.0 15.11
2.7 430.0 15.11
1.5 55.0 15.11
1.2 55.0 15.11
2.0 55.0 15.11
1.0 54.0 15.11
0.6 55.0 15.11
0.2 54.0 15.11
-0.1 54.0 15.11
-0.1 55.0 15.11
-0.5 54.0 15.11
-0.5 55.0 15.11
-1.0 54.0 15.11
-1.2 55.0 15.11
-0.6 55.0 15.11
-0.7 54.0 15.11
-0.1 54.0 15.11
0.4 54.0 16.11
1.5 53.0 15.11
1.6 54.0 15.11
1.9 54.0 15.11
2.2 55.0 15.11
2.1 54.0 15.11
2.1 54.0 15.11
2.6 54.0 15.11
2.6 54.0 15.11
2.8 54.0 15.11
2.6 54.0 15.11
2.6 54.0 15.11
2.8 54.0 15.11
2.8 54.0 15.11
2.8 54.0 15.11
2.8 54.0 15.11
3.0 54.0 15.11
3.1 54.0 15.11
2.6 54.0 15.11
2.3 54.0 15.11
1.7 55.0 15.11
1.7 54.0 15.11
1.5 54.0 15.11
1.0 54.0 15.11
2.1 54.0 15.11
3.8 54.0 15.11
4.1 54.0 15.11
5.4 55.0 15.11
6.3 395.0 15.11
5.4 412.0 15.11
5.1 414.0 15.11
4.8 54.0 15.11
3.9 55.0 15.11
4.0 506.0 15.11
4.0 56.0 15.11
4.0 391.0 15.11
3.5 55.0 15.11
3.6 55.0 15.11
2.7 55.0 15.11
2.5 542.0 15.11
1.7 54.0 15.11
0.9 55.0 15.11
0.8 55.0 15.11
0.3 54.0 15.11
0.0 54.0 15.11
-0.1 53.0 15.11
-0.1 54.0 15.11
0.0 54.0 15.11
0.2 53.0 15.11
0.2 54.0 15.11
0.4 54.0 16.11
0.7 53.0 15.11
1.0 53.0 15.11
1.5 54.0 15.11
2.0 53.0 15.11
3.1 55.0 15.11
3.7 54.0 15.11
