Tset	Date	Twet	Load	Hour(s)	TimeStamp(s)
15.11	12/1/2011 0:00	0.80	58.2	0	1322697600
15.11	12/1/2011 1:00	0.60	58.2	3600	1322701200
15.11	12/1/2011 2:00	0.20	58.2	7200	1322704800
15.11	12/1/2011 3:00	0.20	58.2	10800	1322708400
15.11	12/1/2011 4:00	0.20	58.2	14400	1322712000
15.11	12/1/2011 5:00	0.20	58.2	18000	1322715600
15.11	12/1/2011 6:00	0.40	58.2	21600	1322719200
15.11	12/1/2011 7:00	0.80	58.2	25200	1322722800
15.11	12/1/2011 8:00	1.90	58.2	28800	1322726400
15.11	12/1/2011 9:00	3.40	746.9	32400	1322730000
15.11	12/1/2011 10:00	4.10	58.2	36000	1322733600
15.11	12/1/2011 11:00	5.00	58.2	39600	1322737200
15.11	12/1/2011 12:00	4.90	58.2	43200	1322740800
15.11	12/1/2011 13:00	5.60	698.4	46800	1322744400
15.11	12/1/2011 14:00	5.60	649.9	50400	1322748000
15.11	12/1/2011 15:00	5.70	649.9	54000	1322751600
15.11	12/1/2011 16:00	4.40	698.4	57600	1322755200
15.11	12/1/2011 17:00	2.80	58.2	61200	1322758800
15.11	12/1/2011 18:00	2.80	58.2	64800	1322762400
15.11	12/1/2011 19:00	2.20	58.2	68400	1322766000
15.11	12/1/2011 20:00	1.90	58.2	72000	1322769600
15.11	12/1/2011 21:00	0.30	58.2	75600	1322773200
15.11	12/1/2011 22:00	-0.10	58.2	79200	1322776800
15.11	12/1/2011 23:00	-0.60	58.2	82800	1322780400
15.11	12/2/2011 0:00	-0.80	58.2	0	1322784000
15.11	12/2/2011 1:00	-0.80	58.2	3600	1322787600
15.11	12/2/2011 2:00	-1.70	58.2	7200	1322791200
15.11	12/2/2011 3:00	-2.80	58.2	10800	1322794800
15.11	12/2/2011 4:00	-2.20	58.2	14400	1322798400
15.11	12/2/2011 5:00	-3.10	58.2	18000	1322802000
15.11	12/2/2011 6:00	-2.40	58.2	21600	1322805600
15.11	12/2/2011 7:00	-2.20	58.2	25200	1322809200
15.11	12/2/2011 8:00	1.70	58.2	28800	1322812800
15.11	12/2/2011 9:00	4.40	58.2	32400	1322816400
15.11	12/2/2011 10:00	5.40	58.2	36000	1322820000
15.11	12/2/2011 11:00	5.80	58.2	39600	1322823600
15.11	12/2/2011 12:00	6.50	58.2	43200	1322827200
15.11	12/2/2011 13:00	7.00	58.2	46800	1322830800
15.11	12/2/2011 14:00	6.50	58.2	50400	1322834400
15.11	12/2/2011 15:00	5.20	58.2	54000	1322838000
15.11	12/2/2011 16:00	4.80	58.2	57600	1322841600
15.11	12/2/2011 17:00	4.20	58.2	61200	1322845200
15.11	12/2/2011 18:00	3.90	58.2	64800	1322848800
15.11	12/2/2011 19:00	4.10	58.2	68400	1322852400
15.11	12/2/2011 20:00	3.50	58.2	72000	1322856000
15.11	12/2/2011 21:00	2.90	58.2	75600	1322859600
15.11	12/2/2011 22:00	2.20	58.2	79200	1322863200
15.11	12/2/2011 23:00	1.00	58.2	82800	1322866800
15.11	12/3/2011 0:00	0.00	58.2	0	1322870400
15.11	12/3/2011 1:00	-0.60	58.2	3600	1322874000
15.11	12/3/2011 2:00	-0.60	58.2	7200	1322877600
15.11	12/3/2011 3:00	-1.20	58.2	10800	1322881200
15.11	12/3/2011 4:00	-1.50	58.2	14400	1322884800
15.11	12/3/2011 5:00	-2.40	58.2	18000	1322888400
15.11	12/3/2011 6:00	-2.00	58.2	21600	1322892000
15.11	12/3/2011 7:00	0.00	58.2	25200	1322895600
15.11	12/3/2011 8:00	2.20	58.2	28800	1322899200
15.11	12/3/2011 9:00	2.40	58.2	32400	1322902800
15.11	12/3/2011 10:00	3.40	58.2	36000	1322906400
15.11	12/3/2011 11:00	3.70	58.2	39600	1322910000
15.11	12/3/2011 12:00	3.80	58.2	43200	1322913600
15.11	12/3/2011 13:00	4.30	552.9	46800	1322917200
15.11	12/3/2011 14:00	4.20	58.2	50400	1322920800
15.11	12/3/2011 15:00	4.50	446.2	54000	1322924400
15.11	12/3/2011 16:00	2.90	58.2	57600	1322928000
15.11	12/3/2011 17:00	2.80	465.6	61200	1322931600
15.11	12/3/2011 18:00	2.70	417.1	64800	1322935200
15.11	12/3/2011 19:00	1.50	475.3	68400	1322938800
15.11	12/3/2011 20:00	1.10	58.2	72000	1322942400
15.11	12/3/2011 21:00	2.80	58.2	75600	1322946000
15.11	12/3/2011 22:00	1.80	58.2	79200	1322949600
15.11	12/3/2011 23:00	1.00	58.2	82800	1322953200
15.11	12/4/2011 0:00	0.40	58.2	0	1322956800
15.11	12/4/2011 1:00	-0.40	58.2	3600	1322960400
15.11	12/4/2011 2:00	-0.40	58.2	7200	1322964000
15.11	12/4/2011 3:00	-0.90	58.2	10800	1322967600
15.11	12/4/2011 4:00	-2.00	58.2	14400	1322971200
15.11	12/4/2011 5:00	-1.50	58.2	18000	1322974800
15.11	12/4/2011 6:00	-0.90	58.2	21600	1322978400
15.11	12/4/2011 7:00	-0.40	58.2	25200	1322982000
15.11	12/4/2011 8:00	3.10	58.2	28800	1322985600
15.11	12/4/2011 9:00	6.40	58.2	32400	1322989200
15.11	12/4/2011 10:00	7.60	58.2	36000	1322992800
15.11	12/4/2011 11:00	8.70	58.2	39600	1322996400
15.11	12/4/2011 12:00	7.80	58.2	43200	1323000000
15.11	12/4/2011 13:00	8.60	58.2	46800	1323003600
15.11	12/4/2011 14:00	8.80	58.2	50400	1323007200
15.11	12/4/2011 15:00	9.20	58.2	54000	1323010800
15.11	12/4/2011 16:00	8.40	58.2	57600	1323014400
15.11	12/4/2011 17:00	7.60	58.2	61200	1323018000
15.11	12/4/2011 18:00	6.20	58.2	64800	1323021600
15.11	12/4/2011 19:00	5.90	58.2	68400	1323025200
15.11	12/4/2011 20:00	4.80	58.2	72000	1323028800
15.11	12/4/2011 21:00	4.50	58.2	75600	1323032400
15.11	12/4/2011 22:00	3.90	58.2	79200	1323036000
15.11	12/4/2011 23:00	3.90	58.2	82800	1323039600
15.11	12/5/2011 0:00	2.80	58.2	0	1323043200
15.11	12/5/2011 1:00	3.00	58.2	3600	1323046800
15.11	12/5/2011 2:00	2.80	58.2	7200	1323050400
15.11	12/5/2011 3:00	2.80	58.2	10800	1323054000
15.11	12/5/2011 4:00	2.80	58.2	14400	1323057600
15.11	12/5/2011 5:00	3.00	58.2	18000	1323061200
15.11	12/5/2011 6:00	3.80	58.2	21600	1323064800
15.11	12/5/2011 7:00	3.80	58.2	25200	1323068400
15.11	12/5/2011 8:00	5.50	58.2	28800	1323072000
15.11	12/5/2011 9:00	8.00	58.2	32400	1323075600
15.11	12/5/2011 10:00	8.90	58.2	36000	1323079200
15.11	12/5/2011 11:00	9.70	58.2	39600	1323082800
15.11	12/5/2011 12:00	10.20	58.2	43200	1323086400
15.11	12/5/2011 13:00	11.00	58.2	46800	1323090000
15.11	12/5/2011 14:00	11.20	58.2	50400	1323093600
15.11	12/5/2011 15:00	11.00	58.2	54000	1323097200
15.11	12/5/2011 16:00	10.70	58.2	57600	1323100800
15.11	12/5/2011 17:00	10.50	58.2	61200	1323104400
15.11	12/5/2011 18:00	10.50	58.2	64800	1323108000
15.11	12/5/2011 19:00	10.20	58.2	68400	1323111600
15.11	12/5/2011 20:00	10.50	58.2	72000	1323115200
15.11	12/5/2011 21:00	12.10	58.2	75600	1323118800
15.11	12/5/2011 22:00	12.90	58.2	79200	1323122400
15.11	12/5/2011 23:00	13.50	58.2	82800	1323126000
15.11	12/6/2011 0:00	13.50	58.2	0	1323129600
15.11	12/6/2011 1:00	13.50	58.2	3600	1323133200
16.11	12/6/2011 2:00	13.80	58.2	7200	1323136800
15.11	12/6/2011 3:00	13.00	58.2	10800	1323140400
15.11	12/6/2011 4:00	13.00	58.2	14400	1323144000
15.11	12/6/2011 5:00	13.20	58.2	18000	1323147600
16.11	12/6/2011 6:00	14.60	58.2	21600	1323151200
16.11	12/6/2011 7:00	14.60	58.2	25200	1323154800
17.11	12/6/2011 8:00	14.90	58.2	28800	1323158400
17.11	12/6/2011 9:00	15.10	58.2	32400	1323162000
17.11	12/6/2011 10:00	15.40	58.2	36000	1323165600
17.11	12/6/2011 11:00	15.40	58.2	39600	1323169200
17.11	12/6/2011 12:00	15.70	58.2	43200	1323172800
18.11	12/6/2011 13:00	16.00	58.2	46800	1323176400
18.11	12/6/2011 14:00	16.00	58.2	50400	1323180000
18.11	12/6/2011 15:00	16.00	58.2	54000	1323183600
18.11	12/6/2011 16:00	16.00	58.2	57600	1323187200
18.11	12/6/2011 17:00	16.00	58.2	61200	1323190800
18.11	12/6/2011 18:00	16.00	58.2	64800	1323194400
18.11	12/6/2011 19:00	16.20	58.2	68400	1323198000
18.11	12/6/2011 20:00	16.50	58.2	72000	1323201600
18.11	12/6/2011 21:00	16.30	58.2	75600	1323205200
18.11	12/6/2011 22:00	16.30	58.2	79200	1323208800
19.11	12/6/2011 23:00	16.30	727.5	82800	1323212400
18.11	12/7/2011 0:00	16.30	58.2	0	1323216000
17.11	12/7/2011 1:00	15.70	58.2	3600	1323219600
17.11	12/7/2011 2:00	15.70	58.2	7200	1323223200
18.11	12/7/2011 3:00	16.00	58.2	10800	1323226800
18.11	12/7/2011 4:00	16.00	58.2	14400	1323230400
17.11	12/7/2011 5:00	15.70	58.2	18000	1323234000
16.11	12/7/2011 6:00	14.60	58.2	21600	1323237600
16.11	12/7/2011 7:00	14.30	58.2	25200	1323241200
16.11	12/7/2011 8:00	14.10	58.2	28800	1323244800
15.11	12/7/2011 9:00	13.20	58.2	32400	1323248400
15.11	12/7/2011 10:00	12.90	58.2	36000	1323252000
15.11	12/7/2011 11:00	13.00	58.2	39600	1323255600
15.11	12/7/2011 12:00	12.40	58.2	43200	1323259200
15.11	12/7/2011 13:00	12.40	58.2	46800	1323262800
15.11	12/7/2011 14:00	11.60	58.2	50400	1323266400
15.11	12/7/2011 15:00	11.00	562.6	54000	1323270000
15.11	12/7/2011 16:00	10.80	543.2	57600	1323273600
15.11	12/7/2011 17:00	9.40	717.8	61200	1323277200
15.11	12/7/2011 18:00	8.30	766.3	64800	1323280800
15.11	12/7/2011 19:00	6.90	756.6	68400	1323284400
15.11	12/7/2011 20:00	5.80	58.2	72000	1323288000
15.11	12/7/2011 21:00	4.00	58.2	75600	1323291600
15.11	12/7/2011 22:00	2.60	58.2	79200	1323295200
15.11	12/7/2011 23:00	2.60	58.2	82800	1323298800
15.11	12/8/2011 0:00	2.70	58.2	0	1323302400
15.11	12/8/2011 1:00	2.80	58.2	3600	1323306000
15.11	12/8/2011 2:00	1.30	58.2	7200	1323309600
15.11	12/8/2011 3:00	0.70	58.2	10800	1323313200
15.11	12/8/2011 4:00	-0.20	58.2	14400	1323316800
15.11	12/8/2011 5:00	-0.30	58.2	18000	1323320400
15.11	12/8/2011 6:00	-0.80	58.2	21600	1323324000
15.11	12/8/2011 7:00	-0.50	58.2	25200	1323327600
15.11	12/8/2011 8:00	0.40	58.2	28800	1323331200
15.11	12/8/2011 9:00	0.70	58.2	32400	1323334800
15.11	12/8/2011 10:00	1.70	58.2	36000	1323338400
15.11	12/8/2011 11:00	2.00	58.2	39600	1323342000
15.11	12/8/2011 12:00	2.40	58.2	43200	1323345600
15.11	12/8/2011 13:00	2.70	1154.3	46800	1323349200
15.11	12/8/2011 14:00	2.70	543.2	50400	1323352800
15.11	12/8/2011 15:00	2.40	834.2	54000	1323356400
15.11	12/8/2011 16:00	1.20	717.8	57600	1323360000
15.11	12/8/2011 17:00	0.90	766.3	61200	1323363600
15.11	12/8/2011 18:00	0.80	688.7	64800	1323367200
15.11	12/8/2011 19:00	-0.30	679	68400	1323370800
15.11	12/8/2011 20:00	-0.30	475.3	72000	1323374400
15.11	12/8/2011 21:00	-0.80	58.2	75600	1323378000
15.11	12/8/2011 22:00	-0.80	407.4	79200	1323381600
