	Twet	Load	Tset
0	2.8	54.0	15.11
1	3.0	55.0	15.11
2	2.7	55.0	15.11
3	2.2	54.0	15.11
4	2.2	55.0	15.11
5	1.8	55.0	15.11
6	1.8	54.0	15.11
7	3.4	54.0	15.11
8	4.2	54.0	15.11
9	4.8	54.0	15.11
10	5.7	54.0	15.11
11	6.3	55.0	15.11
12	7.1	55.0	15.11
13	7.6	55.0	15.11
14	7.4	55.0	15.11
15	6.2	55.0	15.11
16	6.2	56.0	15.11
17	5.9	55.0	15.11
18	5.4	54.0	15.11
19	5.1	55.0	15.11
20	5.0	55.0	15.11
21	5.6	55.0	15.11
22	5.1	55.0	15.11
23	5.0	55.0	15.11
24	5.0	55.0	15.11
25	4.2	55.0	15.11
26	3.4	55.0	15.11
27	3.4	55.0	15.11
28	3.1	53.0	15.11
29	2.8	54.0	15.11
30	2.8	53.0	15.11
31	3.9	55.0	15.11
32	5.0	54.0	15.11
33	5.6	54.0	15.11
34	6.7	53.0	15.11
35	8.1	54.0	15.11
36	9.4	54.0	15.11
37	9.9	53.0	15.11
38	9.9	53.0	15.11
39	8.9	54.0	15.11
40	10.5	55.0	15.11
41	9.7	54.0	15.11
42	10.2	53.0	15.11
43	10.7	55.0	15.11
44	10.7	54.0	15.11
45	10.5	54.0	15.11
46	10.5	54.0	15.11
47	9.7	54.0	15.11
48	10.2	53.0	15.11
49	8.8	776.0	15.11
50	8.6	54.0	15.11
51	7.2	55.0	15.11
52	8.6	661.0	15.11
53	7.5	53.0	15.11
54	8.3	55.0	15.11
55	9.9	54.0	15.11
56	11.0	54.0	15.11
57	12.6	876.0	15.11
58	13.5	54.0	15.11
59	14.9	866.0	17.11
60	15.1	787.0	18.11
61	15.7	797.0	19.11
62	14.9	765.0	18.11
63	13.0	724.0	16.11
64	12.5	686.0	16.11
65	12.8	54.0	15.11
66	11.8	55.0	17.11
67	11.5	55.0	21.11
68	10.7	54.0	15.11
69	10.5	54.0	15.11
70	11.0	795.0	15.11
71	10.7	54.0	15.11
72	11.0	55.0	15.11
73	10.2	54.0	15.11
74	10.2	589.0	15.11
75	11.6	637.0	15.11
76	8.8	678.0	15.11
77	10.8	655.0	15.11
78	12.1	53.0	23.11
79	12.3	54.0	15.11
80	12.6	54.0	15.11
81	12.8	1350.0	16.11
82	13.8	55.0	16.11
83	14.3	37.0	16.11
84	14.7	852.0	17.11
85	14.4	898.0	17.11
86	14.1	887.0	17.11
87	12.5	55.0	15.11
88	12.2	1468.0	15.11
89	12.0	55.0	24.11
90	12.2	54.0	15.11
91	12.0	54.0	15.11
92	12.0	55.0	24.11
93	11.7	55.0	23.11
94	12.0	218.0	15.11
95	12.2	55.0	15.11
96	11.0	54.0	15.11
97	11.7	55.0	23.11
98	11.5	656.0	15.11
99	11.7	54.0	20.11
100	10.2	54.0	15.11
101	9.7	54.0	15.11
102	9.2	55.0	15.11
103	8.3	55.0	15.11
104	7.9	55.0	15.11
105	7.5	580.0	15.11
106	7.3	54.0	15.11
107	8.0	54.0	15.11
108	7.9	54.0	15.11
109	7.8	1648.0	15.11
110	7.3	644.0	15.11
111	6.3	54.0	15.11
112	5.6	54.0	15.11
113	4.9	54.0	15.11
114	3.6	54.0	15.11
115	3.3	54.0	15.11
116	2.3	53.0	15.11
117	1.7	54.0	15.11
118	0.7	54.0	15.11
119	0.2	54.0	15.11
120	-0.2	54.0	15.11
121	-0.5	54.0	15.11
122	-0.5	53.0	15.11
123	-0.7	53.0	15.11
124	-1.0	53.0	15.11
125	-1.2	53.0	15.11
126	-0.8	52.0	15.11
127	-0.5	53.0	15.11
128	0.0	55.0	15.11
129	0.6	54.0	15.11
130	0.8	55.0	15.11
131	1.1	53.0	15.11
132	1.5	526.0	15.11
133	1.9	55.0	15.11
134	2.2	55.0	15.11
135	1.5	54.0	15.11
136	1.1	55.0	15.11
137	1.1	55.0	15.11
138	0.6	55.0	15.11
139	0.3	54.0	15.11
140	0.4	55.0	15.11
141	0.4	55.0	15.11
142	0.6	532.0	15.11
143	1.3	56.0	15.11
144	2.1	55.0	15.11
145	2.8	54.0	15.11
146	2.3	54.0	15.11
147	2.8	54.0	15.11
148	3.3	54.0	15.11
149	3.8	56.0	15.11
150	4.1	54.0	15.11
151	4.5	55.0	15.11
152	4.8	55.0	15.11
153	5.1	55.0	15.11
154	5.7	54.0	15.11
155	6.1	54.0	15.11
156	6.6	56.0	15.11
157	7.1	54.0	15.11
158	7.3	802.0	15.11
159	7.3	55.0	15.11
160	7.6	55.0	15.11
161	7.8	55.0	15.11
162	8.1	56.0	15.11
163	8.6	55.0	15.11
164	8.6	55.0	15.11
165	8.8	54.0	15.11
166	8.8	963.0	15.11
167	8.6	56.0	15.11
168	8.8	55.0	15.11
169	8.8	56.0	15.11
170	8.8	55.0	15.11
171	8.6	54.0	15.11
172	8.8	55.0	15.11
173	9.1	56.0	15.11
174	9.4	55.0	15.11
175	9.4	55.0	15.11
176	9.7	55.0	15.11
177	9.9	54.0	15.11
178	9.7	56.0	15.11
179	9.7	55.0	15.11
180	10.2	55.0	15.11
181	10.5	55.0	15.11
182	10.7	55.0	15.11
183	9.1	54.0	15.11
184	10.2	55.0	15.11
185	9.7	56.0	15.11
186	9.7	54.0	15.11
187	8.6	55.0	15.11
188	9.4	56.0	15.11
189	10.2	56.0	15.11
190	9.4	55.0	15.11
191	9.9	55.0	15.11
192	9.9	56.0	15.11
193	9.9	56.0	15.11
194	9.7	54.0	15.11
195	9.9	56.0	15.11
196	10.2	56.0	15.11
197	9.9	56.0	15.11
198	9.9	55.0	15.11
199	10.2	55.0	15.11
200	9.9	56.0	15.11
201	9.9	55.0	15.11
202	9.4	54.0	15.11
203	8.9	55.0	15.11
204	8.8	55.0	15.11
205	9.1	56.0	15.11
206	8.8	54.0	15.11
207	8.8	55.0	15.11
208	8.8	56.0	15.11
209	9.1	55.0	15.11
210	9.1	55.0	15.11
211	9.1	54.0	15.11
212	9.1	54.0	15.11
213	9.1	55.0	15.11
214	9.1	55.0	15.11
215	9.1	55.0	15.11
216	9.1	57.0	15.11
217	9.7	55.0	15.11
218	9.7	54.0	15.11
219	9.7	54.0	15.11
220	9.7	55.0	15.11
221	9.7	55.0	15.11
222	11.3	54.0	21.11
223	12.4	55.0	15.11
224	11.9	55.0	16.11
225	13.2	55.0	15.11
226	14.1	55.0	16.11
227	13.5	946.0	16.11
228	15.4	910.0	18.11
229	14.8	921.0	17.11
230	15.1	54.0	17.11
231	14.0	55.0	16.11
232	13.2	941.0	16.11
233	14.9	56.0	17.11
234	12.9	55.0	15.11
235	13.5	55.0	15.11
236	14.5	55.0	16.11
237	12.9	55.0	15.11
238	13.7	55.0	16.11
239	9.1	55.0	15.11
240	8.1	55.0	15.11
241	7.0	54.0	15.11
242	6.2	55.0	15.11
243	5.7	55.0	15.11
244	5.5	56.0	15.11
245	5.0	55.0	15.11
246	4.8	55.0	15.11
247	5.1	627.0	15.11
248	5.4	390.0	15.11
249	5.0	420.0	15.11
250	5.3	427.0	15.11
251	5.6	55.0	15.11
252	5.4	462.0	15.11
253	5.5	466.0	15.11
254	5.3	466.0	15.11
255	4.3	452.0	15.11
256	4.0	417.0	15.11
