Twet Load Tset
7.1 413.0 15.11
7.2 474.0 15.11
6.6 539.0 15.11
6.7 566.0 15.11
6.9 568.0 15.11
6.8 562.0 15.11
6.8 571.0 15.11
7.4 587.0 15.11
7.4 632.0 15.11
8.5 897.0 15.11
8.8 398.0 15.11
10.1 718.0 15.11
12.5 833.0 15.11
13.6 805.0 17.11
13.1 808.0 15.11
12.9 761.0 16.11
12.7 719.0 16.11
12.0 462.0 15.11
11.7 416.0 15.11
11.2 427.0 15.11
10.2 416.0 15.11
10.0 407.0 15.11
9.5 625.0 15.11
8.9 425.0 15.11
8.9 415.0 15.11
9.4 500.0 15.11
9.4 524.0 15.11
8.6 579.0 15.11
8.8 593.0 15.11
9.7 611.0 15.11
8.8 610.0 15.11
9.4 624.0 15.11
9.7 647.0 15.11
9.4 643.0 15.11
9.9 407.0 15.11
8.6 991.0 15.11
10.4 843.0 15.11
9.7 614.0 15.11
7.8 634.0 15.11
5.7 606.0 15.11
5.0 583.0 15.11
4.4 416.0 15.11
3.5 54.0 15.11
3.2 55.0 15.11
2.9 54.0 15.11
3.1 53.0 15.11
2.7 609.0 15.11
2.2 55.0 15.11
1.7 54.0 15.11
1.4 54.0 15.11
1.4 54.0 15.11
0.8 54.0 15.11
0.8 54.0 15.11
0.4 54.0 16.11
0.8 54.0 15.11
1.9 54.0 15.11
3.1 54.0 15.11
3.5 55.0 15.11
4.3 55.0 15.11
4.6 55.0 15.11
4.7 55.0 15.11
5.0 409.0 15.11
5.0 565.0 15.11
4.7 562.0 15.11
3.7 54.0 15.11
3.7 53.0 15.11
4.1 54.0 15.11
2.3 55.0 15.11
2.1 54.0 15.11
1.8 54.0 15.11
1.9 581.0 15.11
1.3 53.0 15.11
1.7 54.0 15.11
1.9 54.0 15.11
1.6 55.0 15.11
1.3 55.0 15.11
2.2 54.0 15.11
2.2 55.0 15.11
1.6 55.0 15.11
2.2 54.0 15.11
3.4 55.0 15.11
3.4 54.0 15.11
3.9 55.0 15.11
4.2 54.0 15.11
4.3 54.0 15.11
4.6 56.0 15.11
3.8 53.0 15.11
3.3 53.0 15.11
3.0 55.0 15.11
2.6 54.0 15.11
2.6 53.0 15.11
2.4 54.0 15.11
2.6 54.0 15.11
2.4 54.0 15.11
2.4 54.0 15.11
2.6 54.0 15.11
2.5 55.0 15.11
2.4 54.0 15.11
2.5 53.0 15.11
2.0 54.0 15.11
1.7 54.0 15.11
1.5 54.0 15.11
1.3 54.0 15.11
1.7 55.0 15.11
1.8 54.0 15.11
