Index	Twet	Load	Tset
0	7.1	413.0	15.11
1	7.2	474.0	15.11
2	6.6	539.0	15.11
3	6.7	566.0	15.11
4	6.9	568.0	15.11
5	6.8	562.0	15.11
6	6.8	571.0	15.11
7	7.4	587.0	15.11
8	7.4	632.0	15.11
9	8.5	897.0	15.11
10	8.8	398.0	15.11
11	10.1	718.0	15.11
12	12.5	833.0	15.11
13	13.6	805.0	17.11
14	13.1	808.0	15.11
15	12.9	761.0	16.11
16	12.7	719.0	16.11
17	12.0	462.0	15.11
18	11.7	416.0	15.11
19	11.2	427.0	15.11
20	10.2	416.0	15.11
21	10.0	407.0	15.11
22	9.5	625.0	15.11
23	8.9	425.0	15.11
24	8.9	415.0	15.11
25	9.4	500.0	15.11
26	9.4	524.0	15.11
27	8.6	579.0	15.11
28	8.8	593.0	15.11
29	9.7	611.0	15.11
30	8.8	610.0	15.11
31	9.4	624.0	15.11
32	9.7	647.0	15.11
33	9.4	643.0	15.11
34	9.9	407.0	15.11
35	8.6	991.0	15.11
36	10.4	843.0	15.11
37	9.7	614.0	15.11
38	7.8	634.0	15.11
39	5.7	606.0	15.11
40	5.0	583.0	15.11
41	4.4	416.0	15.11
42	3.5	54.0	15.11
43	3.2	55.0	15.11
44	2.9	54.0	15.11
45	3.1	53.0	15.11
46	2.7	609.0	15.11
47	2.2	55.0	15.11
48	1.7	54.0	15.11
49	1.4	54.0	15.11
50	1.4	54.0	15.11
51	0.8	54.0	15.11
52	0.8	54.0	15.11
53	0.4	54.0	16.11
54	0.8	54.0	15.11
55	1.9	54.0	15.11
56	3.1	54.0	15.11
57	3.5	55.0	15.11
58	4.3	55.0	15.11
59	4.6	55.0	15.11
60	4.7	55.0	15.11
61	5.0	409.0	15.11
62	5.0	565.0	15.11
63	4.7	562.0	15.11
64	3.7	54.0	15.11
65	3.7	53.0	15.11
66	4.1	54.0	15.11
67	2.3	55.0	15.11
68	2.1	54.0	15.11
69	1.8	54.0	15.11
70	1.9	581.0	15.11
71	1.3	53.0	15.11
72	1.7	54.0	15.11
73	1.9	54.0	15.11
74	1.6	55.0	15.11
75	1.3	55.0	15.11
76	2.2	54.0	15.11
77	2.2	55.0	15.11
78	1.6	55.0	15.11
79	2.2	54.0	15.11
80	3.4	55.0	15.11
81	3.4	54.0	15.11
82	3.9	55.0	15.11
83	4.2	54.0	15.11
84	4.3	54.0	15.11
85	4.6	56.0	15.11
86	3.8	53.0	15.11
87	3.3	53.0	15.11
88	3.0	55.0	15.11
89	2.6	54.0	15.11
90	2.6	53.0	15.11
91	2.4	54.0	15.11
92	2.6	54.0	15.11
93	2.4	54.0	15.11
94	2.4	54.0	15.11
95	2.6	54.0	15.11
96	2.5	55.0	15.11
97	2.4	54.0	15.11
98	2.5	53.0	15.11
99	2.0	54.0	15.11
100	1.7	54.0	15.11
101	1.5	54.0	15.11
102	1.3	54.0	15.11
103	1.7	55.0	15.11
104	1.8	54.0	15.11
105	2.0	55.0	15.11
106	2.3	54.0	15.11
107	3.1	53.0	15.11
108	2.7	55.0	15.11
