Date	Twet	Load	Hour(s)	TimeStamp(s)
2013-02-01 00:00:00	-4.5	834.2	0	1359676800
2013-02-01 01:00:00	-4.7	727.5	3600	1359680400
2013-02-01 02:00:00	-4.0	717.8000000000002	7200	1359684000
2013-02-01 03:00:00	-3.8	746.9	10800	1359687600
2013-02-01 04:00:00	-3.4	727.5	14400	1359691200
2013-02-01 05:00:00	-2.8	746.9	18000	1359694800
2013-02-01 06:00:00	-2.6	717.8000000000002	21600	1359698400
2013-02-01 07:00:00	-3.7	727.5	25200	1359702000
2013-02-01 08:00:00	-4.1	805.1	28800	1359705600
2013-02-01 09:00:00	-5.5	727.5	32400	1359709200
2013-02-01 10:00:00	-5.8	683.85	36000	1359712800
2013-02-01 11:00:00	-5.8	698.4000000000002	39600	1359716400
2013-02-01 12:00:00	-5.3	698.4000000000002	43200	1359720000
2013-02-01 13:00:00	-5.5	712.9499999999998	46800	1359723600
2013-02-01 14:00:00	-5.2	712.9499999999998	50400	1359727200
2013-02-01 15:00:00	-6.1	712.9499999999998	54000	1359730800
2013-02-01 16:00:00	-6.9	727.5	57600	1359734400
2013-02-01 17:00:00	-7.3	727.5	61200	1359738000
2013-02-01 18:00:00	-7.7	727.5	64800	1359741600
2013-02-01 19:00:00	-8.1	712.9499999999998	68400	1359745200
2013-02-01 20:00:00	-8.0	712.9499999999998	72000	1359748800
2013-02-01 21:00:00	-8.4	698.4000000000002	75600	1359752400
2013-02-01 22:00:00	-8.8	698.4000000000002	79200	1359756000
2013-02-01 23:00:00	-8.8	712.9499999999998	82800	1359759600
2013-02-02 00:00:00	-9.0	712.9499999999998	0	1359763200
2013-02-02 01:00:00	-9.0	712.9499999999998	3600	1359766800
2013-02-02 02:00:00	-9.7	712.9499999999998	7200	1359770400
2013-02-02 03:00:00	-9.9	712.9499999999998	10800	1359774000
2013-02-02 04:00:00	-9.9	712.9499999999998	14400	1359777600
2013-02-02 05:00:00	-9.9	742.0500000000002	18000	1359781200
2013-02-02 06:00:00	-9.9	727.5	21600	1359784800
2013-02-02 07:00:00	-8.9	727.5	25200	1359788400
2013-02-02 08:00:00	-8.3	654.75	28800	1359792000
2013-02-02 09:00:00	-7.6	843.9	32400	1359795600
2013-02-02 10:00:00	-6.9	1299.8000000000004	36000	1359799200
2013-02-02 11:00:00	-6.2	1396.8	39600	1359802800
2013-02-02 12:00:00	-5.5	1367.6999999999996	43200	1359806400
2013-02-02 13:00:00	-4.9	1474.4	46800	1359810000
2013-02-02 14:00:00	-4.7	1435.6	50400	1359813600
2013-02-02 15:00:00	-4.5	1367.6999999999996	54000	1359817200
2013-02-02 16:00:00	-4.5	1183.4	57600	1359820800
2013-02-02 17:00:00	-4.0	1008.8	61200	1359824400
2013-02-02 18:00:00	-3.8	999.1	64800	1359828000
2013-02-02 19:00:00	-3.7	940.9	68400	1359831600
2013-02-02 20:00:00	-3.7	853.6	72000	1359835200
2013-02-02 21:00:00	-3.7	863.3000000000002	75600	1359838800
2013-02-02 22:00:00	-3.3	873.0	79200	1359842400
2013-02-02 23:00:00	-3.1	853.6	82800	1359846000
2013-02-03 00:00:00	-3.5	853.6	0	1359849600
2013-02-03 01:00:00	-4.6	853.6	3600	1359853200
2013-02-03 02:00:00	-4.8	843.9	7200	1359856800
2013-02-03 03:00:00	-5.3	873.0	10800	1359860400
2013-02-03 04:00:00	-6.1	882.7	14400	1359864000
2013-02-03 05:00:00	-6.4	921.5	18000	1359867600
2013-02-03 06:00:00	-6.4	989.4	21600	1359871200
2013-02-03 07:00:00	-6.2	989.4	25200	1359874800
2013-02-03 08:00:00	-3.3	1008.8	28800	1359878400
2013-02-03 09:00:00	-3.3	698.4000000000002	32400	1359882000
2013-02-03 10:00:00	-2.6	1425.9	36000	1359885600
2013-02-03 11:00:00	-2.4	1455.0	39600	1359889200
2013-02-03 12:00:00	-2.1	1455.0	43200	1359892800
2013-02-03 13:00:00	-0.9	1455.0	46800	1359896400
2013-02-03 14:00:00	-1.2	1455.0	50400	1359900000
2013-02-03 15:00:00	-0.5	1440.45	54000	1359903600
2013-02-03 16:00:00	-1.2	1440.45	57600	1359907200
2013-02-03 17:00:00	-1.3	1658.7000000000005	61200	1359910800
2013-02-03 18:00:00	-1.7	858.4499999999998	64800	1359914400
2013-02-03 19:00:00	-1.9	727.5	68400	1359918000
2013-02-03 20:00:00	-1.3	712.9499999999998	72000	1359921600
2013-02-03 21:00:00	-1.2	742.0500000000002	75600	1359925200
2013-02-03 22:00:00	-2.1	742.0500000000002	79200	1359928800
2013-02-03 23:00:00	-3.5	756.6	82800	1359932400
2013-02-04 00:00:00	-3.7	756.6	0	1359936000
2013-02-04 01:00:00	-4.8	683.85	3600	1359939600
2013-02-04 02:00:00	-5.5	1396.8	7200	1359943200
2013-02-04 03:00:00	-6.2	1062.15	10800	1359946800
2013-02-04 04:00:00	-6.4	1149.45	14400	1359950400
2013-02-04 05:00:00	-6.7	1193.1	18000	1359954000
2013-02-04 06:00:00	-6.9	1265.85	21600	1359957600
2013-02-04 07:00:00	-6.2	1280.4	25200	1359961200
2013-02-04 08:00:00	-5.3	1411.35	28800	1359964800
2013-02-04 09:00:00	-4.9	737.2	32400	1359968400
2013-02-04 10:00:00	-4.4	766.3000000000002	36000	1359972000
2013-02-04 11:00:00	-3.7	805.1	39600	1359975600
2013-02-04 12:00:00	-3.0	863.3000000000002	43200	1359979200
2013-02-04 13:00:00	-2.7	873.0	46800	1359982800
2013-02-04 14:00:00	-2.5	921.5	50400	1359986400
2013-02-04 15:00:00	-2.5	902.1	54000	1359990000
2013-02-04 16:00:00	-2.3	892.4000000000002	57600	1359993600
2013-02-04 17:00:00	-2.5	824.5000000000001	61200	1359997200
2013-02-04 18:00:00	-3.0	776.0	64800	1360000800
2013-02-04 19:00:00	-3.2	756.6	68400	1360004400
2013-02-04 20:00:00	-3.2	727.5	72000	1360008000
2013-02-04 21:00:00	-2.7	698.4000000000002	75600	1360011600
2013-02-04 22:00:00	-2.4	698.4000000000002	79200	1360015200
2013-02-04 23:00:00	-2.2	669.3000000000002	82800	1360018800
2013-02-05 00:00:00	-2.1	679.0000000000001	0	1360022400
2013-02-05 01:00:00	-2.6	708.0999999999998	3600	1360026000
2013-02-05 02:00:00	-2.1	708.0999999999998	7200	1360029600
2013-02-05 03:00:00	-2.4	688.7	10800	1360033200
2013-02-05 04:00:00	-1.3	688.7	14400	1360036800
2013-02-05 05:00:00	-1.2	688.7	18000	1360040400
2013-02-05 06:00:00	-1.4	698.4000000000002	21600	1360044000
2013-02-05 07:00:00	-1.0	698.4000000000002	25200	1360047600
2013-02-05 08:00:00	-1.0	795.4000000000002	28800	1360051200
2013-02-05 09:00:00	-0.7	873.0	32400	1360054800
2013-02-05 10:00:00	-0.3	2037.0	36000	1360058400
2013-02-05 11:00:00	-0.2	2037.0	39600	1360062000
2013-02-05 12:00:00	0.1	1978.8	43200	1360065600
2013-02-05 13:00:00	0.1	2066.1	46800	1360069200
2013-02-05 14:00:00	0.2	2037.0	50400	1360072800
2013-02-05 15:00:00	0.1	2037.0	54000	1360076400
2013-02-05 16:00:00	0.1	2051.55	57600	1360080000
2013-02-05 17:00:00	0.0	1876.95	61200	1360083600
2013-02-05 18:00:00	-0.3	1382.25	64800	1360087200
2013-02-05 19:00:00	-0.4	1280.4	68400	1360090800
2013-02-05 20:00:00	-0.1	887.55	72000	1360094400
2013-02-05 21:00:00	-0.8	887.55	75600	1360098000
2013-02-05 22:00:00	-0.2	902.1	79200	1360101600
2013-02-05 23:00:00	0.0	887.55	82800	1360105200
2013-02-06 00:00:00	-0.2	887.55	0	1360108800
2013-02-06 01:00:00	-0.4	887.55	3600	1360112400
2013-02-06 02:00:00	-1.7	1935.15	7200	1360116000
2013-02-06 03:00:00	-2.0	1775.1000000000006	10800	1360119600
2013-02-06 04:00:00	-0.9	1760.55	14400	1360123200
2013-02-06 05:00:00	-0.6	1804.2000000000005	18000	1360126800
2013-02-06 06:00:00	-0.4	1876.95	21600	1360130400
