Twet Load Tset
4.9 54.0 15.11
4.8 55.0 15.11
3.8 54.0 15.11
3.8 54.0 15.11
3.7 53.0 15.11
3.7 54.0 15.11
3.1 53.0 15.11
3.4 54.0 15.11
4.5 55.0 15.11
6.0 55.0 15.11
7.4 54.0 15.11
7.9 373.0 15.11
8.5 370.0 15.11
9.2 383.0 15.11
8.7 419.0 15.11
9.5 416.0 15.11
9.8 421.0 15.11
8.6 407.0 15.11
9.7 410.0 15.11
10.2 421.0 15.11
10.7 680.0 15.11
8.0 399.0 15.11
5.4 414.0 15.11
4.4 361.0 15.11
3.2 53.0 15.11
2.8 55.0 15.11
2.5 54.0 15.11
1.0 55.0 15.11
0.1 54.0 15.11
-1.4 54.0 15.11
-1.3 53.0 15.11
-1.5 54.0 15.11
-0.7 54.0 15.11
-0.4 54.0 15.11
0.0 54.0 15.11
0.7 398.0 15.11
0.6 53.0 15.11
0.3 54.0 15.11
-0.4 54.0 15.11
-0.4 54.0 15.11
-0.8 55.0 15.11
-1.0 55.0 15.11
-1.2 54.0 15.11
-1.2 54.0 15.11
-1.6 55.0 15.11
-1.8 53.0 15.11
-2.0 55.0 15.11
-2.7 55.0 15.11
-3.0 54.0 15.11
-3.2 54.0 15.11
-3.7 54.0 16.11
-4.2 53.0 15.11
-4.0 54.0 15.11
-4.0 54.0 15.11
-3.7 54.0 16.11
-3.8 54.0 15.11
-4.1 55.0 15.11
-4.2 54.0 15.11
-3.8 54.0 15.11
-3.9 54.0 15.11
-3.9 54.0 15.11
-4.7 54.0 15.11
-5.0 55.0 15.11
-5.9 54.0 15.11
-6.2 54.0 15.11
-6.6 54.0 15.11
-6.7 53.0 15.11
-7.0 53.0 15.11
-6.5 54.0 15.11
-6.9 54.0 15.11
-7.6 53.0 15.11
-8.6 55.0 15.11
-9.3 54.0 15.11
-10.3 53.0 15.11
-10.8 54.0 15.11
-10.6 54.0 15.11
-10.5 53.0 15.11
-10.4 54.0 15.11
-9.9 53.0 15.11
-9.3 53.0 15.11
-8.4 52.0 15.11
-7.6 53.0 15.11
-6.9 53.0 15.11
-5.3 54.0 15.11
-4.5 54.0 15.11
-3.9 54.0 15.11
-3.5 54.0 15.11
-3.0 54.0 15.11
-3.1 55.0 15.11
-2.5 54.0 15.11
-2.5 54.0 15.11
-2.4 54.0 15.11
-2.3 55.0 15.11
-2.4 53.0 15.11
-1.5 54.0 15.11
-2.0 53.0 15.11
-2.0 54.0 15.11
-1.7 54.0 15.11
-1.9 53.0 15.11
-1.5 54.0 15.11
-0.5 53.0 15.11
-0.8 54.0 15.11
-0.5 55.0 15.11
0.0 54.0 15.11
0.1 54.0 15.11
1.9 53.0 15.11
2.0 53.0 15.11
2.9 53.0 15.11
3.1 55.0 15.11
3.1 54.0 15.11
3.1 54.0 15.11
3.5 55.0 15.11
2.8 53.0 15.11
2.3 54.0 15.11
2.0 54.0 15.11
1.3 55.0 15.11
1.1 54.0 15.11
0.8 54.0 15.11
0.5 54.0 15.11
0.7 55.0 15.11
0.1 54.0 15.11
0.1 54.0 15.11
0.0 53.0 15.11
-0.1 53.0 15.11
0.5 54.0 15.11
0.6 54.0 15.11
1.0 54.0 15.11
1.0 53.0 15.11
1.6 54.0 15.11
2.9 55.0 15.11
4.6 54.0 15.11
6.0 54.0 15.11
7.6 540.0 15.11
8.3 673.0 15.11
8.6 732.0 15.11
7.6 708.0 15.11
7.8 684.0 15.11
7.3 636.0 15.11
6.1 450.0 15.11
5.7 409.0 15.11
5.1 398.0 15.11
4.6 406.0 15.11
4.6 407.0 15.11
5.2 862.0 15.11
4.8 55.0 15.11
3.9 54.0 15.11
3.6 54.0 15.11
2.4 54.0 15.11
2.2 55.0 15.11
1.3 55.0 15.11
1.4 55.0 15.11
0.9 54.0 15.11
3.1 54.0 15.11
4.4 54.0 15.11
5.5 55.0 15.11
7.5 404.0 15.11
9.4 411.0 15.11
12.2 425.0 15.11
11.5 414.0 15.11
11.7 413.0 15.11
11.5 415.0 15.11
10.3 399.0 15.11
9.2 400.0 15.11
7.5 398.0 15.11
7.1 400.0 15.11
5.7 390.0 15.11
4.5 384.0 15.11
3.3 653.0 15.11
3.7 385.0 15.11
3.0 55.0 15.11
3.0 54.0 15.11
2.7 54.0 15.11
2.7 55.0 15.11
2.5 54.0 15.11
2.2 55.0 15.11
3.0 53.0 15.11
3.8 55.0 15.11
4.3 54.0 15.11
4.9 54.0 15.11
5.0 384.0 15.11
5.2 367.0 15.11
5.0 54.0 15.11
4.8 403.0 15.11
4.5 370.0 15.11
3.8 365.0 15.11
3.0 369.0 15.11
2.1 54.0 15.11
1.9 54.0 15.11
1.4 54.0 15.11
1.2 54.0 15.11
0.4 55.0 15.11
0.1 510.0 15.11
0.0 54.0 15.11
-0.2 54.0 15.11
-0.2 54.0 15.11
-1.0 54.0 15.11
-0.7 54.0 15.11
-0.7 55.0 15.11
-0.8 53.0 15.11
-0.5 55.0 15.11
0.3 54.0 15.11
0.9 54.0 15.11
0.9 54.0 15.11
1.2 55.0 15.11
1.1 54.0 15.11
0.7 54.0 15.11
1.3 54.0 15.11
0.6 54.0 15.11
0.1 55.0 15.11
0.6 53.0 15.11
0.4 54.0 16.11
0.6 54.0 15.11
0.6 54.0 15.11
1.0 54.0 15.11
1.0 54.0 15.11
1.2 55.0 15.11
1.0 54.0 15.11
1.0 54.0 15.11
0.4 54.0 16.11
0.3 54.0 15.11
-0.2 53.0 15.11
-0.2 56.0 15.11
-0.2 54.0 15.11
-0.4 54.0 15.11
0.4 54.0 16.11
2.1 54.0 15.11
3.5 54.0 15.11
5.2 53.0 15.11
5.9 54.0 15.11
5.9 1089.0 15.11
6.0 478.0 15.11
5.7 589.0 15.11
5.3 564.0 15.11
5.2 561.0 15.11
4.5 56.0 15.11
4.3 55.0 15.11
3.4 54.0 15.11
3.0 55.0 15.11
2.5 55.0 15.11
2.0 54.0 15.11
0.2 55.0 15.11
1.1 54.0 15.11
0.5 54.0 15.11
0.0 54.0 15.11
0.2 55.0 15.11
-0.2 55.0 15.11
0.0 56.0 15.11
0.2 54.0 15.11
