	Twet	Load	Tset
0	4.9	54.0	15.11
1	4.8	55.0	15.11
2	3.8	54.0	15.11
3	3.8	54.0	15.11
4	3.7	53.0	15.11
5	3.7	54.0	15.11
6	3.1	53.0	15.11
7	3.4	54.0	15.11
8	4.5	55.0	15.11
9	6.0	55.0	15.11
10	7.4	54.0	15.11
11	7.9	373.0	15.11
12	8.5	370.0	15.11
13	9.2	383.0	15.11
14	8.7	419.0	15.11
15	9.5	416.0	15.11
16	9.8	421.0	15.11
17	8.6	407.0	15.11
18	9.7	410.0	15.11
19	10.2	421.0	15.11
20	10.7	680.0	15.11
21	8.0	399.0	15.11
22	5.4	414.0	15.11
23	4.4	361.0	15.11
24	3.2	53.0	15.11
25	2.8	55.0	15.11
26	2.5	54.0	15.11
27	1.0	55.0	15.11
28	0.1	54.0	15.11
29	-1.4	54.0	15.11
30	-1.3	53.0	15.11
31	-1.5	54.0	15.11
32	-0.7	54.0	15.11
33	-0.4	54.0	15.11
34	0.0	54.0	15.11
35	0.7	398.0	15.11
36	0.6	53.0	15.11
37	0.3	54.0	15.11
38	-0.4	54.0	15.11
39	-0.4	54.0	15.11
40	-0.8	55.0	15.11
41	-1.0	55.0	15.11
42	-1.2	54.0	15.11
43	-1.2	54.0	15.11
44	-1.6	55.0	15.11
45	-1.8	53.0	15.11
46	-2.0	55.0	15.11
47	-2.7	55.0	15.11
48	-3.0	54.0	15.11
49	-3.2	54.0	15.11
50	-3.7	54.0	16.11
51	-4.2	53.0	15.11
52	-4.0	54.0	15.11
53	-4.0	54.0	15.11
54	-3.7	54.0	16.11
55	-3.8	54.0	15.11
56	-4.1	55.0	15.11
57	-4.2	54.0	15.11
58	-3.8	54.0	15.11
59	-3.9	54.0	15.11
60	-3.9	54.0	15.11
61	-4.7	54.0	15.11
62	-5.0	55.0	15.11
63	-5.9	54.0	15.11
64	-6.2	54.0	15.11
65	-6.6	54.0	15.11
66	-6.7	53.0	15.11
67	-7.0	53.0	15.11
68	-6.5	54.0	15.11
69	-6.9	54.0	15.11
70	-7.6	53.0	15.11
71	-8.6	55.0	15.11
72	-9.3	54.0	15.11
73	-10.3	53.0	15.11
74	-10.8	54.0	15.11
75	-10.6	54.0	15.11
76	-10.5	53.0	15.11
77	-10.4	54.0	15.11
78	-9.9	53.0	15.11
79	-9.3	53.0	15.11
80	-8.4	52.0	15.11
81	-7.6	53.0	15.11
82	-6.9	53.0	15.11
83	-5.3	54.0	15.11
84	-4.5	54.0	15.11
