Twet Load Tset
23.4 1232.0 26.11
23.6 1222.0 26.11
23.0 1210.0 25.11
22.3 1186.0 25.11
22.9 1185.0 25.11
23.7 1224.0 26.11
24.5 1250.0 26.11
24.8 1301.0 26.11
24.4 1337.0 26.11
24.2 1295.0 26.11
24.5 1269.0 26.11
23.8 1358.0 26.11
24.1 1344.0 26.11
24.2 1361.0 26.11
24.1 1354.0 26.11
22.1 1314.0 25.11
22.5 1241.0 25.11
22.3 1209.0 25.11
22.3 1215.0 25.11
22.1 1198.0 25.11
22.4 1195.0 25.11
22.1 1343.0 25.11
22.55 1153.0 25.11
23.0 656.0 25.11
21.1 931.0 23.11
20.3 911.0 23.11
20.3 907.0 23.11
20.0 910.0 22.11
20.1 927.0 22.11
20.9 931.0 23.11
21.6 1457.0 24.11
21.6 1249.0 24.11
21.7 1302.0 24.11
19.7 1255.0 22.11
21.2 1223.0 24.11
21.5 1310.0 24.11
22.1 1346.0 25.11
21.7 1372.0 24.11
21.6 1345.0 24.11
21.2 1288.0 24.11
20.8 1225.0 23.11
20.7 1146.0 23.11
21.0 1097.0 23.11
20.7 930.0 23.11
20.8 925.0 23.11
20.6 1305.0 23.11
20.7 909.0 23.11
21.4 906.0 24.11
21.4 911.0 24.11
21.5 920.0 24.11
20.7 938.0 23.11
20.8 940.0 23.11
21.2 934.0 23.11
21.9 933.0 24.11
22.7 1459.0 25.11
23.2 1304.0 26.11
22.9 1396.0 25.11
22.2 844.0 24.11
21.7 1487.0 24.11
21.3 1371.0 24.11
21.2 2182.0 24.11
20.8 1445.0 23.11
20.8 1367.0 23.11
21.3 1310.0 24.11
21.5 1249.0 24.11
21.6 1249.0 24.11
23.5 1309.0 26.11
21.5 1198.0 24.11
22.0 1169.0 24.11
21.8 1401.0 24.11
22.0 1168.0 24.11
21.7 1184.0 24.11
22.2 1189.0 25.11
21.7 1177.0 24.11
21.0 1150.0 23.11
20.5 1111.0 23.11
20.5 1106.0 23.11
20.3 1120.0 23.11
20.5 1116.0 23.11
21.6 1203.0 24.11
22.1 1272.0 25.11
23.3 1171.0 26.11
23.8 1381.0 26.11
23.8 1393.0 26.11
24.2 1421.0 26.11
24.8 1443.0 26.11
24.7 1466.0 26.11
24.7 1477.0 26.11
24.7 1462.0 26.11
24.9 1426.0 26.11
24.9 1384.0 26.11
25.0 1399.0 26.11
21.0 1338.0 24.11
20.8 1145.0 23.11
20.9 1145.0 23.11
20.6 1150.0 23.11
20.7 1173.0 23.11
20.9 1163.0 23.11
21.5 1197.0 24.11
21.4 1219.0 24.11
22.7 1302.0 25.11
23.0 1418.0 25.11
24.4 1482.0 26.11
24.4 1478.0 26.11
23.6 1153.0 26.11
23.9 1483.0 26.11
24.2 1484.0 26.11
24.2 1484.0 26.11
24.2 1481.0 26.11
24.2 1482.0 26.11
24.8 1477.0 26.11
24.7 1465.0 26.11
24.2 1454.0 26.11
23.9 1441.0 26.11
24.1 1406.0 26.11
24.0 1479.0 26.11
24.2 1245.0 26.11
23.2 1213.0 26.11
23.4 1242.0 26.11
23.7 1224.0 26.11
23.0 1217.0 25.11
22.9 1237.0 25.11
22.9 1255.0 25.11
21.3 1282.0 24.11
21.4 1368.0 24.11
21.1 1410.0 24.11
21.1 1427.0 24.11
20.9 1269.0 23.11
21.7 1481.0 24.11
21.8 1484.0 24.11
22.4 1482.0 25.11
22.7 1483.0 25.11
23.0 1479.0 26.11
22.7 1481.0 25.11
23.4 1470.0 26.11
23.1 1452.0 26.11
23.0 1367.0 25.11
24.1 1373.0 26.11
24.2 1334.0 26.11
25.0 1474.0 26.11
24.9 1348.0 26.11
24.8 1326.0 26.11
24.6 1316.0 26.11
24.3 1319.0 26.11
24.4 1333.0 26.11
24.9 1381.0 26.11
24.5 1465.0 26.11
23.4 1474.0 26.11
22.7 1442.0 25.11
23.3 1455.0 26.11
23.7 1460.0 26.11
23.9 1538.0 26.11
24.1 1501.0 26.11
23.6 1361.0 26.11
24.8 1426.0 26.11
24.6 1407.0 26.11
24.3 1385.0 26.11
24.3 1379.0 26.11
24.9 1390.0 26.11
24.5 1415.0 26.11
24.2 1330.0 26.11
24.2 1302.0 26.11
24.2 1323.0 26.11
24.6 1307.0 26.11
24.6 1309.0 26.11
24.7 1311.0 26.11
24.5 1483.0 26.11
23.8 1255.0 26.11
24.5 1251.0 26.11
23.8 1240.0 26.11
24.5 1271.0 26.11
22.5 1143.0 25.11
21.6 1115.0 24.11
21.5 1141.0 24.11
21.6 1165.0 24.11
22.0 1208.0 24.11
22.2 1347.0 25.11
21.8 1308.0 24.11
22.0 1312.0 25.11
21.9 1387.0 24.11
22.5 1451.0 25.11
21.2 1362.0 24.11
20.4 1354.0 23.11
20.4 1336.0 23.11
20.4 1324.0 23.11
21.3 1266.0 24.11
21.4 1222.0 24.11
21.2 1198.0 24.11
21.6 1161.0 24.11
20.9 1198.0 23.11
21.3 1305.0 24.11
22.0 1191.0 24.11
22.2 1192.0 25.11
22.2 1194.0 25.11
22.4 1194.0 25.11
22.2 1137.0 25.11
21.8 1136.0 24.11
21.8 1179.0 24.11
22.7 1276.0 25.11
23.4 1392.0 26.11
23.0 1423.0 25.11
23.4 1493.0 26.11
22.1 1162.0 25.11
21.4 1371.0 24.11
21.3 1404.0 24.11
21.3 1427.0 24.11
22.4 1480.0 25.11
21.8 1401.0 24.11
22.2 1346.0 25.11
22.5 1301.0 25.11
22.4 1207.0 25.11
20.6 1171.0 23.11
21.3 1183.0 24.11
21.1 1181.0 24.11
21.8 1459.0 24.11
21.6 1163.0 24.11
21.5 1143.0 24.11
21.6 1151.0 24.11
21.5 1149.0 24.11
21.3 1139.0 24.11
21.5 1170.0 24.11
21.5 1174.0 24.11
21.6 1214.0 24.11
22.4 1268.0 25.11
22.5 1312.0 25.11
21.9 946.0 24.11
22.9 1177.0 25.11
21.0 1376.0 24.11
21.2 1400.0 24.11
21.1 1375.0 24.11
21.2 1407.0 24.11
20.8 1369.0 23.11
19.3 1302.0 22.11
20.2 1261.0 23.11
20.5 1189.0 23.11
20.6 1168.0 23.11
21.1 1142.0 24.11
20.9 1131.0 23.11
20.4 1599.0 23.11
19.7 1100.0 22.11
19.2 1077.0 22.11
19.5 1082.0 22.11
19.5 947.0 22.11
19.6 946.0 22.11
19.1 948.0 21.11
19.6 946.0 22.11
20.1 935.0 22.11
20.7 1235.0 23.11
20.9 1297.0 23.11
20.2 1318.0 23.11
20.4 1109.0 23.11
19.4 1427.0 22.11
19.8 1397.0 22.11
19.1 1426.0 22.11
20.1 1462.0 23.11
20.4 1396.0 23.11
20.3 1341.0 23.11
20.6 1278.0 23.11
19.9 1268.0 22.11
20.0 1196.0 22.11
19.6 946.0 22.11
20.0 946.0 22.11
19.2 1375.0 22.11
19.3 943.0 22.11
18.8 943.0 21.11
19.2 943.0 21.11
19.7 946.0 22.11
19.2 946.0 21.11
18.6 946.0 21.11
19.2 946.0 21.11
19.5 1287.0 22.11
19.8 1161.0 22.11
19.9 1246.0 22.11
20.2 1375.0 23.11
20.4 942.0 23.11
20.0 1382.0 23.11
20.7 1374.0 23.11
20.8 1448.0 23.11
20.5 1397.0 23.11
20.4 1329.0 23.11
20.4 1276.0 23.11
21.3 1242.0 24.11
21.1 1232.0 24.11
20.3 1209.0 23.11
20.8 1200.0 23.11
19.8 1160.0 22.11
19.3 1357.0 22.11
19.4 1106.0 22.11
19.2 946.0 21.11
19.5 946.0 22.11
19.6 945.0 22.11
19.2 944.0 21.11
19.8 945.0 22.11
20.4 946.0 23.11
20.2 941.0 22.11
19.5 1348.0 22.11
21.0 946.0 23.11
22.4 929.0 25.11
22.7 1236.0 25.11
23.0 1107.0 25.11
23.7 1309.0 26.11
24.0 1329.0 26.11
24.0 1368.0 26.11
24.6 1373.0 26.11
23.4 1339.0 26.11
24.3 1324.0 26.11
24.7 1383.0 26.11
24.7 1333.0 26.11
23.8 1288.0 26.11
23.2 1256.0 26.11
23.1 1237.0 26.11
23.2 1246.0 26.11
23.4 1238.0 26.11
23.8 1240.0 26.11
23.4 1234.0 26.11
23.4 1233.0 26.11
23.4 1230.0 26.11
23.1 1214.0 26.11
23.2 1236.0 26.11
23.8 1251.0 26.11
24.1 1291.0 26.11
24.4 1337.0 26.11
24.3 1243.0 26.11
24.0 1410.0 26.11
24.0 1393.0 26.11
24.4 1409.0 26.11
24.7 1401.0 26.11
24.0 1427.0 26.11
23.8 1347.0 26.11
24.1 1340.0 26.11
24.8 1335.0 26.11
24.1 1309.0 26.11
24.1 1313.0 26.11
23.7 1312.0 26.11
23.9 1383.0 26.11
23.9 1274.0 26.11
22.2 1185.0 25.11
22.2 1162.0 25.11
22.0 1176.0 24.11
22.0 1158.0 24.11
21.5 1175.0 24.11
22.0 1214.0 24.11
22.5 1274.0 25.11
23.4 1407.0 26.11
23.7 1461.0 26.11
24.4 1584.0 26.11
25.0 1287.0 26.11
24.6 1650.0 26.11
24.3 1679.0 26.11
24.1 1685.0 26.11
