Tset	Date	Twet	Load	Hour(s)	TimeStamp(s)
17.11	7/1/2011 0:00	15.4	58.2	0	1309478400
17.11	7/1/2011 1:00	14.7	58.2	3600	1309482000
17.11	7/1/2011 2:00	14.9	58.2	7200	1309485600
16.11	7/1/2011 3:00	14.2	58.2	10800	1309489200
16.11	7/1/2011 4:00	13.9	58.2	14400	1309492800
17.11	7/1/2011 5:00	15.6	58.2	18000	1309496400
18.11	7/1/2011 6:00	16.6	58.2	21600	1309500000
19.11	7/1/2011 7:00	16.9	58.2	25200	1309503600
19.11	7/1/2011 8:00	17	58.2	28800	1309507200
19.11	7/1/2011 9:00	17.6	58.2	32400	1309510800
20.11	7/1/2011 10:00	18	58.2	36000	1309514400
19.11	7/1/2011 11:00	17.3	58.2	39600	1309518000
19.11	7/1/2011 12:00	17.5	58.2	43200	1309521600
20.11	7/1/2011 13:00	17.8	58.2	46800	1309525200
20.11	7/1/2011 14:00	18	58.2	50400	1309528800
19.11	7/1/2011 15:00	17.6	58.2	54000	1309532400
20.11	7/1/2011 16:00	18	58.2	57600	1309536000
19.11	7/1/2011 17:00	16.8	58.2	61200	1309539600
19.11	7/1/2011 18:00	17.2	58.2	64800	1309543200
19.11	7/1/2011 19:00	17.1	58.2	68400	1309546800
19.11	7/1/2011 20:00	17	58.2	72000	1309550400
18.11	7/1/2011 21:00	16.3	58.2	75600	1309554000
18.11	7/1/2011 22:00	15.8	58.2	79200	1309557600
18.11	7/1/2011 23:00	16.4	58.2	82800	1309561200
17.11	7/2/2011 0:00	15.7	58.2	0	1309564800
17.11	7/2/2011 1:00	15.5	58.2	3600	1309568400
17.11	7/2/2011 2:00	15.5	58.2	7200	1309572000
17.11	7/2/2011 3:00	14.8	58.2	10800	1309575600
17.11	7/2/2011 4:00	15	58.2	14400	1309579200
18.11	7/2/2011 5:00	15.9	58.2	18000	1309582800
20.11	7/2/2011 6:00	17.8	58.2	21600	1309586400
20.11	7/2/2011 7:00	18.6	58.2	25200	1309590000
21.11	7/2/2011 8:00	19.2	58.2	28800	1309593600
20.11	7/2/2011 9:00	18.5	58.2	32400	1309597200
21.11	7/2/2011 10:00	19.1	58.2	36000	1309600800
20.11	7/2/2011 11:00	18.5	58.2	39600	1309604400
20.11	7/2/2011 12:00	18	58.2	43200	1309608000
20.11	7/2/2011 13:00	18.1	58.2	46800	1309611600
20.11	7/2/2011 14:00	18.6	58.2	50400	1309615200
22.11	7/2/2011 15:00	20.4	58.2	54000	1309618800
22.11	7/2/2011 16:00	20.3	58.2	57600	1309622400
21.11	7/2/2011 17:00	19.8	58.2	61200	1309626000
21.11	7/2/2011 18:00	19.8	58.2	64800	1309629600
22.11	7/2/2011 19:00	20.1	58.2	68400	1309633200
22.11	7/2/2011 20:00	19.9	58.2	72000	1309636800
21.11	7/2/2011 21:00	19.6	58.2	75600	1309640400
21.11	7/2/2011 22:00	19.4	58.2	79200	1309644000
21.11	7/2/2011 23:00	19.5	58.2	82800	1309647600
21.11	7/3/2011 0:00	19.8	58.2	0	1309651200
22.11	7/3/2011 1:00	20	58.2	3600	1309654800
21.11	7/3/2011 2:00	19.7	58.2	7200	1309658400
22.11	7/3/2011 3:00	20.2	58.2	10800	1309662000
22.11	7/3/2011 4:00	20.3	58.2	14400	1309665600
22.11	7/3/2011 5:00	20.3	58.2	18000	1309669200
23.11	7/3/2011 6:00	21.1	58.2	21600	1309672800
