	Twet	Load	Tset
0	23.4	1232.0	26.11
1	23.6	1222.0	26.11
2	23.0	1210.0	25.11
3	22.3	1186.0	25.11
4	22.9	1185.0	25.11
5	23.7	1224.0	26.11
6	24.5	1250.0	26.11
7	24.8	1301.0	26.11
8	24.4	1337.0	26.11
9	24.2	1295.0	26.11
10	24.5	1269.0	26.11
11	23.8	1358.0	26.11
12	24.1	1344.0	26.11
13	24.2	1361.0	26.11
14	24.1	1354.0	26.11
15	22.1	1314.0	25.11
16	22.5	1241.0	25.11
17	22.3	1209.0	25.11
18	22.3	1215.0	25.11
19	22.1	1198.0	25.11
20	22.4	1195.0	25.11
21	22.1	1343.0	25.11
22	22.55	1153.0	25.11
23	23.0	656.0	25.11
24	21.1	931.0	23.11
25	20.3	911.0	23.11
26	20.3	907.0	23.11
27	20.0	910.0	22.11
28	20.1	927.0	22.11
29	20.9	931.0	23.11
30	21.6	1457.0	24.11
31	21.6	1249.0	24.11
32	21.7	1302.0	24.11
33	19.7	1255.0	22.11
34	21.2	1223.0	24.11
35	21.5	1310.0	24.11
36	22.1	1346.0	25.11
37	21.7	1372.0	24.11
38	21.6	1345.0	24.11
39	21.2	1288.0	24.11
40	20.8	1225.0	23.11
41	20.7	1146.0	23.11
42	21.0	1097.0	23.11
43	20.7	930.0	23.11
44	20.8	925.0	23.11
45	20.6	1305.0	23.11
46	20.7	909.0	23.11
47	21.4	906.0	24.11
48	21.4	911.0	24.11
49	21.5	920.0	24.11
50	20.7	938.0	23.11
51	20.8	940.0	23.11
52	21.2	934.0	23.11
53	21.9	933.0	24.11
54	22.7	1459.0	25.11
55	23.2	1304.0	26.11
56	22.9	1396.0	25.11
57	22.2	844.0	24.11
58	21.7	1487.0	24.11
59	21.3	1371.0	24.11
60	21.2	2182.0	24.11
61	20.8	1445.0	23.11
62	20.8	1367.0	23.11
63	21.3	1310.0	24.11
64	21.5	1249.0	24.11
65	21.6	1249.0	24.11
66	23.5	1309.0	26.11
67	21.5	1198.0	24.11
68	22.0	1169.0	24.11
69	21.8	1401.0	24.11
70	22.0	1168.0	24.11
71	21.7	1184.0	24.11
72	22.2	1189.0	25.11
73	21.7	1177.0	24.11
74	21.0	1150.0	23.11
75	20.5	1111.0	23.11
76	20.5	1106.0	23.11
77	20.3	1120.0	23.11
78	20.5	1116.0	23.11
79	21.6	1203.0	24.11
80	22.1	1272.0	25.11
81	23.3	1171.0	26.11
82	23.8	1381.0	26.11
83	23.8	1393.0	26.11
84	24.2	1421.0	26.11
85	24.8	1443.0	26.11
86	24.7	1466.0	26.11
87	24.7	1477.0	26.11
88	24.7	1462.0	26.11
89	24.9	1426.0	26.11
90	24.9	1384.0	26.11
91	25.0	1399.0	26.11
92	21.0	1338.0	24.11
93	20.8	1145.0	23.11
94	20.9	1145.0	23.11
95	20.6	1150.0	23.11
96	20.7	1173.0	23.11
97	20.9	1163.0	23.11
98	21.5	1197.0	24.11
99	21.4	1219.0	24.11
100	22.7	1302.0	25.11
101	23.0	1418.0	25.11
102	24.4	1482.0	26.11
103	24.4	1478.0	26.11
104	23.6	1153.0	26.11
105	23.9	1483.0	26.11
106	24.2	1484.0	26.11
107	24.2	1484.0	26.11
108	24.2	1481.0	26.11
109	24.2	1482.0	26.11
110	24.8	1477.0	26.11
111	24.7	1465.0	26.11
112	24.2	1454.0	26.11
113	23.9	1441.0	26.11
114	24.1	1406.0	26.11
115	24.0	1479.0	26.11
116	24.2	1245.0	26.11
117	23.2	1213.0	26.11
118	23.4	1242.0	26.11
119	23.7	1224.0	26.11
120	23.0	1217.0	25.11
121	22.9	1237.0	25.11
122	22.9	1255.0	25.11
123	21.3	1282.0	24.11
124	21.4	1368.0	24.11
125	21.1	1410.0	24.11
126	21.1	1427.0	24.11
127	20.9	1269.0	23.11
128	21.7	1481.0	24.11
129	21.8	1484.0	24.11
130	22.4	1482.0	25.11
131	22.7	1483.0	25.11
132	23.0	1479.0	26.11
133	22.7	1481.0	25.11
134	23.4	1470.0	26.11
135	23.1	1452.0	26.11
136	23.0	1367.0	25.11
137	24.1	1373.0	26.11
138	24.2	1334.0	26.11
139	25.0	1474.0	26.11
140	24.9	1348.0	26.11
141	24.8	1326.0	26.11
142	24.6	1316.0	26.11
143	24.3	1319.0	26.11
144	24.4	1333.0	26.11
145	24.9	1381.0	26.11
146	24.5	1465.0	26.11
147	23.4	1474.0	26.11
148	22.7	1442.0	25.11
149	23.3	1455.0	26.11
150	23.7	1460.0	26.11
151	23.9	1538.0	26.11
152	24.1	1501.0	26.11
153	23.6	1361.0	26.11
154	24.8	1426.0	26.11
155	24.6	1407.0	26.11
156	24.3	1385.0	26.11
157	24.3	1379.0	26.11
158	24.9	1390.0	26.11
159	24.5	1415.0	26.11
160	24.2	1330.0	26.11
161	24.2	1302.0	26.11
162	24.2	1323.0	26.11
163	24.6	1307.0	26.11
164	24.6	1309.0	26.11
165	24.7	1311.0	26.11
166	24.5	1483.0	26.11
167	23.8	1255.0	26.11
168	24.5	1251.0	26.11
169	23.8	1240.0	26.11
170	24.5	1271.0	26.11
171	22.5	1143.0	25.11
172	21.6	1115.0	24.11
173	21.5	1141.0	24.11
174	21.6	1165.0	24.11
175	22.0	1208.0	24.11
176	22.2	1347.0	25.11
177	21.8	1308.0	24.11
178	22.0	1312.0	25.11
179	21.9	1387.0	24.11
180	22.5	1451.0	25.11
181	21.2	1362.0	24.11
182	20.4	1354.0	23.11
183	20.4	1336.0	23.11
184	20.4	1324.0	23.11
185	21.3	1266.0	24.11
186	21.4	1222.0	24.11
187	21.2	1198.0	24.11
188	21.6	1161.0	24.11
189	20.9	1198.0	23.11
190	21.3	1305.0	24.11
191	22.0	1191.0	24.11
192	22.2	1192.0	25.11
193	22.2	1194.0	25.11
194	22.4	1194.0	25.11
195	22.2	1137.0	25.11
196	21.8	1136.0	24.11
197	21.8	1179.0	24.11
198	22.7	1276.0	25.11
199	23.4	1392.0	26.11
200	23.0	1423.0	25.11
201	23.4	1493.0	26.11
202	22.1	1162.0	25.11
203	21.4	1371.0	24.11
204	21.3	1404.0	24.11
205	21.3	1427.0	24.11
206	22.4	1480.0	25.11
207	21.8	1401.0	24.11
208	22.2	1346.0	25.11
209	22.5	1301.0	25.11
210	22.4	1207.0	25.11
211	20.6	1171.0	23.11
212	21.3	1183.0	24.11
213	21.1	1181.0	24.11
214	21.8	1459.0	24.11
215	21.6	1163.0	24.11
216	21.5	1143.0	24.11
217	21.6	1151.0	24.11
218	21.5	1149.0	24.11
219	21.3	1139.0	24.11
220	21.5	1170.0	24.11
221	21.5	1174.0	24.11
222	21.6	1214.0	24.11
223	22.4	1268.0	25.11
224	22.5	1312.0	25.11
225	21.9	946.0	24.11
226	22.9	1177.0	25.11
227	21.0	1376.0	24.11
228	21.2	1400.0	24.11
229	21.1	1375.0	24.11
230	21.2	1407.0	24.11
231	20.8	1369.0	23.11
232	19.3	1302.0	22.11
233	20.2	1261.0	23.11
234	20.5	1189.0	23.11
235	20.6	1168.0	23.11
236	21.1	1142.0	24.11
237	20.9	1131.0	23.11
238	20.4	1599.0	23.11
239	19.7	1100.0	22.11
240	19.2	1077.0	22.11
241	19.5	1082.0	22.11
242	19.5	947.0	22.11
243	19.6	946.0	22.11
244	19.1	948.0	21.11
245	19.6	946.0	22.11
246	20.1	935.0	22.11
247	20.7	1235.0	23.11
248	20.9	1297.0	23.11
249	20.2	1318.0	23.11
250	20.4	1109.0	23.11
251	19.4	1427.0	22.11
252	19.8	1397.0	22.11
253	19.1	1426.0	22.11
254	20.1	1462.0	23.11
255	20.4	1396.0	23.11
256	20.3	1341.0	23.11
257	20.6	1278.0	23.11
258	19.9	1268.0	22.11
259	20.0	1196.0	22.11
260	19.6	946.0	22.11
261	20.0	946.0	22.11
262	19.2	1375.0	22.11
263	19.3	943.0	22.11
264	18.8	943.0	21.11
265	19.2	943.0	21.11
266	19.7	946.0	22.11
267	19.2	946.0	21.11
268	18.6	946.0	21.11
269	19.2	946.0	21.11
270	19.5	1287.0	22.11
271	19.8	1161.0	22.11
272	19.9	1246.0	22.11
273	20.2	1375.0	23.11
274	20.4	942.0	23.11
275	20.0	1382.0	23.11
276	20.7	1374.0	23.11
277	20.8	1448.0	23.11
278	20.5	1397.0	23.11
279	20.4	1329.0	23.11
280	20.4	1276.0	23.11
281	21.3	1242.0	24.11
282	21.1	1232.0	24.11
283	20.3	1209.0	23.11
284	20.8	1200.0	23.11
285	19.8	1160.0	22.11
286	19.3	1357.0	22.11
287	19.4	1106.0	22.11
288	19.2	946.0	21.11
289	19.5	946.0	22.11
290	19.6	945.0	22.11
291	19.2	944.0	21.11
292	19.8	945.0	22.11
293	20.4	946.0	23.11
294	20.2	941.0	22.11
295	19.5	1348.0	22.11
296	21.0	946.0	23.11
297	22.4	929.0	25.11
298	22.7	1236.0	25.11
299	23.0	1107.0	25.11
300	23.7	1309.0	26.11
301	24.0	1329.0	26.11
302	24.0	1368.0	26.11
303	24.6	1373.0	26.11
304	23.4	1339.0	26.11
305	24.3	1324.0	26.11
306	24.7	1383.0	26.11
307	24.7	1333.0	26.11
308	23.8	1288.0	26.11
309	23.2	1256.0	26.11
310	23.1	1237.0	26.11
311	23.2	1246.0	26.11
312	23.4	1238.0	26.11
313	23.8	1240.0	26.11
314	23.4	1234.0	26.11
315	23.4	1233.0	26.11
316	23.4	1230.0	26.11
317	23.1	1214.0	26.11
318	23.2	1236.0	26.11
319	23.8	1251.0	26.11
320	24.1	1291.0	26.11
321	24.4	1337.0	26.11
322	24.3	1243.0	26.11
323	24.0	1410.0	26.11
324	24.0	1393.0	26.11
325	24.4	1409.0	26.11
326	24.7	1401.0	26.11
327	24.0	1427.0	26.11
328	23.8	1347.0	26.11
329	24.1	1340.0	26.11
330	24.8	1335.0	26.11
331	24.1	1309.0	26.11
332	24.1	1313.0	26.11
333	23.7	1312.0	26.11
334	23.9	1383.0	26.11
335	23.9	1274.0	26.11
336	22.2	1185.0	25.11
337	22.2	1162.0	25.11
338	22.0	1176.0	24.11
339	22.0	1158.0	24.11
340	21.5	1175.0	24.11
341	22.0	1214.0	24.11
342	22.5	1274.0	25.11
343	23.4	1407.0	26.11
344	23.7	1461.0	26.11
345	24.4	1584.0	26.11
346	25.0	1287.0	26.11
347	24.6	1650.0	26.11
348	24.3	1679.0	26.11
349	24.1	1685.0	26.11
350	24.0	1697.0	26.11
351	24.7	1676.0	26.11
352	23.7	1449.0	26.11
353	24.9	1383.0	26.11
354	25.0	1427.0	26.11
355	24.3	1371.0	26.11
356	23.9	1369.0	26.11
357	23.7	1337.0	26.11
358	24.8	1634.0	26.11
359	24.8	1354.0	26.11
360	23.9	1346.0	26.11
361	22.9	1283.0	25.11
362	22.4	1245.0	25.11
363	22.0	1233.0	24.11
364	21.7	1215.0	24.11
365	22.2	1234.0	25.11
366	23.6	1305.0	26.11
367	24.0	1435.0	26.11
368	23.8	1561.0	26.11
369	24.4	1603.0	26.11
370	24.6	1312.0	26.11
371	23.6	1611.0	26.11
372	23.5	1611.0	26.11
373	23.5	1651.0	26.11
374	23.2	1649.0	26.11
375	22.8	1634.0	25.11
376	23.1	1561.0	26.11
377	23.1	1483.0	26.11
378	23.1	1431.0	26.11
379	21.9	1338.0	24.11
380	24.3	1290.0	26.11
381	24.2	1242.0	26.11
382	23.5	1580.0	26.11
383	24.0	1294.0	26.11
384	24.2	1314.0	26.11
385	23.0	1304.0	25.11
386	23.2	1286.0	26.11
387	22.7	1274.0	25.11
388	22.9	1327.0	25.11
389	23.0	1375.0	25.11
390	23.4	1387.0	26.11
391	24.5	1521.0	26.11
392	25.0	1772.0	26.11
393	24.7	1742.0	26.11
394	24.3	1659.0	26.11
395	23.6	1371.0	26.11
396	23.5	1315.0	26.11
397	23.2	1244.0	26.11
398	22.7	1223.0	25.11
399	23.2	1238.0	26.11
400	22.9	1219.0	25.11
401	22.9	1743.0	25.11
402	23.0	1229.0	25.11
403	23.0	1237.0	25.11
404	23.0	1211.0	25.11
405	22.9	1203.0	25.11
406	23.0	1227.0	25.11
407	22.7	1216.0	25.11
408	22.4	1228.0	25.11
409	22.4	1199.0	25.11
410	22.9	842.0	25.11
411	22.9	946.0	25.11
412	23.0	1483.0	26.11
413	23.7	1221.0	26.11
414	24.3	1617.0	26.11
415	24.1	1577.0	26.11
416	24.4	1654.0	26.11
417	24.1	1640.0	26.11
418	24.1	1659.0	26.11
419	23.8	1473.0	26.11
420	23.9	1426.0	26.11
421	23.8	1385.0	26.11
422	23.7	1323.0	26.11
423	22.9	1212.0	25.11
424	22.5	1523.0	25.11
425	22.9	1213.0	25.11
426	22.9	1206.0	25.11
427	22.9	1185.0	25.11
428	22.9	1187.0	25.11
429	22.9	1190.0	25.11
430	22.9	1216.0	25.11
431	22.9	1236.0	25.11
432	22.9	1264.0	25.11
433	23.1	1308.0	26.11
434	22.9	1213.0	25.11
435	23.1	1242.0	26.11
436	23.2	1203.0	26.11
437	23.0	1407.0	25.11
438	23.1	1399.0	26.11
