Twet Load Tset
17.1 1216.0 20.11
18.1 1129.0 21.11
19.2 1102.0 22.11
20.4 874.0 23.11
21.1 1316.0 24.11
20.9 1306.0 23.11
20.9 1306.0 23.11
20.9 1311.0 23.11
22.2 1334.0 25.11
22.5 1258.0 25.11
22.5 702.0 25.11
22.7 1559.0 25.11
21.8 1490.0 24.11
21.9 1405.0 24.11
20.0 1399.0 23.11
20.4 1344.0 23.11
19.8 1328.0 22.11
21.1 557.0 24.11
20.6 524.0 23.11
20.2 552.0 23.11
19.4 538.0 22.11
17.2 1510.0 20.11
17.2 486.0 20.11
16.9 489.0 19.11
16.9 534.0 19.11
14.6 489.0 17.11
13.3 461.0 16.11
13.6 466.0 16.11
13.8 493.0 16.11
14.0 511.0 17.11
14.4 513.0 17.11
14.9 506.0 17.11
13.6 498.0 16.11
14.5 492.0 17.11
14.3 542.0 17.11
14.7 525.0 17.11
14.5 510.0 17.11
14.7 520.0 17.11
14.2 520.0 17.11
14.5 489.0 17.11
14.5 490.0 17.11
13.6 477.0 16.11
13.6 474.0 16.11
13.6 480.0 16.11
13.7 474.0 16.11
13.5 514.0 16.11
13.4 461.0 16.11
12.7 469.0 15.11
13.0 475.0 16.11
12.8 466.0 15.11
12.5 469.0 15.11
12.3 462.0 15.11
12.5 473.0 15.11
13.5 462.0 16.11
14.1 476.0 17.11
14.8 510.0 17.11
15.4 526.0 18.11
15.7 480.0 18.11
15.8 512.0 18.11
16.1 526.0 19.11
16.0 495.0 18.11
16.5 496.0 19.11
16.0 509.0 18.11
16.5 533.0 19.11
15.3 520.0 18.11
15.4 514.0 18.11
15.0 500.0 18.11
15.5 491.0 18.11
14.4 475.0 17.11
14.4 513.0 17.11
14.4 506.0 17.11
14.7 505.0 17.11
14.5 1122.0 17.11
14.2 1064.0 17.11
13.8 737.0 17.11
13.8 731.0 17.11
14.4 741.0 17.11
14.8 818.0 17.11
14.8 514.0 17.11
15.2 1110.0 18.11
14.5 1134.0 17.11
15.2 1096.0 18.11
15.2 566.0 18.11
14.5 1544.0 18.11
15.6 631.0 18.11
15.4 529.0 18.11
14.9 1114.0 18.11
14.5 1097.0 17.11
14.0 799.0 17.11
13.6 507.0 16.11
13.9 500.0 16.11
13.6 497.0 16.11
14.1 502.0 17.11
14.8 1229.0 18.11
14.4 520.0 17.11
14.1 513.0 17.11
13.9 1077.0 17.11
13.4 978.0 16.11
13.4 711.0 17.11
13.1 678.0 16.11
12.8 682.0 16.11
12.8 729.0 16.11
13.8 782.0 17.11
13.7 778.0 17.11
14.2 851.0 17.11
13.2 502.0 16.11
14.1 918.0 17.11
13.6 923.0 16.11
13.4 902.0 16.11
13.6 819.0 16.11
14.1 859.0 16.11
13.6 795.0 17.11
13.6 562.0 16.11
13.2 500.0 16.11
12.9 490.0 16.11
13.7 495.0 16.11
13.2 492.0 16.11
13.0 877.0 15.11
13.8 511.0 16.11
12.8 504.0 15.11
12.3 918.0 15.11
12.3 542.0 15.11
12.5 557.0 15.11
12.6 553.0 15.11
13.3 542.0 16.11
14.5 573.0 17.11
14.5 488.0 17.11
14.1 1279.0 17.11
14.8 734.0 18.11
14.1 493.0 17.11
14.1 907.0 17.11
