Tset	Date	Twet	Load	Hour(s)	TimeStamp(s)
25.11	6/1/2011 0:00	22.9	601.4	0	1306886400
24.11	6/1/2011 1:00	22.7	58.2	3600	1306890000
25.11	6/1/2011 2:00	22.9	58.2	7200	1306893600
24.11	6/1/2011 3:00	22.2	58.2	10800	1306897200
24.11	6/1/2011 4:00	22.2	58.2	14400	1306900800
25.11	6/1/2011 5:00	22.9	58.2	18000	1306904400
26.11	6/1/2011 6:00	23.9	58.2	21600	1306908000
26.11	6/1/2011 7:00	24.9	58.2	25200	1306911600
26.11	6/1/2011 8:00	25.2	58.2	28800	1306915200
25.11	6/1/2011 9:00	25.6	858.45	32400	1306918800
25.11	6/1/2011 10:00	25.4	1294.95	36000	1306922400
26.11	6/1/2011 11:00	25.3	620.8	39600	1306926000
26.11	6/1/2011 12:00	24.8	737.2	43200	1306929600
25.11	6/1/2011 13:00	25.2	805.1	46800	1306933200
26.11	6/1/2011 14:00	24.7	1086.4	50400	1306936800
26.11	6/1/2011 15:00	24.7	1125.2	54000	1306940400
26.11	6/1/2011 16:00	24.2	1144.6	57600	1306944000
26.11	6/1/2011 17:00	24.4	1096.1	61200	1306947600
26.11	6/1/2011 18:00	23.8	1057.3	64800	1306951200
26.11	6/1/2011 19:00	23.7	1018.5	68400	1306954800
26.11	6/1/2011 20:00	23.2	887.55	72000	1306958400
24.11	6/1/2011 21:00	21.5	708.1	75600	1306962000
22.11	6/1/2011 22:00	19.4	688.7	79200	1306965600
20.11	6/1/2011 23:00	17.4	679	82800	1306969200
19.11	6/2/2011 0:00	16.2	669.3	0	1306972800
18.11	6/2/2011 1:00	15.9	858.45	3600	1306976400
18.11	6/2/2011 2:00	15.7	873	7200	1306980000
17.11	6/2/2011 3:00	14.7	931.2	10800	1306983600
17.11	6/2/2011 4:00	14.6	873	14400	1306987200
18.11	6/2/2011 5:00	15.9	887.55	18000	1306990800
18.11	6/2/2011 6:00	15.9	902.1	21600	1306994400
17.11	6/2/2011 7:00	14.7	931.2	25200	1306998000
18.11	6/2/2011 8:00	15.3	974.85	28800	1307001600
15.11	6/2/2011 9:00	15.8	620.8	32400	1307005200
19.11	6/2/2011 10:00	16	1474.4	36000	1307008800
16.11	6/2/2011 11:00	16.6	1532.6	39600	1307012400
19.11	6/2/2011 12:00	16.3	1561.7	43200	1307016000
15.11	6/2/2011 13:00	15.8	1532.6	46800	1307019600
15.11	6/2/2011 14:00	15.6	1532.6	50400	1307023200
15.11	6/2/2011 15:00	15.8	1464.7	54000	1307026800
18.11	6/2/2011 16:00	15.5	1377.4	57600	1307030400
17.11	6/2/2011 17:00	14.5	1367.7	61200	1307034000
17.11	6/2/2011 18:00	14.3	999.1	64800	1307037600
17.11	6/2/2011 19:00	13.6	679	68400	1307041200
16.11	6/2/2011 20:00	13.4	669.3	72000	1307044800
15.11	6/2/2011 21:00	12.4	572.3	75600	1307048400
15.11	6/2/2011 22:00	12.4	572.3	79200	1307052000
15.11	6/2/2011 23:00	12.4	543.2	82800	1307055600
15.11	6/3/2011 0:00	12	543.2	0	1307059200
15.11	6/3/2011 1:00	10.7	669.3	3600	1307062800
15.11	6/3/2011 2:00	10.5	1571.4	7200	1307066400
15.11	6/3/2011 3:00	9.4	1377.4	10800	1307070000
15.11	6/3/2011 4:00	9.4	58.2	14400	1307073600
15.11	6/3/2011 5:00	11	1358	18000	1307077200
15.11	6/3/2011 6:00	12	1930.3	21600	1307080800
15.11	6/3/2011 7:00	11.8	1455	25200	1307084400
16.11	6/3/2011 8:00	12.7	1542.3	28800	1307088000
16.11	6/3/2011 9:00	12.8	669.3	32400	1307091600
16.11	6/3/2011 10:00	13.2	805.1	36000	1307095200
16.11	6/3/2011 11:00	13.3	892.4	39600	1307098800
16.11	6/3/2011 12:00	13.7	950.6	43200	1307102400
17.11	6/3/2011 13:00	14.7	999.1	46800	1307106000
17.11	6/3/2011 14:00	14.4	1411.35	50400	1307109600
17.11	6/3/2011 15:00	14.4	1484.1	54000	1307113200
16.11	6/3/2011 16:00	14.3	58.2	57600	1307116800
16.11	6/3/2011 17:00	13.9	58.2	61200	1307120400
17.11	6/3/2011 18:00	13.4	1484.1	64800	1307124000
16.11	6/3/2011 19:00	12.7	1265.85	68400	1307127600
15.11	6/3/2011 20:00	12.2	649.9	72000	1307131200
15.11	6/3/2011 21:00	12.2	1164	75600	1307134800
15.11	6/3/2011 22:00	11.2	1134.9	79200	1307138400
15.11	6/3/2011 23:00	12	1120.35	82800	1307142000
15.11	6/4/2011 0:00	11.2	1076.7	0	1307145600
15.11	6/4/2011 1:00	10.7	640.2	3600	1307149200
15.11	6/4/2011 2:00	10.7	659.6	7200	1307152800
15.11	6/4/2011 3:00	9.9	669.3	10800	1307156400
15.11	6/4/2011 4:00	10.2	649.9	14400	1307160000
15.11	6/4/2011 5:00	11.2	649.9	18000	1307163600
17.11	6/4/2011 6:00	13.5	698.4	21600	1307167200
16.11	6/4/2011 7:00	13.1	659.6	25200	1307170800
16.11	6/4/2011 8:00	13.6	1076.7	28800	1307174400
17.11	6/4/2011 9:00	14.3	523.8	32400	1307178000
17.11	6/4/2011 10:00	14.7	970	36000	1307181600
17.11	6/4/2011 11:00	15.6	58.2	39600	1307185200
15.11	6/4/2011 12:00	15.6	1474.4	43200	1307188800
