	Twet	Load	Tset
0	17.1	1216.0	20.11
1	18.1	1129.0	21.11
2	19.2	1102.0	22.11
3	20.4	874.0	23.11
4	21.1	1316.0	24.11
5	20.9	1306.0	23.11
6	20.9	1306.0	23.11
7	20.9	1311.0	23.11
8	22.2	1334.0	25.11
9	22.5	1258.0	25.11
10	22.5	702.0	25.11
11	22.7	1559.0	25.11
12	21.8	1490.0	24.11
13	21.9	1405.0	24.11
14	20.0	1399.0	23.11
15	20.4	1344.0	23.11
16	19.8	1328.0	22.11
17	21.1	557.0	24.11
18	20.6	524.0	23.11
19	20.2	552.0	23.11
20	19.4	538.0	22.11
21	17.2	1510.0	20.11
22	17.2	486.0	20.11
23	16.9	489.0	19.11
24	16.9	534.0	19.11
25	14.6	489.0	17.11
26	13.3	461.0	16.11
27	13.6	466.0	16.11
28	13.8	493.0	16.11
29	14.0	511.0	17.11
30	14.4	513.0	17.11
31	14.9	506.0	17.11
32	13.6	498.0	16.11
33	14.5	492.0	17.11
34	14.3	542.0	17.11
35	14.7	525.0	17.11
36	14.5	510.0	17.11
37	14.7	520.0	17.11
38	14.2	520.0	17.11
39	14.5	489.0	17.11
40	14.5	490.0	17.11
41	13.6	477.0	16.11
42	13.6	474.0	16.11
43	13.6	480.0	16.11
44	13.7	474.0	16.11
45	13.5	514.0	16.11
46	13.4	461.0	16.11
47	12.7	469.0	15.11
48	13.0	475.0	16.11
49	12.8	466.0	15.11
50	12.5	469.0	15.11
51	12.3	462.0	15.11
52	12.5	473.0	15.11
53	13.5	462.0	16.11
54	14.1	476.0	17.11
55	14.8	510.0	17.11
56	15.4	526.0	18.11
57	15.7	480.0	18.11
58	15.8	512.0	18.11
59	16.1	526.0	19.11
60	16.0	495.0	18.11
61	16.5	496.0	19.11
62	16.0	509.0	18.11
63	16.5	533.0	19.11
64	15.3	520.0	18.11
65	15.4	514.0	18.11
66	15.0	500.0	18.11
67	15.5	491.0	18.11
68	14.4	475.0	17.11
69	14.4	513.0	17.11
70	14.4	506.0	17.11
71	14.7	505.0	17.11
72	14.5	1122.0	17.11
73	14.2	1064.0	17.11
74	13.8	737.0	17.11
75	13.8	731.0	17.11
76	14.4	741.0	17.11
77	14.8	818.0	17.11
78	14.8	514.0	17.11
79	15.2	1110.0	18.11
80	14.5	1134.0	17.11
81	15.2	1096.0	18.11
82	15.2	566.0	18.11
83	14.5	1544.0	18.11
84	15.6	631.0	18.11
85	15.4	529.0	18.11
86	14.9	1114.0	18.11
87	14.5	1097.0	17.11
88	14.0	799.0	17.11
89	13.6	507.0	16.11
90	13.9	500.0	16.11
91	13.6	497.0	16.11
92	14.1	502.0	17.11
93	14.8	1229.0	18.11
94	14.4	520.0	17.11
95	14.1	513.0	17.11
96	13.9	1077.0	17.11
97	13.4	978.0	16.11
98	13.4	711.0	17.11
99	13.1	678.0	16.11
100	12.8	682.0	16.11
101	12.8	729.0	16.11
102	13.8	782.0	17.11
103	13.7	778.0	17.11
104	14.2	851.0	17.11
105	13.2	502.0	16.11
106	14.1	918.0	17.11
107	13.6	923.0	16.11
108	13.4	902.0	16.11
109	13.6	819.0	16.11
