Twet Load Tset
12.7 449.0 15.11
14.3 618.0 17.11
14.0 695.0 17.11
10.8 653.0 15.11
10.8 971.0 15.11
11.6 856.0 15.11
12.0 911.0 15.11
12.2 612.0 15.11
11.9 706.0 15.11
11.5 762.0 15.11
11.3 405.0 15.11
11.8 807.0 15.11
11.8 860.0 15.11
11.6 859.0 15.11
11.1 888.0 15.11
10.2 688.0 15.11
8.7 663.0 15.11
7.7 451.0 15.11
6.6 393.0 15.11
5.6 391.0 15.11
5.1 404.0 15.11
4.5 401.0 15.11
4.1 794.0 15.11
4.0 414.0 15.11
3.6 55.0 15.11
3.8 54.0 15.11
3.9 55.0 15.11
3.7 56.0 15.11
3.6 54.0 15.11
3.3 54.0 15.11
4.6 55.0 15.11
4.8 54.0 15.11
5.4 401.0 15.11
5.5 510.0 15.11
6.7 401.0 15.11
7.4 628.0 15.11
7.3 612.0 15.11
7.2 597.0 15.11
7.5 511.0 15.11
7.8 570.0 15.11
7.8 549.0 15.11
7.8 431.0 15.11
7.8 399.0 15.11
8.0 56.0 15.11
8.0 55.0 15.11
8.0 55.0 15.11
8.3 514.0 15.11
8.3 55.0 15.11
8.3 54.0 15.11
8.3 54.0 15.11
8.6 54.0 15.11
8.6 55.0 15.11
8.6 54.0 15.11
8.8 54.0 15.11
9.1 55.0 15.11
9.7 54.0 15.11
9.9 55.0 15.11
9.1 393.0 15.11
8.5 55.0 15.11
8.1 390.0 15.11
7.0 387.0 15.11
7.5 403.0 15.11
7.1 421.0 15.11
7.2 413.0 15.11
7.3 410.0 15.11
6.0 409.0 15.11
5.0 413.0 15.11
4.5 415.0 15.11
4.1 405.0 15.11
4.2 408.0 15.11
4.0 410.0 15.11
3.7 417.0 15.11
3.9 421.0 15.11
3.6 417.0 15.11
3.4 54.0 15.11
2.7 55.0 15.11
2.3 55.0 15.11
2.0 55.0 15.11
1.7 54.0 15.11
1.7 55.0 15.11
2.3 54.0 15.11
2.9 55.0 15.11
3.4 417.0 15.11
3.1 55.0 15.11
3.1 55.0 15.11
2.5 54.0 15.11
2.2 56.0 15.11
1.5 55.0 15.11
0.6 55.0 15.11
0.3 55.0 15.11
0.1 55.0 15.11
0.0 54.0 15.11
0.0 55.0 15.11
-0.6 55.0 15.11
-0.7 54.0 15.11
-0.7 54.0 15.11
-1.2 55.0 15.11
-1.5 55.0 15.11
-1.9 55.0 15.11
-2.2 55.0 15.11
-2.2 54.0 15.11
-1.4 54.0 15.11
-0.3 54.0 15.11
0.4 54.0 16.11
0.7 54.0 15.11
0.9 53.0 15.11
1.2 55.0 15.11
1.9 53.0 15.11
2.5 54.0 15.11
1.9 53.0 15.11
1.9 54.0 15.11
1.7 53.0 15.11
1.1 54.0 15.11
-0.1 54.0 15.11
-0.5 53.0 15.11
-1.6 54.0 15.11
-1.8 54.0 15.11
-2.1 53.0 15.11
-2.4 53.0 15.11
-2.7 54.0 16.11
-2.9 54.0 15.11
-2.8 54.0 16.11
-2.9 54.0 15.11
-2.9 53.0 15.11
-3.5 54.0 15.11
-3.0 53.0 15.11
-1.6 54.0 15.11
-0.4 53.0 15.11
-0.2 54.0 15.11
