Tset	Date	Twet	Load	Hour(s)	 TimeStamp(s)
15.11	3/1/2011 0:00	2.6	58.2	0	1298937600
15.11	3/1/2011 1:00	1.4	58.2	3600	1298941200
15.11	3/1/2011 2:00	0.2	58.2	7200	1298944800
15.11	3/1/2011 3:00	-0.8	58.2	10800	1298948400
15.11	3/1/2011 4:00	-1.3	58.2	14400	1298952000
15.11	3/1/2011 5:00	-1.5	58.2	18000	1298955600
15.11	3/1/2011 6:00	-1.9	58.2	21600	1298959200
15.11	3/1/2011 7:00	-1.2	58.2	25200	1298962800
15.11	3/1/2011 8:00	-0.8	58.2	28800	1298966400
15.11	3/1/2011 9:00	0	58.2	32400	1298970000
15.11	3/1/2011 10:00	0.6	58.2	36000	1298973600
15.11	3/1/2011 11:00	1.7	58.2	39600	1298977200
15.11	3/1/2011 12:00	1.6	58.2	43200	1298980800
15.11	3/1/2011 13:00	2.4	58.2	46800	1298984400
15.11	3/1/2011 14:00	2.7	58.2	50400	1298988000
15.11	3/1/2011 15:00	2.8	58.2	54000	1298991600
15.11	3/1/2011 16:00	2.2	58.2	57600	1298995200
15.11	3/1/2011 17:00	1.7	58.2	61200	1298998800
15.11	3/1/2011 18:00	0.4	58.2	64800	1299002400
15.11	3/1/2011 19:00	-0.3	58.2	68400	1299006000
15.11	3/1/2011 20:00	-0.8	58.2	72000	1299009600
15.11	3/1/2011 21:00	-1.7	58.2	75600	1299013200
15.11	3/1/2011 22:00	-2.7	58.2	79200	1299016800
15.11	3/1/2011 23:00	-2.7	58.2	82800	1299020400
15.11	3/2/2011 0:00	-1.5	58.2	0	1299024000
15.11	3/2/2011 1:00	-1.7	58.2	3600	1299027600
15.11	3/2/2011 2:00	-1.7	58.2	7200	1299031200
15.11	3/2/2011 3:00	-1.2	58.2	10800	1299034800
15.11	3/2/2011 4:00	-1	58.2	14400	1299038400
15.11	3/2/2011 5:00	-0.7	58.2	18000	1299042000
15.11	3/2/2011 6:00	-0.8	58.2	21600	1299045600
15.11	3/2/2011 7:00	0	58.2	25200	1299049200
15.11	3/2/2011 8:00	1.5	58.2	28800	1299052800
15.11	3/2/2011 9:00	3.3	58.2	32400	1299056400
15.11	3/2/2011 10:00	4.3	58.2	36000	1299060000
15.11	3/2/2011 11:00	5.5	58.2	39600	1299063600
