	Twet	Load	Tset
0	12.7	449.0	15.11
1	14.3	618.0	17.11
2	14.0	695.0	17.11
3	10.8	653.0	15.11
4	10.8	971.0	15.11
5	11.6	856.0	15.11
6	12.0	911.0	15.11
7	12.2	612.0	15.11
8	11.9	706.0	15.11
9	11.5	762.0	15.11
10	11.3	405.0	15.11
11	11.8	807.0	15.11
12	11.8	860.0	15.11
13	11.6	859.0	15.11
14	11.1	888.0	15.11
15	10.2	688.0	15.11
16	8.7	663.0	15.11
17	7.7	451.0	15.11
18	6.6	393.0	15.11
19	5.6	391.0	15.11
20	5.1	404.0	15.11
21	4.5	401.0	15.11
22	4.1	794.0	15.11
23	4.0	414.0	15.11
24	3.6	55.0	15.11
25	3.8	54.0	15.11
26	3.9	55.0	15.11
27	3.7	56.0	15.11
28	3.6	54.0	15.11
29	3.3	54.0	15.11
30	4.6	55.0	15.11
31	4.8	54.0	15.11
32	5.4	401.0	15.11
33	5.5	510.0	15.11
34	6.7	401.0	15.11
35	7.4	628.0	15.11
36	7.3	612.0	15.11
37	7.2	597.0	15.11
38	7.5	511.0	15.11
39	7.8	570.0	15.11
40	7.8	549.0	15.11
41	7.8	431.0	15.11
42	7.8	399.0	15.11
43	8.0	56.0	15.11
44	8.0	55.0	15.11
45	8.0	55.0	15.11
46	8.3	514.0	15.11
47	8.3	55.0	15.11
48	8.3	54.0	15.11
49	8.3	54.0	15.11
50	8.6	54.0	15.11
51	8.6	55.0	15.11
52	8.6	54.0	15.11
53	8.8	54.0	15.11
54	9.1	55.0	15.11
55	9.7	54.0	15.11
56	9.9	55.0	15.11
57	9.1	393.0	15.11
58	8.5	55.0	15.11
59	8.1	390.0	15.11
60	7.0	387.0	15.11
61	7.5	403.0	15.11
62	7.1	421.0	15.11
63	7.2	413.0	15.11
64	7.3	410.0	15.11
65	6.0	409.0	15.11
66	5.0	413.0	15.11
67	4.5	415.0	15.11
68	4.1	405.0	15.11
69	4.2	408.0	15.11
70	4.0	410.0	15.11
71	3.7	417.0	15.11
72	3.9	421.0	15.11
73	3.6	417.0	15.11
74	3.4	54.0	15.11
75	2.7	55.0	15.11
76	2.3	55.0	15.11
77	2.0	55.0	15.11
78	1.7	54.0	15.11
79	1.7	55.0	15.11
80	2.3	54.0	15.11
81	2.9	55.0	15.11
82	3.4	417.0	15.11
83	3.1	55.0	15.11
84	3.1	55.0	15.11
85	2.5	54.0	15.11
86	2.2	56.0	15.11
87	1.5	55.0	15.11
88	0.6	55.0	15.11
89	0.3	55.0	15.11
90	0.1	55.0	15.11
91	0.0	54.0	15.11
92	0.0	55.0	15.11
93	-0.6	55.0	15.11
94	-0.7	54.0	15.11
95	-0.7	54.0	15.11
96	-1.2	55.0	15.11
97	-1.5	55.0	15.11
98	-1.9	55.0	15.11
99	-2.2	55.0	15.11
100	-2.2	54.0	15.11
101	-1.4	54.0	15.11
102	-0.3	54.0	15.11
103	0.4	54.0	16.11
104	0.7	54.0	15.11
105	0.9	53.0	15.11
106	1.2	55.0	15.11
107	1.9	53.0	15.11
108	2.5	54.0	15.11
109	1.9	53.0	15.11
110	1.9	54.0	15.11
111	1.7	53.0	15.11
112	1.1	54.0	15.11
113	-0.1	54.0	15.11
114	-0.5	53.0	15.11
115	-1.6	54.0	15.11
116	-1.8	54.0	15.11
117	-2.1	53.0	15.11
118	-2.4	53.0	15.11
119	-2.7	54.0	16.11
120	-2.9	54.0	15.11
121	-2.8	54.0	16.11
122	-2.9	54.0	15.11
123	-2.9	53.0	15.11
124	-3.5	54.0	15.11
125	-3.0	53.0	15.11
126	-1.6	54.0	15.11
127	-0.4	53.0	15.11
128	-0.2	54.0	15.11
129	0.0	53.0	15.11
130	1.0	54.0	15.11
131	1.7	54.0	15.11
132	2.5	53.0	15.11
133	3.0	54.0	15.11
134	3.6	55.0	15.11
135	3.5	54.0	15.11
136	3.3	55.0	15.11
137	3.2	55.0	15.11
138	2.7	56.0	15.11
139	1.9	54.0	15.11
140	2.3	55.0	15.11
141	2.7	55.0	15.11
142	3.0	55.0	15.11
143	2.8	55.0	15.11
144	2.4	55.0	15.11
145	2.1	55.0	15.11
146	1.9	55.0	15.11
147	2.1	54.0	15.11
148	2.0	55.0	15.11
149	2.3	55.0	15.11
150	3.1	55.0	15.11
151	4.7	55.0	15.11
152	5.9	54.0	15.11
153	7.0	357.0	15.11
154	8.4	55.0	15.11
155	9.8	706.0	15.11
156	10.9	722.0	15.11
157	11.6	756.0	15.11
158	12.5	767.0	16.11
159	11.8	758.0	15.11
160	11.3	705.0	15.11
161	10.5	457.0	15.11
162	9.7	415.0	15.11
163	10.0	421.0	15.11
164	9.4	417.0	15.11
165	9.4	417.0	15.11
166	10.2	500.0	15.11
167	10.5	430.0	15.11
168	10.5	427.0	15.11
169	10.2	522.0	15.11
170	9.9	605.0	15.11
171	9.9	596.0	15.11
172	10.2	613.0	15.11
173	10.7	534.0	15.11
174	11.5	607.0	15.11
175	12.8	634.0	16.11
176	13.5	733.0	17.11
177	14.4	791.0	18.11
178	14.9	421.0	17.11
179	15.0	911.0	17.11
180	14.8	916.0	17.11
181	14.1	871.0	16.11
182	14.1	898.0	17.11
183	13.8	841.0	16.11
184	13.6	795.0	17.11
185	13.6	517.0	16.11
186	13.6	461.0	16.11
187	13.2	444.0	16.11
188	13.4	448.0	16.11
189	14.1	446.0	17.11
190	13.9	836.0	16.11
191	13.9	468.0	16.11
192	12.0	449.0	15.11
193	8.9	542.0	15.11
194	7.9	591.0	15.11
195	6.3	537.0	15.11
196	4.7	575.0	15.11
197	4.1	54.0	15.11
198	3.3	53.0	15.11
199	2.8	53.0	15.11
200	3.3	54.0	15.11
201	3.4	53.0	15.11
202	3.6	446.0	15.11
203	4.7	54.0	15.11
204	5.9	776.0	15.11
205	6.3	595.0	15.11
206	6.0	649.0	15.11
207	5.6	618.0	15.11
208	4.9	544.0	15.11
209	3.9	449.0	15.11
210	3.1	401.0	15.11
211	2.4	54.0	15.11
212	1.7	54.0	15.11
213	1.1	54.0	15.11
214	0.8	54.0	15.11
215	0.1	53.0	15.11
216	-0.2	53.0	15.11
217	-0.9	53.0	15.11
218	-1.5	54.0	15.11
219	-1.7	52.0	15.11
220	-1.7	53.0	15.11
221	-1.9	53.0	15.11
222	-1.0	53.0	15.11
223	-0.6	54.0	15.11
224	0.2	53.0	15.11
225	0.4	54.0	16.11
226	0.9	54.0	15.11
227	1.6	53.0	15.11
228	1.6	54.0	15.11
229	2.1	54.0	15.11
230	2.4	54.0	15.11
231	1.8	53.0	15.11
232	1.3	54.0	15.11
233	1.3	53.0	15.11
234	1.1	53.0	15.11
235	0.3	54.0	15.11
236	0.1	54.0	15.11
237	0.1	54.0	15.11
238	0.1	54.0	15.11
239	-0.1	53.0	15.11
240	0.1	53.0	15.11
241	0.8	53.0	15.11
242	0.3	54.0	15.11
243	0.8	53.0	15.11
244	0.1	53.0	15.11
245	0.3	53.0	15.11
246	1.6	53.0	15.11
247	2.7	54.0	15.11
248	4.1	53.0	15.11
249	5.3	53.0	15.11
250	6.6	426.0	15.11
251	7.0	429.0	15.11
252	8.0	406.0	15.11
253	8.5	425.0	15.11
254	8.5	419.0	15.11
255	8.6	420.0	15.11
256	8.1	420.0	15.11
257	7.9	417.0	15.11
258	7.7	412.0	15.11
259	7.0	405.0	15.11
260	6.6	405.0	15.11
261	6.0	53.0	15.11
262	5.6	414.0	15.11
263	5.8	408.0	15.11
264	5.3	523.0	15.11
265	4.8	571.0	15.11
266	4.9	54.0	15.11
267	4.7	53.0	15.11
268	4.2	54.0	15.11
269	4.6	53.0	15.11
270	6.0	55.0	15.11
271	6.1	53.0	15.11
272	7.7	1088.0	15.11
273	8.5	409.0	15.11
274	9.9	708.0	15.11
275	11.6	785.0	15.11
276	12.0	858.0	15.11
277	13.2	852.0	16.11
278	13.8	857.0	16.11
279	13.6	786.0	17.11
280	12.9	531.0	16.11
281	13.2	470.0	16.11
282	13.0	460.0	16.11
283	14.2	453.0	17.11
284	14.0	454.0	16.11
285	13.7	592.0	17.11
286	12.7	473.0	15.11
287	13.5	462.0	16.11
288	13.8	713.0	17.11
289	12.6	663.0	16.11
290	12.6	642.0	16.11
291	12.3	660.0	15.11
292	12.1	650.0	15.11
293	12.3	676.0	15.11
294	13.4	717.0	17.11
295	14.7	755.0	18.11
296	14.9	865.0	17.11
297	16.0	453.0	18.11
298	16.2	946.0	19.11
299	16.8	941.0	19.11
300	16.8	1151.0	19.11
301	16.9	946.0	19.11
302	16.5	946.0	19.11
303	16.5	929.0	19.11
304	16.0	534.0	19.11
305	14.8	460.0	17.11
306	14.7	461.0	17.11
307	14.4	458.0	17.11
308	14.2	453.0	17.11
309	13.7	942.0	16.11
310	13.0	477.0	16.11
311	12.5	478.0	15.11
312	12.3	724.0	16.11
313	12.0	663.0	15.11
314	11.5	673.0	15.11
315	11.5	662.0	15.11
316	11.3	684.0	15.11
317	11.5	722.0	15.11
318	13.5	767.0	17.11
319	14.2	824.0	17.11
320	14.3	885.0	17.11
321	13.2	452.0	16.11
322	13.9	933.0	16.11
323	13.9	946.0	16.11
324	14.3	946.0	17.11
325	14.9	941.0	17.11
326	14.9	944.0	17.11
327	15.6	934.0	18.11
328	14.1	537.0	17.11
329	13.4	479.0	16.11
330	13.4	470.0	16.11
331	12.5	455.0	15.11
332	12.2	450.0	15.11
333	12.2	915.0	15.11
334	11.7	481.0	15.11
335	11.7	467.0	15.11
336	12.0	687.0	15.11
337	11.3	610.0	15.11
338	11.0	655.0	15.11
339	10.7	616.0	15.11
340	10.7	625.0	15.11
341	10.7	662.0	15.11
342	12.6	708.0	16.11
343	13.5	794.0	17.11
344	14.4	927.0	17.11
345	15.6	453.0	18.11
346	15.9	946.0	18.11
347	16.3	946.0	19.11
348	16.5	1191.0	19.11
349	17.5	682.0	20.11
350	17.1	946.0	19.11
351	16.4	946.0	19.11
352	16.3	592.0	19.11
353	15.5	507.0	18.11
354	14.5	478.0	17.11
355	13.6	455.0	16.11
356	12.3	449.0	15.11
357	11.3	946.0	15.11
358	10.7	426.0	15.11
359	10.5	435.0	15.11
360	10.2	595.0	15.11
361	10.2	860.0	15.11
362	9.9	814.0	15.11
363	10.2	541.0	15.11
364	9.9	583.0	15.11
365	10.2	861.0	15.11
366	10.2	560.0	15.11
367	10.2	509.0	15.11
368	10.7	599.0	15.11
369	11.5	424.0	15.11
370	11.8	653.0	15.11
371	12.3	53.0	15.11
372	12.3	53.0	15.11
373	12.8	53.0	15.11
374	13.1	55.0	15.11
375	13.4	54.0	15.11
376	13.2	53.0	16.11
377	12.9	54.0	15.11
378	12.7	54.0	15.11
379	12.7	54.0	15.11
380	12.7	54.0	15.11
381	12.4	887.0	15.11
382	12.4	55.0	15.11
383	11.8	53.0	17.11
384	11.8	55.0	17.11
385	11.6	54.0	16.11
386	11.0	54.0	15.11
387	15.9	35.0	18.11
388	16.2	18.0	18.11
389	10.8	53.0	15.11
390	10.8	54.0	15.11
391	11.0	54.0	15.11
