Twet Load Tset
13.4 903.0 16.11
13.6 630.0 17.11
14.1 653.0 17.11
14.7 664.0 18.11
15.1 703.0 18.11
16.2 767.0 19.11
17.0 1116.0 20.11
19.2 1221.0 22.11
19.6 1242.0 22.11
20.2 393.0 22.11
20.1 1350.0 23.11
20.0 1359.0 23.11
19.9 1368.0 23.11
19.7 1373.0 22.11
20.2 1335.0 23.11
19.8 1215.0 22.11
19.8 584.0 22.11
18.9 474.0 21.11
18.6 471.0 21.11
18.8 462.0 21.11
18.1 457.0 20.11
18.1 1341.0 21.11
17.2 497.0 20.11
17.4 483.0 20.11
17.2 1271.0 20.11
17.0 1194.0 20.11
16.7 1078.0 19.11
17.7 1061.0 20.11
17.0 1110.0 20.11
17.3 1311.0 20.11
17.5 1180.0 20.11
17.9 1206.0 20.11
17.9 1205.0 20.11
17.9 459.0 20.11
17.6 1209.0 20.11
18.2 1233.0 21.11
18.8 1260.0 21.11
18.6 1226.0 21.11
17.5 1229.0 20.11
16.4 580.0 19.11
16.0 496.0 18.11
15.2 425.0 18.11
15.0 401.0 17.11
14.2 410.0 17.11
13.7 410.0 16.11
13.4 1256.0 16.11
13.2 452.0 16.11
12.6 436.0 15.11
12.6 958.0 15.11
12.6 906.0 15.11
12.6 639.0 16.11
12.6 630.0 16.11
12.4 630.0 15.11
12.9 647.0 16.11
13.5 667.0 17.11
14.0 708.0 17.11
15.2 739.0 18.11
16.2 410.0 18.11
17.4 1148.0 20.11
18.6 1300.0 21.11
19.0 1356.0 22.11
19.4 1378.0 22.11
20.6 927.0 23.11
21.1 926.0 23.11
20.8 702.0 23.11
19.9 567.0 22.11
19.4 512.0 22.11
19.2 509.0 22.11
18.7 500.0 21.11
18.1 1150.0 21.11
18.1 539.0 21.11
17.9 533.0 20.11
17.7 927.0 20.11
17.7 928.0 20.11
17.5 923.0 20.11
17.5 925.0 20.11
17.5 926.0 20.11
17.7 927.0 20.11
18.7 927.0 21.11
19.1 927.0 21.11
20.3 927.0 23.11
20.5 488.0 23.11
19.9 927.0 22.11
21.1 1229.0 24.11
21.5 1556.0 24.11
21.3 1343.0 24.11
20.9 1268.0 23.11
19.3 1143.0 22.11
19.0 554.0 21.11
18.5 462.0 21.11
18.9 454.0 21.11
19.3 455.0 22.11
19.3 447.0 22.11
19.1 928.0 21.11
18.8 458.0 21.11
18.6 455.0 21.11
18.2 487.0 21.11
17.7 492.0 20.11
17.5 457.0 20.11
16.7 489.0 19.11
17.5 476.0 20.11
18.2 512.0 21.11
19.4 535.0 22.11
19.6 543.0 22.11
20.2 542.0 23.11
20.9 472.0 23.11
21.4 555.0 24.11
20.5 577.0 23.11
20.8 556.0 23.11
20.3 553.0 23.11
20.3 553.0 23.11
20.3 472.0 23.11
18.7 441.0 21.11
18.3 437.0 21.11
17.6 428.0 20.11
17.6 433.0 20.11
17.1 426.0 19.11
17.1 561.0 20.11
16.5 414.0 19.11
16.3 410.0 19.11
16.1 405.0 18.11
15.6 400.0 18.11
15.3 402.0 18.11
15.3 396.0 18.11
15.0 399.0 17.11
15.1 399.0 17.11
15.3 424.0 18.11
15.5 418.0 18.11
16.4 435.0 19.11
17.1 434.0 19.11
16.6 421.0 19.11
17.1 420.0 19.11
17.3 465.0 20.11
17.0 482.0 19.11
17.6 462.0 20.11
17.3 485.0 20.11
16.8 440.0 19.11
16.6 418.0 19.11
16.1 408.0 18.11
15.9 406.0 18.11
15.0 396.0 17.11
14.7 441.0 17.11
14.7 427.0 17.11
13.9 412.0 16.11
13.7 1023.0 16.11
12.9 890.0 15.11
12.6 586.0 16.11
12.6 580.0 16.11
13.2 648.0 16.11
13.4 659.0 16.11
14.0 872.0 16.11
14.4 893.0 17.11
14.9 543.0 18.11
15.3 396.0 18.11
15.4 1120.0 18.11
15.6 874.0 18.11
16.1 831.0 18.11
15.1 1075.0 18.11
15.1 1164.0 18.11
14.9 794.0 18.11
14.7 472.0 17.11
12.7 398.0 15.11
12.0 402.0 15.11
11.7 401.0 15.11
11.5 403.0 15.11
12.0 1054.0 15.11
12.5 420.0 15.11
13.2 420.0 16.11
13.8 979.0 16.11
13.6 478.0 16.11
13.8 623.0 17.11
13.9 652.0 17.11
14.1 666.0 17.11
14.7 707.0 18.11
15.6 758.0 19.11
16.4 1233.0 19.11
16.8 1136.0 19.11
17.8 399.0 20.11
17.8 1183.0 20.11
18.4 1228.0 21.11
18.5 1289.0 21.11
19.6 1208.0 22.11
19.2 1127.0 22.11
19.2 539.0 22.11
19.2 505.0 22.11
18.9 432.0 21.11
18.6 408.0 21.11
18.6 453.0 21.11
18.3 459.0 21.11
18.2 1153.0 21.11
18.1 490.0 20.11
18.2 489.0 21.11
18.0 1228.0 21.11
18.0 1136.0 21.11
18.0 1066.0 20.11
18.0 1210.0 21.11
18.4 1318.0 21.11
18.6 1157.0 21.11
19.3 1252.0 22.11
17.8 1123.0 20.11
17.2 833.0 19.11
16.9 452.0 19.11
17.1 1082.0 20.11
17.3 1372.0 20.11
17.3 1129.0 20.11
17.5 1284.0 20.11
17.1 833.0 19.11
16.6 787.0 20.11
13.9 471.0 16.11
13.9 418.0 16.11
13.9 436.0 16.11
13.4 419.0 16.11
13.4 413.0 16.11
13.6 835.0 16.11
13.7 441.0 16.11
13.7 427.0 16.11
12.9 911.0 15.11
12.0 601.0 15.11
11.2 547.0 15.11
10.7 544.0 15.11
10.7 507.0 15.11
11.0 536.0 15.11
11.4 614.0 15.11
11.0 628.0 15.11
11.2 653.0 15.11
11.2 415.0 15.11
11.3 666.0 15.11
11.5 716.0 15.11
10.6 692.0 15.11
11.2 744.0 15.11
11.8 725.0 15.11
10.9 657.0 15.11
10.6 433.0 15.11
10.3 393.0 15.11
9.8 394.0 15.11
9.6 399.0 15.11
9.8 396.0 15.11
9.5 659.0 15.11
9.2 388.0 15.11
8.4 380.0 15.11
8.0 776.0 15.11
7.1 471.0 15.11
6.9 723.0 15.11
7.1 723.0 15.11
7.3 474.0 15.11
8.4 815.0 15.11
8.7 792.0 15.11
9.7 605.0 15.11
10.9 677.0 15.11
10.2 356.0 15.11
10.7 735.0 15.11
11.2 769.0 15.11
11.4 772.0 15.11
11.8 810.0 15.11
12.0 782.0 15.11
12.0 698.0 15.11
12.0 505.0 15.11
11.5 428.0 15.11
11.4 409.0 15.11
10.9 412.0 15.11
10.6 408.0 15.11
10.6 705.0 15.11
10.5 503.0 15.11
10.2 384.0 15.11
10.7 388.0 15.11
9.7 391.0 15.11
8.9 391.0 15.11
8.9 394.0 15.11
9.4 390.0 15.11
11.0 392.0 15.11
12.2 406.0 15.11
12.9 424.0 15.11
14.3 435.0 17.11
14.3 401.0 17.11
14.5 438.0 17.11
15.2 445.0 18.11
13.7 455.0 16.11
13.4 456.0 16.11
15.4 457.0 18.11
14.3 421.0 17.11
14.5 420.0 17.11
15.3 408.0 18.11
16.0 412.0 18.11
15.6 406.0 18.11
14.7 413.0 17.11
15.1 448.0 17.11
14.8 408.0 17.11
14.8 408.0 17.11
14.0 401.0 16.11
14.3 403.0 17.11
14.1 403.0 16.11
13.3 403.0 16.11
13.5 427.0 16.11
14.8 401.0 17.11
15.7 407.0 18.11
16.5 425.0 19.11
16.9 437.0 19.11
17.6 410.0 20.11
18.8 472.0 21.11
18.6 479.0 21.11
