Tset	Date	Twet	Load	Hour(s)	TimeStamp(s)
15.11	5/1/2011 0:00	8.9	756.6	0	1304208000
15.11	5/1/2011 1:00	8.9	669.3	3600	1304211600
15.11	5/1/2011 2:00	9.1	698.4	7200	1304215200
15.11	5/1/2011 3:00	7.8	737.2	10800	1304218800
15.11	5/1/2011 4:00	7.8	698.4	14400	1304222400
15.11	5/1/2011 5:00	8	717.8	18000	1304226000
15.11	5/1/2011 6:00	9.4	737.2	21600	1304229600
15.11	5/1/2011 7:00	10.5	737.2	25200	1304233200
15.11	5/1/2011 8:00	11.5	795.4	28800	1304236800
15.11	5/1/2011 9:00	12	465.6	32400	1304240400
15.11	5/1/2011 10:00	11.7	659.6	36000	1304244000
15.11	5/1/2011 11:00	12	746.9	39600	1304247600
16.11	5/1/2011 12:00	12.5	805.1	43200	1304251200
15.11	5/1/2011 13:00	12.7	882.7	46800	1304254800
15.11	5/1/2011 14:00	11.7	979.7	50400	1304258400
15.11	5/1/2011 15:00	12.8	940.9	54000	1304262000
15.11	5/1/2011 16:00	12.3	940.9	57600	1304265600
15.11	5/1/2011 17:00	12.9	931.2	61200	1304269200
15.11	5/1/2011 18:00	12.4	863.3	64800	1304272800
15.11	5/1/2011 19:00	12.1	591.7	68400	1304276400
15.11	5/1/2011 20:00	12.1	485	72000	1304280000
15.11	5/1/2011 21:00	12.1	533.5	75600	1304283600
15.11	5/1/2011 22:00	12.4	533.5	79200	1304287200
15.11	5/1/2011 23:00	12.1	543.2	82800	1304290800
15.11	5/2/2011 0:00	11.6	543.2	0	1304294400
15.11	5/2/2011 1:00	11.3	475.3	3600	1304298000
15.11	5/2/2011 2:00	11.3	582	7200	1304301600
15.11	5/2/2011 3:00	11.3	582	10800	1304305200
15.11	5/2/2011 4:00	11.3	601.4	14400	1304308800
15.11	5/2/2011 5:00	11.3	523.8	18000	1304312400
15.11	5/2/2011 6:00	11.8	523.8	21600	1304316000
15.11	5/2/2011 7:00	12.3	611.1	25200	1304319600
16.11	5/2/2011 8:00	13.6	582	28800	1304323200
18.11	5/2/2011 9:00	14.7	746.9	32400	1304326800
18.11	5/2/2011 10:00	15.9	931.2	36000	1304330400
19.11	5/2/2011 11:00	17.1	989.4	39600	1304334000
21.11	5/2/2011 12:00	18.2	999.1	43200	1304337600
20.11	5/2/2011 13:00	18.3	58.2	46800	1304341200
21.11	5/2/2011 14:00	18.5	1503.5	50400	1304344800
21.11	5/2/2011 15:00	18.3	1270.7	54000	1304348400
21.11	5/2/2011 16:00	18.1	1328.9	57600	1304352000
20.11	5/2/2011 17:00	17.3	1338.6	61200	1304355600
16.11	5/2/2011 18:00	16.9	1328.9	64800	1304359200
20.11	5/2/2011 19:00	17	1270.7	68400	1304362800
16.11	5/2/2011 20:00	16.8	737.2	72000	1304366400
18.11	5/2/2011 21:00	16.3	58.2	75600	1304370000
18.11	5/2/2011 22:00	16.1	58.2	79200	1304373600
18.11	5/2/2011 23:00	16.2	58.2	82800	1304377200
18.11	5/3/2011 0:00	16.2	58.2	0	1304380800
15.11	5/3/2011 1:00	15.4	746.9	3600	1304384400
17.11	5/3/2011 2:00	14.6	824.5	7200	1304388000
17.11	5/3/2011 3:00	14.6	892.4	10800	1304391600
17.11	5/3/2011 4:00	14.1	911.8	14400	1304395200
17.11	5/3/2011 5:00	14.1	931.2	18000	1304398800
19.11	5/3/2011 6:00	16.4	911.8	21600	1304402400
20.11	5/3/2011 7:00	17.4	873	25200	1304406000
21.11	5/3/2011 8:00	18.5	892.4	28800	1304409600
22.11	5/3/2011 9:00	19.1	552.9	32400	1304413200
22.11	5/3/2011 10:00	20	1008.8	36000	1304416800
23.11	5/3/2011 11:00	20.6	1319.2	39600	1304420400
23.11	5/3/2011 12:00	20.4	1008.8	43200	1304424000
23.11	5/3/2011 13:00	20.1	1290.1	46800	1304427600
23.11	5/3/2011 14:00	19.8	1503.5	50400	1304431200
23.11	5/3/2011 15:00	20.1	1309.5	54000	1304434800
22.11	5/3/2011 16:00	19.9	1668.4	57600	1304438400
21.11	5/3/2011 17:00	19.3	58.2	61200	1304442000
21.11	5/3/2011 18:00	19	58.2	64800	1304445600
21.11	5/3/2011 19:00	19.1	58.2	68400	1304449200
20.11	5/3/2011 20:00	17.2	591.7	72000	1304452800
18.11	5/3/2011 21:00	15.8	58.2	75600	1304456400
17.11	5/3/2011 22:00	15.3	58.2	79200	1304460000
