	Twet	Load	Tset
0	13.4	903.0	16.11
1	13.6	630.0	17.11
2	14.1	653.0	17.11
3	14.7	664.0	18.11
4	15.1	703.0	18.11
5	16.2	767.0	19.11
6	17.0	1116.0	20.11
7	19.2	1221.0	22.11
8	19.6	1242.0	22.11
9	20.2	393.0	22.11
10	20.1	1350.0	23.11
11	20.0	1359.0	23.11
12	19.9	1368.0	23.11
13	19.7	1373.0	22.11
14	20.2	1335.0	23.11
15	19.8	1215.0	22.11
16	19.8	584.0	22.11
17	18.9	474.0	21.11
18	18.6	471.0	21.11
19	18.8	462.0	21.11
20	18.1	457.0	20.11
21	18.1	1341.0	21.11
22	17.2	497.0	20.11
23	17.4	483.0	20.11
24	17.2	1271.0	20.11
25	17.0	1194.0	20.11
26	16.7	1078.0	19.11
27	17.7	1061.0	20.11
28	17.0	1110.0	20.11
29	17.3	1311.0	20.11
30	17.5	1180.0	20.11
31	17.9	1206.0	20.11
32	17.9	1205.0	20.11
33	17.9	459.0	20.11
34	17.6	1209.0	20.11
35	18.2	1233.0	21.11
36	18.8	1260.0	21.11
37	18.6	1226.0	21.11
38	17.5	1229.0	20.11
39	16.4	580.0	19.11
40	16.0	496.0	18.11
41	15.2	425.0	18.11
42	15.0	401.0	17.11
43	14.2	410.0	17.11
44	13.7	410.0	16.11
45	13.4	1256.0	16.11
46	13.2	452.0	16.11
47	12.6	436.0	15.11
48	12.6	958.0	15.11
49	12.6	906.0	15.11
50	12.6	639.0	16.11
51	12.6	630.0	16.11
52	12.4	630.0	15.11
53	12.9	647.0	16.11
54	13.5	667.0	17.11
55	14.0	708.0	17.11
56	15.2	739.0	18.11
57	16.2	410.0	18.11
58	17.4	1148.0	20.11
59	18.6	1300.0	21.11
60	19.0	1356.0	22.11
61	19.4	1378.0	22.11
62	20.6	927.0	23.11
63	21.1	926.0	23.11
64	20.8	702.0	23.11
65	19.9	567.0	22.11
66	19.4	512.0	22.11
67	19.2	509.0	22.11
68	18.7	500.0	21.11
69	18.1	1150.0	21.11
70	18.1	539.0	21.11
71	17.9	533.0	20.11
72	17.7	927.0	20.11
73	17.7	928.0	20.11
74	17.5	923.0	20.11
75	17.5	925.0	20.11
76	17.5	926.0	20.11
77	17.7	927.0	20.11
78	18.7	927.0	21.11
79	19.1	927.0	21.11
80	20.3	927.0	23.11
81	20.5	488.0	23.11
82	19.9	927.0	22.11
83	21.1	1229.0	24.11
84	21.5	1556.0	24.11
85	21.3	1343.0	24.11
86	20.9	1268.0	23.11
87	19.3	1143.0	22.11
88	19.0	554.0	21.11
89	18.5	462.0	21.11
90	18.9	454.0	21.11
91	19.3	455.0	22.11
92	19.3	447.0	22.11
93	19.1	928.0	21.11
94	18.8	458.0	21.11
95	18.6	455.0	21.11
96	18.2	487.0	21.11
97	17.7	492.0	20.11
98	17.5	457.0	20.11
99	16.7	489.0	19.11
100	17.5	476.0	20.11
101	18.2	512.0	21.11
102	19.4	535.0	22.11
103	19.6	543.0	22.11
104	20.2	542.0	23.11
105	20.9	472.0	23.11
106	21.4	555.0	24.11
107	20.5	577.0	23.11
108	20.8	556.0	23.11
109	20.3	553.0	23.11
110	20.3	553.0	23.11
111	20.3	472.0	23.11
112	18.7	441.0	21.11
113	18.3	437.0	21.11
114	17.6	428.0	20.11
115	17.6	433.0	20.11
116	17.1	426.0	19.11
117	17.1	561.0	20.11
118	16.5	414.0	19.11
119	16.3	410.0	19.11
120	16.1	405.0	18.11
121	15.6	400.0	18.11
122	15.3	402.0	18.11
123	15.3	396.0	18.11
124	15.0	399.0	17.11
125	15.1	399.0	17.11
126	15.3	424.0	18.11
127	15.5	418.0	18.11
128	16.4	435.0	19.11
129	17.1	434.0	19.11
130	16.6	421.0	19.11
131	17.1	420.0	19.11
132	17.3	465.0	20.11
133	17.0	482.0	19.11
134	17.6	462.0	20.11
135	17.3	485.0	20.11
136	16.8	440.0	19.11
137	16.6	418.0	19.11
138	16.1	408.0	18.11
139	15.9	406.0	18.11
140	15.0	396.0	17.11
141	14.7	441.0	17.11
142	14.7	427.0	17.11
143	13.9	412.0	16.11
144	13.7	1023.0	16.11
145	12.9	890.0	15.11
146	12.6	586.0	16.11
147	12.6	580.0	16.11
148	13.2	648.0	16.11
149	13.4	659.0	16.11
150	14.0	872.0	16.11
151	14.4	893.0	17.11
152	14.9	543.0	18.11
153	15.3	396.0	18.11
154	15.4	1120.0	18.11
155	15.6	874.0	18.11
156	16.1	831.0	18.11
157	15.1	1075.0	18.11
158	15.1	1164.0	18.11
159	14.9	794.0	18.11
160	14.7	472.0	17.11
161	12.7	398.0	15.11
162	12.0	402.0	15.11
163	11.7	401.0	15.11
164	11.5	403.0	15.11
165	12.0	1054.0	15.11
166	12.5	420.0	15.11
167	13.2	420.0	16.11
168	13.8	979.0	16.11
169	13.6	478.0	16.11
170	13.8	623.0	17.11
171	13.9	652.0	17.11
172	14.1	666.0	17.11
173	14.7	707.0	18.11
174	15.6	758.0	19.11
175	16.4	1233.0	19.11
176	16.8	1136.0	19.11
177	17.8	399.0	20.11
178	17.8	1183.0	20.11
179	18.4	1228.0	21.11
180	18.5	1289.0	21.11
181	19.6	1208.0	22.11
182	19.2	1127.0	22.11
183	19.2	539.0	22.11
184	19.2	505.0	22.11
185	18.9	432.0	21.11
186	18.6	408.0	21.11
187	18.6	453.0	21.11
188	18.3	459.0	21.11
189	18.2	1153.0	21.11
190	18.1	490.0	20.11
191	18.2	489.0	21.11
192	18.0	1228.0	21.11
193	18.0	1136.0	21.11
194	18.0	1066.0	20.11
195	18.0	1210.0	21.11
196	18.4	1318.0	21.11
197	18.6	1157.0	21.11
198	19.3	1252.0	22.11
199	17.8	1123.0	20.11
200	17.2	833.0	19.11
201	16.9	452.0	19.11
202	17.1	1082.0	20.11
203	17.3	1372.0	20.11
204	17.3	1129.0	20.11
205	17.5	1284.0	20.11
206	17.1	833.0	19.11
207	16.6	787.0	20.11
208	13.9	471.0	16.11
209	13.9	418.0	16.11
210	13.9	436.0	16.11
211	13.4	419.0	16.11
212	13.4	413.0	16.11
213	13.6	835.0	16.11
214	13.7	441.0	16.11
215	13.7	427.0	16.11
216	12.9	911.0	15.11
217	12.0	601.0	15.11
218	11.2	547.0	15.11
219	10.7	544.0	15.11
220	10.7	507.0	15.11
221	11.0	536.0	15.11
222	11.4	614.0	15.11
223	11.0	628.0	15.11
224	11.2	653.0	15.11
225	11.2	415.0	15.11
226	11.3	666.0	15.11
227	11.5	716.0	15.11
228	10.6	692.0	15.11
229	11.2	744.0	15.11
230	11.8	725.0	15.11
231	10.9	657.0	15.11
232	10.6	433.0	15.11
233	10.3	393.0	15.11
234	9.8	394.0	15.11
235	9.6	399.0	15.11
236	9.8	396.0	15.11
237	9.5	659.0	15.11
238	9.2	388.0	15.11
239	8.4	380.0	15.11
240	8.0	776.0	15.11
241	7.1	471.0	15.11
242	6.9	723.0	15.11
243	7.1	723.0	15.11
244	7.3	474.0	15.11
245	8.4	815.0	15.11
246	8.7	792.0	15.11
247	9.7	605.0	15.11
248	10.9	677.0	15.11
249	10.2	356.0	15.11
250	10.7	735.0	15.11
251	11.2	769.0	15.11
252	11.4	772.0	15.11
253	11.8	810.0	15.11
254	12.0	782.0	15.11
255	12.0	698.0	15.11
256	12.0	505.0	15.11
257	11.5	428.0	15.11
258	11.4	409.0	15.11
259	10.9	412.0	15.11
260	10.6	408.0	15.11
261	10.6	705.0	15.11
262	10.5	503.0	15.11
263	10.2	384.0	15.11
264	10.7	388.0	15.11
265	9.7	391.0	15.11
266	8.9	391.0	15.11
267	8.9	394.0	15.11
268	9.4	390.0	15.11
269	11.0	392.0	15.11
270	12.2	406.0	15.11
271	12.9	424.0	15.11
272	14.3	435.0	17.11
273	14.3	401.0	17.11
274	14.5	438.0	17.11
275	15.2	445.0	18.11
276	13.7	455.0	16.11
277	13.4	456.0	16.11
278	15.4	457.0	18.11
279	14.3	421.0	17.11
280	14.5	420.0	17.11
281	15.3	408.0	18.11
282	16.0	412.0	18.11
283	15.6	406.0	18.11
284	14.7	413.0	17.11
285	15.1	448.0	17.11
286	14.8	408.0	17.11
287	14.8	408.0	17.11
288	14.0	401.0	16.11
289	14.3	403.0	17.11
290	14.1	403.0	16.11
291	13.3	403.0	16.11
292	13.5	427.0	16.11
293	14.8	401.0	17.11
294	15.7	407.0	18.11
295	16.5	425.0	19.11
296	16.9	437.0	19.11
297	17.6	410.0	20.11
298	18.8	472.0	21.11
299	18.6	479.0	21.11
300	18.8	470.0	21.11
301	18.5	471.0	21.11
302	18.1	474.0	20.11
303	17.1	456.0	19.11
304	17.5	458.0	20.11
305	17.3	435.0	20.11
306	17.1	441.0	19.11
307	17.2	433.0	19.11
308	16.7	435.0	19.11
309	15.9	454.0	18.11
310	16.0	472.0	18.11
311	16.3	458.0	19.11
312	16.4	1208.0	19.11
313	16.2	1130.0	19.11
314	16.0	1062.0	19.11
315	16.1	1013.0	19.11
316	15.9	1027.0	18.11
317	16.2	1097.0	19.11
318	16.7	1135.0	19.11
319	16.4	1143.0	19.11
320	17.0	1181.0	20.11
321	17.7	414.0	20.11
