Twet Load Tset
4.2 53.0 15.11
4.8 350.0 15.11
5.0 574.0 15.11
5.0 53.0 15.11
4.8 520.0 15.11
5.2 52.0 15.11
5.7 422.0 15.11
5.7 415.0 15.11
6.2 413.0 15.11
5.9 54.0 15.11
6.6 424.0 15.11
6.9 431.0 15.11
6.3 446.0 15.11
6.8 460.0 15.11
6.8 461.0 15.11
6.6 440.0 15.11
6.3 629.0 15.11
6.3 54.0 15.11
6.0 54.0 15.11
5.8 53.0 15.11
5.5 54.0 15.11
5.0 428.0 15.11
4.4 54.0 15.11
4.4 53.0 15.11
4.3 423.0 15.11
3.4 375.0 15.11
3.7 53.0 15.11
4.0 54.0 15.11
3.4 53.0 15.11
3.6 54.0 15.11
3.9 54.0 15.11
4.5 367.0 15.11
5.2 402.0 15.11
6.2 400.0 15.11
6.5 54.0 15.11
5.8 442.0 15.11
5.6 411.0 15.11
5.1 445.0 15.11
5.1 432.0 15.11
4.7 411.0 15.11
4.8 424.0 15.11
4.8 472.0 15.11
4.7 55.0 15.11
4.7 400.0 15.11
4.4 55.0 15.11
4.3 452.0 15.11
4.0 397.0 15.11
3.6 54.0 15.11
3.6 55.0 15.11
3.6 446.0 15.11
3.2 55.0 15.11
3.2 55.0 15.11
3.2 56.0 15.11
3.2 54.0 15.11
3.5 336.0 15.11
3.6 472.0 15.11
4.4 56.0 15.11
4.4 54.0 15.11
4.4 55.0 15.11
4.4 367.0 15.11
4.9 405.0 15.11
4.7 54.0 15.11
4.7 55.0 15.11
4.4 55.0 15.11
4.4 54.0 15.11
4.6 55.0 15.11
4.3 56.0 15.11
4.0 56.0 15.11
3.6 54.0 15.11
3.6 55.0 15.11
3.3 54.0 15.11
2.5 55.0 15.11
3.2 54.0 15.11
2.3 55.0 15.11
1.5 55.0 15.11
1.5 55.0 15.11
2.3 55.0 15.11
1.8 55.0 15.11
2.6 54.0 15.11
3.2 54.0 15.11
3.7 54.0 15.11
4.4 53.0 15.11
5.2 857.0 15.11
5.8 54.0 15.11
5.6 468.0 15.11
5.6 54.0 15.11
5.1 425.0 15.11
4.4 56.0 15.11
4.1 55.0 15.11
4.1 423.0 15.11
3.3 55.0 15.11
2.5 54.0 15.11
2.2 416.0 15.11
2.7 55.0 15.11
2.7 55.0 15.11
2.7 399.0 15.11
2.7 55.0 15.11
2.7 387.0 15.11
2.5 416.0 15.11
2.4 55.0 15.11
1.9 54.0 15.11
1.9 55.0 15.11
1.9 56.0 15.11
2.4 54.0 15.11
2.7 54.0 15.11
3.3 393.0 15.11
4.4 388.0 15.11
4.0 398.0 15.11
4.5 423.0 15.11
4.5 416.0 15.11
4.2 427.0 15.11
3.6 405.0 15.11
3.3 538.0 15.11
2.7 55.0 15.11
2.9 393.0 15.11
2.1 54.0 15.11
1.7 54.0 15.11
1.1 55.0 15.11
0.6 55.0 15.11
0.3 55.0 15.11
0.4 54.0 16.11
-0.3 55.0 15.11
-0.1 55.0 15.11
-0.3 54.0 15.11
-0.1 54.0 15.11
-0.7 54.0 15.11
0.1 54.0 15.11
1.1 55.0 15.11
1.9 54.0 15.11
2.3 55.0 15.11
2.8 54.0 15.11
3.6 465.0 15.11
3.7 396.0 15.11
3.8 425.0 15.11
3.8 415.0 15.11
3.5 55.0 15.11
3.4 452.0 15.11
2.9 56.0 15.11
3.1 54.0 15.11
2.9 54.0 15.11
2.7 367.0 15.11
2.6 55.0 15.11
2.4 388.0 15.11
2.1 56.0 15.11
1.9 54.0 15.11
1.5 55.0 15.11
1.5 55.0 15.11
1.5 54.0 15.11
1.2 54.0 15.11
1.2 55.0 15.11
1.6 54.0 15.11
1.7 55.0 15.11
1.9 55.0 15.11
3.3 53.0 15.11
3.0 54.0 15.11
3.2 54.0 15.11
3.0 408.0 15.11
3.3 54.0 15.11
3.5 443.0 15.11
3.3 56.0 15.11
3.0 56.0 15.11
2.6 55.0 15.11
2.7 56.0 15.11
2.7 54.0 15.11
2.6 55.0 15.11
2.5 56.0 15.11
2.3 54.0 15.11
2.0 55.0 15.11
1.9 55.0 15.11
1.7 573.0 15.11
1.5 55.0 15.11
1.2 55.0 15.11
0.9 55.0 15.11
0.1 54.0 15.11
0.5 54.0 15.11
1.1 506.0 15.11
1.3 554.0 15.11
2.8 781.0 15.11
3.5 54.0 15.11
3.9 456.0 15.11
4.0 844.0 15.11
4.4 442.0 15.11
3.3 477.0 15.11
3.1 55.0 15.11
3.2 382.0 15.11
3.1 427.0 15.11
3.5 54.0 15.11
3.7 55.0 15.11
3.4 55.0 15.11
3.8 55.0 15.11
4.0 450.0 15.11
3.3 55.0 15.11
3.5 55.0 15.11
3.5 431.0 15.11
3.2 54.0 15.11
2.9 430.0 15.11
1.7 55.0 15.11
2.0 55.0 15.11
3.6 55.0 15.11
4.2 55.0 15.11
5.1 707.0 15.11
6.2 439.0 15.11
7.0 54.0 15.11
7.6 390.0 15.11
7.6 421.0 15.11
7.4 488.0 15.11
7.6 478.0 15.11
6.8 492.0 15.11
6.5 466.0 15.11
6.0 465.0 15.11
6.3 534.0 15.11
6.3 54.0 15.11
5.5 54.0 15.11
5.7 55.0 15.11
4.9 800.0 15.11
4.6 401.0 15.11
5.4 54.0 15.11
4.8 54.0 15.11
2.9 55.0 15.11
4.0 53.0 15.11
2.6 55.0 15.11
2.9 54.0 15.11
5.1 54.0 15.11
6.6 55.0 15.11
7.2 55.0 15.11
7.2 572.0 15.11
9.6 56.0 15.11
10.1 55.0 15.11
10.4 55.0 15.11
11.0 753.0 15.11
10.4 55.0 15.11
10.1 55.0 15.11
9.0 629.0 15.11
9.3 55.0 15.11
8.7 640.0 15.11
8.1 57.0 15.11
7.6 635.0 15.11
6.8 55.0 15.11
6.7 54.0 15.11
6.0 54.0 15.11
6.2 55.0 15.11
6.4 55.0 15.11
5.6 54.0 15.11
5.1 55.0 15.11
5.3 355.0 15.11
5.3 54.0 15.11
6.2 54.0 15.11
7.6 56.0 15.11
8.4 55.0 15.11
10.0 56.0 15.11
10.5 54.0 15.11
11.8 54.0 18.11
12.5 55.0 15.11
11.8 1243.0 15.11
11.3 55.0 26.11
11.5 56.0 26.11
10.8 55.0 15.11
10.3 939.0 15.11
9.7 56.0 15.11
9.7 508.0 15.11
9.4 56.0 15.11
9.7 55.0 15.11
9.4 55.0 15.11
8.9 468.0 15.11
8.9 55.0 15.11
9.1 827.0 15.11
9.1 510.0 15.11
8.9 789.0 15.11
9.1 493.0 15.11
9.9 725.0 15.11
10.5 456.0 15.11
11.8 876.0 15.11
12.8 884.0 15.11
14.1 845.0 16.11
15.3 497.0 18.11
16.2 489.0 19.11
15.5 546.0 18.11
14.8 664.0 18.11
14.8 1153.0 18.11
15.0 977.0 17.11
14.1 950.0 17.11
14.9 1018.0 17.11
14.7 464.0 17.11
14.7 469.0 17.11
14.7 469.0 17.11
15.5 475.0 18.11
15.0 981.0 17.11
11.6 471.0 15.11
8.3 55.0 15.11
8.1 428.0 15.11
7.5 460.0 15.11
7.0 54.0 15.11
5.9 54.0 15.11
5.9 466.0 15.11
5.6 53.0 15.11
5.4 54.0 15.11
4.4 452.0 15.11
4.8 496.0 15.11
4.6 482.0 15.11
4.5 427.0 15.11
5.4 456.0 15.11
5.3 463.0 15.11
4.7 451.0 15.11
4.0 441.0 15.11
3.7 53.0 15.11
2.7 508.0 15.11
2.2 455.0 15.11
1.9 54.0 15.11
1.3 55.0 15.11
1.3 54.0 15.11
0.9 52.0 15.11
0.6 55.0 15.11
0.3 55.0 15.11
0.4 56.0 15.11
0.1 55.0 15.11
0.3 53.0 15.11
0.6 54.0 15.11
1.0 53.0 15.11
1.9 53.0 15.11
2.3 54.0 15.11
2.5 54.0 15.11
3.0 54.0 15.11
3.3 650.0 15.11
4.1 55.0 15.11
4.1 53.0 15.11
3.9 54.0 15.11
3.6 53.0 15.11
3.0 53.0 15.11
3.4 54.0 15.11
2.6 53.0 15.11
2.6 54.0 15.11
2.7 54.0 15.11
2.1 54.0 15.11
1.3 55.0 15.11
1.3 54.0 15.11
1.7 56.0 15.11
2.2 53.0 15.11
2.2 54.0 15.11
2.5 54.0 15.11
3.0 55.0 15.11
3.2 55.0 15.11
3.5 55.0 15.11
3.3 53.0 15.11
3.8 53.0 15.11
4.3 52.0 15.11
5.2 54.0 15.11
5.9 55.0 15.11
6.0 53.0 15.11
6.0 54.0 15.11
6.2 54.0 15.11
5.7 54.0 15.11
5.4 54.0 15.11
5.2 54.0 15.11
4.9 53.0 15.11
4.6 53.0 15.11
4.3 52.0 15.11
4.3 54.0 15.11
3.8 54.0 15.11
4.0 53.0 15.11
3.5 55.0 15.11
3.7 54.0 15.11
3.2 53.0 15.11
3.2 53.0 15.11
3.5 54.0 15.11
3.0 53.0 15.11
3.3 52.0 15.11
3.4 54.0 15.11
4.0 53.0 15.11
4.3 924.0 15.11
5.1 54.0 15.11
5.5 54.0 15.11
5.9 621.0 15.11
5.6 482.0 15.11
6.2 54.0 15.11
5.6 641.0 15.11
4.6 964.0 15.11
4.5 53.0 15.11
4.5 53.0 15.11
4.3 53.0 15.11
3.9 53.0 15.11
3.6 54.0 15.11
3.4 53.0 15.11
2.6 53.0 15.11
1.6 53.0 15.11
1.5 53.0 15.11
1.5 54.0 15.11
1.1 53.0 15.11
1.1 53.0 15.11
1.1 53.0 15.11
0.8 54.0 15.11
2.0 53.0 15.11
3.9 53.0 15.11
4.3 53.0 15.11
5.1 53.0 15.11
5.5 54.0 15.11
5.8 53.0 15.11
6.2 54.0 15.11
5.7 53.0 15.11
5.5 53.0 15.11
4.5 53.0 15.11
5.0 54.0 15.11
4.1 54.0 15.11
5.4 54.0 15.11
3.8 53.0 15.11
3.9 53.0 15.11
3.4 53.0 15.11
3.4 53.0 15.11
3.6 54.0 15.11
3.5 53.0 15.11
4.3 54.0 15.11
4.3 54.0 15.11
3.8 54.0 15.11
3.8 54.0 15.11
3.8 54.0 15.11
3.9 53.0 15.11
5.0 53.0 15.11
5.6 53.0 15.11
6.7 53.0 15.11
7.7 53.0 15.11
7.7 54.0 15.11
7.7 54.0 15.11
7.7 53.0 15.11
7.4 53.0 15.11
7.1 54.0 15.11
6.6 53.0 15.11
6.3 54.0 15.11
6.3 54.0 15.11
6.3 53.0 15.11
6.6 54.0 15.11
6.6 52.0 15.11
6.6 54.0 15.11
6.4 52.0 15.11
6.1 54.0 15.11
6.1 400.0 15.11
6.1 53.0 15.11
6.1 520.0 15.11
6.1 54.0 15.11
5.8 458.0 15.11
6.1 54.0 15.11
6.3 502.0 15.11
6.6 53.0 15.11
7.1 53.0 15.11
7.9 53.0 15.11
8.5 53.0 15.11
8.8 497.0 15.11
8.5 510.0 15.11
8.2 492.0 15.11
8.0 55.0 15.11
7.5 531.0 15.11
7.2 55.0 15.11
6.7 53.0 15.11
6.0 54.0 15.11
5.6 54.0 15.11
5.6 53.0 15.11
4.8 54.0 15.11
5.3 56.0 15.11
5.2 52.0 15.11
5.5 53.0 15.11
5.3 54.0 15.11
5.3 53.0 15.11
5.5 54.0 15.11
5.3 53.0 15.11
5.5 54.0 15.11
6.8 54.0 15.11
7.9 53.0 15.11
8.9 53.0 15.11
8.9 54.0 15.11
9.2 54.0 15.11
9.2 587.0 15.11
9.5 55.0 15.11
8.7 53.0 15.11
8.4 54.0 15.11
8.1 1048.0 15.11
8.1 54.0 15.11
7.8 53.0 15.11
6.8 53.0 15.11
6.8 53.0 15.11
5.9 54.0 15.11
6.4 55.0 15.11
5.6 54.0 15.11
4.2 55.0 15.11
4.2 53.0 15.11
4.2 54.0 15.11
4.0 54.0 15.11
4.0 54.0 15.11
3.4 55.0 15.11
3.8 54.0 15.11
5.4 54.0 15.11
6.2 55.0 15.11
6.6 54.0 15.11
7.0 54.0 15.11
6.6 54.0 15.11
6.9 55.0 15.11
7.2 55.0 15.11
6.4 946.0 15.11
5.3 55.0 15.11
5.9 56.0 15.11
5.0 54.0 15.11
4.9 54.0 15.11
4.8 55.0 15.11
4.1 55.0 15.11
4.1 56.0 15.11
4.0 54.0 15.11
2.7 54.0 15.11
1.2 54.0 15.11
1.4 54.0 15.11
0.9 53.0 15.11
1.2 54.0 15.11
1.9 54.0 15.11
0.7 54.0 15.11
1.5 54.0 15.11
3.5 54.0 15.11
5.2 55.0 15.11
6.1 55.0 15.11
6.5 54.0 15.11
6.7 878.0 15.11
7.2 55.0 15.11
7.1 561.0 15.11
7.0 54.0 15.11
6.5 55.0 15.11
5.8 534.0 15.11
7.3 55.0 15.11
5.8 54.0 15.11
4.8 55.0 15.11
4.1 55.0 15.11
3.9 55.0 15.11
2.7 55.0 15.11
3.5 54.0 15.11
2.6 54.0 15.11
2.1 54.0 15.11
1.7 55.0 15.11
1.6 54.0 15.11
1.9 55.0 15.11
1.9 55.0 15.11
1.8 53.0 15.11
3.3 54.0 15.11
5.1 740.0 15.11
6.4 55.0 15.11
6.9 55.0 15.11
7.6 543.0 15.11
8.7 528.0 15.11
8.9 516.0 15.11
8.7 513.0 15.11
8.5 55.0 15.11
8.6 654.0 15.11
8.8 492.0 15.11
7.9 54.0 15.11
8.6 55.0 15.11
6.4 55.0 15.11
5.7 54.0 15.11
4.9 55.0 15.11
3.4 55.0 15.11
2.0 56.0 15.11
0.6 55.0 15.11
0.0 55.0 15.11
-0.3 55.0 15.11
-0.6 55.0 15.11
-9.1 55.0 15.11
0.2 55.0 15.11
0.1 56.0 15.11
0.2 54.0 15.11
0.6 55.0 15.11
0.7 55.0 15.11
2.0 55.0 15.11
1.4 55.0 15.11
0.6 55.0 15.11
0.3 56.0 15.11
0.0 54.0 15.11
-0.1 54.0 15.11
-0.1 54.0 15.11
-0.5 55.0 15.11
-0.8 55.0 15.11
-0.9 55.0 15.11
-0.9 54.0 15.11
-1.3 55.0 15.11
-1.8 54.0 15.11
-1.9 55.0 15.11
-1.8 55.0 15.11
-1.6 55.0 15.11
-1.6 54.0 15.11
-1.5 54.0 15.11
-1.3 54.0 15.11
-1.3 55.0 15.11
-0.5 54.0 15.11
-0.3 54.0 15.11
-0.1 54.0 15.11
0.1 54.0 15.11
0.1 53.0 15.11
1.2 54.0 15.11
1.2 56.0 15.11
0.9 55.0 15.11
0.6 55.0 15.11
0.1 55.0 15.11
0.1 55.0 15.11
0.6 54.0 15.11
0.4 54.0 16.11
0.2 53.0 15.11
0.1 55.0 15.11
-0.1 54.0 15.11
-0.7 54.0 15.11
-1.0 54.0 15.11
-0.7 54.0 15.11
-0.1 54.0 15.11
0.0 55.0 15.11
0.3 54.0 15.11
0.2 54.0 15.11
0.9 55.0 15.11
1.7 54.0 15.11
3.2 54.0 15.11
4.8 569.0 15.11
5.4 54.0 15.11
5.7 54.0 15.11
5.7 55.0 15.11
5.8 656.0 15.11
5.8 54.0 15.11
5.1 55.0 15.11
5.1 56.0 15.11
