Tset	Date	Twet	Load	Hour(s)	TimeStamp(s)
15.11	11/1/2011 0:00	7.8	58.2	0	1320105600
15.11	11/1/2011 1:00	7.7	58.2	3600	1320109200
15.11	11/1/2011 2:00	7.2	58.2	7200	1320112800
15.11	11/1/2011 3:00	6.9	58.2	10800	1320116400
15.11	11/1/2011 4:00	6.4	58.2	14400	1320120000
15.11	11/1/2011 5:00	6.1	58.2	18000	1320123600
15.11	11/1/2011 6:00	5.3	58.2	21600	1320127200
15.11	11/1/2011 7:00	6.1	58.2	25200	1320130800
15.11	11/1/2011 8:00	7.8	58.2	28800	1320134400
15.11	11/1/2011 9:00	8.7	58.2	32400	1320138000
15.11	11/1/2011 10:00	9.5	58.2	36000	1320141600
15.11	11/1/2011 11:00	9.8	58.2	39600	1320145200
15.11	11/1/2011 12:00	9.3	620.8	43200	1320148800
15.11	11/1/2011 13:00	9.4	562.6	46800	1320152400
15.11	11/1/2011 14:00	9.2	533.5	50400	1320156000
15.11	11/1/2011 15:00	8.9	533.5	54000	1320159600
15.11	11/1/2011 16:00	8.1	543.2	57600	1320163200
15.11	11/1/2011 17:00	7.1	523.8	61200	1320166800
15.11	11/1/2011 18:00	6.2	523.8	64800	1320170400
15.11	11/1/2011 19:00	5.4	504.4	68400	1320174000
15.11	11/1/2011 20:00	5.1	58.2	72000	1320177600
15.11	11/1/2011 21:00	4.2	58.2	75600	1320181200
15.11	11/1/2011 22:00	3.9	58.2	79200	1320184800
15.11	11/1/2011 23:00	2.8	58.2	82800	1320188400
15.11	11/2/2011 0:00	2.5	58.2	0	1320192000
15.11	11/2/2011 1:00	2.8	58.2	3600	1320195600
15.11	11/2/2011 2:00	2.3	58.2	7200	1320199200
15.11	11/2/2011 3:00	1.4	58.2	10800	1320202800
15.11	11/2/2011 4:00	1.2	58.2	14400	1320206400
15.11	11/2/2011 5:00	0.8	58.2	18000	1320210000
15.11	11/2/2011 6:00	1.2	58.2	21600	1320213600
15.11	11/2/2011 7:00	3.7	58.2	25200	1320217200
15.11	11/2/2011 8:00	7.3	58.2	28800	1320220800
15.11	11/2/2011 9:00	8.5	58.2	32400	1320224400
