	Twet	Load	Tset
0	4.2	53.0	15.11
1	4.8	350.0	15.11
2	5.0	574.0	15.11
3	5.0	53.0	15.11
4	4.8	520.0	15.11
5	5.2	52.0	15.11
6	5.7	422.0	15.11
7	5.7	415.0	15.11
8	6.2	413.0	15.11
9	5.9	54.0	15.11
10	6.6	424.0	15.11
11	6.9	431.0	15.11
12	6.3	446.0	15.11
13	6.8	460.0	15.11
14	6.8	461.0	15.11
15	6.6	440.0	15.11
16	6.3	629.0	15.11
17	6.3	54.0	15.11
18	6.0	54.0	15.11
19	5.8	53.0	15.11
20	5.5	54.0	15.11
21	5.0	428.0	15.11
22	4.4	54.0	15.11
23	4.4	53.0	15.11
24	4.3	423.0	15.11
25	3.4	375.0	15.11
26	3.7	53.0	15.11
27	4.0	54.0	15.11
28	3.4	53.0	15.11
29	3.6	54.0	15.11
30	3.9	54.0	15.11
31	4.5	367.0	15.11
32	5.2	402.0	15.11
33	6.2	400.0	15.11
34	6.5	54.0	15.11
35	5.8	442.0	15.11
36	5.6	411.0	15.11
37	5.1	445.0	15.11
38	5.1	432.0	15.11
39	4.7	411.0	15.11
40	4.8	424.0	15.11
41	4.8	472.0	15.11
42	4.7	55.0	15.11
43	4.7	400.0	15.11
44	4.4	55.0	15.11
45	4.3	452.0	15.11
46	4.0	397.0	15.11
47	3.6	54.0	15.11
48	3.6	55.0	15.11
49	3.6	446.0	15.11
50	3.2	55.0	15.11
51	3.2	55.0	15.11
52	3.2	56.0	15.11
53	3.2	54.0	15.11
54	3.5	336.0	15.11
55	3.6	472.0	15.11
56	4.4	56.0	15.11
57	4.4	54.0	15.11
58	4.4	55.0	15.11
59	4.4	367.0	15.11
60	4.9	405.0	15.11
61	4.7	54.0	15.11
62	4.7	55.0	15.11
63	4.4	55.0	15.11
64	4.4	54.0	15.11
65	4.6	55.0	15.11
66	4.3	56.0	15.11
67	4.0	56.0	15.11
68	3.6	54.0	15.11
69	3.6	55.0	15.11
70	3.3	54.0	15.11
71	2.5	55.0	15.11
72	3.2	54.0	15.11
73	2.3	55.0	15.11
74	1.5	55.0	15.11
75	1.5	55.0	15.11
76	2.3	55.0	15.11
77	1.8	55.0	15.11
78	2.6	54.0	15.11
79	3.2	54.0	15.11
80	3.7	54.0	15.11
81	4.4	53.0	15.11
82	5.2	857.0	15.11
83	5.8	54.0	15.11
84	5.6	468.0	15.11
85	5.6	54.0	15.11
86	5.1	425.0	15.11
87	4.4	56.0	15.11
88	4.1	55.0	15.11
89	4.1	423.0	15.11
90	3.3	55.0	15.11
91	2.5	54.0	15.11
92	2.2	416.0	15.11
93	2.7	55.0	15.11
94	2.7	55.0	15.11
95	2.7	399.0	15.11
96	2.7	55.0	15.11
97	2.7	387.0	15.11
98	2.5	416.0	15.11
99	2.4	55.0	15.11
100	1.9	54.0	15.11
101	1.9	55.0	15.11
102	1.9	56.0	15.11
103	2.4	54.0	15.11
104	2.7	54.0	15.11
105	3.3	393.0	15.11
106	4.4	388.0	15.11
107	4.0	398.0	15.11
108	4.5	423.0	15.11
109	4.5	416.0	15.11
110	4.2	427.0	15.11
111	3.6	405.0	15.11
112	3.3	538.0	15.11
113	2.7	55.0	15.11
114	2.9	393.0	15.11
115	2.1	54.0	15.11
116	1.7	54.0	15.11
117	1.1	55.0	15.11
118	0.6	55.0	15.11
119	0.3	55.0	15.11
120	0.4	54.0	16.11
121	-0.3	55.0	15.11
122	-0.1	55.0	15.11
123	-0.3	54.0	15.11
124	-0.1	54.0	15.11
125	-0.7	54.0	15.11
126	0.1	54.0	15.11
127	1.1	55.0	15.11
128	1.9	54.0	15.11
129	2.3	55.0	15.11
130	2.8	54.0	15.11
131	3.6	465.0	15.11
132	3.7	396.0	15.11
133	3.8	425.0	15.11
134	3.8	415.0	15.11
135	3.5	55.0	15.11
136	3.4	452.0	15.11
137	2.9	56.0	15.11
138	3.1	54.0	15.11
139	2.9	54.0	15.11
140	2.7	367.0	15.11
141	2.6	55.0	15.11
142	2.4	388.0	15.11
143	2.1	56.0	15.11
144	1.9	54.0	15.11
145	1.5	55.0	15.11
146	1.5	55.0	15.11
147	1.5	54.0	15.11
148	1.2	54.0	15.11
149	1.2	55.0	15.11
150	1.6	54.0	15.11
151	1.7	55.0	15.11
152	1.9	55.0	15.11
153	3.3	53.0	15.11
154	3.0	54.0	15.11
155	3.2	54.0	15.11
156	3.0	408.0	15.11
157	3.3	54.0	15.11
158	3.5	443.0	15.11
159	3.3	56.0	15.11
160	3.0	56.0	15.11
161	2.6	55.0	15.11
162	2.7	56.0	15.11
163	2.7	54.0	15.11
164	2.6	55.0	15.11
165	2.5	56.0	15.11
166	2.3	54.0	15.11
167	2.0	55.0	15.11
168	1.9	55.0	15.11
169	1.7	573.0	15.11
170	1.5	55.0	15.11
171	1.2	55.0	15.11
172	0.9	55.0	15.11
173	0.1	54.0	15.11
174	0.5	54.0	15.11
175	1.1	506.0	15.11
176	1.3	554.0	15.11
177	2.8	781.0	15.11
178	3.5	54.0	15.11
179	3.9	456.0	15.11
180	4.0	844.0	15.11
181	4.4	442.0	15.11
182	3.3	477.0	15.11
183	3.1	55.0	15.11
184	3.2	382.0	15.11
185	3.1	427.0	15.11
186	3.5	54.0	15.11
187	3.7	55.0	15.11
188	3.4	55.0	15.11
189	3.8	55.0	15.11
190	4.0	450.0	15.11
191	3.3	55.0	15.11
192	3.5	55.0	15.11
193	3.5	431.0	15.11
194	3.2	54.0	15.11
195	2.9	430.0	15.11
196	1.7	55.0	15.11
197	2.0	55.0	15.11
198	3.6	55.0	15.11
199	4.2	55.0	15.11
200	5.1	707.0	15.11
201	6.2	439.0	15.11
202	7.0	54.0	15.11
203	7.6	390.0	15.11
204	7.6	421.0	15.11
205	7.4	488.0	15.11
206	7.6	478.0	15.11
207	6.8	492.0	15.11
208	6.5	466.0	15.11
209	6.0	465.0	15.11
210	6.3	534.0	15.11
211	6.3	54.0	15.11
212	5.5	54.0	15.11
213	5.7	55.0	15.11
214	4.9	800.0	15.11
215	4.6	401.0	15.11
216	5.4	54.0	15.11
217	4.8	54.0	15.11
218	2.9	55.0	15.11
219	4.0	53.0	15.11
220	2.6	55.0	15.11
221	2.9	54.0	15.11
222	5.1	54.0	15.11
223	6.6	55.0	15.11
224	7.2	55.0	15.11
225	7.2	572.0	15.11
226	9.6	56.0	15.11
227	10.1	55.0	15.11
228	10.4	55.0	15.11
229	11.0	753.0	15.11
230	10.4	55.0	15.11
231	10.1	55.0	15.11
232	9.0	629.0	15.11
233	9.3	55.0	15.11
234	8.7	640.0	15.11
235	8.1	57.0	15.11
236	7.6	635.0	15.11
237	6.8	55.0	15.11
238	6.7	54.0	15.11
239	6.0	54.0	15.11
240	6.2	55.0	15.11
241	6.4	55.0	15.11
242	5.6	54.0	15.11
243	5.1	55.0	15.11
244	5.3	355.0	15.11
245	5.3	54.0	15.11
246	6.2	54.0	15.11
247	7.6	56.0	15.11
248	8.4	55.0	15.11
