Twet Load Tset
11.5 547.0 15.11
11.0 561.0 15.11
10.7 527.0 15.11
10.7 523.0 15.11
10.7 534.0 15.11
10.7 557.0 15.11
12.0 569.0 15.11
13.2 584.0 16.11
13.4 654.0 16.11
13.6 567.0 16.11
13.9 754.0 17.11
13.6 786.0 17.11
13.8 770.0 17.11
14.5 756.0 18.11
15.1 753.0 18.11
14.7 709.0 18.11
14.8 532.0 17.11
14.5 470.0 17.11
14.8 475.0 17.11
15.2 476.0 18.11
15.7 480.0 18.11
15.7 673.0 19.11
16.2 488.0 19.11
16.0 493.0 18.11
16.3 738.0 19.11
16.6 804.0 20.11
16.8 770.0 20.11
17.4 803.0 20.11
17.9 921.0 20.11
18.9 945.0 21.11
19.5 650.0 22.11
18.9 1539.0 22.11
19.2 743.0 22.11
19.2 460.0 21.11
19.5 713.0 22.11
20.0 678.0 23.11
20.0 735.0 23.11
20.2 1430.0 23.11
20.5 1392.0 23.11
20.7 1589.0 23.11
20.5 721.0 23.11
20.9 623.0 23.11
20.9 600.0 23.11
20.9 595.0 23.11
20.9 602.0 23.11
20.9 711.0 24.11
20.9 648.0 23.11
20.9 647.0 23.11
20.9 1554.0 24.11
20.9 1417.0 24.11
20.9 1337.0 23.11
21.3 1769.0 24.11
20.9 1358.0 23.11
20.3 1384.0 23.11
20.5 1391.0 23.11
20.2 1409.0 23.11
21.6 1413.0 24.11
21.3 1254.0 24.11
21.8 736.0 24.11
22.2 1454.0 25.11
22.5 1496.0 25.11
21.9 1496.0 24.11
21.1 1437.0 24.11
21.4 1347.0 24.11
21.4 1346.0 24.11
21.3 608.0 24.11
21.2 580.0 24.11
21.1 581.0 24.11
21.1 577.0 24.11
21.3 1394.0 24.11
21.6 628.0 24.11
21.1 626.0 24.11
21.3 1478.0 24.11
20.5 1289.0 23.11
21.3 945.0 24.11
21.6 1277.0 24.11
21.4 1802.0 24.11
21.6 1378.0 24.11
21.6 1402.0 24.11
21.8 1418.0 24.11
22.2 1406.0 25.11
21.8 1280.0 24.11
20.6 739.0 23.11
21.2 1436.0 24.11
20.7 1404.0 23.11
20.3 1333.0 23.11
19.8 1284.0 22.11
19.2 1563.0 22.11
18.6 636.0 21.11
18.6 535.0 21.11
18.3 539.0 21.11
17.9 510.0 20.11
16.0 510.0 18.11
15.7 1470.0 19.11
16.4 517.0 19.11
14.8 494.0 17.11
