Tset	Date	Twet	Load	Hour(s)	TimeStamp(s)
15.11	10/1/2011 0:00	12	58.2	0	1317427200
15.11	10/1/2011 1:00	11.7	58.2	3600	1317430800
15.11	10/1/2011 2:00	10.4	58.2	7200	1317434400
15.11	10/1/2011 3:00	9.9	58.2	10800	1317438000
15.11	10/1/2011 4:00	9.7	58.2	14400	1317441600
15.11	10/1/2011 5:00	9.4	58.2	18000	1317445200
15.11	10/1/2011 6:00	9.4	58.2	21600	1317448800
15.11	10/1/2011 7:00	9.4	58.2	25200	1317452400
15.11	10/1/2011 8:00	9.7	58.2	28800	1317456000
15.11	10/1/2011 9:00	9.4	58.2	32400	1317459600
15.11	10/1/2011 10:00	10.2	58.2	36000	1317463200
15.11	10/1/2011 11:00	10.4	58.2	39600	1317466800
15.11	10/1/2011 12:00	10.2	58.2	43200	1317470400
15.11	10/1/2011 13:00	10.2	58.2	46800	1317474000
15.11	10/1/2011 14:00	9.9	58.2	50400	1317477600
15.11	10/1/2011 15:00	9.7	1105.8	54000	1317481200
15.11	10/1/2011 16:00	9.4	742.05	57600	1317484800
15.11	10/1/2011 17:00	8.8	727.5	61200	1317488400
15.11	10/1/2011 18:00	8.8	800.25	64800	1317492000
15.11	10/1/2011 19:00	8.8	829.35	68400	1317495600
15.11	10/1/2011 20:00	9.1	858.45	72000	1317499200
15.11	10/1/2011 21:00	9.4	58.2	75600	1317502800
15.11	10/1/2011 22:00	9.1	843.9	79200	1317506400
15.11	10/1/2011 23:00	8.8	858.45	82800	1317510000
15.11	10/2/2011 0:00	8.3	58.2	0	1317513600
15.11	10/2/2011 1:00	8.3	58.2	3600	1317517200
15.11	10/2/2011 2:00	7.7	58.2	7200	1317520800
15.11	10/2/2011 3:00	7.7	58.2	10800	1317524400
15.11	10/2/2011 4:00	7.2	58.2	14400	1317528000
15.11	10/2/2011 5:00	6.9	58.2	18000	1317531600
15.11	10/2/2011 6:00	6.7	58.2	21600	1317535200
15.11	10/2/2011 7:00	6.4	58.2	25200	1317538800
15.11	10/2/2011 9:00	7.3	58.2	32400	1317546000
15.11	10/2/2011 10:00	7.6	58.2	36000	1317549600
15.11	10/2/2011 11:00	7.3	824.5	39600	1317553200
15.11	10/2/2011 12:00	7.1	679	43200	1317556800
