	Twet	Load	Tset
0	11.5	547.0	15.11
1	11.0	561.0	15.11
2	10.7	527.0	15.11
3	10.7	523.0	15.11
4	10.7	534.0	15.11
5	10.7	557.0	15.11
6	12.0	569.0	15.11
7	13.2	584.0	16.11
8	13.4	654.0	16.11
9	13.6	567.0	16.11
10	13.9	754.0	17.11
11	13.6	786.0	17.11
12	13.8	770.0	17.11
13	14.5	756.0	18.11
14	15.1	753.0	18.11
15	14.7	709.0	18.11
16	14.8	532.0	17.11
17	14.5	470.0	17.11
18	14.8	475.0	17.11
19	15.2	476.0	18.11
20	15.7	480.0	18.11
21	15.7	673.0	19.11
22	16.2	488.0	19.11
23	16.0	493.0	18.11
24	16.3	738.0	19.11
25	16.6	804.0	20.11
26	16.8	770.0	20.11
27	17.4	803.0	20.11
28	17.9	921.0	20.11
29	18.9	945.0	21.11
30	19.5	650.0	22.11
31	18.9	1539.0	22.11
32	19.2	743.0	22.11
33	19.2	460.0	21.11
34	19.5	713.0	22.11
35	20.0	678.0	23.11
36	20.0	735.0	23.11
37	20.2	1430.0	23.11
38	20.5	1392.0	23.11
39	20.7	1589.0	23.11
40	20.5	721.0	23.11
41	20.9	623.0	23.11
42	20.9	600.0	23.11
43	20.9	595.0	23.11
44	20.9	602.0	23.11
45	20.9	711.0	24.11
46	20.9	648.0	23.11
47	20.9	647.0	23.11
48	20.9	1554.0	24.11
49	20.9	1417.0	24.11
50	20.9	1337.0	23.11
51	21.3	1769.0	24.11
52	20.9	1358.0	23.11
53	20.3	1384.0	23.11
54	20.5	1391.0	23.11
55	20.2	1409.0	23.11
56	21.6	1413.0	24.11
57	21.3	1254.0	24.11
58	21.8	736.0	24.11
59	22.2	1454.0	25.11
60	22.5	1496.0	25.11
61	21.9	1496.0	24.11
62	21.1	1437.0	24.11
63	21.4	1347.0	24.11
64	21.4	1346.0	24.11
65	21.3	608.0	24.11
66	21.2	580.0	24.11
67	21.1	581.0	24.11
68	21.1	577.0	24.11
69	21.3	1394.0	24.11
70	21.6	628.0	24.11
71	21.1	626.0	24.11
72	21.3	1478.0	24.11
73	20.5	1289.0	23.11
74	21.3	945.0	24.11
75	21.6	1277.0	24.11
76	21.4	1802.0	24.11
77	21.6	1378.0	24.11
78	21.6	1402.0	24.11
79	21.8	1418.0	24.11
80	22.2	1406.0	25.11
81	21.8	1280.0	24.11
82	20.6	739.0	23.11
83	21.2	1436.0	24.11
84	20.7	1404.0	23.11
85	20.3	1333.0	23.11
86	19.8	1284.0	22.11
87	19.2	1563.0	22.11
88	18.6	636.0	21.11
89	18.6	535.0	21.11
90	18.3	539.0	21.11
91	17.9	510.0	20.11
92	16.0	510.0	18.11
93	15.7	1470.0	19.11
94	16.4	517.0	19.11
95	14.8	494.0	17.11
96	14.9	832.0	17.11
97	15.2	714.0	18.11
98	15.5	936.0	18.11
99	14.4	657.0	17.11
100	15.3	646.0	18.11
101	15.6	675.0	18.11
102	16.1	857.0	18.11
103	16.5	805.0	19.11
104	18.3	945.0	21.11
105	18.6	944.0	21.11
106	18.7	485.0	21.11
107	18.6	943.0	21.11
108	18.1	648.0	21.11
109	17.9	1489.0	21.11
110	17.7	1343.0	20.11
111	17.5	589.0	20.11
112	17.9	1120.0	20.11
113	18.5	532.0	21.11
114	18.7	509.0	21.11
115	17.4	500.0	20.11
116	17.5	511.0	20.11
117	17.3	1383.0	20.11
118	17.4	510.0	20.11
119	16.8	502.0	19.11
120	16.5	522.0	19.11
121	16.0	552.0	19.11
122	16.1	517.0	19.11
123	16.1	508.0	19.11
124	16.4	503.0	19.11
125	16.1	510.0	19.11
126	17.1	517.0	20.11
127	17.8	535.0	20.11
128	18.2	542.0	21.11
129	18.8	512.0	21.11
130	19.3	589.0	22.11
131	17.4	531.0	20.11
132	15.6	515.0	18.11
133	14.1	478.0	17.11
134	13.9	451.0	16.11
135	12.4	442.0	15.11
136	11.0	420.0	15.11
137	10.2	415.0	15.11
138	10.2	420.0	15.11
139	9.7	413.0	15.11
140	9.7	407.0	15.11
141	9.4	555.0	15.11
142	9.2	402.0	15.11
