Twet Load Tset
22.0 1158.0 24.11
22.0 946.0 24.11
21.8 946.0 24.11
22.0 1119.0 24.11
22.0 946.0 24.11
22.2 946.0 24.11
22.9 626.0 25.11
23.0 1181.0 25.11
23.2 1171.0 26.11
23.7 1202.0 26.11
23.8 1230.0 26.11
24.2 1262.0 26.11
24.3 1294.0 26.11
24.4 1332.0 26.11
24.4 1330.0 26.11
24.5 1311.0 26.11
24.3 1295.0 26.11
24.9 1274.0 26.11
24.2 1234.0 26.11
22.0 1188.0 24.11
21.8 1153.0 24.11
22.4 1201.0 25.11
22.9 1208.0 25.11
22.4 1112.0 25.11
22.5 1121.0 25.11
22.4 1110.0 25.11
22.7 946.0 25.11
22.7 947.0 25.11
22.9 947.0 25.11
23.3 946.0 26.11
23.8 615.0 26.11
23.8 1497.0 26.11
24.1 652.0 26.11
23.6 1534.0 26.11
23.9 643.0 26.11
23.6 1230.0 26.11
24.3 1229.0 26.11
24.6 1234.0 26.11
23.7 1286.0 26.11
23.9 1259.0 26.11
24.3 1254.0 26.11
24.3 1223.0 26.11
24.0 1209.0 26.11
21.8 946.0 24.11
22.7 947.0 25.11
22.9 1224.0 25.11
23.3 1141.0 26.11
23.4 946.0 26.11
22.9 946.0 25.11
22.9 1149.0 25.11
22.4 1131.0 25.11
22.5 946.0 25.11
23.3 1137.0 26.11
23.1 1164.0 26.11
23.6 1464.0 26.11
24.1 1300.0 26.11
24.6 1249.0 26.11
23.7 1283.0 26.11
23.5 1268.0 26.11
23.9 1269.0 26.11
23.9 1281.0 26.11
23.7 1250.0 26.11
23.7 1242.0 26.11
24.1 1252.0 26.11
23.2 1234.0 26.11
23.4 1193.0 26.11
23.2 1352.0 26.11
23.6 702.0 26.11
24.1 1235.0 26.11
23.8 1227.0 26.11
23.8 1176.0 26.11
23.8 1171.0 26.11
22.7 1162.0 25.11
22.9 947.0 25.11
22.7 947.0 25.11
22.5 1122.0 25.11
23.1 1149.0 26.11
23.4 1212.0 26.11
24.0 1266.0 26.11
24.1 1327.0 26.11
23.7 1374.0 26.11
24.1 1296.0 26.11
24.6 1309.0 26.11
24.0 1465.0 26.11
24.2 1486.0 26.11
24.8 1496.0 26.11
24.6 1462.0 26.11
24.9 1276.0 26.11
24.1 1261.0 26.11
24.3 1225.0 26.11
23.9 1233.0 26.11
23.7 1425.0 26.11
23.6 1219.0 26.11
23.8 1214.0 26.11
23.8 1200.0 26.11
23.4 1193.0 26.11
23.4 1199.0 26.11
23.4 1197.0 26.11
23.4 1242.0 26.11
23.4 1276.0 26.11
23.2 1321.0 26.11
23.9 1369.0 26.11
24.6 1410.0 26.11
24.5 1331.0 26.11
24.4 1387.0 26.11
25.0 1639.0 26.11
