Tset	Date	Twet	Load	Hour(s)	TimeStamp(s)
18.11	9/1/2011 0:00	15.6	426.8	0	1314835200
17.11	9/1/2011 1:00	15.6	58.2	3600	1314838800
17.11	9/1/2011 2:00	14.9	446.2	7200	1314842400
18.11	9/1/2011 3:00	15.1	475.3	10800	1314846000
17.11	9/1/2011 4:00	14.9	514.1	14400	1314849600
17.11	9/1/2011 5:00	14.6	465.6	18000	1314853200
19.11	9/1/2011 6:00	17	455.9	21600	1314856800
21.11	9/1/2011 7:00	18.5	446.2	25200	1314860400
22.11	9/1/2011 8:00	19.3	455.9	28800	1314864000
22.11	9/1/2011 9:00	19.3	504.4	32400	1314867600
21.11	9/1/2011 10:00	19.7	58.2	36000	1314871200
21.11	9/1/2011 11:00	19.7	58.2	39600	1314874800
22.11	9/1/2011 12:00	20.1	58.2	43200	1314878400
22.11	9/1/2011 13:00	20.1	58.2	46800	1314882000
22.11	9/1/2011 14:00	19.9	58.2	50400	1314885600
21.11	9/1/2011 15:00	19.2	58.2	54000	1314889200
21.11	9/1/2011 16:00	19.5	58.2	57600	1314892800
21.11	9/1/2011 17:00	19.4	58.2	61200	1314896400
21.11	9/1/2011 18:00	19.1	58.2	64800	1314900000
21.11	9/1/2011 19:00	18.9	58.2	68400	1314903600
20.11	9/1/2011 20:00	17.8	58.2	72000	1314907200
19.11	9/1/2011 21:00	17	58.2	75600	1314910800
19.11	9/1/2011 22:00	17.3	58.2	79200	1314914400
19.11	9/1/2011 23:00	17.2	58.2	82800	1314918000
19.11	9/2/2011 0:00	17.7	58.2	0	1314921600
20.11	9/2/2011 1:00	17.8	58.2	3600	1314925200
20.11	9/2/2011 2:00	18	58.2	7200	1314928800
20.11	9/2/2011 3:00	18	58.2	10800	1314932400
20.11	9/2/2011 4:00	17.8	58.2	14400	1314936000
19.11	9/2/2011 5:00	17.6	58.2	18000	1314939600
20.11	9/2/2011 6:00	18.7	58.2	21600	1314943200
20.11	9/2/2011 7:00	18.4	58.2	25200	1314946800
21.11	9/2/2011 8:00	19	58.2	28800	1314950400
22.11	9/2/2011 9:00	20	58.2	32400	1314954000
22.11	9/2/2011 10:00	20.2	417.1	36000	1314957600
22.11	9/2/2011 11:00	20.1	58.2	39600	1314961200
23.11	9/2/2011 12:00	20.5	494.7	43200	1314964800
22.11	9/2/2011 13:00	19.5	465.6	46800	1314968400
22.11	9/2/2011 14:00	19.2	485	50400	1314972000
21.11	9/2/2011 15:00	18.2	494.7	54000	1314975600
22.11	9/2/2011 16:00	19.7	485	57600	1314979200
22.11	9/2/2011 17:00	19.6	485	61200	1314982800
22.11	9/2/2011 18:00	19.2	494.7	64800	1314986400
22.11	9/2/2011 19:00	19.7	475.3	68400	1314990000
22.11	9/2/2011 20:00	19.5	572.3	72000	1314993600
21.11	9/2/2011 21:00	19.5	58.2	75600	1314997200
21.11	9/2/2011 22:00	19.3	388	79200	1315000800
21.11	9/2/2011 23:00	18.8	58.2	82800	1315004400
20.11	9/3/2011 0:00	18.4	58.2	0	1315008000
21.11	9/3/2011 1:00	18.2	475.3	3600	1315011600
20.11	9/3/2011 2:00	18.6	58.2	7200	1315015200
21.11	9/3/2011 3:00	18.8	58.2	10800	1315018800
20.11	9/3/2011 4:00	18.2	58.2	14400	1315022400
20.11	9/3/2011 5:00	18.2	58.2	18000	1315026000
20.11	9/3/2011 6:00	18.6	58.2	21600	1315029600
21.11	9/3/2011 7:00	19.2	58.2	25200	1315033200
21.11	9/3/2011 8:00	19	58.2	28800	1315036800
21.11	9/3/2011 9:00	19.7	58.2	32400	1315040400
22.11	9/3/2011 10:00	20.2	58.2	36000	1315044000
23.11	9/3/2011 11:00	21.8	58.2	39600	1315047600
23.11	9/3/2011 12:00	21.5	58.2	43200	1315051200
24.11	9/3/2011 13:00	21.5	1236.75	46800	1315054800
25.11	9/3/2011 14:00	22.7	974.85	50400	1315058400
25.11	9/3/2011 15:00	23	814.8	54000	1315062000
25.11	9/3/2011 16:00	23	989.4	57600	1315065600
25.11	9/3/2011 17:00	22.5	960.3	61200	1315069200
25.11	9/3/2011 18:00	22.5	1265.85	64800	1315072800
25.11	9/3/2011 19:00	22.4	727.5	68400	1315076400
24.11	9/3/2011 20:00	21.8	873	72000	1315080000
23.11	9/3/2011 21:00	21.6	58.2	75600	1315083600
