	Twet	Load	Tset
0	22.0	1158.0	24.11
1	22.0	946.0	24.11
2	21.8	946.0	24.11
3	22.0	1119.0	24.11
4	22.0	946.0	24.11
5	22.2	946.0	24.11
6	22.9	626.0	25.11
7	23.0	1181.0	25.11
8	23.2	1171.0	26.11
9	23.7	1202.0	26.11
10	23.8	1230.0	26.11
11	24.2	1262.0	26.11
12	24.3	1294.0	26.11
13	24.4	1332.0	26.11
14	24.4	1330.0	26.11
15	24.5	1311.0	26.11
16	24.3	1295.0	26.11
17	24.9	1274.0	26.11
18	24.2	1234.0	26.11
19	22.0	1188.0	24.11
20	21.8	1153.0	24.11
21	22.4	1201.0	25.11
22	22.9	1208.0	25.11
23	22.4	1112.0	25.11
24	22.5	1121.0	25.11
25	22.4	1110.0	25.11
26	22.7	946.0	25.11
27	22.7	947.0	25.11
28	22.9	947.0	25.11
29	23.3	946.0	26.11
30	23.8	615.0	26.11
31	23.8	1497.0	26.11
32	24.1	652.0	26.11
33	23.6	1534.0	26.11
34	23.9	643.0	26.11
35	23.6	1230.0	26.11
36	24.3	1229.0	26.11
37	24.6	1234.0	26.11
38	23.7	1286.0	26.11
39	23.9	1259.0	26.11
40	24.3	1254.0	26.11
41	24.3	1223.0	26.11
42	24.0	1209.0	26.11
43	21.8	946.0	24.11
44	22.7	947.0	25.11
45	22.9	1224.0	25.11
46	23.3	1141.0	26.11
47	23.4	946.0	26.11
48	22.9	946.0	25.11
49	22.9	1149.0	25.11
50	22.4	1131.0	25.11
51	22.5	946.0	25.11
52	23.3	1137.0	26.11
53	23.1	1164.0	26.11
54	23.6	1464.0	26.11
55	24.1	1300.0	26.11
56	24.6	1249.0	26.11
57	23.7	1283.0	26.11
58	23.5	1268.0	26.11
59	23.9	1269.0	26.11
60	23.9	1281.0	26.11
61	23.7	1250.0	26.11
62	23.7	1242.0	26.11
63	24.1	1252.0	26.11
64	23.2	1234.0	26.11
65	23.4	1193.0	26.11
66	23.2	1352.0	26.11
67	23.6	702.0	26.11
68	24.1	1235.0	26.11
69	23.8	1227.0	26.11
70	23.8	1176.0	26.11
71	23.8	1171.0	26.11
72	22.7	1162.0	25.11
73	22.9	947.0	25.11
74	22.7	947.0	25.11
75	22.5	1122.0	25.11
76	23.1	1149.0	26.11
77	23.4	1212.0	26.11
78	24.0	1266.0	26.11
79	24.1	1327.0	26.11
80	23.7	1374.0	26.11
81	24.1	1296.0	26.11
82	24.6	1309.0	26.11
83	24.0	1465.0	26.11
84	24.2	1486.0	26.11
85	24.8	1496.0	26.11
86	24.6	1462.0	26.11
87	24.9	1276.0	26.11
88	24.1	1261.0	26.11
89	24.3	1225.0	26.11
90	23.9	1233.0	26.11
91	23.7	1425.0	26.11
92	23.6	1219.0	26.11
93	23.8	1214.0	26.11
94	23.8	1200.0	26.11
95	23.4	1193.0	26.11
96	23.4	1199.0	26.11
97	23.4	1197.0	26.11
98	23.4	1242.0	26.11
99	23.4	1276.0	26.11
100	23.2	1321.0	26.11
101	23.9	1369.0	26.11
102	24.6	1410.0	26.11
103	24.5	1331.0	26.11
104	24.4	1387.0	26.11
105	25.0	1639.0	26.11
106	24.0	1505.0	26.11
107	24.1	1289.0	26.11
108	24.8	1270.0	26.11
109	24.3	1252.0	26.11
110	24.3	1248.0	26.11
111	24.1	1503.0	26.11
112	24.1	1246.0	26.11
113	24.1	1237.0	26.11
114	24.3	1229.0	26.11
115	24.1	1224.0	26.11
116	24.1	1225.0	26.11
117	23.6	1183.0	26.11
118	23.4	1255.0	26.11
119	24.0	1253.0	26.11
120	23.2	1290.0	26.11
121	23.1	1314.0	26.11
122	23.3	1324.0	26.11
123	23.4	1295.0	26.11
124	24.1	1328.0	26.11
125	24.5	1441.0	26.11
126	24.6	1478.0	26.11
127	23.5	1476.0	26.11
128	23.9	1416.0	26.11
129	23.6	1357.0	26.11
130	22.5	1267.0	25.11
131	21.7	1154.0	24.11
132	21.3	1119.0	24.11
133	21.5	1102.0	24.11
134	21.5	1102.0	24.11
135	21.3	1373.0	24.11
136	21.3	945.0	24.11
137	20.7	946.0	23.11
138	20.4	938.0	23.11
139	20.4	938.0	23.11
140	20.7	944.0	23.11
141	20.7	946.0	23.11
142	20.7	946.0	23.11
143	21.5	856.0	24.11
144	22.2	922.0	24.11
145	23.1	1275.0	26.11
146	23.4	1370.0	26.11
147	23.2	1621.0	26.11
148	23.5	773.0	26.11
149	24.5	1494.0	26.11
150	24.5	1512.0	26.11
151	23.8	1519.0	26.11
152	23.8	1470.0	26.11
153	23.9	1398.0	26.11
154	23.4	1317.0	26.11
155	22.7	1207.0	25.11
156	22.4	1165.0	25.11
157	22.4	1135.0	25.11
158	22.5	1129.0	25.11
159	22.2	1477.0	25.11
160	22.4	1140.0	25.11
161	22.9	1138.0	25.11
162	22.7	1138.0	25.11
163	22.9	1136.0	25.11
164	23.3	1152.0	26.11
165	23.3	1153.0	26.11
166	22.9	1148.0	25.11
167	22.9	1141.0	25.11
168	23.2	1139.0	26.11
169	22.7	1146.0	25.11
170	23.9	1195.0	26.11
171	23.7	1182.0	26.11
172	23.7	1196.0	26.11
173	24.0	1275.0	26.11
174	24.0	1295.0	26.11
175	23.5	1291.0	26.11
176	17.5	1488.0	20.11
177	18.2	857.0	20.11
178	18.2	853.0	20.11
179	18.6	858.0	21.11
180	18.9	857.0	21.11
181	19.1	827.0	21.11
182	17.3	781.0	20.11
183	17.0	1263.0	20.11
184	16.4	747.0	19.11
185	16.4	749.0	19.11
186	15.7	751.0	19.11
187	15.2	741.0	18.11
188	14.9	725.0	18.11
