	Hour	DayofWeek	Twet	Tset
0	0	0	0	15.11
1	0	0	1	15.11
2	0	0	2	15.11
3	0	0	3	16.11
4	0	0	6	15.11
5	0	0	7	19.11
6	0	0	8	20.11
7	0	0	9	21.11
8	0	0	10	22.11
9	0	0	11	23.11
10	0	0	12	24.11
11	0	0	14	26.11
12	0	0	15	26.11
13	0	1	0	15.11
14	0	1	2	15.11
15	0	1	3	16.11
16	0	1	4	16.11
17	0	1	6	18.11
18	0	1	8	20.11
19	0	1	9	21.11
20	0	1	11	23.11
21	0	1	12	24.11
22	0	1	13	25.11
23	0	1	14	26.11
24	0	2	0	15.11
25	0	2	2	15.11
26	0	2	3	15.11
27	0	2	4	16.11
28	0	2	6	18.11
29	0	2	7	16.11
30	0	2	8	20.11
31	0	2	9	21.11
32	0	2	10	22.11
33	0	2	11	23.11
34	0	2	12	24.11
35	0	2	13	25.11
36	0	3	0	15.11
37	0	3	1	15.11
38	0	3	3	15.11
39	0	3	4	16.11
40	0	3	6	15.11
41	0	3	7	16.11
42	0	3	8	19.11
43	0	3	9	21.11
44	0	3	10	22.11
45	0	3	11	24.11
46	0	3	12	24.11
47	0	3	13	25.11
48	0	4	0	15.11
49	0	4	5	18.11
50	0	4	6	18.11
51	0	4	7	19.11
52	0	4	9	20.11
53	0	4	10	19.11
54	0	4	11	23.11
55	0	4	13	25.11
56	0	5	0	15.11
57	0	5	3	15.11
58	0	5	5	18.11
59	0	5	6	18.11
60	0	5	7	19.11
61	0	5	10	22.11
62	0	5	11	23.11
63	0	5	12	24.11
64	0	5	13	25.11
65	0	5	15	26.11
66	0	6	0	15.11
67	0	6	2	15.11
68	0	6	3	15.11
69	0	6	4	16.11
70	0	6	6	17.11
71	0	6	10	22.11
72	0	6	11	23.11
73	0	6	12	24.11
74	0	6	13	25.11
75	0	6	14	26.11
76	1	0	0	15.11
77	1	0	1	15.11
78	1	0	2	15.11
79	1	0	6	17.11
80	1	0	7	19.11
81	1	0	8	17.11
82	1	0	9	21.11
83	1	0	10	22.11
84	1	0	11	22.11
85	1	0	14	26.11
86	1	0	16	26.11
87	1	1	0	15.11
88	1	1	3	16.11
89	1	1	6	15.11
90	1	1	7	17.11
91	1	1	8	20.11
92	1	1	9	21.11
93	1	1	10	22.11
94	1	1	12	24.11
95	1	1	13	25.11
96	1	1	14	26.11
97	1	2	0	15.11
98	1	2	3	16.11
99	1	2	6	18.11
100	1	2	7	16.11
101	1	2	8	19.11
102	1	2	9	21.11
103	1	2	10	22.11
104	1	2	11	23.11
105	1	2	12	24.11
106	1	2	13	25.11
107	1	3	0	15.11
108	1	3	3	15.11
109	1	3	4	15.11
110	1	3	6	15.11
111	1	3	7	16.11
112	1	3	8	18.11
113	1	3	9	21.11
114	1	3	10	22.11
115	1	3	11	24.11
116	1	3	12	24.11
117	1	3	14	25.11
118	1	4	0	15.11
119	1	4	5	17.11
120	1	4	6	18.11
121	1	4	7	16.11
122	1	4	8	20.11
123	1	4	9	20.11
124	1	4	10	19.11
125	1	4	11	23.11
126	1	4	13	25.11
127	1	4	14	26.11
128	1	5	0	15.11
129	1	5	2	15.11
130	1	5	5	18.11
131	1	5	6	18.11
132	1	5	10	22.11
133	1	5	11	22.11
134	1	5	13	25.11
135	1	5	15	26.11
136	1	6	0	15.11
137	1	6	2	15.11
138	1	6	3	15.11
139	1	6	6	17.11
140	1	6	10	22.11
141	1	6	11	23.11
142	1	6	12	24.11
143	1	6	13	25.11
144	1	6	14	26.11
145	2	0	0	15.11
146	2	0	1	15.11
147	2	0	2	15.11
148	2	0	6	17.11
149	2	0	7	19.11
150	2	0	8	19.11
151	2	0	9	21.11
152	2	0	10	22.11
153	2	0	11	23.11
154	2	0	12	24.11
155	2	0	13	25.11
156	2	0	14	26.11
157	2	1	0	15.11
158	2	1	4	16.11
159	2	1	6	16.11
160	2	1	7	16.11
161	2	1	8	17.11
162	2	1	9	21.11
163	2	1	10	22.11
164	2	1	12	24.11
165	2	1	13	25.11
166	2	2	0	15.11
167	2	2	3	15.11
168	2	2	4	16.11
169	2	2	7	19.11
170	2	2	8	20.11
171	2	2	9	21.11
172	2	2	10	22.11
173	2	2	11	22.11
174	2	2	12	24.11
175	2	2	13	25.11
176	2	3	0	15.11
177	2	3	1	15.11
178	2	3	3	15.11
179	2	3	6	15.11
180	2	3	8	18.11
181	2	3	9	21.11
182	2	3	10	22.11
183	2	3	11	23.11
184	2	3	12	23.11
185	2	3	13	25.11
186	2	4	0	15.11
187	2	4	5	17.11
188	2	4	6	18.11
189	2	4	7	16.11
190	2	4	8	20.11
191	2	4	9	21.11
192	2	4	11	23.11
193	2	4	12	24.11
194	2	4	13	25.11
195	2	4	14	26.11
196	2	5	0	15.11
197	2	5	1	15.11
198	2	5	2	15.11
199	2	5	5	17.11
200	2	5	6	18.11
201	2	5	7	19.11
202	2	5	9	21.11
203	2	5	10	22.11
204	2	5	11	23.11
205	2	5	12	24.11
206	2	5	13	25.11
207	2	5	15	26.11
208	2	6	0	15.11
209	2	6	2	15.11
210	2	6	3	15.11
211	2	6	7	19.11
212	2	6	9	22.11
213	2	6	10	22.11
214	2	6	11	23.11
215	2	6	12	24.11
216	2	6	13	25.11
217	2	6	14	26.11
218	3	0	0	15.11
219	3	0	1	15.11
220	3	0	2	15.11
221	3	0	6	17.11
222	3	0	8	20.11
223	3	0	9	21.11
224	3	0	11	23.11
225	3	0	12	24.11
226	3	0	13	24.11
227	3	0	14	26.11
228	3	1	0	15.11
229	3	1	4	17.11
230	3	1	5	17.11
231	3	1	7	16.11
232	3	1	8	19.11
233	3	1	9	21.11
234	3	1	10	22.11
235	3	1	11	23.11
236	3	1	12	24.11
237	3	1	13	25.11
238	3	2	0	15.11
239	3	2	4	16.11
240	3	2	7	18.11
241	3	2	8	19.11
242	3	2	10	22.11
243	3	2	11	23.11
244	3	2	12	24.11
245	3	2	13	25.11
246	3	3	0	15.11
247	3	3	2	15.11
248	3	3	3	15.11
249	3	3	6	15.11
250	3	3	8	20.11
251	3	3	9	21.11
