DATE	Hour	Twet	Load	Tset	MBO without error	Default	Tset_BN	Case4	Default	Tset_BN	Case1	Default	Tset_BN	Case2	Default	Tset_BN	Case3
6/28/2012 0:00	0	21.3	1113	24.11	490668	No	24.11	490668	No	24.11	494452	No	23.11	490668	No	22.11	535556
6/28/2012 1:00	1	21.5	1118	24.11	494008	No	24.11	494008	No	23.11	494008	No	24.11	502936	No	23.11	502936
6/28/2012 2:00	2	21.1	927	23.11	416345	No	24.11	418140	No	24.11	418140	No	24.11	416345	No	25.11	416345
6/28/2012 3:00	3	21.3	934	24.11	421248	No	24.11	421248	No	24.11	421248	No	24.11	421248	No	25.11	422067
6/28/2012 4:00	4	20.6	927	23.11	411896	No	23.11	411896	No	23.11	411896	No	23.11	416938	No	23.11	411896
6/28/2012 5:00	5	20.6	921	23.11	409833	No	23.11	409833	No	23.11	409833	No	23.11	409833	No	22.11	409833
6/28/2012 6:00	6	21.2	929	23.11	418501	No	24.11	419147	No	23.11	419147	No	24.11	453901	No	24.11	419147
6/28/2012 7:00	7	22	943	24.11	428753	No	25.11	430788	No	24.11	428753	No	25.11	451929	No	25.11	430788
6/28/2012 8:00	8	22.4	1444	25.11	666354	Yes	26.11	673279	No	25.11	673279	No	25.11	666354	No	24.11	676862
6/28/2012 9:00	9	22.4	1202	25.11	540304	No	25.11	540304	No	24.11	547217	Yes	26.11	547217	No	23.11	545727
6/28/2012 10:00	10	22.9	1190	25.11	539152	No	24.11	563874	No	24.11	541263	Yes	26.11	541263	No	24.11	541263
6/28/2012 11:00	11	22.9	1170	25.11	529737	No	24.11	553971	No	25.11	553971	No	24.11	531858	No	26.11	553971
6/28/2012 12:00	12	22.6	1229	25.11	554691	No	25.11	554691	No	24.11	559229	No	26.11	568076	No	24.11	559229
6/28/2012 13:00	13	21.9	1261	24.11	564398	No	24.11	564398	No	24.11	564398	Yes	26.11	564398	No	23.11	573677
6/28/2012 14:00	14	22.1	1269	25.11	571005	No	25.11	571005	No	24.11	572342	No	23.11	571005	No	25.11	578039
6/28/2012 15:00	15	22.5	1281	25.11	579579	No	25.11	579579	Yes	26.11	584966	No	25.11	584966	No	26.11	590693
6/28/2012 16:00	16	22.8	1305	25.11	595106	Yes	26.11	598197	No	25.11	595106	No	24.11	595106	No	26.11	598197
6/28/2012 17:00	17	23.8	1300	26.11	601931	Yes	26.11	601931	No	26.11	601931	No	26.11	601931	Yes	26.11	601931
6/28/2012 18:00	18	24.5	1238	26.11	583811	No	26.11	583811	No	26.11	583811	Yes	26.11	583811	No	26.11	583811
6/28/2012 19:00	19	24	1217	26.11	561745	No	26.11	561745	No	26.11	561745	No	26.11	561745	No	26.11	561745
6/28/2012 20:00	20	24.2	1214	26.11	563582	No	26.11	563582	No	26.11	563582	No	26.11	563582	Yes	26.11	563582
6/28/2012 21:00	21	24.5	1200	26.11	564162	No	26.11	564162	No	26.11	564162	Yes	26.11	564162	No	26.11	564162
6/28/2012 22:00	22	23.9	1209	26.11	556496	No	26.11	556496	No	26.11	556496	No	26.11	556496	No	26.11	556496
6/28/2012 23:00	23	23.6	1219	26.11	558623	No	26.11	558623	No	26.11	558623	Yes	26.11	558623	No	26.11	607028
