DATE	Hour	Twet	Load	Tset	MBO without error	Default	Tset_BN	Case4	Default	Tset_BN	Case1	Default	Tset_BN	Case2	Default	Tset_BN	Case3
10/9/2012 0:00	0	6.6	387	15.11	126062	No	15.11	126062	No	15.11	126062	No	15.11	126062	No	15.11	126062
10/9/2012 1:00	1	7.2	423	15.11	134731	No	15.11	134731	No	15.11	134731	No	15.11	134731	No	15.11	134731
10/9/2012 2:00	2	8	408	15.11	131284	No	15.11	131284	No	15.11	131284	No	15.11	131284	No	15.11	131284
10/9/2012 3:00	3	8.6	410	15.11	132019	No	15.11	132019	No	15.11	132019	No	15.11	132019	No	15.11	132019
10/9/2012 4:00	4	8.2	422	15.11	134808	No	15.11	134808	No	15.11	134808	No	15.11	134808	No	15.11	134808
10/9/2012 5:00	5	7.9	413	15.11	132464	No	15.11	132464	No	15.11	132464	No	15.11	132464	No	15.11	132464
10/9/2012 6:00	6	8.4	388	15.11	126717	No	15.11	126717	No	15.11	126717	No	15.11	126717	No	15.11	126717
10/9/2012 7:00	7	7.4	397	15.11	128502	No	15.11	128502	No	15.11	128502	No	15.11	128502	No	15.11	128502
10/9/2012 8:00	8	6.8	392	15.11	127231	No	15.11	127231	No	15.11	127231	No	15.11	127231	No	15.11	127231
10/9/2012 9:00	9	7.2	388	15.11	126386	No	15.11	126386	No	15.11	126386	No	15.11	126386	No	15.11	126386
10/9/2012 10:00	10	7.7	377	15.11	124021	No	15.11	124021	No	15.11	124021	No	15.11	124021	No	15.11	124021
10/9/2012 11:00	11	8.2	589	15.11	185055	No	15.11	185055	No	15.11	185055	No	15.11	185055	No	15.11	185055
10/9/2012 12:00	12	8.4	386	15.11	126258	No	15.11	126258	No	15.11	126258	No	15.11	126258	No	15.11	126258
10/9/2012 13:00	13	9.7	385	15.11	126682	No	15.11	126682	No	15.11	126682	No	15.11	126682	No	15.11	126682
10/9/2012 14:00	14	9.1	386	15.11	126582	No	15.11	126582	No	15.11	126582	No	15.11	126582	No	15.11	126582
10/9/2012 15:00	15	9.7	386	15.11	126911	No	15.11	126911	No	15.11	126911	No	15.11	126911	No	15.11	126911
10/9/2012 16:00	16	9.7	411	15.11	132847	No	15.11	132847	No	15.11	132847	No	15.11	132847	No	15.11	132847
10/9/2012 17:00	17	9.4	388	15.11	127201	No	15.11	127201	No	15.11	127201	No	15.11	127201	No	15.11	127201
10/9/2012 18:00	18	9.4	391	15.11	127897	No	15.11	127897	No	15.11	127897	No	15.11	127897	No	15.11	127897
10/9/2012 19:00	19	10.2	416	15.11	134423	No	15.11	134423	No	15.11	134423	No	15.11	134423	No	15.11	134423
10/9/2012 20:00	20	11	379	15.11	126319	No	15.11	126319	No	15.11	126319	No	15.11	126319	No	15.11	126319
10/9/2012 21:00	21	12	409	15.11	135460	No	15.11	135460	No	15.11	135460	No	15.11	135460	No	15.11	135460
10/9/2012 22:00	22	13.2	422	16.11	147707	No	16.11	147707	No	15.11	147707	No	15.11	149257	No	15.11	147707
10/9/2012 23:00	23	13.9	391	16.11	143315	No	15.11	156230	No	17.11	146462	No	16.11	156230	No	16.11	143315
