Twet Load Energy Tset
-5.0 14.2166619278 8714 15.11
-4.5 14.2166619278 8714 15.11
-4.0 14.2166619278 8714 15.11
-3.5 14.2166619278 8714 15.11
-3.0 14.2166619278 8714 15.11
-2.5 14.2166619278 8714 15.11
-2.0 14.2166619278 8714 15.11
-1.5 14.2166619278 8714 15.11
-1.0 14.2166619278 8714 15.11
-0.5 14.2166619278 8714 15.11
0.0 14.2166619278 8714 15.11
0.5 14.2166619278 8714 15.11
1.0 14.2166619278 8714 15.11
1.5 14.2166619278 8714 15.11
2.0 14.2166619278 8714 15.11
2.5 14.2166619278 8714 15.11
3.0 14.2166619278 8714 15.11
3.5 14.2166619278 8714 15.11
4.0 14.2166619278 8714 15.11
4.5 14.2166619278 8714 15.11
5.0 14.2166619278 8714 15.11
5.5 14.2166619278 8714 15.11
6.0 14.2166619278 8714 15.11
6.5 14.2166619278 8714 15.11
7.0 14.2166619278 8714 15.11
7.5 14.2166619278 8714 15.11
8.0 14.2166619278 8714 15.11
8.5 14.2166619278 8714 15.11
9.0 14.2166619278 8714 15.11
9.5 14.2166619278 8714 15.11
10.0 14.2166619278 8714 15.11
10.5 14.2166619278 8714 15.11
11.0 14.2166619278 8714 15.11
11.5 14.2166619278 8714 15.11
12.0 14.2166619278 8714 15.11
12.5 14.2166619278 8714 15.11
13.0 14.2166619278 8714 15.11
13.5 14.2166619278 8714 15.11
14.0 14.2166619278 8714 15.11
14.5 14.2166619278 8814.0 17.11
15.0 14.2166619278 9066.0 17.11
15.5 14.2166619278 9312.0 17.11
16.0 14.2166619278 9552.0 18.11
16.5 14.2166619278 9785.0 18.11
17.0 14.2166619278 10012.0 20.11
17.5 14.2166619278 10232.0 19.11
18.0 14.2166619278 10446.0 20.11
18.5 14.2166619278 10654.0 26.11
19.0 14.2166619278 10854.0 22.11
19.5 14.2166619278 11048.0 26.11
20.0 14.2166619278 11235.0 26.11
20.5 14.2166619278 11415.0 26.11
21.0 14.2166619278 11588.0 26.11
21.5 14.2166619278 11754.0 26.11
22.0 14.2166619278 11913.0 26.11
22.5 14.2166619278 12065.0 26.11
23.0 14.2166619278 12210.0 26.11
23.5 14.2166619278 12347.0 26.11
24.0 14.2166619278 12477.0 26.11
24.5 14.2166619278 12600.0 26.11
25.0 14.2166619278 12715.0 26.11
-5.0 28.4333238556 17429 15.11
-4.5 28.4333238556 17429 15.11
-4.0 28.4333238556 17429 15.11
-3.5 28.4333238556 17429 15.11
-3.0 28.4333238556 17429 15.11
-2.5 28.4333238556 17429 15.11
-2.0 28.4333238556 17429 15.11
-1.5 28.4333238556 17429 15.11
-1.0 28.4333238556 17429 15.11
-0.5 28.4333238556 17429 15.11
0.0 28.4333238556 17429 15.11
0.5 28.4333238556 17429 15.11
1.0 28.4333238556 17429 15.11
1.5 28.4333238556 17429 15.11
2.0 28.4333238556 17429 15.11
2.5 28.4333238556 17429 15.11
3.0 28.4333238556 17429 15.11
3.5 28.4333238556 17429 15.11
4.0 28.4333238556 17429 15.11
4.5 28.4333238556 17429 15.11
5.0 28.4333238556 17429 15.11
5.5 28.4333238556 17429 15.11
6.0 28.4333238556 17429 15.11
6.5 28.4333238556 17429 15.11
7.0 28.4333238556 17429 15.11
7.5 28.4333238556 17429 15.11
8.0 28.4333238556 17429 15.11
8.5 28.4333238556 17429 15.11
9.0 28.4333238556 17429 15.11
9.5 28.4333238556 17429 15.11
10.0 28.4333238556 17429 15.11
10.5 28.4333238556 17429 15.11
11.0 28.4333238556 17429 15.11
11.5 28.4333238556 17429 15.11
12.0 28.4333238556 17429 15.11
12.5 28.4333238556 17429 15.11
13.0 28.4333238556 17429 15.11
13.5 28.4333238556 17429.0 26.11
14.0 28.4333238556 17915.0 16.11
14.5 28.4333238556 18411.0 17.11
15.0 28.4333238556 18896.0 17.11
15.5 28.4333238556 19367.0 17.11
16.0 28.4333238556 19826.0 18.11
16.5 28.4333238556 20272.0 18.11
17.0 28.4333238556 20705.0 19.11
17.5 28.4333238556 21124.0 19.11
18.0 28.4333238556 21531.0 21.11
18.5 28.4333238556 21923.0 20.11
19.0 28.4333238556 22303.0 23.11
19.5 28.4333238556 22668.0 22.11
20.0 28.4333238556 23020.0 24.11
20.5 28.4333238556 23357.0 22.11
21.0 28.4333238556 23681.0 26.11
21.5 28.4333238556 23991.0 26.11
22.0 28.4333238556 24286.0 26.11
22.5 28.4333238556 24567.0 26.11
23.0 28.4333238556 24833.0 26.11
23.5 28.4333238556 25084.0 26.11
24.0 28.4333238556 25321.0 26.11
24.5 28.4333238556 25543.0 26.11
25.0 28.4333238556 26362.0 26.11
-5.0 42.6499857833 26143 15.11
-4.5 42.6499857833 26143 15.11
-4.0 42.6499857833 26143 15.11
-3.5 42.6499857833 26143 15.11
-3.0 42.6499857833 26143 15.11
-2.5 42.6499857833 26143 15.11
-2.0 42.6499857833 26143 15.11
-1.5 42.6499857833 26143 15.11
-1.0 42.6499857833 26143 15.11
-0.5 42.6499857833 26143 15.11
0.0 42.6499857833 26143 15.11
0.5 42.6499857833 26143 15.11
1.0 42.6499857833 26143 15.11
1.5 42.6499857833 26143 15.11
2.0 42.6499857833 26143 15.11
2.5 42.6499857833 26143 15.11
3.0 42.6499857833 26143 15.11
3.5 42.6499857833 26143 15.11
4.0 42.6499857833 26143 15.11
4.5 42.6499857833 26143 15.11
5.0 42.6499857833 26143 15.11
5.5 42.6499857833 26143 15.11
6.0 42.6499857833 26143 15.11
6.5 42.6499857833 26143 15.11
7.0 42.6499857833 26143 15.11
7.5 42.6499857833 26143 15.11
8.0 42.6499857833 26143 15.11
8.5 42.6499857833 26143 15.11
9.0 42.6499857833 26143 15.11
9.5 42.6499857833 26143 15.11
10.0 42.6499857833 26143 15.11
10.5 42.6499857833 26143 15.11
11.0 42.6499857833 26143 15.11
11.5 42.6499857833 26143 15.11
12.0 42.6499857833 26143 15.11
12.5 42.6499857833 26143 15.11
13.0 42.6499857833 26556.0 16.11
13.5 42.6499857833 27307.0 16.11
14.0 42.6499857833 27924.0 16.11
14.5 42.6499857833 28755.0 17.11
15.0 42.6499857833 29317.0 17.11
15.5 42.6499857833 30127.0 18.11
16.0 42.6499857833 30651.0 18.11
16.5 42.6499857833 31419.0 19.11
17.0 42.6499857833 31906.0 19.11
17.5 42.6499857833 32416.0 19.11
18.0 42.6499857833 33079.0 20.11
18.5 42.6499857833 33424.0 20.11
19.0 42.6499857833 34169.0 21.11
19.5 42.6499857833 34426.0 21.11
20.0 42.6499857833 35173.0 22.11
20.5 42.6499857833 35383.0 22.11
21.0 42.6499857833 36093.0 23.11
21.5 42.6499857833 36274.0 23.11
22.0 42.6499857833 36928.0 24.11
22.5 42.6499857833 37092.0 24.11
23.0 42.6499857833 37677.0 25.11
23.5 42.6499857833 37833.0 25.11
24.0 42.6499857833 38342.0 26.11
24.5 42.6499857833 38493.0 26.11
25.0 42.6499857833 39519.0 26.11
-5.0 56.8666477111 34858 15.11
-4.5 56.8666477111 34858 15.11
-4.0 56.8666477111 34858 15.11
-3.5 56.8666477111 34858 15.11
-3.0 56.8666477111 34858 15.11
-2.5 56.8666477111 34858 15.11
-2.0 56.8666477111 34858 15.11
-1.5 56.8666477111 34858 15.11
-1.0 56.8666477111 34858 15.11
-0.5 56.8666477111 34858 15.11
0.0 56.8666477111 34858 15.11
0.5 56.8666477111 34858 15.11
1.0 56.8666477111 34858 15.11
1.5 56.8666477111 34858 15.11
2.0 56.8666477111 34858 15.11
2.5 56.8666477111 34858 15.11
3.0 56.8666477111 34858 15.11
3.5 56.8666477111 34858 15.11
4.0 56.8666477111 34858 15.11
4.5 56.8666477111 34858 15.11
5.0 56.8666477111 34858 15.11
5.5 56.8666477111 34858 15.11
6.0 56.8666477111 34858 15.11
6.5 56.8666477111 34858 15.11
7.0 56.8666477111 34858 15.11
7.5 56.8666477111 34858 15.11
8.0 56.8666477111 34858 15.11
8.5 56.8666477111 34858 15.11
9.0 56.8666477111 34858 15.11
9.5 56.8666477111 34858 15.11
10.0 56.8666477111 34858 15.11
10.5 56.8666477111 34858 15.11
11.0 56.8666477111 34858 15.11
11.5 56.8666477111 34858 15.11
12.0 56.8666477111 34996.0 15.11
12.5 56.8666477111 35217.0 15.11
13.0 56.8666477111 36053.0 15.11
13.5 56.8666477111 36860.0 15.11
14.0 56.8666477111 37729.0 16.11
14.5 56.8666477111 38684.0 16.11
15.0 56.8666477111 39422.0 17.11
15.5 56.8666477111 40411.0 17.11
16.0 56.8666477111 41105.0 18.11
16.5 56.8666477111 42037.0 18.11
17.0 56.8666477111 42726.0 19.11
17.5 56.8666477111 43561.0 19.11
18.0 56.8666477111 44257.0 20.11
18.5 56.8666477111 44956.0 20.11
19.0 56.8666477111 45687.0 21.11
19.5 56.8666477111 46217.0 21.11
20.0 56.8666477111 47012.0 22.11
20.5 56.8666477111 47431.0 22.11
21.0 56.8666477111 48227.0 23.11
21.5 56.8666477111 48577.0 23.11
22.0 56.8666477111 49331.0 24.11
22.5 56.8666477111 49637.0 24.11
23.0 56.8666477111 50324.0 25.11
23.5 56.8666477111 50602.0 25.11
24.0 56.8666477111 51205.0 26.11
24.5 56.8666477111 51466.0 26.11
25.0 56.8666477111 52592.0 26.11
-5.0 71.0833096389 43573 15.11
-4.5 71.0833096389 43573 15.11
-4.0 71.0833096389 43573 15.11
-3.5 71.0833096389 43573 15.11
-3.0 71.0833096389 43573 15.11
-2.5 71.0833096389 43573 15.11
-2.0 71.0833096389 43573 15.11
-1.5 71.0833096389 43573 15.11
-1.0 71.0833096389 43573 15.11
-0.5 71.0833096389 43573 15.11
0.0 71.0833096389 43573 15.11
0.5 71.0833096389 43573 15.11
1.0 71.0833096389 43573 15.11
1.5 71.0833096389 43573 15.11
2.0 71.0833096389 43573 15.11
2.5 71.0833096389 43573 15.11
3.0 71.0833096389 43573 15.11
3.5 71.0833096389 43573 15.11
4.0 71.0833096389 43573 15.11
4.5 71.0833096389 43573 15.11
5.0 71.0833096389 43573 15.11
5.5 71.0833096389 43573 15.11
6.0 71.0833096389 43573 15.11
6.5 71.0833096389 43573 15.11
7.0 71.0833096389 43573 15.11
7.5 71.0833096389 43573 15.11
8.0 71.0833096389 43573 15.11
