		Twet	Load	Twet_Dis	Load_Dis	Twet+Err	Load+Err	Twet+Err_Dis	Load+Err_Dis	Default	Tset_BN
Twbload	0	4.9	54	10	1	4.9	54.0	10	1	No	15.11
Twbload	1	4.8	55	10	1	4.8	55.0	10	1	No	15.11
Twbload	2	3.8	54	9	1	3.8	54.0	9	1	No	15.11
Twbload	3	3.8	54	9	1	3.8	54.0	9	1	No	15.11
Twbload	4	3.7	53	9	1	3.7	53.0	9	1	No	15.11
Twbload	5	3.7	54	9	1	3.7	54.0	9	1	No	15.11
Twbload	6	3.1	53	9	1	3.1	53.0	9	1	No	15.11
Twbload	7	3.4	54	9	1	3.4	54.0	9	1	No	15.11
Twbload	8	4.5	55	10	1	4.5	55.0	10	1	No	15.11
Twbload	9	6.0	55	12	1	6.0	55.0	12	1	No	15.11
Twbload	10	7.4	54	13	1	7.4	54.0	13	1	No	15.11
Twbload	11	7.9	373	13	2	7.9	373.0	13	2	No	15.11
Twbload	12	8.5	370	14	2	8.5	370.0	14	2	No	15.11
Twbload	13	9.2	383	15	2	9.2	383.0	15	2	No	15.11
Twbload	14	8.7	419	14	3	8.7	419.0	14	3	No	15.11
Twbload	15	9.5	416	15	3	9.5	416.0	15	3	No	15.11
Twbload	16	9.8	421	15	3	9.8	421.0	15	3	No	15.11
Twbload	17	8.6	407	14	2	8.6	407.0	14	2	No	15.11
Twbload	18	9.7	410	15	2	9.7	410.0	15	2	No	15.11
Twbload	19	10.2	421	16	3	10.2	421.0	16	3	No	15.11
Twbload	20	10.7	680	16	4	10.7	680.0	16	4	No	15.11
Twbload	21	8.0	399	14	2	8.0	399.0	14	2	No	15.11
Twbload	22	5.4	414	11	3	5.4	414.0	11	3	No	15.11
Twbload	23	4.4	361	10	2	4.4	361.0	10	2	No	15.11
Twbload	24	3.2	53	9	1	3.2	53.0	9	1	No	15.11
Twbload	25	2.8	55	8	1	2.8	55.0	8	1	No	15.11
Twbload	26	2.5	54	8	1	2.5	54.0	8	1	No	15.11
Twbload	27	1.0	55	7	1	1.0	55.0	7	1	No	15.11
Twbload	28	0.1	54	6	1	0.1	54.0	6	1	No	15.11
Twbload	29	-1.4	54	4	1	-1.4	54.0	4	1	No	15.11
Twbload	30	-1.3	53	4	1	-1.3	53.0	4	1	No	15.11
Twbload	31	-1.5	54	4	1	-1.5	54.0	4	1	No	15.11
Twbload	32	-0.7	54	5	1	-0.7	54.0	5	1	No	15.11
Twbload	33	-0.4	54	5	1	-0.4	54.0	5	1	No	15.11
Twbload	34	0.0	54	6	1	0.0	54.0	6	1	No	15.11
Twbload	35	0.7	398	6	2	0.7	398.0	6	2	No	15.11
Twbload	36	0.6	53	6	1	0.6	53.0	6	1	No	15.11
Twbload	37	0.3	54	6	1	0.3	54.0	6	1	No	15.11
Twbload	38	-0.4	54	5	1	-0.4	54.0	5	1	No	15.11
Twbload	39	-0.4	54	5	1	-0.4	54.0	5	1	No	15.11
Twbload	40	-0.8	55	5	1	-0.8	55.0	5	1	No	15.11
Twbload	41	-1.0	55	5	1	-1.0	55.0	5	1	No	15.11
Twbload	42	-1.2	54	4	1	-1.2	54.0	4	1	No	15.11
Twbload	43	-1.2	54	4	1	-1.2	54.0	4	1	No	15.11
Twbload	44	-1.6	55	4	1	-1.6	55.0	4	1	No	15.11
Twbload	45	-1.8	53	4	1	-1.8	53.0	4	1	No	15.11
Twbload	46	-2.0	55	4	1	-2.0	55.0	4	1	No	15.11
Twbload	47	-2.7	55	3	1	-2.7	55.0	3	1	No	15.11
Twbload	48	-3.0	54	3	1	-3.0	54.0	3	1	No	15.11
Twbload	49	-3.2	54	2	1	-3.2	54.0	2	1	No	15.11
Twbload	50	-3.7	54	2	1	-3.7	54.0	2	1	No	15.11
Twbload	51	-4.2	53	1	1	-4.2	53.0	1	1	No	15.11
Twbload	52	-4.0	54	2	1	-4.0	54.0	2	1	No	15.11
Twbload	53	-4.0	54	2	1	-4.0	54.0	2	1	No	15.11
Twbload	54	-3.7	54	2	1	-3.7	54.0	2	1	No	15.11
Twbload	55	-3.8	54	2	1	-3.8	54.0	2	1	No	15.11
Twbload	56	-4.1	55	1	1	-4.1	55.0	1	1	No	15.11
Twbload	57	-4.2	54	1	1	-4.2	54.0	1	1	No	15.11
Twbload	58	-3.8	54	2	1	-3.8	54.0	2	1	No	15.11
Twbload	59	-3.9	54	2	1	-3.9	54.0	2	1	No	15.11
Twbload	60	-3.9	54	2	1	-3.9	54.0	2	1	No	15.11
Twbload	61	-4.7	54	1	1	-4.7	54.0	1	1	No	15.11
Twbload	62	-5.0	55	1	1	-5.0	55.0	1	1	No	15.11
Twbload	63	-5.9	54	0	1	-5.9	54.0	0	1	Yes	15.11
Twbload	64	-6.2	54	0	1	-6.2	54.0	0	1	Yes	15.11
Twbload	65	-6.6	54	0	1	-6.6	54.0	0	1	Yes	15.11
Twbload	66	-6.7	53	0	1	-6.7	53.0	0	1	Yes	15.11
Twbload	67	-7.0	53	0	1	-7.0	53.0	0	1	Yes	15.11
Twbload	68	-6.5	54	0	1	-6.5	54.0	0	1	Yes	15.11
Twbload	69	-6.9	54	0	1	-6.9	54.0	0	1	Yes	15.11
Twbload	70	-7.6	53	0	1	-7.6	53.0	0	1	Yes	15.11
Twbload	71	-8.6	55	0	1	-8.6	55.0	0	1	Yes	15.11
Twbload	72	-9.3	54	0	1	-9.3	54.0	0	1	Yes	15.11
Twbload	73	-10.3	53	0	1	-10.3	53.0	0	1	Yes	15.11
Twbload	74	-10.8	54	0	1	-10.8	54.0	0	1	Yes	15.11
Twbload	75	-10.6	54	0	1	-10.6	54.0	0	1	Yes	15.11
