DATE	Hour	Twet	Load	MBO without error	Tset	Tset_BN	BN without error	Default	Tset_BN	Case 1	Default	Tset_MBO	Power_MBO	Tset_BN	Case 2	Default	Tset_MBO	Power_MBO	Tset_BN	Case 3	Default	Tset_MBO	Power_MBO	Tset_BN	Case 4	Default	Tset_MBO	Power_MBO	Tset_BN	Case 5	Default	Tset_MBO	Power_MBO
6/28/2012	0	17.3	1207.65	546313	20.11	20.11	546313	No	20.11	546313	No	17.11	576203	19.11	559957	No	16.11	576203	21.11	553080	No	21.11	553080	23.11	578364	No	23.11	578364	15.11	576203	Yes	16.11	576203
6/28/2012	1	16.9	887.55	392916	19.11	19.11	392916	No	20.11	396422	No	19.11	392916	19.11	392916	No	16.11	430646	19.11	392916	No	19.11	392916	23.11	426704	No	23.11	426704	15.11	430646	Yes	15.11	430646
6/28/2012	2	16.4	712.95	339668	16.11	17.11	339668	Yes	18.11	339668	Yes	19.11	329917	18.11	339668	No	18.11	339668	18.11	339668	Yes	16.11	339668	24.11	361939	No	23.11	353905	15.11	339668	Yes	16.11	339668
6/28/2012	3	16.4	829.35	364678	19.11	19.11	364678	No	18.11	370963	No	16.11	402591	18.11	370963	Yes	16.11	402591	20.11	373612	No	19.11	364678	22.11	394535	No	22.11	394535	15.11	402591	Yes	15.11	402591
6/28/2012	4	15.7	800.25	343897	18.11	18.11	343897	No	19.11	351157	No	18.11	343897	16.11	382188	No	19.11	351157	17.11	361127	No	18.11	343897	22.11	383860	No	19.11	351157	15.11	382188	Yes	15.11	382188
6/28/2012	5	16.9	785.7	390377	16.11	18.11	390377	Yes	20.11	381983	No	16.11	390377	18.11	390377	Yes	16.11	390377	20.11	381983	No	20.11	381983	23.11	403723	No	23.11	403723	15.11	390377	Yes	16.11	390377
6/28/2012	6	17.9	800.25	371855	20.11	20.11	371855	No	20.11	371855	No	20.11	371855	20.11	371855	No	20.11	371855	20.11	371855	No	20.11	371855	25.11	409205	No	25.11	409205	16.11	414698	Yes	18.11	414698
6/28/2012	7	18.6	698.4	339371	21.11	21.11	339371	No	21.11	339371	No	21.11	339371	21.11	339371	No	21.11	339371	22.11	340194	No	22.11	340194	24.11	353390	No	21.11	339371	16.11	351873	Yes	18.11	351873
6/28/2012	8	19.2	1469.55	734755	22.11	22.11	734755	No	21.11	746237	No	18.11	760001	22.11	734755	No	22.11	734755	22.11	734755	No	22.11	734755	25.11	771826	Yes	26.11	787279	17.11	760001	Yes	15.11	760001
6/28/2012	9	19.7	1047.6	496414	22.11	22.11	496414	No	22.11	496414	No	22.11	496414	22.11	496414	No	22.11	496414	21.11	516115	No	21.11	516115	26.11	526453	No	26.11	526453	16.11	536735	Yes	18.11	536735
6/28/2012	10	19.5	1003.95	473534	22.11	22.11	473534	No	22.11	473534	No	22.11	473534	22.11	473534	No	22.11	473534	22.11	473534	No	22.11	473534	26.11	504515	No	26.11	504515	17.11	514610	Yes	18.11	514610
6/28/2012	11	20	1003.95	480355	22.11	23.11	481446	No	22.11	480355	No	22.11	480355	23.11	481446	No	23.11	481446	22.11	480355	No	22.11	480355	26.11	504698	No	26.11	504698	17.11	521350	Yes	15.11	521350
