DATE	Hour	Twet	Load	MBO without error	Tset	Tset_BN	BN without error	Default	Tset_BN	Case 1	Default	Tset_MBO	Power_MBO	Tset_BN	Case 2	Default	Tset_MBO	Power_MBO	Tset_BN	Case 3	Default	Tset_MBO	Power_MBO	Tset_BN	Case 4	Default	Tset_MBO	Power_MBO	Tset_BN	Case 5	Default	Tset_MBO	Power_MBO
10/9/2012	0	7.3	1425.9	538761	15.11	15.11	538761	No	15.11	538761	No	15.11	538761	15.11	538761	No	15.11	538761	15.11	538761	No	15.11	538761	15.11	538761	No	15.11	538761	15.11	538761	No	15.11	538761
10/9/2012	1	7.5	1406.5	528810	15.11	15.11	528810	No	15.11	528810	No	15.11	528810	15.11	528810	No	15.11	528810	15.11	528810	No	15.11	528810	16.11	551778	No	15.11	528810	15.11	528810	No	15.11	528810
10/9/2012	2	7.5	1241.6	447772	15.11	15.11	447772	No	15.11	447772	No	15.11	447772	15.11	447772	No	15.11	447772	15.11	447772	No	15.11	447772	15.11	447772	No	15.11	447772	15.11	447772	No	15.11	447772
10/9/2012	3	8	1338.6	494855	15.11	15.11	494855	No	15.11	494855	No	15.11	494855	15.11	494855	No	15.11	494855	15.11	494855	No	15.11	494855	15.11	494855	No	15.11	494855	15.11	494855	No	15.11	494855
10/9/2012	4	8	1299.8	475819	15.11	15.11	475819	No	15.11	475819	No	15.11	475819	15.11	475819	No	15.11	475819	15.11	475819	No	15.11	475819	16.11	497296	No	15.11	475819	15.11	475819	No	15.11	475819
10/9/2012	5	8.3	1319.2	485730	15.11	15.11	485730	No	15.11	485730	No	15.11	485730	15.11	485730	No	15.11	485730	15.11	485730	No	15.11	485730	16.11	507237	No	16.11	507237	15.11	485730	No	15.11	485730
10/9/2012	6	8.6	1387.1	520610	15.11	15.11	520610	No	15.11	520610	No	15.11	520610	15.11	520610	No	15.11	520610	15.11	520610	No	15.11	520610	16.11	542565	No	17.11	564458	15.11	520610	No	15.11	520610
10/9/2012	7	9.4	1522.9	532255	15.11	15.11	532255	No	15.11	532255	No	15.11	532255	15.11	532255	No	15.11	532255	15.11	532255	No	15.11	532255	15.11	532255	Yes	16.11	636461	15.11	532255	No	15.11	532255
10/9/2012	8	10.2	1726.6	618962	15.11	15.11	618962	Yes	15.11	618962	No	15.11	618962	15.11	618962	No	15.11	618962	15.11	618962	No	15.11	618962	15.11	618962	No	18.11	700783	15.11	618962	No	15.11	618962
10/9/2012	9	10.5	1794.5	651351	15.11	15.11	651351	Yes	15.11	651351	Yes	15.11	651351	15.11	651351	Yes	15.11	651351	15.11	651351	No	15.11	651351	18.11	732954	No	17.11	705171	15.11	651351	No	15.11	651351
10/9/2012	10	11.5	1125.2	410173	15.11	15.11	410173	No	15.11	410173	No	15.11	410173	15.11	410173	No	15.11	410173	15.11	410173	No	15.11	410173	19.11	473388	No	19.11	473388	15.11	410173	No	15.11	410173
10/9/2012	11	11.8	911.8	326986	15.11	15.11	326986	No	15.11	326986	No	15.11	326986	15.11	326986	No	15.11	326986	15.11	326986	No	15.11	326986	19.11	384920	No	19.11	384920	15.11	326986	No	15.11	326986
10/9/2012	12	12.3	911.8	333202	15.11	15.11	333202	No	15.11	333202	No	15.11	333202	15.11	333202	No	15.11	333202	16.11	341167	No	16.11	341167	19.11	385226	No	19.11	385226	15.11	333202	No	15.11	333202
