Date	Twet	Load	Twet+Err	Load+Err
3/1/2012 0:00	11.3	58.2	7.46	64.46
3/1/2012 1:00	11.9	58.2	7.54	65.79
3/1/2012 2:00	13.8	58.2	9.72	68.04
3/1/2012 3:00	13.2	58.2	10.03	54.39
3/1/2012 4:00	12.7	58.2	8.3	61.84
3/1/2012 5:00	12.4	669.3	7.63	702.22
3/1/2012 6:00	12.7	698.4	8.89	807.51
3/1/2012 7:00	13.2	698.4	8.9	732.79
3/1/2012 8:00	13.6	717.8	9.95	646.95
3/1/2012 9:00	11.2	717.8	6.81	797.61
3/1/2012 10:00	10.5	708.1	6.94	842.01
3/1/2012 11:00	10.4	708.1	6.95	726.68
3/1/2012 12:00	11.1	640.2	6.5	528.81
3/1/2012 13:00	10.6	630.5	7.37	711.57
3/1/2012 14:00	10.4	58.2	6.81	47.07
3/1/2012 15:00	10.2	58.2	6.16	68.94
3/1/2012 16:00	8.9	649.9	4.29	669.57
3/1/2012 17:00	7.7	58.2	3.14	63.86
3/1/2012 18:00	6.4	58.2	3.3	49.78
3/1/2012 19:00	5.7	58.2	1.08	68.89
3/1/2012 20:00	4.9	58.2	-0.03	47.69
3/1/2012 21:00	3.9	669.3	-0.51	739
3/1/2012 22:00	4.2	669.3	-0.46	735.89
3/1/2012 23:00	3.3	669.3	-0.74	542.23
3/2/2012 0:00	2.4	679	-2.01	776.48
3/2/2012 1:00	1.7	679	-3.26	794.91
3/2/2012 2:00	0.5	688.7	-2.55	713.04
3/2/2012 3:00	0.5	698.4	-2.98	755.51
3/2/2012 4:00	0.2	688.7	-3.94	585.21
3/2/2012 5:00	0	58.2	-3.1	68.95
3/2/2012 6:00	-0.6	58.2	-4.98	66.59
3/2/2012 7:00	2.1	58.2	-1.81	69.28
3/2/2012 8:00	4.4	58.2	1.21	53.66
3/2/2012 9:00	3.9	58.2	0.2	59.84
3/2/2012 10:00	4.7	58.2	0.79	51.54
3/2/2012 11:00	5.5	58.2	1.22	62.06
3/2/2012 12:00	5.7	58.2	0.87	54.98
3/2/2012 13:00	6.3	58.2	1.91	60.06
3/2/2012 14:00	6.4	58.2	2.84	49.94
3/2/2012 15:00	7.6	58.2	3.93	62.25
3/2/2012 16:00	7.5	58.2	4.16	54.69
3/2/2012 17:00	7.2	58.2	2.26	63.07
3/2/2012 18:00	7.2	58.2	3.78	50.7
3/2/2012 19:00	7.2	58.2	2.84	62.84
3/2/2012 20:00	7.2	58.2	3.7	64.2
3/2/2012 21:00	7.2	58.2	4.15	47.97
3/2/2012 22:00	7.2	58.2	2.3	56.33
3/2/2012 23:00	7.2	58.2	2.92	65.29
3/3/2012 0:00	7.2	58.2	4.18	60.72
3/3/2012 1:00	7.5	58.2	3.24	60.09
3/3/2012 2:00	7.5	58.2	2.58	64.8
3/3/2012 3:00	8	58.2	4.43	61.9
3/3/2012 4:00	8.3	58.2	4.83	50.2
3/3/2012 5:00	8	58.2	3	59.32
3/3/2012 6:00	8.6	58.2	4.98	63.93
3/3/2012 7:00	8.8	58.2	5.72	61.65
3/3/2012 8:00	9.4	58.2	4.71	63.72
3/3/2012 9:00	9.7	58.2	4.77	56.89
3/3/2012 10:00	7.9	58.2	4.06	49.27
3/3/2012 11:00	7.3	58.2	3.68	64
3/3/2012 12:00	5.5	58.2	2.26	67.12
3/3/2012 13:00	7.1	58.2	3.8	49.19
3/3/2012 14:00	7.7	58.2	2.75	56.79
3/3/2012 15:00	7.4	58.2	4.21	55.19
3/3/2012 16:00	6.4	58.2	2	50.14
3/3/2012 17:00	5.4	58.2	1.9	48.5
3/3/2012 18:00	4.1	58.2	0.79	59.83
3/3/2012 19:00	3.3	58.2	0.14	51.72
3/3/2012 20:00	3.5	58.2	-0.59	47.48
3/3/2012 21:00	3.2	58.2	-1.05	66.38
3/3/2012 22:00	3.5	58.2	-0.72	55.05
3/3/2012 23:00	3.5	58.2	-1.36	68.67
3/4/2012 0:00	3.1	58.2	-1.81	54.68
3/4/2012 1:00	2.7	58.2	-1.32	63.26
3/4/2012 2:00	3	58.2	-1.16	64.46
3/4/2012 3:00	2.6	58.2	-0.83	69.15
3/4/2012 4:00	2.3	58.2	-2.67	63.46
3/4/2012 5:00	2	58.2	-1.42	63.07
3/4/2012 6:00	1.5	58.2	-2.64	69.44
3/4/2012 7:00	1.2	58.2	-2.65	52.82
3/4/2012 8:00	1.2	58.2	-2.43	59.83
3/4/2012 9:00	1.6	58.2	-2.32	69.49
3/4/2012 10:00	1.8	58.2	-2.6	59.6
3/4/2012 12:00	2.3	368.6	-1.61	432
3/4/2012 13:00	1.6	465.6	-2.79	421.23
3/4/2012 14:00	2.4	58.2	-1.21	66.49
3/4/2012 15:00	1.5	58.2	-2.83	50.24
3/4/2012 16:00	1.3	58.2	-3.45	68.05
3/4/2012 17:00	0.9	58.2	-3.59	48.1
3/4/2012 18:00	0.2	58.2	-3.4	56.54
3/4/2012 19:00	0	58.2	-4.17	67.09
3/4/2012 20:00	-0.5	58.2	-4.26	57.6
3/4/2012 21:00	-0.5	58.2	-3.55	57.39
3/4/2012 22:00	-0.8	58.2	-4.41	62.71
3/4/2012 23:00	-1.2	58.2	-5.72	47.43
3/5/2012 0:00	-1.5	58.2	-6.1	55.92
3/5/2012 1:00	-1.5	58.2	-5.42	59.32
3/5/2012 2:00	-1.9	58.2	-6.76	63.06
3/5/2012 3:00	-2.2	58.2	-6.86	68.71
3/5/2012 4:00	-3.3	58.2	-7.42	51.87
3/5/2012 5:00	-2.9	58.2	-6.2	50.9
3/5/2012 6:00	-2.4	58.2	-6.69	48.43
3/5/2012 7:00	-1	378.3	-5.36	425.64
3/5/2012 8:00	-0.5	533.5	-5.48	574.38
3/5/2012 9:00	0.4	756.6	-3.37	698.2
3/5/2012 10:00	0.2	766.3	-3.06	823.34
3/5/2012 11:00	0.6	805.1	-3.41	797.68
3/5/2012 12:00	0.9	834.2	-3.9	702.74
3/5/2012 13:00	1.7	843.9	-2.69	821.94
