Date	Twet	Load	Tset	Twet+Err	Load+Err
3/1/2012 0:00	11.3	58.2	15.11	13.11	41.84
3/1/2012 1:00	11.9	58.2	15.11	13.14	71.04
3/1/2012 2:00	13.8	58.2	16.11	14.57	57.95
3/1/2012 3:00	13.2	58.2	15.11	13.66	42.11
3/1/2012 4:00	12.7	58.2	15.11	13.86	58.69
3/1/2012 5:00	12.4	669.3	16.11	13.77	555.23
3/1/2012 6:00	12.7	698.4	16.11	14.28	907.85
3/1/2012 7:00	13.2	698.4	16.11	15.01	521.47
3/1/2012 8:00	13.6	717.8	17.11	15.39	829.56
3/1/2012 9:00	11.2	717.8	15.11	13.06	640.18
3/1/2012 10:00	10.5	708.1	15.11	11.55	765.6
3/1/2012 11:00	10.4	708.1	15.11	10.79	598.69
3/1/2012 12:00	11.1	640.2	15.11	12.14	673.35
3/1/2012 13:00	10.6	630.5	15.11	10.7	577.25
3/1/2012 14:00	10.4	58.2	15.11	10.83	70.3
3/1/2012 15:00	10.2	58.2	15.11	12.1	60.83
3/1/2012 16:00	8.9	649.9	15.11	9.85	459.95
3/1/2012 17:00	7.7	58.2	15.11	8.71	49.88
3/1/2012 18:00	6.4	58.2	15.11	7.94	59.61
3/1/2012 19:00	5.7	58.2	15.11	6.02	62.93
3/1/2012 20:00	4.9	58.2	15.11	6.42	53.3
3/1/2012 21:00	3.9	669.3	15.11	5.64	605.25
3/1/2012 22:00	4.2	669.3	15.11	5.95	774.37
3/1/2012 23:00	3.3	669.3	15.11	4.95	573.84
3/2/2012 0:00	2.4	679	15.11	2.68	675.93
3/2/2012 1:00	1.7	679	15.11	2.99	607.52
3/2/2012 2:00	0.5	688.7	15.11	1.31	585.15
3/2/2012 3:00	0.5	698.4	15.11	1.65	639.61
3/2/2012 4:00	0.2	688.7	15.11	0.24	738.77
3/2/2012 5:00	0	58.2	15.11	1.42	67.53
3/2/2012 6:00	-0.6	58.2	15.11	0.8	67.94
3/2/2012 7:00	2.1	58.2	15.11	2.54	41.57
3/2/2012 8:00	4.4	58.2	15.11	4.67	52.24
3/2/2012 9:00	3.9	58.2	15.11	4.51	51.45
3/2/2012 10:00	4.7	58.2	15.11	6.14	58.33
3/2/2012 11:00	5.5	58.2	15.11	5.64	66.4
3/2/2012 12:00	5.7	58.2	15.11	7.39	55.52
3/2/2012 13:00	6.3	58.2	15.11	7.23	67.99
3/2/2012 14:00	6.4	58.2	15.11	8.32	70.79
3/2/2012 15:00	7.6	58.2	15.11	9.46	73.64
3/2/2012 16:00	7.5	58.2	15.11	7.98	57.2
3/2/2012 17:00	7.2	58.2	15.11	8.65	47.53
3/2/2012 18:00	7.2	58.2	15.11	9.2	49.55
3/2/2012 19:00	7.2	58.2	15.11	8.38	50.6
3/2/2012 20:00	7.2	58.2	15.11	7.97	53.74
3/2/2012 21:00	7.2	58.2	15.11	9.12	65.23
3/2/2012 22:00	7.2	58.2	15.11	8.44	58.78
3/2/2012 23:00	7.2	58.2	15.11	8.56	74.93
3/3/2012 0:00	7.2	58.2	15.11	7.31	41.67
3/3/2012 1:00	7.5	58.2	15.11	9.42	41.53
3/3/2012 2:00	7.5	58.2	15.11	9.01	56.08
3/3/2012 3:00	8	58.2	15.11	8.84	60.84
3/3/2012 4:00	8.3	58.2	15.11	8.33	44.67
3/3/2012 5:00	8	58.2	15.11	9.34	51.89
3/3/2012 6:00	8.6	58.2	15.11	9.36	71.48
3/3/2012 7:00	8.8	58.2	15.11	10.67	67.42
3/3/2012 8:00	9.4	58.2	15.11	9.56	58.47
3/3/2012 9:00	9.7	58.2	15.11	9.92	47.95
3/3/2012 10:00	7.9	58.2	15.11	8.67	55.14
3/3/2012 11:00	7.3	58.2	15.11	9.26	74.86
3/3/2012 12:00	5.5	58.2	15.11	7.36	47.28
3/3/2012 13:00	7.1	58.2	15.11	8.54	55.75
3/3/2012 14:00	7.7	58.2	15.11	8.33	68.4
3/3/2012 15:00	7.4	58.2	15.11	7.49	53.99
3/3/2012 16:00	6.4	58.2	15.11	7.17	54.4
3/3/2012 17:00	5.4	58.2	15.11	6.78	65.28
3/3/2012 18:00	4.1	58.2	15.11	5.24	75.07
3/3/2012 19:00	3.3	58.2	15.11	4.36	45.59
3/3/2012 20:00	3.5	58.2	15.11	4.22	43
3/3/2012 21:00	3.2	58.2	15.11	4.51	45.69
3/3/2012 22:00	3.5	58.2	15.11	3.73	47.48
3/3/2012 23:00	3.5	58.2	15.11	4.84	57.44
3/4/2012 0:00	3.1	58.2	15.11	4.17	41.68
3/4/2012 1:00	2.7	58.2	15.11	3.88	68.37
3/4/2012 2:00	3	58.2	15.11	4.28	50.52
3/4/2012 3:00	2.6	58.2	15.11	3.7	43.16
3/4/2012 4:00	2.3	58.2	15.11	2.63	46.21
3/4/2012 5:00	2	58.2	15.11	2.24	68.91
3/4/2012 6:00	1.5	58.2	15.11	2.33	53.18
3/4/2012 7:00	1.2	58.2	15.11	1.78	63.49
3/4/2012 8:00	1.2	58.2	15.11	2.13	70.92
3/4/2012 9:00	1.6	58.2	15.11	2.53	70.25
3/4/2012 10:00	1.8	58.2	15.11	2.15	46.04
3/4/2012 12:00	2.3	368.6	15.11	4.01	450.83
3/4/2012 13:00	1.6	465.6	15.11	2.7	454.35
3/4/2012 14:00	2.4	58.2	15.11	3.7	61.7
3/4/2012 15:00	1.5	58.2	15.11	2.75	66.57
3/4/2012 16:00	1.3	58.2	15.11	2.35	43.65
3/4/2012 17:00	0.9	58.2	15.11	1.52	44.76
3/4/2012 18:00	0.2	58.2	15.11	1.83	42.26
3/4/2012 19:00	0	58.2	15.11	0.37	46.8
3/4/2012 20:00	-0.5	58.2	15.11	1.19	65.25
3/4/2012 21:00	-0.5	58.2	15.11	-0.45	56.21
3/4/2012 22:00	-0.8	58.2	15.11	-0.63	49.94
3/4/2012 23:00	-1.2	58.2	15.11	-0.85	61.74
3/5/2012 0:00	-1.5	58.2	15.11	-0.97	66.89
3/5/2012 1:00	-1.5	58.2	15.11	-1.08	68.66
3/5/2012 2:00	-1.9	58.2	15.11	-0.83	72.24
3/5/2012 3:00	-2.2	58.2	15.11	-1.7	41.88
3/5/2012 4:00	-3.3	58.2	15.11	-2.19	54.21
3/5/2012 5:00	-2.9	58.2	15.11	-2.57	43.7
3/5/2012 6:00	-2.4	58.2	15.11	-0.72	68.81
3/5/2012 7:00	-1	378.3	15.11	0.7	282.2
3/5/2012 8:00	-0.5	533.5	15.11	-0.46	450.69
3/5/2012 9:00	0.4	756.6	15.11	1.9	531.04
3/5/2012 10:00	0.2	766.3	15.11	0.27	672.12
3/5/2012 11:00	0.6	805.1	15.11	1.08	859.91
3/5/2012 12:00	0.9	834.2	15.11	1.86	984.92
3/5/2012 13:00	1.7	843.9	15.11	1.85	914.85
3/5/2012 14:00	1.5	776	15.11	1.52	864.25
3/5/2012 15:00	1.7	465.6	15.11	2.81	432.96
3/5/2012 16:00	1.7	446.2	15.11	2.7	432.31
3/5/2012 17:00	0.3	58.2	15.11	1.62	49.55
3/5/2012 18:00	-0.6	446.2	15.11	0.44	456.97
3/5/2012 19:00	-1.2	446.2	15.11	-0.6	490.4
3/5/2012 20:00	-2.2	446.2	15.11	-2.2	550.82
3/5/2012 21:00	-2.4	446.2	15.11	-0.77	403.33
3/5/2012 22:00	-2.9	58.2	15.11	-1.81	71.12
3/5/2012 23:00	-3.2	58.2	15.11	-2.21	75.65
3/6/2012 0:00	-3.6	58.2	15.11	-2.56	70.17
3/6/2012 1:00	-3.9	58.2	15.11	-3.4	43.27
3/6/2012 2:00	-4.1	58.2	15.11	-3.64	48.39
3/6/2012 3:00	-4.3	58.2	15.11	-2.45	44.32
3/6/2012 4:00	-5	58.2	15.11	-3.83	49.18
3/6/2012 5:00	-5.1	58.2	15.11	-3.73	58.1
3/6/2012 6:00	-5	58.2	15.11	-3.25	54.46
3/6/2012 7:00	-3.1	58.2	15.11	-1.83	44.01
3/6/2012 8:00	-1.5	58.2	15.11	-0.64	62.55
3/6/2012 9:00	-1	58.2	15.11	-0.45	48.87
3/6/2012 10:00	0	58.2	15.11	1.29	65.23
3/6/2012 11:00	0.3	58.2	15.11	0.74	74.11
3/6/2012 12:00	1.4	58.2	15.11	2.23	42.63
3/6/2012 13:00	1.8	58.2	15.11	3.21	75.33
3/6/2012 14:00	2.2	58.2	15.11	3.19	56.93
3/6/2012 15:00	2.5	58.2	15.11	3.62	65.56
3/6/2012 16:00	2	58.2	15.11	3.14	69.87
3/6/2012 17:00	1.7	58.2	15.11	3.31	65.51
3/6/2012 18:00	1.4	58.2	15.11	1.95	46.49
3/6/2012 19:00	1.5	58.2	15.11	1.64	63.06
3/6/2012 20:00	1.3	58.2	15.11	2.8	62.83
3/6/2012 21:00	0.6	58.2	15.11	2.56	45.57
3/6/2012 22:00	0.6	58.2	15.11	1.64	66.4
3/6/2012 23:00	1.1	58.2	15.11	1.7	43.57
3/7/2012 0:00	0.8	58.2	15.11	2.07	46.28
3/7/2012 1:00	1.3	58.2	15.11	2.78	63.62
3/7/2012 2:00	1	58.2	15.11	1.88	51.17
3/7/2012 3:00	0.5	58.2	15.11	1.72	70.43
3/7/2012 4:00	-0.1	58.2	15.11	1.05	58.44
3/7/2012 5:00	-0.6	58.2	15.11	1.32	58.08
3/7/2012 6:00	-1.2	58.2	15.11	0.63	43.04
3/7/2012 7:00	2	58.2	15.11	3.99	59.99
